Table 6.1D. National Income Without Capital Consumption Adjustment by Industry
Table 6.1D. National Income Without Capital Consumption Adjustment by Industry
"Last Revised on: March 27, 2025 - Next Release Date April 30, 2025"
Line,,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
9,"            Durable goods",697.6,668.2,613.2,562.0,598.0,614.1,619.7,622.6,621.9,622.2,625.6,649.9,653.6,666.1,685.0,690.4,743.1,759.5,770.4,782.9,812.0,788.7,828.6,828.9,828.8,827.8,813.1,838.0,812.3,773.2,786.6,725.3,647.6,650.5,647.5,678.5,709.0,744.9,775.1,778.4,760.2,765.2,792.7,827.8,890.9,895.4,878.7,885.9,905.3,913.3,922.9,919.8,910.6,938.7,961.1,968.9,977.4,1000.7,986.3,968.4,978.8,939.2,941.1,963.9,950.7,984.4,982.7,972.2,991.3,1009.4,1018.7,1013.0,1043.0,1038.1,1037.3,1050.1,1048.1,875.6,1013.4,1058.7,1100.4,1096.2,1105.0,1153.6,1221.5,1251.7,1265.3,1288.4,1267.3,1274.3,1315.0,1351.5,1355.6,1334.6,1343.3,1370.1
10,"            Nondurable goods",473.9,487.3,487.6,464.9,462.9,458.7,455.8,462.7,464.9,460.3,478.1,504.5,506.3,519.1,537.0,548.8,573.9,560.9,571.0,585.3,602.6,642.3,639.5,614.5,629.2,657.1,603.8,629.0,598.0,601.5,618.8,627.8,571.7,550.0,547.5,554.3,558.0,600.8,626.6,603.7,593.5,625.9,634.8,617.9,665.2,676.5,649.3,669.6,682.1,660.4,662.3,715.7,654.2,714.2,715.3,736.0,748.3,697.9,712.5,673.0,670.9,619.5,611.9,605.2,616.9,618.0,660.9,655.2,695.1,731.9,739.3,743.6,693.9,688.0,706.3,703.2,672.2,592.8,657.3,677.2,708.6,769.7,802.0,884.9,927.2,961.9,992.9,986.2,999.4,939.6,948.0,952.5,945.9,948.4,945.8,964.3
11,"        Wholesale trade",553.6,553.2,559.3,575.5,565.9,567.2,554.8,560.2,560.2,570.6,586.9,594.4,604.5,625.9,637.0,627.3,666.3,690.0,680.8,702.9,719.6,722.6,746.2,753.2,759.1,760.7,760.8,743.5,718.8,731.4,761.8,785.6,723.8,677.8,683.9,694.0,707.1,736.0,751.6,718.0,729.5,763.8,788.5,787.0,825.3,848.6,835.0,866.7,876.8,877.3,867.2,863.4,869.7,897.0,934.6,934.9,936.7,934.6,938.6,948.0,940.6,900.6,929.0,921.4,936.1,949.6,954.7,942.8,932.5,927.4,972.8,1007.2,1008.9,1014.1,1035.9,1040.7,1080.9,950.9,1006.0,1032.6,1064.3,1118.4,1149.1,1202.0,1239.6,1279.1,1385.5,1381.5,1363.5,1379.0,1380.6,1401.3,1412.0,1413.1,1418.6,1438.9
12,"        Retail trade",692.8,693.5,698.3,707.4,717.7,718.2,724.7,734.2,746.9,754.3,760.0,767.3,784.4,784.0,789.3,794.5,821.3,859.9,857.2,892.4,901.5,894.5,908.4,915.1,900.9,908.9,886.3,881.5,835.5,831.4,825.0,815.8,810.0,820.9,820.2,844.4,845.5,866.5,871.8,871.1,876.0,878.0,893.2,915.8,961.8,953.9,950.5,976.5,984.8,992.2,989.3,980.6,991.3,1014.0,1031.1,1055.5,1059.8,1057.4,1071.1,1078.8,1079.1,1079.6,1104.6,1112.0,1108.3,1098.2,1110.2,1092.3,1120.3,1121.5,1146.6,1134.5,1144.0,1164.1,1178.4,1212.6,1223.5,1148.1,1297.0,1342.8,1384.2,1463.2,1419.8,1453.8,1467.9,1488.2,1513.2,1519.9,1557.3,1588.6,1634.2,1661.0,1667.4,1680.0,1702.3,1719.7
13,"        Transportation and warehousing",278.4,279.1,256.3,263.4,261.7,260.9,264.5,270.6,273.7,270.6,281.6,288.8,294.7,307.5,306.8,309.0,325.9,332.5,337.0,346.6,356.6,361.6,364.0,368.7,368.2,377.5,375.0,369.6,364.5,366.7,367.2,372.8,350.6,337.9,345.1,363.3,370.1,387.2,396.1,384.3,380.4,387.8,392.6,405.1,431.2,436.9,433.7,434.8,440.6,438.6,437.0,452.6,450.8,474.2,477.9,480.4,497.3,488.9,508.3,515.9,513.9,507.6,519.2,517.4,531.4,546.9,544.5,516.5,534.1,537.1,554.8,575.6,569.6,569.2,579.4,581.3,577.1,422.7,523.6,575.2,592.0,636.4,690.6,719.9,737.7,782.9,804.7,790.1,810.3,832.7,826.9,841.9,859.0,872.3,872.3,881.6
14,"        Information",329.1,339.2,313.4,261.8,283.4,319.3,332.5,355.7,343.4,334.5,356.4,345.3,348.8,388.0,411.3,399.7,422.4,441.5,436.4,459.5,427.9,491.4,472.4,429.0,450.9,508.8,484.2,503.2,453.7,472.6,508.2,449.2,441.9,438.8,433.3,478.4,467.3,462.3,451.5,455.3,472.2,471.8,438.4,445.9,514.8,532.1,466.2,524.9,540.2,547.0,567.0,568.5,559.7,567.3,573.0,562.9,569.7,608.8,605.6,615.3,626.4,645.4,624.7,645.4,672.4,650.3,637.3,591.3,609.7,638.9,639.1,654.6,704.2,708.1,687.1,664.5,645.3,623.9,682.0,743.8,769.2,776.5,793.6,819.0,819.3,828.2,797.3,793.9,841.6,866.8,837.5,869.7,918.1,955.9,964.3,985.8
15,"        Finance, insurance, real estate, rental, and leasing",1587.0,1591.3,1592.8,1590.7,1590.0,1595.2,1577.8,1591.5,1589.1,1629.6,1665.8,1663.7,1691.3,1706.9,1734.4,1790.2,1871.1,1870.2,1936.3,1967.2,2012.6,2030.0,2030.1,2074.7,2095.3,2089.5,2096.0,2041.3,2014.7,2017.2,1872.2,1857.7,1969.4,2148.4,2226.4,2191.9,2143.6,2144.4,2172.1,2197.8,2199.0,2162.6,2149.8,2270.2,2390.9,2403.8,2406.4,2420.7,2355.5,2396.4,2439.7,2480.9,2525.1,2570.6,2595.9,2583.6,2633.4,2698.4,2637.8,2648.2,2710.3,2755.4,2791.0,2803.3,2777.4,2791.2,2844.2,2854.8,2876.4,2909.4,2948.8,2939.6,3033.1,3054.7,3045.4,3080.5,3100.1,3059.2,3172.4,3261.6,3258.6,3347.4,3399.5,3511.4,3548.6,3574.3,3618.5,3600.6,3711.2,3755.2,3818.5,3916.0,4008.5,4060.3,4086.0,4223.9
16,"        Professional and business services1",1135.7,1129.8,1127.0,1124.9,1141.6,1166.6,1185.1,1193.1,1207.5,1219.5,1227.9,1252.6,1260.4,1278.9,1317.4,1348.4,1394.7,1409.9,1469.8,1491.7,1540.4,1558.0,1588.8,1611.3,1612.5,1631.8,1649.1,1669.6,1727.9,1729.6,1727.2,1597.1,1624.0,1579.8,1576.9,1617.9,1670.0,1709.1,1756.1,1784.1,1784.9,1811.1,1844.5,1825.9,1904.3,1909.1,1940.7,1996.0,1959.5,1956.5,1943.3,1990.6,2038.1,2076.8,2096.6,2155.2,2187.9,2215.3,2225.4,2243.9,2239.1,2288.1,2282.7,2314.7,2352.9,2379.8,2417.3,2430.2,2475.6,2517.6,2568.0,2594.0,2667.5,2688.7,2714.2,2732.1,2762.1,2509.9,2641.9,2845.2,2932.1,3000.9,3101.7,3223.1,3321.4,3360.5,3459.1,3510.4,3595.2,3622.7,3673.7,3711.8,3828.6,3875.0,3909.1,3981.5
17,"        Educational services, health care, and social assistance",727.4,742.9,758.1,774.1,796.9,813.7,828.8,840.5,854.3,862.0,872.2,889.0,907.2,926.9,946.8,950.2,964.6,984.2,995.2,1005.8,1029.2,1047.1,1059.0,1078.9,1093.2,1103.3,1119.1,1136.2,1153.6,1181.7,1192.7,1209.8,1223.5,1244.2,1255.7,1281.8,1282.6,1301.5,1312.6,1317.6,1329.8,1342.7,1357.5,1358.0,1396.0,1396.1,1401.1,1420.9,1423.3,1433.9,1440.6,1448.7,1458.8,1471.9,1488.0,1506.0,1524.8,1544.8,1566.1,1583.0,1605.0,1620.6,1638.7,1656.2,1668.3,1679.3,1686.2,1697.3,1730.3,1740.0,1754.2,1776.0,1791.7,1813.1,1841.8,1895.8,1931.7,1660.7,1876.4,1942.6,1969.9,1963.3,2017.2,2037.7,2079.4,2093.0,2139.7,2177.6,2224.7,2258.2,2309.9,2359.4,2424.6,2464.3,2503.3,2553.9
18,"        Arts, entertainment, recreation, accommodation, and food services",353.2,354.0,353.6,350.4,355.8,363.2,367.7,374.1,374.1,377.0,383.0,392.0,404.8,411.5,416.3,412.1,424.5,438.4,441.9,454.4,460.5,465.0,468.4,479.3,488.8,491.0,490.0,495.6,484.9,488.1,484.3,471.3,461.7,463.0,471.0,473.8,484.7,494.4,501.0,500.9,507.4,516.5,526.7,532.9,558.2,558.1,562.0,570.0,581.6,588.5,593.8,588.7,614.4,623.9,634.5,647.2,658.9,668.8,685.9,692.3,696.6,705.7,717.0,729.8,732.9,741.2,749.3,740.4,759.7,771.0,784.2,795.1,802.3,812.0,824.7,825.5,799.0,410.2,569.0,662.2,700.0,787.0,851.7,887.9,919.7,951.9,978.8,986.9,1043.4,1075.2,1092.8,1103.5,1142.9,1154.4,1151.8,1159.7
19,"        Other services, except government",268.5,270.6,272.1,271.3,288.2,291.8,296.8,300.0,293.9,296.3,298.7,303.0,309.3,312.0,315.8,317.5,330.6,335.4,337.0,343.9,353.6,360.4,362.4,366.1,365.3,364.1,358.9,359.2,349.7,344.3,341.9,344.2,338.4,344.2,347.0,357.8,362.4,372.2,380.2,380.4,381.5,383.8,388.5,391.1,402.4,403.8,405.6,409.6,407.7,410.7,411.4,417.4,427.3,434.1,439.7,444.1,448.4,450.7,452.6,455.2,456.5,458.5,462.0,464.3,467.0,469.4,476.4,479.0,488.7,495.7,503.4,508.1,509.2,511.3,515.7,523.8,530.9,429.0,477.6,502.1,505.6,516.6,538.6,556.6,574.9,579.0,592.1,600.2,603.3,613.4,621.3,636.7,649.2,658.5,664.0,671.4
20,"    Government",1086.6,1101.4,1125.8,1138.4,1152.5,1167.5,1186.7,1206.2,1223.8,1240.4,1251.9,1264.8,1283.8,1300.7,1313.8,1329.1,1345.2,1356.1,1368.4,1382.1,1397.8,1410.5,1429.1,1445.6,1464.6,1478.0,1496.3,1513.3,1532.6,1546.6,1565.1,1580.0,1580.8,1600.1,1610.7,1623.6,1638.0,1657.1,1656.3,1658.1,1661.2,1667.1,1663.8,1653.8,1661.5,1659.9,1667.0,1682.1,1697.5,1707.0,1711.4,1724.7,1736.0,1747.7,1763.4,1782.0,1799.5,1814.5,1826.2,1835.5,1845.2,1852.7,1865.7,1873.6,1884.3,1894.4,1911.6,1933.5,1956.6,1976.7,1996.7,2003.8,2002.3,2013.2,2040.6,2073.5,2118.4,2055.8,2092.4,2106.5,2116.6,2135.6,2169.2,2170.5,2182.9,2188.2,2211.2,2237.6,2275.9,2304.7,2349.2,2383.2,2430.8,2466.4,2499.9,2537.5
21,Rest of the world,40.1,48.4,25.0,87.9,49.6,30.9,43.5,59.1,43.6,56.4,54.5,79.6,98.0,72.8,81.6,54.4,87.1,74.3,83.0,54.8,55.8,49.5,36.5,44.1,42.9,61.2,117.6,160.9,150.8,157.5,176.7,95.8,120.7,122.8,182.4,175.1,204.3,206.8,198.1,213.3,222.9,222.5,245.8,260.6,246.2,228.1,229.2,227.3,215.9,229.0,240.4,235.6,237.5,228.4,252.0,222.8,222.7,212.0,213.2,232.7,214.6,215.7,219.8,275.3,272.3,264.2,308.5,326.9,314.8,303.5,268.2,274.7,292.3,292.9,279.7,262.6,271.3,178.4,209.9,186.8,183.5,130.0,135.4,161.7,117.7,161.0,176.6,141.9,100.1,104.7,100.5,94.9,82.2,59.9,13.2,77.6

Legend/Footnotes
"1. Consists of professional, scientific, and technical services; management of companies and enterprises; and administrative and waste management services."
Note. Estimates in this table are based on the 2017 North American Industry Classification System (NAICS).
