"asset_size_code","description","year"
2,"Total assets $1 million to $5 million",1961
3,"Total assets $5 million to $10 million",1961
4,"Total assets $10 million to less than $25 million",1961
5,"Total assets under $5 million",1961
6,"Total assets  $5 million and over",1961
7,"Total assets $25 million to less than $50 million",1961
8,"Total assets $50 million to less than $100 million",1961
9,"Total assets $100 million to less than $250 million",1961
10,"Total assets $250 million to less than $1 billion",1961
11,"Total assets $1 billion and over",1961
12,"All total asset sizes (universe totals)",1961
1,"Total assets under $1 million",1962
2,"Total assets $1 million to $5 million",1962
3,"Total assets $5 million to $10 million",1962
4,"Total assets $10 million to less than $25 million",1962
5,"Total assets under $5 million",1962
6,"Total assets  $5 million and over",1962
7,"Total assets $25 million to less than $50 million",1962
8,"Total assets $50 million to less than $100 million",1962
9,"Total assets $100 million to less than $250 million",1962
10,"Total assets $250 million to less than $1 billion",1962
11,"Total assets $1 billion and over",1962
12,"All total asset sizes (universe totals)",1962
1,"Total assets under $1 million",1963
2,"Total assets $1 million to $5 million",1963
3,"Total assets $5 million to $10 million",1963
4,"Total assets $10 million to less than $25 million",1963
5,"Total assets under $5 million",1963
6,"Total assets  $5 million and over",1963
7,"Total assets $25 million to less than $50 million",1963
8,"Total assets $50 million to less than $100 million",1963
9,"Total assets $100 million to less than $250 million",1963
10,"Total assets $250 million to less than $1 billion",1963
11,"Total assets $1 billion and over",1963
12,"All total asset sizes (universe totals)",1963
1,"Total assets under $1 million",1964
2,"Total assets $1 million to $5 million",1964
3,"Total assets $5 million to $10 million",1964
4,"Total assets $10 million to less than $25 million",1964
5,"Total assets under $5 million",1964
6,"Total assets  $5 million and over",1964
7,"Total assets $25 million to less than $50 million",1964
8,"Total assets $50 million to less than $100 million",1964
9,"Total assets $100 million to less than $250 million",1964
10,"Total assets $250 million to less than $1 billion",1964
11,"Total assets $1 billion and over",1964
12,"All total asset sizes (universe totals)",1964
1,"Total assets under $1 million",1965
2,"Total assets $1 million to $5 million",1965
3,"Total assets $5 million to $10 million",1965
4,"Total assets $10 million to less than $25 million",1965
5,"Total assets under $5 million",1965
6,"Total assets  $5 million and over",1965
7,"Total assets $25 million to less than $50 million",1965
8,"Total assets $50 million to less than $100 million",1965
9,"Total assets $100 million to less than $250 million",1965
10,"Total assets $250 million to less than $1 billion",1965
11,"Total assets $1 billion and over",1965
12,"All total asset sizes (universe totals)",1965
1,"Total assets under $1 million",1966
2,"Total assets $1 million to $5 million",1966
3,"Total assets $5 million to $10 million",1966
4,"Total assets $10 million to less than $25 million",1966
5,"Total assets under $5 million",1966
6,"Total assets  $5 million and over",1966
7,"Total assets $25 million to less than $50 million",1966
8,"Total assets $50 million to less than $100 million",1966
9,"Total assets $100 million to less than $250 million",1966
10,"Total assets $250 million to less than $1 billion",1966
11,"Total assets $1 billion and over",1966
12,"All total asset sizes (universe totals)",1966
1,"Total assets under $1 million",1967
2,"Total assets $1 million to $5 million",1967
3,"Total assets $5 million to $10 million",1967
4,"Total assets $10 million to less than $25 million",1967
5,"Total assets under $5 million",1967
6,"Total assets  $5 million and over",1967
7,"Total assets $25 million to less than $50 million",1967
8,"Total assets $50 million to less than $100 million",1967
9,"Total assets $100 million to less than $250 million",1967
10,"Total assets $250 million to less than $1 billion",1967
11,"Total assets $1 billion and over",1967
12,"All total asset sizes (universe totals)",1967
1,"Total assets under $1 million",1968
2,"Total assets $1 million to $5 million",1968
3,"Total assets $5 million to $10 million",1968
4,"Total assets $10 million to less than $25 million",1968
5,"Total assets under $5 million",1968
6,"Total assets  $5 million and over",1968
7,"Total assets $25 million to less than $50 million",1968
8,"Total assets $50 million to less than $100 million",1968
9,"Total assets $100 million to less than $250 million",1968
10,"Total assets $250 million to less than $1 billion",1968
11,"Total assets $1 billion and over",1968
12,"All total asset sizes (universe totals)",1968
1,"Total assets under $1 million",1969
2,"Total assets $1 million to $5 million",1969
3,"Total assets $5 million to $10 million",1969
4,"Total assets $10 million to less than $25 million",1969
5,"Total assets under $5 million",1969
6,"Total assets  $5 million and over",1969
7,"Total assets $25 million to less than $50 million",1969
8,"Total assets $50 million to less than $100 million",1969
9,"Total assets $100 million to less than $250 million",1969
10,"Total assets $250 million to less than $1 billion",1969
11,"Total assets $1 billion and over",1969
12,"All total asset sizes (universe totals)",1969
1,"Total assets under $1 million",1970
2,"Total assets $1 million to $5 million",1970
3,"Total assets $5 million to $10 million",1970
4,"Total assets $10 million to less than $25 million",1970
5,"Total assets under $5 million",1970
6,"Total assets  $5 million and over",1970
7,"Total assets $25 million to less than $50 million",1970
8,"Total assets $50 million to less than $100 million",1970
9,"Total assets $100 million to less than $250 million",1970
10,"Total assets $250 million to less than $1 billion",1970
11,"Total assets $1 billion and over",1970
12,"All total asset sizes (universe totals)",1970
1,"Total assets under $1 million",1971
2,"Total assets $1 million to $5 million",1971
3,"Total assets $5 million to $10 million",1971
4,"Total assets $10 million to less than $25 million",1971
5,"Total assets under $5 million",1971
6,"Total assets  $5 million and over",1971
7,"Total assets $25 million to less than $50 million",1971
8,"Total assets $50 million to less than $100 million",1971
9,"Total assets $100 million to less than $250 million",1971
10,"Total assets $250 million to less than $1 billion",1971
11,"Total assets $1 billion and over",1971
12,"All total asset sizes (universe totals)",1971
1,"Total assets under $1 million",1972
2,"Total assets $1 million to $5 million",1972
3,"Total assets $5 million to $10 million",1972
4,"Total assets $10 million to less than $25 million",1972
5,"Total assets under $5 million",1972
6,"Total assets  $5 million and over",1972
7,"Total assets $25 million to less than $50 million",1972
8,"Total assets $50 million to less than $100 million",1972
9,"Total assets $100 million to less than $250 million",1972
10,"Total assets $250 million to less than $1 billion",1972
11,"Total assets $1 billion and over",1972
12,"All total asset sizes (universe totals)",1972
1,"Total assets under $1 million",1973
2,"Total assets $1 million to $5 million",1973
3,"Total assets $5 million to $10 million",1973
4,"Total assets $10 million to less than $25 million",1973
5,"Total assets under $5 million",1973
6,"Total assets  $5 million and over",1973
7,"Total assets $25 million to less than $50 million",1973
8,"Total assets $50 million to less than $100 million",1973
9,"Total assets $100 million to less than $250 million",1973
10,"Total assets $250 million to less than $1 billion",1973
11,"Total assets $1 billion and over",1973
12,"All total asset sizes (universe totals)",1973
1,"Total assets under $1 million",1974
2,"Total assets $1 million to $5 million",1974
3,"Total assets $5 million to $10 million",1974
4,"Total assets $10 million to less than $25 million",1974
5,"Total assets under $5 million",1974
6,"Total assets  $5 million and over",1974
7,"Total assets $25 million to less than $50 million",1974
8,"Total assets $50 million to less than $100 million",1974
9,"Total assets $100 million to less than $250 million",1974
10,"Total assets $250 million to less than $1 billion",1974
11,"Total assets $1 billion and over",1974
12,"All total asset sizes (universe totals)",1974
1,"Total assets under $1 million",1975
2,"Total assets $1 million to $5 million",1975
3,"Total assets $5 million to $10 million",1975
4,"Total assets $10 million to less than $25 million",1975
5,"Total assets under $5 million",1975
6,"Total assets  $5 million and over",1975
7,"Total assets $25 million to less than $50 million",1975
8,"Total assets $50 million to less than $100 million",1975
9,"Total assets $100 million to less than $250 million",1975
10,"Total assets $250 million to less than $1 billion",1975
11,"Total assets $1 billion and over",1975
