"asset_size_code","description","year"
8,"Total assets $100 million to less than $250 million",2010
9,"Total assets $250 million to less than $1 billion",2010
10,"Total assets $1 billion and over",2010
11,"All total asset sizes (universe totals)",2010
1,"Total assets under $5 million",2011
2,"Total assets $5 million to less than $10 million",2011
3,"Total assets $10 million to less than $25 million",2011
4,"Total assets under $25 million",2011
5,"Total assets $25 million and over",2011
6,"Total assets $25 million to less than $50 million",2011
7,"Total assets $50 million to less than $100 million",2011
8,"Total assets $100 million to less than $250 million",2011
9,"Total assets $250 million to less than $1 billion",2011
10,"Total assets $1 billion and over",2011
11,"All total asset sizes (universe totals)",2011
1,"Total assets under $5 million",2012
2,"Total assets $5 million to less than $10 million",2012
3,"Total assets $10 million to less than $25 million",2012
4,"Total assets under $25 million",2012
5,"Total assets $25 million and over",2012
6,"Total assets $25 million to less than $50 million",2012
7,"Total assets $50 million to less than $100 million",2012
8,"Total assets $100 million to less than $250 million",2012
9,"Total assets $250 million to less than $1 billion",2012
10,"Total assets $1 billion and over",2012
11,"All total asset sizes (universe totals)",2012
1,"Total assets under $5 million",2013
2,"Total assets $5 million to less than $10 million",2013
3,"Total assets $10 million to less than $25 million",2013
4,"Total assets under $25 million",2013
5,"Total assets $25 million and over",2013
6,"Total assets $25 million to less than $50 million",2013
7,"Total assets $50 million to less than $100 million",2013
8,"Total assets $100 million to less than $250 million",2013
9,"Total assets $250 million to less than $1 billion",2013
10,"Total assets $1 billion and over",2013
11,"All total asset sizes (universe totals)",2013
1,"Total assets under $5 million",2014
2,"Total assets $5 million to less than $10 million",2014
3,"Total assets $10 million to less than $25 million",2014
4,"Total assets under $25 million",2014
5,"Total assets $25 million and over",2014
6,"Total assets $25 million to less than $50 million",2014
7,"Total assets $50 million to less than $100 million",2014
8,"Total assets $100 million to less than $250 million",2014
9,"Total assets $250 million to less than $1 billion",2014
10,"Total assets $1 billion and over",2014
11,"All total asset sizes (universe totals)",2014
1,"Total assets under $5 million",2015
2,"Total assets $5 million to less than $10 million",2015
3,"Total assets $10 million to less than $25 million",2015
4,"Total assets under $25 million",2015
5,"Total assets $25 million and over",2015
6,"Total assets $25 million to less than $50 million",2015
7,"Total assets $50 million to less than $100 million",2015
8,"Total assets $100 million to less than $250 million",2015
9,"Total assets $250 million to less than $1 billion",2015
10,"Total assets $1 billion and over",2015
11,"All total asset sizes (universe totals)",2015
1,"Total assets under $5 million",2016
2,"Total assets $5 million to less than $10 million",2016
3,"Total assets $10 million to less than $25 million",2016
4,"Total assets under $25 million",2016
5,"Total assets $25 million and over",2016
6,"Total assets $25 million to less than $50 million",2016
7,"Total assets $50 million to less than $100 million",2016
8,"Total assets $100 million to less than $250 million",2016
9,"Total assets $250 million to less than $1 billion",2016
10,"Total assets $1 billion and over",2016
11,"All total asset sizes (universe totals)",2016
1,"Total assets under $5 million",2017
2,"Total assets $5 million to less than $10 million",2017
3,"Total assets $10 million to less than $25 million",2017
4,"Total assets under $25 million",2017
5,"Total assets $25 million and over",2017
6,"Total assets $25 million to less than $50 million",2017
7,"Total assets $50 million to less than $100 million",2017
8,"Total assets $100 million to less than $250 million",2017
9,"Total assets $250 million to less than $1 billion",2017
10,"Total assets $1 billion and over",2017
11,"All total asset sizes (universe totals)",2017
1,"Total assets under $5 million",2018
2,"Total assets $5 million to less than $10 million",2018
3,"Total assets $10 million to less than $25 million",2018
4,"Total assets under $25 million",2018
5,"Total assets $25 million and over",2018
6,"Total assets $25 million to less than $50 million",2018
7,"Total assets $50 million to less than $100 million",2018
8,"Total assets $100 million to less than $250 million",2018
9,"Total assets $250 million to less than $1 billion",2018
10,"Total assets $1 billion and over",2018
11,"All total asset sizes (universe totals)",2018
1,"Total assets under $10 million",2019
2,"Total assets $10 million to less than $25 million",2019
3,"Total assets $25 million to less than $50 million",2019
4,"Total assets under $50 million",2019
5,"Total assets $50 million and over",2019
6,"Total assets $50 million to less than $100 million",2019
7,"Total assets $100 million to less than $250 million",2019
8,"Total assets $250 million to less than $1 billion",2019
9,"Total assets $1 billion to less than $5 billion",2019
10,"Total assets $5 billion and over",2019
11,"All total asset sizes (universe totals)",2019
1,"Total assets under $10 million",2020
2,"Total assets $10 million to less than $25 million",2020
3,"Total assets $25 million to less than $50 million",2020
4,"Total assets under $50 million",2020
5,"Total assets $50 million and over",2020
6,"Total assets $50 million to less than $100 million",2020
7,"Total assets $100 million to less than $250 million",2020
8,"Total assets $250 million to less than $1 billion",2020
9,"Total assets $1 billion to less than $5 billion",2020
10,"Total assets $5 billion and over",2020
11,"All total asset sizes (universe totals)",2020
1,"Total assets under $10 million",2021
2,"Total assets $10 million to less than $25 million",2021
3,"Total assets $25 million to less than $50 million",2021
4,"Total assets under $50 million",2021
5,"Total assets $50 million and over",2021
6,"Total assets $50 million to less than $100 million",2021
7,"Total assets $100 million to less than $250 million",2021
8,"Total assets $250 million to less than $1 billion",2021
9,"Total assets $1 billion to less than $5 billion",2021
10,"Total assets $5 billion and over",2021
11,"All total asset sizes (universe totals)",2021
1,"Total assets under $10 million",2022
2,"Total assets $10 million to less than $25 million",2022
3,"Total assets $25 million to less than $50 million",2022
4,"Total assets under $50 million",2022
5,"Total assets $50 million and over",2022
6,"Total assets $50 million to less than $100 million",2022
7,"Total assets $100 million to less than $250 million",2022
8,"Total assets $250 million to less than $1 billion",2022
9,"Total assets $1 billion to less than $5 billion",2022
10,"Total assets $5 billion and over",2022
11,"All total asset sizes (universe totals)",2022
1,"Total assets under $10 million",2023
2,"Total assets $10 million to less than $25 million",2023
3,"Total assets $25 million to less than $50 million",2023
4,"Total assets under $50 million",2023
5,"Total assets $50 million and over",2023
6,"Total assets $50 million to less than $100 million",2023
7,"Total assets $100 million to less than $250 million",2023
8,"Total assets $250 million to less than $1 billion",2023
9,"Total assets $1 billion to less than $5 billion",2023
10,"Total assets $5 billion and over",2023
11,"All total asset sizes (universe totals)",2023
1,"Total assets under $10 million",2024
2,"Total assets $10 million to less than $25 million",2024
3,"Total assets $25 million to less than $50 million",2024
4,"Total assets under $50 million",2024
5,"Total assets $50 million and over",2024
6,"Total assets $50 million to less than $100 million",2024
7,"Total assets $100 million to less than $250 million",2024
8,"Total assets $250 million to less than $1 billion",2024
9,"Total assets $1 billion to less than $5 billion",2024
10,"Total assets $5 billion and over",2024
11,"All total asset sizes (universe totals)",2024
1,"Total assets under $10 million",2025
2,"Total assets $10 million to less than $25 million",2025
3,"Total assets $25 million to less than $50 million",2025
4,"Total assets under $50 million",2025
5,"Total assets $50 million and over",2025
6,"Total assets $50 million to less than $100 million",2025
7,"Total assets $100 million to less than $250 million",2025
8,"Total assets $250 million to less than $1 billion",2025
9,"Total assets $1 billion to less than $5 billion",2025
10,"Total assets $5 billion and over",2025
11,"All total asset sizes (universe totals)",2025
