"columns","QFR_industry_code","QFR_industry_title","standard_industry_code","year","standard_code_type"
"B","20","Food","2011 - 2099",1947,"SIC_1987"
"C","21","Tobacco manufactures","2111 - 2141",1947,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1947,"SIC_1987"
"E","23","Apparel and finished textiles","2311 - 2399",1947,"SIC_1987"
"F","24","Lumber and Wood Products, except Furniture","2411 - 2499",1947,"SIC_1987"
"G","25","Furniture and Fixtures","2511 - 2599",1947,"SIC_1987"
"H","26","Paper and Allied Products","2611 - 2679",1947,"SIC_1987"
"I","27","Printing and Publishing, except newspapers","2721 - 2796",1947,"SIC_1987"
"J","28","Chemicals and Allied Products","2812 - 2899",1947,"SIC_1987"
"K","29","Products of Petroleum and coal","2911 - 2999",1947,"SIC_1987"
"L","30","Rubber Products","3011 - 3089",1947,"SIC_1987"
"M","31","Leather and Leather Products","3111 - 3199",1947,"SIC_1987"
"N","32","Stone, Clay, and Glass Products","3211 - 3299",1947,"SIC_1987"
"O","34","Fabricated Metal Products","3411 - 3499",1947,"SIC_1987"
"P","35","Machinery","3511 - 3599",1947,"SIC_1987"
"Q","36","Electrical Machinery","3612 - 3699",1947,"SIC_1987"
"R","37","Transportation Equipment(except motor vehicles and parts)","3711 - 3799",1947,"SIC_1987"
"S","37.100000000000001","Motor Vehicles and parts","3711 - 3716",1947,"SIC_1987"
"T","38","Instruments; photographic & optical goods;watches & clocks","3812 - 3873",1947,"SIC_1987"
"U","39","Miscellaneous manufacturing including ordnance","3911 - 3999",1947,"SIC_1987"
"V - AA","20.-39.","All Manufacturing, except newspapers","2011 - 3999",1947,"SIC_1987"
"AB","33.1-33.2","Primary Iron and Steel industries","3312 - 3325, 3398 - 3399",1947,"SIC_1987"
"AC","33.5-33.6","Primary non-ferrous Metals","3331 - 3369",1947,"SIC_1987"
"B","20","Food","2011 - 2099",1948,"SIC_1987"
"C","21","Tobacco manufactures","2111 - 2141",1948,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1948,"SIC_1987"
"E","23","Apparel and finished textiles","2311 - 2399",1948,"SIC_1987"
"F","24","Lumber and Wood Products, except Furniture","2411 - 2499",1948,"SIC_1987"
"G","25","Furniture and Fixtures","2511 - 2599",1948,"SIC_1987"
"H","26","Paper and Allied Products","2611 - 2679",1948,"SIC_1987"
"I","27","Printing and Publishing, except newspapers","2721 - 2796",1948,"SIC_1987"
"J","28","Chemicals and Allied Products","2812 - 2899",1948,"SIC_1987"
"K","29","Products of Petroleum and coal","2911 - 2999",1948,"SIC_1987"
"L","30","Rubber Products","3011 - 3089",1948,"SIC_1987"
"M","31","Leather and Leather Products","3111 - 3199",1948,"SIC_1987"
"N","32","Stone, Clay, and Glass Products","3211 - 3299",1948,"SIC_1987"
"O","34","Fabricated Metal Products","3411 - 3499",1948,"SIC_1987"
"P","35","Machinery","3511 - 3599",1948,"SIC_1987"
"Q","36","Electrical Machinery","3612 - 3699",1948,"SIC_1987"
"R","37","Transportation Equipment(except motor vehicles and parts)","3720 - 3799",1948,"SIC_1987"
"S","37.100000000000001","Motor Vehicles and parts","3711 - 3716",1948,"SIC_1987"
"T","38","Instruments; photographic & optical goods;watches & clocks","3812 - 3873",1948,"SIC_1987"
"U","39","Miscellaneous manufacturing including ordnance","3911 - 3999",1948,"SIC_1987"
"V - AA","20.-39.","All Manufacturing, except newspapers","2011 - 3999",1948,"SIC_1987"
"AB","33.1-33.2","Primary Iron and Steel industries","3312 - 3325, 3398 - 3399",1948,"SIC_1987"
"AC","33.5-33.6","Primary non-ferrous Metals","3331 - 3369",1948,"SIC_1987"
"B","20","Food","2011 - 2099",1949,"SIC_1987"
"C","21","Tobacco manufactures","2111 - 2141",1949,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1949,"SIC_1987"
"E","23","Apparel and finished textiles","2311 - 2399",1949,"SIC_1987"
"F","24","Lumber and Wood Products, except Furniture","2411 - 2499",1949,"SIC_1987"
"G","25","Furniture and Fixtures","2511 - 2599",1949,"SIC_1987"
"H","26","Paper and Allied Products","2611 - 2679",1949,"SIC_1987"
"I","27","Printing and Publishing, except newspapers","2721 - 2796",1949,"SIC_1987"
"J","28","Chemicals and Allied Products","2812 - 2899",1949,"SIC_1987"
"K","29","Products of Petroleum and coal","2911 - 2999",1949,"SIC_1987"
"L","30","Rubber Products","3011 - 3089",1949,"SIC_1987"
"M","31","Leather and Leather Products","3111 - 3199",1949,"SIC_1987"
"N","32","Stone, Clay, and Glass Products","3211 - 3299",1949,"SIC_1987"
"O","34","Fabricated Metal Products","3411 - 3499",1949,"SIC_1987"
"P","35","Machinery","3511 - 3599",1949,"SIC_1987"
"Q","36","Electrical Machinery","3612 - 3699",1949,"SIC_1987"
"R","37","Transportation Equipment(except motor vehicles and parts)","3711 - 3799",1949,"SIC_1987"
"S","37.100000000000001","Motor Vehicles and parts","3711 - 3716",1949,"SIC_1987"
"T","38","Instruments; photographic & optical goods;watches & clocks","3812 - 3873",1949,"SIC_1987"
"U","39","Miscellaneous manufacturing including ordnance","3911 - 3999",1949,"SIC_1987"
"V - AA","20.-39.","All Manufacturing, except newspapers","2011 - 3999",1949,"SIC_1987"
"AB","33.1-33.2","Primary Iron and Steel industries","3312 - 3325, 3398 - 3399",1949,"SIC_1987"
"AC","33.5-33.6","Primary non-ferrous Metals","3331 - 3369",1949,"SIC_1987"
"B","20","Food","2011 - 2099",1950,"SIC_1987"
"C","21","Tobacco manufactures","2111 - 2141",1950,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1950,"SIC_1987"
"E","23","Apparel and finished textiles","2311 - 2399",1950,"SIC_1987"
"F","24","Lumber and Wood Products, except Furniture","2411 - 2499",1950,"SIC_1987"
"G","25","Furniture and Fixtures","2511 - 2599",1950,"SIC_1987"
"H","26","Paper and Allied Products","2611 - 2679",1950,"SIC_1987"
"I","27","Printing and Publishing, except newspapers","2721 - 2796",1950,"SIC_1987"
"J","28","Chemicals and Allied Products","2812 - 2899",1950,"SIC_1987"
"K","29","Products of Petroleum and coal","2911 - 2999",1950,"SIC_1987"
"L","291","Petroleum Refining","2911",1950,"SIC_1987"
"M","30","Rubber Products","3011 - 3089",1950,"SIC_1987"
"N","31","Leather and Leather Products","3111 - 3199",1950,"SIC_1987"
"O","32","Stone, Clay, and Glass Products","3211 - 3299",1950,"SIC_1987"
"P","34","Fabricated Metal Products","3411 - 3499",1950,"SIC_1987"
"Q","35","Machinery","3511 - 3599",1950,"SIC_1987"
"R","36","Electrical Machinery","3612 - 3699",1950,"SIC_1987"
"S","37","Transportation Equipment(except motor vehicles and parts)","3711 - 3799",1950,"SIC_1987"
"T","37.100000000000001","Motor Vehicles and parts","3711 - 3716",1950,"SIC_1987"
"U","38","Instruments; photographic & optical goods;watches & clocks","3812 - 3873",1950,"SIC_1987"
"V","39","Miscellaneous manufacturing including ordnance","3911 - 3999",1950,"SIC_1987"
"W - AB","20.-39.","All Manufacturing, except newspapers","2011 - 3999",1950,"SIC_1987"
"AC","33.1-33.2","Primary Iron and Steel industries","3312 - 3325, 3398 - 3399",1950,"SIC_1987"
"AD","33.5-33.6","Primary non-ferrous Metals","3331 - 3369",1950,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1951,"SIC_1987"
"C","2082-5","Alcoholic beverages","2082 - 2085",1951,"SIC_1987"
"D","21","Tobacco Products","2111 - 2141",1951,"SIC_1987"
"E","22","Textile Mill Products","2211 - 2299",1951,"SIC_1987"
"F","23","Apparel and Other Finished Products","2311 - 2399",1951,"SIC_1987"
"G","24","Lumber and Wood Products, except Furniture","2411 - 2499",1951,"SIC_1987"
"H","25","Furniture and Fixtures","2511 - 2599",1951,"SIC_1987"
"I","26","Paper and Allied Products","2611 - 2679",1951,"SIC_1987"
"J","27","Printing and Publishing, except newspapers","2721 - 2796",1951,"SIC_1987"
"K","28","Chemicals and Allied Products","2812 - 2899",1951,"SIC_1987"
"L","29","Petroleum Refining and related Industries","2911 - 2999",1951,"SIC_1987"
"M","291","Petroleum Refining","2911",1951,"SIC_1987"
"N","30","Rubber and Misc. Plastics Products","3011 - 3089",1951,"SIC_1987"
"O","31","Leather and Leather Products","3111 - 3199",1951,"SIC_1987"
"P","32","Stone, Clay, and Glass Products","3211 - 3299",1951,"SIC_1987"
"Q","33","Primary Metal Industries","3312 - 3399",1951,"SIC_1987"
"R","34","Fabricated Metal Products","3411 - 3499",1951,"SIC_1987"
"S","35","Machinery, Except Electrical","3511 - 3599",1951,"SIC_1987"
"T","36","Electrical and Electronic Equipment","3612 - 3699",1951,"SIC_1987"
"U","37","Transportation Equipment","3711 - 3799",1951,"SIC_1987"
"V","37.100000000000001","Motor Vehicles and Equipment","3711 - 3716",1951,"SIC_1987"
"W","38","Instruments and Related Products","3812 - 3873",1951,"SIC_1987"
"X","39","Miscellaneous Manufacturing","3911 - 3999",1951,"SIC_1987"
"Y - AH","20.-39.","All Manufacturing, except newspapers","2011 - 3999",1951,"SIC_1987"
"AI","33.1-33.2","Iron and Steel","3312 - 3325, 3398 - 3399",1951,"SIC_1987"
"AJ","33.5-33.6","Nonferrous Metals","3331 - 3369",1951,"SIC_1987"
"B","20","Food","2011 - 2099",1952,"SIC_1987"
"C","21","Tobacco Manufactures","2111 - 2141",1952,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1952,"SIC_1987"
"E","23","Apparel & Finished Textiles","2311 - 2399",1952,"SIC_1987"
"F","24","Lumber & Wood Products","2411 - 2499",1952,"SIC_1987"
"G","25","Furniture & Fixtures","2511 - 2599",1952,"SIC_1987"
"H","26","Paper & Allied Products","2611 - 2679",1952,"SIC_1987"
"I","27","Printing & Publishing, (Except Newspapers)","2721 - 2796",1952,"SIC_1987"
"J","28","Chemicals & Allied Products","2812 - 2899",1952,"SIC_1987"
"K","29","Products of Petroleum & Coal (Except Petroleum Refining)","2912 - 2999",1952,"SIC_1987"
"L","291","Petroleum Refining","2911",1952,"SIC_1987"
"M","30","Rubber Products","3011 - 3089",1952,"SIC_1987"
"N","31","Leather & Leather Products","3111 - 3199",1952,"SIC_1987"
"O","32","Stone, Clay, & Glass Products","3211 - 3299",1952,"SIC_1987"
"P","34","Fabricated Metal Products","3411 - 3499",1952,"SIC_1987"
"Q","35","Machinery, Except Electrical","3511 - 3599",1952,"SIC_1987"
"R","36","Electrical Machinery, Equipment, & Supplies","3612 - 3699",1952,"SIC_1987"
"S","37","Transportation Equipment (except motor vehicles & parts)","3717 - 3799",1952,"SIC_1987"
"T","37.100000000000001","Motor Vehicles & Equipment","3711 - 3716",1952,"SIC_1987"
"U","38","Instruments & Related Products","3812 - 3873",1952,"SIC_1987"
"V","39","Miscellaneous Manufacturing (Including Ordnance)","3911 - 3999",1952,"SIC_1987"
"W - AD","20.-39.","All Manufacturing, (Except Newspapers)","2011 - 3999",1952,"SIC_1987"
"AE","33.1-33.2","Primary Iron & Steel Industries","3312 - 3325, 3398 - 3399",1952,"SIC_1987"
"AF","33.5-33.6","Primary Nonferrous Metals","3331 - 3369",1952,"SIC_1987"
"B","20","Food","2011 - 2099",1953,"SIC_1987"
"C","21","Tobacco Manufactures","2111 - 2141",1953,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1953,"SIC_1987"
"E","23","Apparel & Finished Textiles","2311 - 2399",1953,"SIC_1987"
"F","24","Lumber & Wood Products","2411 - 2499",1953,"SIC_1987"
"G","25","Furniture & Fixtures","2511 - 2599",1953,"SIC_1987"
"H","26","Paper & Allied Products","2611 - 2679",1953,"SIC_1987"
"I","27","Printing & Publishing, (Except Newspapers)","2721 - 2796",1953,"SIC_1987"
"J","28","Chemicals & Allied Products","2812 - 2899",1953,"SIC_1987"
"K","29","Products of Petroleum & Coal (Except Petroleum Refining)","2912 - 2999",1953,"SIC_1987"
"L","291","Petroleum Refining","2911",1953,"SIC_1987"
"M","30","Rubber Products","3011 - 3089",1953,"SIC_1987"
"N","31","Leather & Leather Products","3111 - 3199",1953,"SIC_1987"
"O","32","Stone, Clay, & Glass Products","3211 - 3299",1953,"SIC_1987"
"P","34","Fabricated Metal Products","3411 - 3499",1953,"SIC_1987"
"Q","35","Machinery, Except Electrical","3511 - 3599",1953,"SIC_1987"
"R","36","Electrical Machinery, Equipment, & Supplies","3612 - 3699",1953,"SIC_1987"
"S","37","Transportation Equipment (except motor vehicles & parts)","3717 - 3799",1953,"SIC_1987"
"T","37.100000000000001","Motor Vehicles & Equipment","3711 - 3716",1953,"SIC_1987"
"U","38","Instruments & Related Products","3812 - 3873",1953,"SIC_1987"
"V","39","Miscellaneous Manufacturing (Including Ordnance)","3911 - 3999",1953,"SIC_1987"
"W - AD","20.-39.","All Manufacturing, (Except Newspapers)","2011 - 3999",1953,"SIC_1987"
"AE","33.1-33.2","Primary Iron & Steel Industries","3312 - 3325, 3398 - 3399",1953,"SIC_1987"
"AF","33.5-33.6","Primary Nonferrous Metals","3331 - 3369",1953,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1954,"SIC_1987"
"C","21","Tobacco Products","2111 - 2141",1954,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1954,"SIC_1987"
"E","23","Apparel and Other Finished Products","2311 - 2399",1954,"SIC_1987"
"F","24","Lumber and Wood Products, (Except Furniture)","2411 - 2499",1954,"SIC_1987"
"G","25","Furniture and Fixtures","2511 - 2599",1954,"SIC_1987"
"H","26","Paper and Allied Products","2611 - 2679",1954,"SIC_1987"
"I","27","Printing and Publishing, (Except Newspapers)","2721 - 2796",1954,"SIC_1987"
"J","28","Chemicals and Allied Products","2812 - 2899",1954,"SIC_1987"
"K","29","Products of Petroleum and Coal (Except Petroleum Refining)","2912 - 2999",1954,"SIC_1987"
"L","291","Petroleum Refining","2911",1954,"SIC_1987"
"M","30","Rubber Products","3011 - 3089",1954,"SIC_1987"
"N","31","Leather and Leather Products","3111 - 3199",1954,"SIC_1987"
"O","32","Stone, Clay, and Glass Products","3211 - 3299",1954,"SIC_1987"
"P","34","Fabricated Metal Products","3411 - 3499",1954,"SIC_1987"
"Q","35","Machinery, Except Electrical","3511 - 3599",1954,"SIC_1987"
"R","36","Electrical Machinery, Equipment, and Supplies","3612 - 3699",1954,"SIC_1987"
"S","37","Other Transportation Equipment","3717 - 3799",1954,"SIC_1987"
"T","37.100000000000001","Motor Vehicles and Equipment","3711 - 3716",1954,"SIC_1987"
"U","38","Instruments and Related Products","3812 - 3873",1954,"SIC_1987"
"V","39","Miscellaneous Manufacturing (Including Ordnance)","3911 - 3999",1954,"SIC_1987"
"W","98","All Nondurable Goods Manufacturing Industries (Except Newspapers)","2011 - 2399, 2611 - 3199",1954,"SIC_1987"
"X","99","All Durable Goods Manufacturing Industries","2411 - 2599, 3211 - 3999",1954,"SIC_1987"
"Y - AF","20.-39.","All Manufacturing, (Except Newspapers)","2011 - 3999",1954,"SIC_1987"
"AG","33.1-33.2","Primary Iron and Steel Industries","3312 - 3325, 3398 - 3399",1954,"SIC_1987"
"AH","33.5-33.6","Primary Nonferrous Metals Industries","3331 - 3369",1954,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1955,"SIC_1987"
"C","21","Tobacco Products","2111 - 2141",1955,"SIC_1987"
"D","22","Textile Mill Products","2211 - 2299",1955,"SIC_1987"
"E","23","Apparel and Other Finished Products","2311 - 2399",1955,"SIC_1987"
"F","24","Lumber and Wood Products, (Except Furniture)","2411 - 2499",1955,"SIC_1987"
"G","25","Furniture and Fixtures","2511 - 2599",1955,"SIC_1987"
"H","26","Paper and Allied Products","2611 - 2679",1955,"SIC_1987"
"I","27","Printing and Publishing, (Except Newspapers)","2721 - 2796",1955,"SIC_1987"
"J","28","Chemicals and Allied Products","2812 - 2899",1955,"SIC_1987"
"K","29","Products of Petroleum and Coal (Except Petroleum Refining)","2912 - 2999",1955,"SIC_1987"
"L","291","Petroleum Refining","2911",1955,"SIC_1987"
"M","30","Rubber Products","3011 - 3089",1955,"SIC_1987"
"N","31","Leather and Leather Products","3111 - 3199",1955,"SIC_1987"
"O","32","Stone, Clay, and Glass Products","3211 - 3299",1955,"SIC_1987"
"P","34","Fabricated Metal Products","3411 - 3499",1955,"SIC_1987"
"Q","35","Machinery, Except Electrical","3511 - 3599",1955,"SIC_1987"
"R","36","Electrical Machinery, Equipment, and Supplies","3612 - 3699",1955,"SIC_1987"
"S","37","Other Transportation Equipment","3717 - 3799",1955,"SIC_1987"
"T","37.100000000000001","Motor Vehicles and Equipment","3711 - 3716",1955,"SIC_1987"
"U","38","Instruments and Related Products","3812 - 3873",1955,"SIC_1987"
"V","39","Miscellaneous Manufacturing (Including Ordnance)","3911 - 3999",1955,"SIC_1987"
"W","98","All Nondurable Goods Manufacturing Industries (Except Newspapers)","2011 - 2399, 2611 - 3199",1955,"SIC_1987"
"X","99","All Durable Goods Manufacturing Industries","2411 - 2599, 3211 - 3999",1955,"SIC_1987"
"Y - AF","20.-39.","All Manufacturing, (Except Newspapers)","2011 - 3999",1955,"SIC_1987"
"AG","33.1-33.2","Primary Iron and Steel Industries","3312 - 3325, 3398 - 3399",1955,"SIC_1987"
"AH","33.5-33.6","Primary Nonferrous Metals Industries","3331 - 3369",1955,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1956,"SIC_1987"
"C","2082-5","Alcoholic Beverages","2082 - 2085",1956,"SIC_1987"
"D","21","Tobacco Manufactures","2111 - 2141",1956,"SIC_1987"
"E","22","Textile Mill Products","2211 - 2299",1956,"SIC_1987"
"F","23","Apparel and Related Products","2311 - 2399",1956,"SIC_1987"
"G","24","Lumber and Wood Products (Except Furniture)","2411 - 2499",1956,"SIC_1987"
"H","25","Furniture and Fixtures","2511 - 2599",1956,"SIC_1987"
"I","26","Paper and Allied Products","2611 - 2679",1956,"SIC_1987"
"J","27","Printing and Publishing (Except Newspapers)","2721 - 2796",1956,"SIC_1987"
"K","28","Chemicals and Allied Products","2812 - 2899",1956,"SIC_1987"
"L","28.100000000000001","Industrial Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1956,"SIC_1987"
"M","28.300000000000001","Drugs and Medicines","2833 - 2836",1956,"SIC_1987"
"N","29","Products of Petroleum and Coal (Except Petroleum Refining)","2912 - 2999",1956,"SIC_1987"
"O","291","Petroleum Refining","2911",1956,"SIC_1987"
"P","30","Rubber Products","3011 - 3089",1956,"SIC_1987"
"Q","31","Leather and Leather Products","3111 - 3199",1956,"SIC_1987"
"R","32","Stone, Clay, and Glass Products","3211 - 3299",1956,"SIC_1987"
"S","33","Primary Metal Industries","3312 - 3399",1956,"SIC_1987"
"T","34","Fabricated Metal Products","3411 - 3499",1956,"SIC_1987"
"U","35","Machinery (Except Electrical)","3511 - 3599",1956,"SIC_1987"
"V","354","Metalworking Machinery","3541 - 3549",1956,"SIC_1987"
"W","36","Electrical Machinery, Equipment, and Supplies","3612 - 3699",1956,"SIC_1987"
"X","37","Other Transportation Equipment","3711 - 3799",1956,"SIC_1987"
"Y","37.100000000000001","Motor Vehicles and Equipment","3711 - 3716",1956,"SIC_1987"
"Z","37.700000000000003","Aircraft and Parts","3721 - 3728, 3761 - 3769",1956,"SIC_1987"
"AA","38","Instruments and Related Products","3812 - 3873",1956,"SIC_1987"
"AB","39","Miscellaneous Manufacturing (Including Ordnance)","3911 - 3999",1956,"SIC_1987"
"AC - AE","98","All Nondurable Goods Manufacturing Industries (Except Newspapers)","2011 - 2399, 2611 - 3199",1956,"SIC_1987"
"AF - AH","99","All Durable Goods Manufacturing Industries","2411 - 2599, 3211 - 3999",1956,"SIC_1987"
"AI - AR","20.-39.","All Manufacturing Industries","2011 - 3999",1956,"SIC_1987"
"AS","33.1-33.2","Primary Iron and Steel","3312 - 3325, 3398 - 3399",1956,"SIC_1987"
"AT","33.5-33.6","Primary Nonferrous Metals","3331 - 3369",1956,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1957,"SIC_1987"
"C","2082-5","Alcoholic Beverages","2082 - 2085",1957,"SIC_1987"
"D","21","Tobacco Manufactures","2111 - 2141",1957,"SIC_1987"
"E","22","Textile Mill Products","2211 - 2299",1957,"SIC_1987"
"F","23","Apparel and Other Finished Products","2311 - 2399",1957,"SIC_1987"
"G","24","Lumber and Wood Products, Except Furniture","2411 - 2499",1957,"SIC_1987"
"H","25","Furniture and Fixtures","2511 - 2599",1957,"SIC_1987"
"I","26","Paper and Allied Products","2611 - 2679",1957,"SIC_1987"
"J","27","Printing and Publishing, Except Newspapers","2721 - 2796",1957,"SIC_1987"
"K","28","Chemicals and Allied Products","2812 - 2899",1957,"SIC_1987"
"L","281-2","Basic Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1957,"SIC_1987"
"M","283","Drugs","2833 - 2836",1957,"SIC_1987"
"N","29","Petroleum Refining and Related Industries","2911 - 2999",1957,"SIC_1987"
"O","291","Petroleum Refining","2911",1957,"SIC_1987"
"P","30","Rubber and Miscellaneous Plastics Products","3011 - 3089",1957,"SIC_1987"
"Q","31","Leather and Leather Products","3111 - 3199",1957,"SIC_1987"
"R","32","Stone, Clay, and Glass Products","3211 - 3299",1957,"SIC_1987"
"S","33","Primary Metal Industries","3312 - 3399",1957,"SIC_1987"
"T","34","Other Fabricated Metal Products","3411 - 3499",1957,"SIC_1987"
"U","35","Other Machinery","3511 - 3599",1957,"SIC_1987"
"V","354","Metalworking Machinery and Equipment","3541 - 3549",1957,"SIC_1987"
"W","36","Electrical Machinery, Equipment, and Supplies","3612 - 3699",1957,"SIC_1987"
"X","37","Transportation Equipment","3711 - 3799",1957,"SIC_1987"
"Y","371","Motor Vehicles and Equipment","3711 - 3716",1957,"SIC_1987"
"Z","372","Aircraft and Parts","3721 - 3728, 3761 - 3769",1957,"SIC_1987"
"AA","38","Instruments and Related Products","3812 - 3873",1957,"SIC_1987"
"AB","39&19","Miscellaneous Manufacturing and Ordnance","3911 - 3999",1957,"SIC_1987"
"AC - AE","98","Nondurable Goods","2011 - 2399, 2611 - 3199",1957,"SIC_1987"
"AF - AH","99","Durable Goods","2411 - 2599, 3211 - 3999",1957,"SIC_1987"
"AI - AR","20.-39.","All Manufacturing","2011 - 3999",1957,"SIC_1987"
"AS","331-2","Primary Iron and Steel","3312 - 3325, 3398 - 3399",1957,"SIC_1987"
"AT","333-6","Primary Nonferrous Metals","3331 - 3369",1957,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1958,"SIC_1987"
"C","2082-5","Alcoholic Beverages","2082 - 2085",1958,"SIC_1987"
"D","21","Tobacco Manufactures","2111 - 2141",1958,"SIC_1987"
"E","22","Textile Mill Products","2211 - 2299",1958,"SIC_1987"
"F","23","Apparel and Other Finished Products","2311 - 2399",1958,"SIC_1987"
"G","24","Other Lumber and Wood Products","2411 - 2499",1958,"SIC_1987"
"H","25","Furniture and Fixtures","2511 - 2599",1958,"SIC_1987"
"I","26","Paper and Allied Products","2611 - 2679",1958,"SIC_1987"
"J","27","Printing and Publishing, Except Newspapers","2721 - 2796",1958,"SIC_1987"
"K","28","Chemicals and Allied Products","2812 - 2899",1958,"SIC_1987"
"L","281-2","Basic Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1958,"SIC_1987"
"M","283","Drugs","2833 - 2836",1958,"SIC_1987"
"N","29","Petroleum Refining and Related Industries","2911 - 2999",1958,"SIC_1987"
"O","291","Petroleum Refining","2911",1958,"SIC_1987"
"P","30","Rubber Products","3011 - 3089",1958,"SIC_1987"
"Q","31","Leather and Leather Products","3111 - 3199",1958,"SIC_1987"
"R","32","Stone, Clay, and Glass Products","3211 - 3299",1958,"SIC_1987"
"S","33","Primary Metal Industries","3312 - 3399",1958,"SIC_1987"
"T","34","Other Fabricated Metal Products","3411 - 3499",1958,"SIC_1987"
"U","35","Other Machinery","3511 - 3599",1958,"SIC_1987"
"V","354","Metalworking Machinery and Equipment","3541 - 3549",1958,"SIC_1987"
"W","36","Electrical Machinery, Equipment, and Supplies","3612 - 3699",1958,"SIC_1987"
"X","37","Transportation Equipment","3711 - 3799",1958,"SIC_1987"
"Y","371","Motor Vehicles and Equipment","3711 - 3716",1958,"SIC_1987"
"Z","372","Aircraft and Parts","3721 - 3728, 3761 - 3769",1958,"SIC_1987"
"AA","38","Instruments and Related Products","3812 - 3873",1958,"SIC_1987"
"AB","39&19","Miscellaneous Manufacturing & Ordnance","3911 - 3999",1958,"SIC_1987"
"AC - AE","98","Nondurable Goods","2011 - 2399, 2611 - 3199",1958,"SIC_1987"
"AF - AH","99","Durable Goods","2411 - 2599, 3211 - 3999",1958,"SIC_1987"
"AI - AR","20.-39.","All Manufacturing","2011 - 3999",1958,"SIC_1987"
"AS","331-2","Primary Iron and Steel","3312 - 3325, 3398 - 3399",1958,"SIC_1987"
"AT","333-6","Primary Nonferrous Metals","3331 - 3369",1958,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1959,"SIC_1987"
"C","2082-5","Alcoholic beverages","2082 - 2085",1959,"SIC_1987"
"D","21","Tobacco Products","2111 - 2141",1959,"SIC_1987"
"E","22","Textile Mill Products","2211 - 2299",1959,"SIC_1987"
"F","23","Apparel and Other Finished Products","2311 - 2399",1959,"SIC_1987"
"G","24","Lumber and Wood Products, except Furniture","2411 - 2499",1959,"SIC_1987"
"H","25","Furniture and Fixtures","2511 - 2599",1959,"SIC_1987"
"I","26","Paper and Allied Products","2611 - 2679",1959,"SIC_1987"
"J","27","Printing and Publishing, except newspapers","2721 - 2796",1959,"SIC_1987"
"K","28","Chemicals and Allied Products","2812 - 2899",1959,"SIC_1987"
"L","28.120000000000001","Basic Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1959,"SIC_1987"
"M","28.300000000000001","Drugs","2833 - 2836",1959,"SIC_1987"
"N","29","Petroleum Refining and related Industries","2911 - 2999",1959,"SIC_1987"
"O","291","Petroleum Refining","2911",1959,"SIC_1987"
"P","30","Rubber and Misc. Plastics Products","3011 - 3089",1959,"SIC_1987"
"Q","31","Leather and Leather Products","3111 - 3199",1959,"SIC_1987"
"R","32","Stone, Clay, and Glass Products","3211 - 3299",1959,"SIC_1987"
"S","33","Primary Metal Industries","3312 - 3399",1959,"SIC_1987"
"T","34","Other Fabricated Metal Products","3411 - 3499",1959,"SIC_1987"
"U","35","Other Machinery","3511 - 3599",1959,"SIC_1987"
"V","354","Metalworking Machinery and Equipment","3541 - 3549",1959,"SIC_1987"
"W","36","Electrical Machinery, Equipment, and Supplies","3612 - 3699",1959,"SIC_1987"
"X","37","Transportation Equipment","3711 - 3799",1959,"SIC_1987"
"Y","37.100000000000001","Motor Vehicles and Equipment","3711 - 3716",1959,"SIC_1987"
"Z","37.200000000000003","Aircraft and Parts","3721 - 3728, 3761 - 3769",1959,"SIC_1987"
"AA","38","Instruments and Related Products","3812 - 3873",1959,"SIC_1987"
"AB","39&19","Miscellaneous Manufacturing and Ordnance","3911 - 3999",1959,"SIC_1987"
"AC - AE","98","Nondurable Goods","2011 - 2399, 2611 - 3199",1959,"SIC_1987"
"AF - AH","99","Durable Goods","2411 - 2599, 3211 - 3999",1959,"SIC_1987"
"AI - AR","20.-39.","All Manufacturing","2011 - 3999",1959,"SIC_1987"
"AS","33.1-33.2","Primary Iron and Steel","3312 - 3325, 3398 - 3399",1959,"SIC_1987"
"AT","33.3-33.6","Primary Nonferrous Metals","3331 - 3369",1959,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1960,"SIC_1987"
"C","2082-5","Alcoholic beverages","2082 - 2085",1960,"SIC_1987"
"D","21","Tobacco Products","2111 - 2141",1960,"SIC_1987"
"E","22","Textile Mill Products","2211 - 2299",1960,"SIC_1987"
"F","23","Apparel and Other Finished Products","2311 - 2399",1960,"SIC_1987"
