Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2021:Q4,White,133823814,35779632,30367036,5412596,98044182,12442430,2467374,2068758,2068758,0,1025968,961248,64720,38721036,1587876,2026033,8778211,14274791,13566078,1085628,12545459,12515264,8539338,2988244,254415,733268,30195,121278355,86542230
2021:Q4,Black,6659033,2520232,2009485,510747,4138800,398105,38239,26341,26341,0,38050,37572,478,326086,141343,287659,579521,1832618,342005,128833,1462904,1460153,755854,671735,13461,19104,2751,5196129,16204656
2021:Q4,Hispanic,4224266,2209768,1800027,409741,2014498,344622,20299,17355,17355,0,1282,855,428,259870,44347,99292,281786,600888,274447,70309,1090190,1089290,769653,289821,11682,18135,900,3134076,12104950
2021:Q4,Other,15707214,5385226,4727203,658024,10321988,1393438,131783,182169,182169,0,124720,107598,17123,4042114,226772,246720,1158772,1408184,1259597,147719,2440313,2435725,1749643,598725,32903,54454,4588,13266902,15756888
2022:Q1,White,135192336,38795377,33180284,5615093,96396959,12741452,2441298,2185940,2185940,0,1115154,1052812,62342,36897579,1582258,1945926,8383523,14054037,13952972,1096820,12712195,12680621,8672288,3013669,262249,732415,31573,122480142,86928214
2022:Q1,Black,6647465,2687556,2151527,536029,3959909,386515,38327,26887,26887,0,46022,45597,425,302979,136252,269865,507556,1767556,349531,128418,1475115,1472257,774009,664849,14419,18980,2857,5172350,15866548
2022:Q1,Hispanic,4382001,2395534,1971624,423910,1986467,351669,20709,18305,18305,0,1831,1559,272,251596,44140,93382,265264,589863,279449,70259,1127349,1126385,801568,295012,11280,18524,964,3254652,12146832
2022:Q1,Other,16054131,5936051,5238814,697236,10118080,1405663,129394,198411,198411,0,131424,113933,17491,3883372,227425,242382,1114126,1368075,1268853,148956,2497132,2492334,1796118,603444,36269,56503,4798,13556999,15895825
2022:Q2,White,130364302,40705351,34981099,5724252,89658950,12641855,2495122,2411353,2411353,0,1079159,1019565,59593,30639847,1562175,1845921,7483793,13792233,14591384,1116110,12944553,12913526,8852245,3099608,275796,685878,31027,117419749,87322611
2022:Q2,Black,6476484,2789449,2254698,534750,3687035,370386,38661,28441,28441,0,43908,43536,372,252308,129764,249385,389026,1691518,364753,128885,1492979,1490311,779489,678045,16206,16571,2668,4983505,15504672
