Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2011:Q2,pct40to60,5606591,7503163,2224938,742218,587718,1730495,477146,331531,1409117,1896572,1343638,510054,42880
2011:Q2,pct20to40,3259077,4225453,1542336,461756,271362,720952,104070,207981,916996,966376,637561,298207,30608
2011:Q2,pct00to20,2138567,2849055,999278,292106,323933,182182,49456,453108,548992,710488,351707,282337,76444
2011:Q3,pct99to100,12729980,13538741,2137034,485154,3952436,357324,635077,2197335,3774382,808761,606797,49458,152506
2011:Q3,pct80to99,29116248,34886457,8073994,1651731,5339602,6305131,3689489,2961657,6864852,5770209,4604921,887246,278042
2011:Q3,pct60to80,9221387,12265196,3356295,1003700,975349,3132494,999620,628645,2169093,3043809,2300250,655660,87899
2011:Q3,pct40to60,5507873,7389078,2196600,742459,533749,1732463,430252,321781,1431774,1881205,1320497,518328,42380
2011:Q3,pct20to40,3247586,4219416,1547665,461347,245839,736496,95721,203058,929290,971830,632871,307508,31451
2011:Q3,pct00to20,2092371,2801590,983061,286237,291088,182568,48861,440573,569202,709219,343057,283975,82187
2011:Q4,pct99to100,13186895,13999145,2122277,502983,4256575,336390,661826,2305137,3813957,812250,603292,50370,158588
2011:Q4,pct80to99,29781215,35540430,8038632,1654642,5670920,6354289,3832933,3012260,6976754,5759215,4604051,905271,249893
2011:Q4,pct60to80,9438953,12490681,3342964,1006479,1031546,3196191,1073424,640800,2199276,3051728,2292714,673565,85449
2011:Q4,pct40to60,5508396,7371814,2139008,732332,555237,1743357,449552,315956,1436373,1863418,1295120,526401,41897
2011:Q4,pct20to40,3259585,4237361,1528115,463784,251248,753941,102278,198427,939568,977775,627195,317533,33047
2011:Q4,pct00to20,2055504,2761266,957682,284434,287724,184658,48471,428744,569553,705762,332566,283085,90111
2012:Q1,pct99to100,13870202,14686984,2111948,528883,4891801,316124,702606,2365982,3769641,816782,604617,48936,163229
2012:Q1,pct80to99,30730885,36496521,8006873,1659884,6351329,6413363,4064391,3010274,6990407,5765637,4590880,900198,274559
2012:Q1,pct60to80,9749819,12769596,3320222,1012311,1145884,3265392,1185691,642702,2197394,3019777,2271764,667046,80967
2012:Q1,pct40to60,5517317,7355247,2081511,721243,597288,1756262,485021,298705,1415216,1837930,1272028,525353,40549
2012:Q1,pct20to40,3261265,4233778,1488259,469950,264796,771950,112305,192439,934079,972513,623067,319096,30350
2012:Q1,pct00to20,2015791,2712967,928807,286645,291440,187121,48025,413584,557345,697177,325607,284412,87158
2012:Q2,pct99to100,13921012,14741361,2154406,537881,4711980,292142,692105,2483089,3869758,820348,601588,49785,168975
2012:Q2,pct80to99,30663641,36427617,8085923,1667798,6166833,6436237,3989643,3066767,7014416,5763976,4583460,915344,265172
2012:Q2,pct60to80,9861641,12879536,3370590,1016057,1115752,3316085,1174030,656118,2230903,3017894,2258473,682065,77356
2012:Q2,pct40to60,5499658,7316500,2094786,715735,587266,1762090,467384,293298,1395941,1816842,1245507,532118,39217
2012:Q2,pct20to40,3253782,4229532,1488826,469874,257089,788843,110717,187516,926667,975750,617292,328786,29672
2012:Q2,pct00to20,2006101,2693091,928405,281619,275066,188204,47336,401040,571422,686990,315509,282369,89112
2012:Q3,pct99to100,14506971,15325583,2201523,549209,5058601,269989,715118,2632674,3898469,818612,594947,49901,173764
2012:Q3,pct80to99,31512677,37302190,8208426,1674688,6538745,6481067,4112380,3155272,7131612,5789513,4585551,935172,268790
2012:Q3,pct60to80,10158883,13189775,3430686,1019701,1178393,3378621,1244661,675844,2261870,3030892,2255175,702083,73634
2012:Q3,pct40to60,5556829,7352848,2091295,709106,610285,1772243,484292,294283,1391344,1796019,1216972,540849,38198
2012:Q3,pct20to40,3289041,4266197,1498972,470490,262598,806684,116672,182943,927838,977156,610340,338240,28576
2012:Q3,pct00to20,1995969,2673082,930614,277414,270526,190126,46629,389398,568375,677113,302647,284207,90259
