Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2014:Q1,White,67692808,77777027,16782321,3814753,17238184,11617512,6651424,7385721,14287112,10084220,7133632,2199453,751135
2014:Q1,Black,3290822,4340553,1023060,318702,267562,1533083,475091,214382,508673,1049731,643529,389342,16860
2014:Q1,Hispanic,1536523,2297732,865777,268233,198946,333219,174350,201146,256061,761209,545914,200336,14959
2014:Q1,Other,5285179,6657770,1911463,377380,969477,1097464,652954,580419,1068613,1372592,1026392,307684,38516
2014:Q2,White,69347144,79450348,17088794,3821939,18138369,11680859,6789613,7631916,14298858,10103205,7117185,2230480,755540
2014:Q2,Black,3395523,4460825,1063431,324765,273131,1551684,495307,219109,533397,1065302,639306,408408,17588
2014:Q2,Hispanic,1657915,2428430,902560,272829,222670,350218,194443,204454,281256,770515,547124,207328,16063
2014:Q2,Other,5450400,6842505,1953886,378011,1027207,1123305,675643,590655,1093798,1392105,1030270,317786,44049
2014:Q3,White,69702775,79739784,17362286,3836398,17811560,11720542,6723558,7879858,14405583,10037010,7109070,2264429,663511
2014:Q3,Black,3468932,4550822,1099947,336979,269672,1568768,489140,224351,561965,1081890,640267,429283,12340
2014:Q3,Hispanic,1756302,2539937,934039,278002,237423,366955,207482,208247,307789,783634,552881,218563,12190
2014:Q3,Other,5515125,6930053,2000894,382149,991018,1147084,678445,601967,1128496,1414928,1037135,330670,47123
2014:Q4,White,70781899,80819479,17517616,3835830,18417810,11773046,6806167,8079005,14390005,10037580,7096886,2292592,648102
2014:Q4,Black,3557054,4658777,1129798,348447,273859,1589093,503638,227959,585983,1101723,641486,448411,11826
2014:Q4,Hispanic,1858461,2656923,959908,281969,259425,384846,226161,210589,334025,798462,558950,227152,12360
2014:Q4,Other,5658952,7096964,2039172,385514,1028616,1174148,696864,610164,1162486,1438012,1044187,341385,52440
2015:Q1,White,71913879,81886978,17727580,3838212,18774508,11812716,6872313,8253095,14608553,9973099,7050142,2271459,651498
2015:Q1,Black,3661152,4767552,1159192,359008,276338,1608374,516034,230805,617801,1106400,641132,452499,12769
