Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2007:Q1,Hispanic,1687434,2613325,1238776,234735,165510,276026,170054,287906,240317,925891,731050,180503,14338
2007:Q1,Other,3619499,4840099,1884338,298312,506577,592932,283257,668362,606321,1220600,981788,222217,16595
2007:Q2,White,57719714,67783950,19267364,3570261,13251980,8678600,4875645,7363070,10777030,10064237,7685918,1830496,547823
2007:Q2,Black,2482627,3553134,1344886,273238,108142,856132,387781,181310,401644,1070507,833564,229218,7725
2007:Q2,Hispanic,1693530,2648660,1235278,236565,172394,278984,180017,301703,243719,955130,753987,184014,17129
2007:Q2,Other,3741861,5014401,1907187,311557,532215,609894,300926,714353,638269,1272540,1021725,233238,17577
2007:Q3,White,58385715,68553066,19060799,3588052,13330467,8769171,4964719,7361192,11478666,10167351,7771095,1877171,519085
2007:Q3,Black,2484042,3591623,1343807,278697,103237,879077,393951,179425,413429,1107580,863419,238197,5964
2007:Q3,Hispanic,1712126,2701662,1247648,239135,178171,282398,187188,313902,253220,989536,780845,191554,17137
2007:Q3,Other,3817013,5140951,1921432,322059,538274,624154,309835,754709,670488,1323938,1057314,248631,17993
2007:Q4,White,57723827,68021904,18817582,3612093,12633418,8847200,4904765,7248148,11958698,10298076,7856886,1906555,534635
2007:Q4,Black,2466104,3577221,1319134,286379,101558,895811,374466,173723,426150,1111117,853230,250514,7373
2007:Q4,Hispanic,1625655,2616134,1174877,243057,169832,288305,184689,299781,255593,990479,779582,193717,17180
2007:Q4,Other,3828051,5193748,1931222,333260,534861,635331,319000,734319,705756,1365697,1087436,258691,19570
2008:Q1,White,56061056,66461229,18289274,3643003,11627131,8909457,4656878,6841754,12493732,10400173,7922702,1890406,587065
2008:Q1,Black,2404397,3509546,1274595,290148,98303,913879,336194,158362,438065,1105150,840169,254188,10793
2008:Q1,Hispanic,1529303,2518511,1103288,249018,159840,294626,176554,276658,258526,989208,775530,194748,18930
2008:Q1,Other,3727225,5123526,1889777,341208,507843,643137,311396,689541,740624,1396301,1111722,262666,21913
2008:Q2,White,55109600,65486239,17863530,3661237,11147222,8987404,4634592,6767529,12424725,10376639,7958780,1895874,521985
2008:Q2,Black,2394298,3472681,1234739,287886,98186,936680,322903,155231,437057,1078383,804296,265919,8168
2008:Q2,Hispanic,1498846,2456466,1051817,255393,153380,302321,176052,265708,251795,957620,751220,191278,15122
2008:Q2,Other,3695444,5109167,1848140,344227,514987,651944,321563,667737,760570,1413723,1124987,267382,21354
2008:Q3,White,53086885,63559092,17438636,3673277,9694002,9047700,4349561,6547278,12808638,10472207,7930668,1899281,642258
2008:Q3,Black,2329912,3417136,1199880,293199,92230,959765,283429,147325,441309,1087224,797367,274627,15230
2008:Q3,Hispanic,1411774,2379597,996509,260909,140316,310077,167386,250227,254173,967824,751200,196317,20307
2008:Q3,Other,3558641,4990779,1805017,350347,451492,657154,308349,633223,785197,1432138,1132606,273588,25944
2008:Q4,White,50474719,60702507,17012586,3652424,7546480,9081043,3848004,6200645,13361326,10227788,7883137,1888709,455942
2008:Q4,Black,2239745,3308048,1167811,296321,81278,981451,222435,135196,423557,1068303,781075,281013,6215
2008:Q4,Hispanic,1337250,2288394,947029,264085,121320,317375,151096,230549,256940,951144,742654,197907,10583
2008:Q4,Other,3364079,4797836,1766811,353417,336555,657332,274332,587422,821967,1433757,1133200,276160,24397
2009:Q1,White,48966264,59099060,16603117,3633183,6707767,9087511,3724267,5861299,13481916,10132796,7882488,1830910,419398
2009:Q1,Black,2202764,3260351,1136655,296740,78063,1001113,201564,123467,422749,1057587,777743,275108,4736
2009:Q1,Hispanic,1264610,2218117,903603,267970,111263,324003,147786,211203,252289,953508,745708,199969,7831
2009:Q1,Other,3238861,4675741,1722522,354164,311342,652348,272384,541136,821846,1436880,1140648,272156,24076
2009:Q2,White,49513590,59638310,16267886,3627209,8106642,9140407,4072360,5424368,12999439,10124721,7882041,1802419,440261
2009:Q2,Black,2247003,3287266,1116223,294632,90339,1027484,227792,108413,422383,1040263,755276,278408,6579
2009:Q2,Hispanic,1266356,2203950,882004,273506,119156,332490,160988,188334,247472,937594,731733,197862,7999
2009:Q2,Other,3303623,4742172,1677187,353168,443932,652951,312514,486375,816045,1438549,1142524,270184,25841
2009:Q3,White,51053321,61165887,16021961,3613990,9541968,9198569,4447756,5333821,13007821,10112566,7847531,1797699,467336
2009:Q3,Black,2301422,3338692,1098781,289074,103069,1054893,257929,105485,429461,1037271,741620,286681,8970
2009:Q3,Hispanic,1277096,2211801,867202,278662,126993,341157,175338,177940,244510,934706,724915,201372,8419
2009:Q3,Other,3453340,4893640,1647916,349541,582784,653175,355869,459332,845024,1440300,1139362,272959,27979
2009:Q4,White,51149643,61273429,15853022,3623864,9790198,9238958,4606941,5181513,12978933,10123786,7842421,1785845,495520
2009:Q4,Black,2349334,3373044,1084245,297962,107804,1079714,266083,100356,436880,1023709,718036,294377,11296
2009:Q4,Hispanic,1286797,2206367,853484,284026,125687,348917,182253,165281,246719,919569,709314,201323,8932
2009:Q4,Other,3501919,4941976,1624926,354281,634219,649526,379234,427403,872387,1440057,1136983,273472,29602
2010:Q1,White,52059072,62152135,15783090,3613078,10307453,9399020,4770098,5283000,12996397,10093063,7786276,1735307,571480
2010:Q1,Black,2427986,3421507,1075806,296975,114439,1119622,273908,103953,436804,993521,682924,292199,18398
2010:Q1,Hispanic,1314668,2206531,839257,288089,126272,360922,189059,161667,241265,891863,682694,197960,11209
2010:Q1,Other,3598728,5026992,1614731,352661,705396,662702,402545,415885,873071,1428264,1123567,267591,37106
2010:Q2,White,51361473,61459135,15738900,3594545,9389280,9531891,4585622,5600177,13018720,10097662,7787355,1719596,590711
2010:Q2,Black,2451703,3420871,1069271,295284,110605,1147930,244284,115016,438481,969168,649832,298719,20617
2010:Q2,Hispanic,1325311,2188624,828115,290759,115647,370617,183275,165574,234637,863313,658008,194299,11006
2010:Q2,Other,3573109,4995604,1596624,350323,665281,675158,391705,421265,895248,1422494,1117661,265838,38995
2010:Q3,White,53044556,63124872,15622791,3587935,10507253,9715484,4908475,5763482,13019452,10080316,7766422,1729242,584652
2010:Q3,Black,2525931,3477610,1051223,291306,121459,1180960,268243,120464,443956,951679,620889,310593,20197
2010:Q3,Hispanic,1388992,2230109,843890,294057,120398,381480,195274,163603,231407,841117,636396,194989,9732
2010:Q3,Other,3746563,5161663,1570902,347068,781038,693946,429764,414281,924664,1415100,1108048,268901,38151
2010:Q4,White,54509608,64582184,15427962,3595249,11414316,9889601,5170560,5837560,13246937,10072577,7635281,1831887,605409
2010:Q4,Black,2583708,3554785,1035521,297282,135840,1216990,298783,126820,443549,971077,613661,336755,20661
2010:Q4,Hispanic,1353363,2181284,790824,291637,127740,377990,197933,166643,228517,827921,620499,196944,10478
2010:Q4,Other,3853173,5260632,1568261,351335,831094,727498,460001,424984,897459,1407459,1088457,281224,37778
2011:Q1,White,55434358,65502403,15157599,3621929,12224599,9964504,5335498,5875254,13323021,10068045,7612810,1824575,630660
2011:Q1,Black,2631656,3596603,1013001,300815,149555,1236795,316801,131671,447965,964947,612086,332038,20823
2011:Q1,Hispanic,1341177,2157267,770571,290633,133945,369359,195817,167916,229027,816091,610173,194270,11648
2011:Q1,Other,3949974,5348806,1552144,354886,871995,744806,479574,432539,912862,1398832,1085057,277425,36350
