Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2005:Q1,NoHS,2418930,2858241,1304681,245313,143729,367104,79548,215534,502332,439311,317625,117304,4382
2005:Q2,College,35787066,41654782,12270957,1969761,7861411,4933058,2880780,4892031,6846783,5867716,4558288,973483,335945
2005:Q2,SomeCollege,9766241,12290263,4306349,868560,1182242,2014269,868963,1215403,1834477,2524023,1874316,587976,61731
2005:Q2,HS,8947955,11120425,3940924,921803,779829,2099637,751825,915649,1710758,2172470,1588543,551532,32395
2005:Q2,NoHS,2407716,2865643,1315795,258236,147741,349436,80020,220831,493583,457927,331612,119398,6917
2005:Q3,College,36809681,42828313,12669562,1979996,8269546,4989040,2996654,5141786,6781729,6018632,4687532,990332,340768
2005:Q3,SomeCollege,10044878,12639566,4466651,882795,1239079,2075417,904881,1243975,1826768,2594688,1935401,599649,59638
2005:Q3,HS,9233375,11504453,4136715,936832,840177,2118104,773714,976014,1722897,2271078,1672995,565325,32758
2005:Q3,NoHS,2402227,2880205,1338734,258292,154721,331764,80612,227481,488601,477978,345953,123078,8947
2005:Q4,College,37649235,43782506,13006000,1993528,8373958,5043415,3097229,5288942,6979434,6133270,4800148,1004493,328629
2005:Q4,SomeCollege,10291295,12946555,4599617,898710,1251090,2137418,937825,1241858,1880038,2655260,1989983,610427,54850
2005:Q4,HS,9486624,11853165,4321632,954866,863672,2138683,794709,1013959,1765644,2366541,1753709,579017,33815
2005:Q4,NoHS,2395840,2892107,1363947,259166,157544,314393,81298,230673,485085,496267,359027,126619,10621
2006:Q1,College,38970097,45270629,12988935,1998978,9463281,5101799,3192641,5362273,7162722,6300532,4938636,1008713,353183
2006:Q1,SomeCollege,10532818,13260903,4615372,919239,1410760,2202580,970376,1217856,1924719,2728084,2055685,615668,56731
2006:Q1,HS,9763974,12225221,4424172,970605,1019851,2163443,816251,1035293,1795606,2461247,1840024,584939,36284
2006:Q1,NoHS,2366522,2881474,1345591,271988,174230,297775,82092,231378,478420,514953,372593,128265,14095
2006:Q2,College,38994028,45446166,13155379,2011617,9185591,5151402,3185756,5529026,7227395,6452138,5068440,1014884,368814
2006:Q2,SomeCollege,10597906,13395381,4694444,935270,1365772,2264000,968770,1223151,1943973,2797474,2120481,619955,57038
2006:Q2,HS,9863105,12423112,4556803,989351,994968,2183403,811049,1080397,1807141,2560007,1935088,585987,38932
2006:Q2,NoHS,2325827,2859752,1347193,272991,171907,280267,81275,235515,470604,533926,388080,128785,17061
2006:Q3,College,39672518,46256145,13262474,2026245,9472127,5209642,3279150,5693602,7312905,6583627,5159161,1043529,380937
2006:Q3,SomeCollege,10772016,13632040,4752518,950917,1405040,2329822,1000553,1227950,1965240,2860024,2168175,635125,56724
2006:Q3,HS,10051624,12712916,4664834,1008756,1046594,2207694,831872,1125383,1827782,2661292,2019735,600371,41186
2006:Q3,NoHS,2291020,2844473,1349115,272360,177381,263701,82021,239544,460351,553454,401353,132416,19685
2006:Q4,College,40628586,47318196,13256960,2031113,10184916,5273726,3422264,5800430,7348788,6689611,5210269,1060658,418684
2006:Q4,SomeCollege,10976169,13879337,4765802,966914,1508123,2398081,1047989,1214921,1977507,2903168,2195621,646485,61062
2006:Q4,HS,10282232,13027170,4747492,1022727,1158513,2233336,864395,1155400,1845307,2744939,2083386,613794,47759
2006:Q4,NoHS,2261982,2831590,1340048,277505,188583,247605,83397,241366,453086,569607,410069,135779,23759
