Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2018:Q4,TopPt1,10.4,4.4,3.8,7.3,13,9,5.6,16.3,16.3,NA,27.3,28.4,15.2,21.5,8.6,0.3,1.8,0.3,27.9,2.3,0.8,0.8,0.5,0.5,0.8,8.3,5,11.9,129485,
2018:Q4,RemainingTop1,16.3,10.2,11,6.1,18.8,14.9,22.5,23.8,23.8,NA,44.2,46.9,15,30.7,19.3,4.1,10,4.2,25,6.3,4.6,4.6,4.9,1.4,12.8,18.7,19.2,18,1149821,
2018:Q4,Next9,36.7,28.7,30.1,21.2,40.2,37.7,46,40,40,NA,21.6,19.9,39.7,35.9,29.3,63.8,43.6,51.2,32.3,23.3,18.1,18,22.6,6.7,8.2,21.5,30.3,39.6,11517571,
2018:Q4,Next40,30.9,43.4,43.6,42.1,25.6,33.5,25.2,19.1,19.1,NA,6.7,4.7,28.9,11.4,34.8,30.2,38.9,42.7,13.2,48,44.4,44.4,49.5,34.5,34.5,27.1,36.7,28.9,51194943,
2018:Q4,Bottom50,5.7,13.3,11.4,23.3,2.4,4.9,0.8,0.7,0.7,NA,0.2,0.1,1.1,0.5,8,1.5,5.6,1.5,1.6,20.2,32.1,32.2,22.5,56.9,43.7,24.4,8.8,1.6,63998144,
2019:Q1,TopPt1,10.8,4.4,3.9,7.5,13.4,9,6,16.2,16.2,NA,28.1,29.3,14.7,21.9,8.8,0.2,1.6,0.3,28.1,2.3,0.8,0.8,0.5,0.5,0.9,9,5.2,12.2,129843,
2019:Q1,RemainingTop1,16.5,10.2,11.1,5.9,19,14.5,22.9,23.7,23.7,NA,45.1,48,14.6,30.4,19.6,4,9.8,4.2,24.7,6.3,4.6,4.6,4.9,1.3,10.8,19.2,20.1,18.2,1151637,
2019:Q1,Next9,36.9,28.9,30.4,21.1,40.1,37.8,45.5,40.2,40.2,NA,19.8,18.1,38.3,36,29.2,64.5,43.7,51.2,32.5,23.4,18.1,18,22.8,6.5,7.6,19.4,30.2,39.6,11536733,
2019:Q1,Next40,30.4,43.4,43.6,42,25.1,33.8,24.8,19.2,19.2,NA,6.8,4.6,31.2,11.1,34.4,29.8,39.3,42.8,13.2,47.8,44.4,44.4,49.5,34.3,34.1,28.2,35.8,28.4,51282357,
2019:Q1,Bottom50,5.5,13.1,11.1,23.4,2.4,5,0.7,0.7,0.7,NA,0.2,0.1,1.2,0.6,7.9,1.5,5.7,1.5,1.6,20.3,32.1,32.2,22.3,57.5,46.6,24.3,8.7,1.6,64107779,
