Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2018:Q3,NoHS,3109422,1461697,1130549,331149,1647725,264255,11482,34994,34994,0,1566,637,928,244361,47104,81042,178386,510232,200858,73445,571862,570846,367273,182043,15045,6485,1016,2537560,14883479
2018:Q4,College,77783144,20790645,17978318,2812327,56992499,6871481,1412432,2781333,2781333,0,673766,620678,53089,19334124,1151558,1230686,5116621,9320306,8469904,630287,8938693,8915225,6200821,2084211,149107,481087,23468,68844450,45669465
2018:Q4,SomeCollege,19448634,6661880,5352357,1309523,12786754,1759726,208286,502457,502457,0,163303,143920,19383,2166578,291871,507278,1099959,4217409,1562300,307586,3171214,3164953,1987144,1092195,38993,46621,6261,16277420,36277959
2018:Q4,HS,13130912,4965248,3934867,1030381,8165664,1137224,97236,213698,213698,0,121057,113152,7906,1366074,221748,380059,800140,2471877,1113761,242789,2316919,2312216,1573551,647205,67279,24182,4702,10813993,31424101
2018:Q4,NoHS,2976059,1440039,1120665,319374,1536020,258556,11709,32034,32034,0,1510,480,1030,214505,44695,69831,159210,477076,193762,73132,565517,564570,360101,183432,14948,6089,946,2410542,14618438
2019:Q1,College,82186957,21152072,18307354,2844718,61034885,7016152,1513913,2938761,2938761,0,663246,612008,51238,22165219,1176861,1281952,5575817,9465893,8603339,633733,8945752,8921108,6221202,2089279,133666,476961,24644,73241205,46009986
2019:Q1,SomeCollege,20304268,6762622,5430904,1331718,13541646,1819392,222715,529418,529418,0,166821,146519,20302,2570239,295618,533967,1217523,4275556,1598871,311528,3175560,3169185,1985022,1091756,46794,45613,6375,17128707,36413112
2019:Q1,HS,13724694,5078462,4030755,1047707,8646232,1169669,100802,226756,226756,0,125754,117841,7914,1652107,226606,401492,872064,2484518,1147437,239029,2306703,2301810,1588989,635694,53665,23462,4893,11417990,31440740
2019:Q1,NoHS,2929140,1434187,1110399,323788,1494953,253251,11475,28931,28931,0,1571,343,1228,233064,42807,63600,148476,450051,190180,71546,551756,550831,351723,177742,15183,6183,925,2377384,14344511
2019:Q2,College,83746790,21414233,18548500,2865733,62332557,6885189,1481225,3138760,3138760,0,667629,618481,49148,22821846,1189106,1313096,5757300,9577694,8860621,640089,9040888,9016807,6271764,2120710,137240,487092,24081,74705902,46362656
2019:Q2,SomeCollege,20702788,6861852,5519886,1341966,13840936,1822367,217216,564186,564186,0,171350,149974,21376,2669670,296822,546147,1252457,4315416,1668754,316552,3204593,3198249,1995823,1108489,46778,47158,6344,17498195,36528577
2019:Q2,HS,14038041,5160514,4099901,1060613,8877526,1167441,97997,242537,242537,0,129228,121285,7943,1740870,229527,413478,901718,2517277,1200849,236605,2347619,2342769,1617154,645481,57509,22625,4850,11690422,31466976
2019:Q2,NoHS,2837689,1409658,1091373,318285,1428032,244094,9877,24372,24372,0,1665,220,1445,232811,40770,56548,135288,423120,189161,70323,546404,545536,346223,177427,15210,6676,868,2291285,14067630
2019:Q3,College,84293361,21622221,18720482,2901740,62671140,6848415,1680067,3169204,3169204,0,683223,636421,46801,22656934,1202248,1334410,5819681,9686944,8945116,644898,9143524,9118732,6331050,2165493,130253,491936,24792,75149837,46729175
2019:Q3,SomeCollege,20905288,6963084,5617881,1345203,13942204,1843031,245356,564898,564898,0,176722,154057,22665,2652323,297925,550944,1251024,4350041,1689319,320620,3239293,3232883,2007218,1127478,50490,47696,6410,17665994,36622805
2019:Q3,HS,14202280,5209356,4132818,1076538,8992924,1177062,105589,248363,248363,0,131822,123823,7999,1754843,232539,420770,913278,2548110,1227132,233415,2376562,2371585,1643484,654428,51847,21826,4977,11825717,31496738
2019:Q3,NoHS,2731870,1373865,1072622,301243,1358005,236417,10476,23888,23888,0,1804,107,1696,226003,38792,49268,121551,396651,184274,68881,540018,539181,340224,176748,15211,6997,838,2191851,13793728
2019:Q4,College,87141124,21962925,19011599,2951326,65178198,7170739,1777936,3089054,3089054,0,686310,638403,47907,24295365,1225834,1363759,6132392,9835928,8938979,661902,9272907,9247963,6403480,2207352,136262,500869,24944,77868217,47111144
2019:Q4,SomeCollege,21387711,7017176,5669623,1347553,14370534,1902187,255183,527941,527941,0,163129,142921,20208,2875362,294012,563411,1349991,4398103,1716549,324667,3268047,3261753,2030714,1134862,50699,45478,6294,18119663,36694265
2019:Q4,HS,14392697,5223027,4141950,1081077,9169670,1215823,113699,246786,246786,0,130253,121189,9064,1865391,229834,416437,925309,2546006,1239457,240676,2381071,2376197,1627613,673946,52144,22495,4874,12011625,31524615
2019:Q4,NoHS,2684574,1355772,1064386,291387,1328802,234494,11038,25330,25330,0,1521,112,1409,224540,36568,46706,114692,382638,182032,69241,527653,526869,329515,176030,15093,6231,784,2156921,13528237
2020:Q1,College,82409626,22488360,19494899,2993460,59921266,7512355,2147591,3037642,3029364,8278,830341,781314,49027,18877436,1238941,1308323,5378720,9892412,9031640,665865,9375328,9348062,6461851,2207719,159971,518521,27266,73034298,47509758
2020:Q1,SomeCollege,20620083,7137854,5790473,1347381,13482229,1962301,303404,497904,496825,1080,158960,140928,18032,2124809,287971,517759,1139531,4397569,1769458,322564,3255216,3248885,2045966,1113542,44601,44775,6331,17364867,36741486
2020:Q1,HS,13767818,5273728,4190775,1082953,8494090,1255749,133372,246259,245702,557,118179,108181,9998,1344078,225476,373756,782088,2506570,1266652,241911,2362100,2357051,1606945,659389,67641,23077,5049,11405718,31547831
2020:Q1,NoHS,2575844,1340428,1057694,282734,1235416,232681,14054,26013,25961,52,1346,162,1184,172081,34304,40434,102338,362382,181842,67941,506982,506210,318336,167177,14974,5723,771,2068862,13274593
