Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1989:Q3,pct99to100,3537324,801517,535556,265961,2735807,318202,98087,385993,294683,91311,71395,64742,6654,751260,42023,11266,95132,106987,838431,17029,143500,141764,90973,27107,1333,22352,1736,3393824,932223,244112,269064914
1989:Q3,pct80to99,10427761,3716856,3026625,690230,6710905,1221379,172564,386438,355764,30674,127689,47699,79990,928040,173998,203340,412059,1567589,1421309,96500,1468739,1460953,1148176,242499,1683,68595,7787,8959021,17682381,52161,244112
1989:Q3,pct60to80,4228234,1859405,1418252,441153,2368829,532333,57979,127316,95303,32013,26763,13883,12881,225582,76969,66318,82492,836623,286006,50447,862512,859067,574901,252493,384,31290,3445,3365722,18594047,32302,52161
1989:Q3,pct40to60,2970204,1250816,999833,250983,1719388,453581,19934,77846,61972,15874,24563,7576,16987,120508,33774,40254,39305,628717,247385,33521,425290,423778,259107,159524,730,4417,1512,2544913,18605233,20512,32291
1989:Q3,pct20to40,1747662,841796,669586,172210,905865,317196,11911,31905,30479,1426,38970,34262,4708,41504,21361,6687,49067,238036,128470,20759,189291,188335,113497,69865,249,4724,956,1558371,18612879,10366,20458
1989:Q3,pct00to20,652457,318959,243316,75643,333499,113777,2168,7857,6599,1258,4486,701,3785,23549,12066,966,7137,104377,48021,9093,63440,62901,24501,32720,154,5526,540,589017,18593339,0,10361
1989:Q4,pct99to100,3622127,818381,548499,269882,2803745,324780,104262,390969,298482,92487,79020,70694,8325,762015,42293,11939,100738,113621,856821,17288,151794,149786,96447,27280,1265,24794,2008,3470333,934251,,
1989:Q4,pct80to99,10616786,3772090,3074930,697159,6844696,1240228,179769,394801,359578,35224,133660,55262,78398,960354,179084,208714,429924,1600462,1419770,97929,1495700,1487651,1169764,249982,1637,66268,8049,9121085,17729569,,
1989:Q4,pct60to80,4315338,1882425,1437186,445238,2432914,537937,57326,128755,96465,32290,28277,15315,12962,232163,78472,70891,90477,862937,294196,51482,878443,874964,586446,257911,371,30236,3479,3436896,18641646,,
1989:Q4,pct40to60,3013491,1263021,1007676,255344,1750470,462255,21139,75954,60047,15907,28389,9596,18793,127041,36641,40803,40254,631970,251652,34373,437330,435769,265871,164130,703,5064,1562,2576161,18654883,,
1989:Q4,pct20to40,1770792,845763,667879,177885,925029,319576,12442,31818,30026,1791,40098,34898,5200,45789,22959,7616,47005,250934,125352,21440,198105,197097,115797,76180,263,4857,1008,1572687,18660052,,
1989:Q4,pct00to20,679187,338220,258146,80074,340967,115271,2299,7835,6392,1444,5059,898,4162,24742,12182,1078,6796,107143,49037,9524,66171,65627,26255,33802,150,5419,544,613016,18641839,,
1990:Q1,pct99to100,3602454,820762,555597,265165,2781692,321239,114207,387973,298710,89263,93570,83492,10078,698041,41355,12611,102781,119591,872523,17802,159942,158161,104320,24919,1532,27390,1781,3442512,936317,,
1990:Q1,pct80to99,10626730,3773074,3058203,714871,6853656,1237891,193304,396954,360584,36370,146061,69315,76746,911931,181654,214024,430790,1625806,1414658,100583,1522432,1514549,1200033,243911,2045,68561,7882,9104298,17776433,,
1990:Q1,pct60to80,4360094,1894759,1441119,453639,2465335,538723,57526,126288,95946,30341,31790,18717,13073,223874,79324,75439,91690,885414,301937,53330,885624,882195,603978,248557,459,29201,3429,3474470,18689287,,
1990:Q1,pct40to60,3042297,1277472,1010087,267385,1764825,466064,22813,71996,57293,14703,32464,11699,20764,127599,39082,41334,38433,633833,255218,35990,447814,446177,277699,161775,871,5832,1637,2594483,18704226,,
1990:Q1,pct20to40,1798970,859936,677117,182819,939034,319831,13385,31302,29347,1955,41259,35473,5786,47834,24527,8543,44000,263626,122078,22651,202141,201098,119625,76242,361,4870,1043,1596829,18707200,,
1990:Q1,pct00to20,700205,353965,270860,83104,346240,116723,2425,7127,5600,1527,6099,1496,4602,24232,12052,1190,6506,109672,49980,10235,72435,71911,29743,36917,191,5060,523,627770,18690306,,
1990:Q2,pct99to100,3668583,832795,564103,268692,2835788,318413,111239,401614,311644,89970,95758,83878,11880,712566,40825,13482,105869,125856,892310,17856,168838,167105,111780,24202,1217,29905,1733,3499745,938421,,
1990:Q2,pct80to99,10770344,3822237,3102012,720225,6948107,1237023,184839,412747,371409,41338,148281,73514,74767,949545,185091,226050,436240,1654203,1413075,101013,1546679,1538811,1224126,245179,1670,67836,7869,9223664,17823011,,
1990:Q2,pct60to80,4430923,1909486,1452779,456707,2521436,539857,54507,131727,101372,30356,31772,18672,13100,231474,80403,83054,94815,909525,310594,53709,895941,892533,616603,247412,372,28145,3409,3534981,18736992,,
1990:Q2,pct40to60,3068361,1277121,1005880,271241,1791240,470244,22895,71693,57121,14572,36967,14358,22609,134792,41683,43441,37288,636241,259775,36221,459807,458105,287405,163469,703,6527,1703,2608554,18753299,,
1990:Q2,pct20to40,1819108,865944,677706,188238,953164,320235,12903,31728,29364,2364,40686,34445,6242,52491,26115,9784,41100,276474,118744,22904,209382,208297,123008,80009,318,4962,1085,1609726,18754351,,
1990:Q2,pct00to20,724638,369965,282682,87283,354672,118189,2572,8570,6838,1733,6423,1466,4957,25570,12005,1357,6185,112308,51051,10442,76964,76452,32994,38440,155,4863,512,647674,18738762,,
1990:Q3,pct99to100,3571940,839011,578443,260568,2732928,318003,120072,415816,327387,88429,99501,85744,13757,556272,39879,14012,105985,131652,913611,18124,176039,174380,117846,23750,516,32268,1659,3395901,940563,,
1990:Q3,pct80to99,10687758,3837149,3103897,733252,6850609,1241188,196329,428510,383944,44567,152232,79549,72683,799024,187673,226318,427456,1677122,1412284,102472,1564278,1556445,1245846,248869,726,61004,7833,9123480,17869342,,
1990:Q3,pct60to80,4465410,1931136,1469471,461665,2534274,542145,54317,137435,108224,29211,32190,19054,13136,204207,81260,85317,92112,930874,319646,54771,907280,903896,627963,248731,161,27041,3384,3558130,18784781,,
1990:Q3,pct40to60,3099230,1298887,1016936,281951,1800343,475621,24444,71050,57257,13793,41841,17276,24565,127289,44146,42781,33779,637618,264678,37096,470229,468458,294833,166247,301,7077,1770,2629001,18802142,,
1990:Q3,pct20to40,1847112,885145,694276,190869,961967,321143,13715,32084,29414,2670,39916,33167,6749,51348,27699,10482,37474,289199,115304,23603,216837,215712,125596,84754,148,5214,1125,1630274,18801529,,
1990:Q3,pct00to20,747219,387551,299703,87848,359668,119676,2704,10500,8613,1887,6877,1529,5348,22853,11873,1428,5924,114776,52175,10883,80691,80192,35181,39952,65,4995,499,666528,18787229,,
1990:Q4,pct99to100,3714032,840045,584138,255907,2873987,324033,123815,439879,344460,95418,109380,93692,15688,625703,38997,14691,112401,137658,929056,18375,182451,180608,122216,22947,557,34888,1843,3531581,942741,,
1990:Q4,pct80to99,10866015,3810437,3067158,743279,7055578,1258789,199150,455969,396885,59084,162039,91656,70383,899143,190404,231613,447844,1702142,1404639,103845,1590010,1581991,1265803,252275,814,63098,8019,9276005,17915464,,
1990:Q4,pct60to80,4550251,1932892,1467270,465622,2617359,547485,52867,148664,115856,32807,34370,21245,13125,223621,82158,89879,101540,953366,327631,55778,917846,914444,638761,249515,179,25990,3403,3632405,18832675,,
1990:Q4,pct40to60,3150920,1311553,1021159,290394,1839367,484140,25364,72998,57351,15647,46737,20257,26480,139878,46645,43300,34929,639364,268094,37917,478342,476517,299759,168575,333,7849,1826,2672578,18850792,,
1990:Q4,pct20to40,1870796,889856,695512,194344,980940,323381,13966,33122,29385,3738,38521,31327,7194,58271,29292,11415,34981,302051,111673,24265,222841,221666,127236,89018,180,5232,1175,1647955,18848761,,
1990:Q4,pct00to20,771668,400655,311160,89496,371013,121201,2844,13131,10729,2402,7688,1990,5697,25595,11753,1540,5501,117321,53133,11307,83312,82814,36036,42062,74,4642,498,688356,18835730,,
1991:Q1,pct99to100,3851303,844935,587642,257293,3006368,322760,140496,423450,327065,96386,111758,94133,17625,737928,38136,15262,120936,143666,933536,18438,187120,185393,126774,20232,932,37456,1726,3664183,944955,,
1991:Q1,pct80to99,11085756,3814659,3063626,751033,7271097,1261117,223666,453769,385592,68177,165522,97793,67729,1046458,193194,233273,477930,1726919,1384942,104305,1601018,1593072,1284268,244635,1429,62740,7947,9484738,17961416,,
1991:Q1,pct60to80,4622187,1936659,1467109,469550,2685528,549375,54240,139895,106603,33292,34227,21251,12976,251158,83073,92769,115241,975795,333570,56184,915355,911984,648249,238509,309,24918,3371,3706832,18880693,,
1991:Q1,pct40to60,3183088,1313677,1017382,296295,1869411,489159,27879,66835,51061,15773,51959,23873,28086,155820,49164,42968,37653,641046,268759,38170,480741,478845,304470,165231,579,8565,1896,2702347,18899288,,
1991:Q1,pct20to40,1889596,891224,691286,199938,998371,324105,15625,32374,27905,4469,36469,29092,7377,66705,30893,12175,32718,314954,107817,24536,223825,222610,128895,88052,347,5315,1215,1665771,18896071,,
1991:Q1,pct00to20,789780,414032,320357,93675,375747,122704,2963,9428,6679,2749,7880,2010,5871,29344,11638,1622,4994,119867,53782,11524,87621,87138,37036,45547,133,4421,483,702159,18884288,,
1991:Q2,pct99to100,3845430,851230,597438,253792,2994199,307516,135451,434934,338490,96444,110350,90688,19663,714697,37755,15910,125152,149882,944016,18536,194993,193430,134103,19026,273,40028,1563,3650437,947204,,
1991:Q2,pct80to99,11114676,3833698,3076515,757183,7280978,1234258,211609,472285,394793,77492,166244,101151,65093,1045295,197009,237421,487422,1753789,1370713,104932,1622755,1614922,1308828,243594,434,62066,7833,9491920,18007235,,
1991:Q2,pct60to80,4670039,1946840,1475360,471480,2723200,544679,50788,144716,111344,33372,32983,20087,12896,251675,84255,96805,120412,999359,340825,56702,923387,920056,661308,234817,93,23837,3331,3746653,18928858,,
1991:Q2,pct40to60,3207009,1323051,1020320,302731,1883958,487452,27730,65559,49890,15669,58076,28114,29963,160575,51872,43216,36959,643101,270891,38527,491135,489166,314056,165660,172,9277,1969,2715875,18947668,,
1991:Q2,pct20to40,1908387,901764,698493,203271,1006624,321954,14914,32838,27606,5232,34440,26709,7731,70652,32517,13055,29478,327980,103915,24880,229659,228406,132215,90671,113,5406,1253,1678728,18943485,,
1991:Q2,pct00to20,812655,429927,334686,95241,382729,124157,3122,10764,7655,3110,7942,1781,6162,29921,11620,1725,4587,122490,54619,11780,92397,91932,40140,47537,39,4216,465,720258,18932924,,
1991:Q3,pct99to100,3919273,853680,609631,244048,3065593,299610,135834,444399,353989,90410,114498,92803,21695,761193,36414,16532,132184,156057,950235,18637,203626,202226,140699,18487,214,42825,1399,3715647,949488,,
1991:Q3,pct80to99,11238113,3843998,3074760,769239,7394115,1222718,208670,482664,406559,76105,172512,110360,62152,1121243,198827,240693,509926,1779925,1351369,105568,1637915,1630195,1316807,242684,359,70345,7720,9600198,18052960,,
1991:Q3,pct60to80,4746288,1963748,1488307,475441,2782540,543462,48521,147469,118125,29344,33298,20618,12680,265965,84921,100437,131245,1022606,347389,57227,918861,915570,661017,231633,76,22842,3291,3827428,18977188,,
1991:Q3,pct40to60,3249111,1342389,1028607,313783,1906722,489320,28243,62335,49140,13195,63973,32458,31515,171125,54243,43258,38392,645001,271942,38891,497821,495779,318477,166961,140,10200,2042,2751290,18995971,,
1991:Q3,pct20to40,1940786,922981,717369,205612,1017804,321321,14793,32618,27357,5262,31240,23424,7816,77069,34120,13893,26616,341043,99864,25228,235634,234342,134560,94414,102,5266,1292,1705152,18991028,,
1991:Q3,pct00to20,838679,447068,351716,95352,391611,125652,3271,12525,9379,3146,8215,1944,6271,32158,11407,1821,4079,125098,55348,12039,95277,94829,42942,48320,32,3534,448,743403,18981661,,
1991:Q4,pct99to100,4115634,860721,620912,239809,3254913,298282,138424,448040,360953,87087,124592,100965,23627,920943,35580,17174,140324,162309,950398,18849,213807,212526,148217,18265,389,45655,1281,3901827,951805,,
1991:Q4,pct80to99,11511576,3857391,3082550,774841,7654185,1224935,209396,492531,412314,80217,184659,125871,58788,1320419,201725,244548,537462,1806678,1325092,106739,1671067,1663423,1337525,245873,699,79326,7645,9840509,18098631,,
1991:Q4,pct60to80,4846446,1977666,1500830,476836,2868780,545373,46718,147851,120727,27124,35278,23071,12207,301660,85868,104342,144408,1046228,352945,58107,928528,925270,670729,232524,146,21871,3259,3917917,19025704,,
1991:Q4,pct40to60,3297219,1357000,1036620,320380,1940219,494415,29032,58601,46854,11748,68980,36635,32345,190225,56812,43435,40658,647001,271473,39588,510763,508649,327282,169957,268,11142,2113,2786456,19044235,,
1991:Q4,pct20to40,1965058,932481,723620,208861,1032577,322052,14911,32440,26760,5680,26074,18724,7350,87132,35746,14759,23813,354183,95657,25809,244160,242828,137859,99642,216,5111,1332,1720898,19038727,,
1991:Q4,pct00to20,864705,462773,366054,96719,401932,127191,3417,12940,9585,3355,8589,2582,6007,36985,11297,1921,3514,127735,55921,12421,98903,98471,46267,49320,64,2820,432,765802,19030522,,
1992:Q1,pct99to100,4071547,869558,629868,239689,3201989,262038,147094,457914,371931,85983,115500,89885,25616,879923,34796,17750,142994,169961,954954,19065,223608,222411,157200,16634,427,48149,1198,3847938,954155,,
1992:Q1,pct80to99,11501847,3884446,3106895,777551,7617401,1154038,220183,510984,420633,90351,180655,125233,55422,1302150,204748,246271,538739,1849165,1302537,107931,1670027,1662426,1349945,237131,827,74523,7600,9831820,18144284,,
1992:Q1,pct60to80,4886284,1990226,1512811,477415,2896059,530706,46146,151806,125327,26479,31297,19535,11762,299175,86850,107252,146347,1077950,359527,59003,917907,914675,672710,221065,170,20731,3232,3968377,19074428,,
1992:Q1,pct40to60,3309669,1364435,1039785,324651,1945234,482502,30584,56174,44988,11186,76455,43157,33299,194205,59413,43116,38449,651965,272072,40299,517692,515509,335781,167654,310,11764,2183,2791978,19092499,,
1992:Q1,pct20to40,1974491,938475,725141,213334,1036016,315539,15685,32754,26217,6536,22672,15718,6954,90974,37382,15521,19874,367844,91373,26399,248911,247538,141680,100271,279,5309,1374,1725580,19086606,,
1992:Q1,pct00to20,887533,479610,380046,99563,407923,128546,3558,14280,10518,3762,7630,1838,5792,37260,11198,2004,3111,130890,56639,12808,104883,104464,50960,50598,77,2829,419,782650,19079529,,
1992:Q2,pct99to100,4045065,874957,637306,237651,3170108,252065,142756,448681,365504,83178,116032,88396,27636,863841,33357,18434,147683,164865,963076,19319,233451,232317,164874,16046,503,50895,1135,3811614,956537,,
1992:Q2,pct80to99,11578067,3907453,3123535,783918,7670614,1138164,209360,515677,417541,98136,186344,134350,51993,1311455,206416,251348,549296,1910460,1282796,109299,1683959,1676386,1360678,235242,1070,79396,7573,9894108,18189959,,
1992:Q2,pct60to80,4921353,2001655,1521991,479664,2919698,528540,42893,145953,121240,24713,30314,19011,11302,301511,87481,111733,152378,1091913,366966,60017,913859,910650,674013,216713,215,19710,3209,4007494,19123379,,
1992:Q2,pct40to60,3341891,1371721,1040383,331338,1970171,483431,30507,50696,40724,9972,83632,49389,34243,200201,61788,43572,37758,663932,273532,41121,526369,524117,342284,168828,392,12614,2252,2815522,19140800,,
1992:Q2,pct20to40,1994117,948711,730620,218092,1045406,314490,15052,32499,25259,7240,17338,10806,6532,95709,39007,16450,16171,384633,86990,27067,256041,254625,144758,104213,394,5260,1416,1738076,19134692,,
1992:Q2,pct00to20,913554,496778,394219,102559,416776,130055,3712,12347,8245,4102,7382,1821,5560,38127,10964,2115,2629,138732,57476,13237,108764,108358,54637,51290,101,2330,406,804790,19128704,,
1992:Q3,pct99to100,4097269,875503,651547,223956,3221765,247065,141664,456075,378430,77646,113335,83642,29693,899385,33114,19090,154592,159561,978299,19587,241805,240711,171560,15357,273,53521,1094,3855464,958951,225991,207341092
1992:Q3,pct80to99,11734529,3916022,3118356,797666,7818507,1132756,203942,526150,427156,98994,190572,142063,48510,1377139,210615,255467,570216,1971516,1269399,110734,1707805,1700239,1383254,237481,645,78858,7566,10026725,18235694,54012,225991
1992:Q3,pct60to80,5001061,2032546,1548919,483627,2968515,528777,40312,147566,126749,20817,28296,17463,10833,313593,88771,115771,163034,1105408,375910,61076,923852,920663,685609,216314,127,18613,3189,4077209,19172578,34261,54012
1992:Q3,pct40to60,3416582,1408720,1063991,344728,2007862,486847,30830,46363,38845,7518,92002,56802,35201,210123,64614,43805,38813,675761,276720,41985,537459,535139,350508,171061,229,13341,2320,2879122,19189179,20498,34261
1992:Q3,pct20to40,2043212,985396,765445,219951,1057816,314494,14771,32141,24691,7450,11632,5534,6097,102154,40676,17334,12748,401584,82518,27765,263524,262065,147699,108757,258,5350,1460,1779688,19183010,10872,20498
1992:Q3,pct00to20,947879,517525,415729,101795,430354,131611,3861,13689,9461,4228,6902,1582,5321,40184,10975,2218,2056,146650,58525,13682,112779,112385,57248,52962,60,2114,394,835100,19178070,0,10864
1992:Q4,pct99to100,4295236,894545,667882,226663,3400691,265144,134506,466717,381845,84872,124488,95047,29441,1047830,36904,19636,158285,158598,968434,20148,244947,243772,174186,15324,400,53862,1174,4050289,961395,,
1992:Q4,pct80to99,12006428,3952304,3147468,804836,8054123,1141528,195678,521555,423150,98404,186922,139147,47776,1539287,210726,267818,583160,2030035,1265834,111578,1728376,1720881,1395539,247245,918,77179,7495,10278052,18281535,,
1992:Q4,pct60to80,5098079,2060210,1569083,491127,3037869,531762,39785,143009,122951,20058,30379,18740,11638,349186,92331,119878,167520,1127818,373944,62258,945079,941811,700835,221575,202,19198,3269,4152999,19222052,,
1992:Q4,pct40to60,3459529,1423840,1077016,346824,2035689,485589,30083,47543,39313,8230,86794,53450,33344,221427,64594,47431,44538,696569,268503,42618,547451,545149,356531,175171,348,13099,2302,2912079,19237679,,
1992:Q4,pct20to40,2078810,989847,768641,221206,1088963,317765,15742,34233,26625,7608,11000,4971,6029,110794,41326,17241,16702,409204,86606,28350,273529,272064,154016,110893,353,6802,1465,1805281,19231591,,
1992:Q4,pct00to20,974564,524925,422112,102813,449639,132241,4468,13580,9437,4143,6772,1550,5221,43819,11459,2450,3889,149994,66944,14023,117194,116788,59794,54562,89,2343,406,857370,19227654,,
1993:Q1,pct99to100,4399150,911719,665293,246426,3487430,259300,134918,474999,376855,98144,142051,112846,29205,1096322,40607,20040,164803,155599,978134,20657,244999,243729,175434,13248,681,54366,1270,4154151,963871,,
1993:Q1,pct80to99,12154777,3984565,3188463,796102,8170212,1099953,199902,529267,413941,115326,190873,143815,47058,1593935,210611,275661,609452,2066201,1282202,112155,1730208,1722773,1394859,243863,1527,82523,7435,10424569,18327552,,
1993:Q1,pct60to80,5149618,2072352,1579297,493055,3077266,523320,40790,139101,115384,23717,34778,22307,12471,366344,95852,121863,177717,1138693,375542,63268,942860,939509,706180,213075,372,19882,3351,4206758,19271852,,
1993:Q1,pct40to60,3453873,1405145,1068284,336860,2048728,472536,30317,50705,38805,11900,81434,49902,31531,225630,64533,50011,52362,713217,264898,43085,546330,544048,357625,172791,616,13016,2282,2907542,19286375,,
1993:Q1,pct20to40,2089613,976767,750928,225840,1112845,316063,17553,37365,28273,9091,9440,3438,6003,116473,41976,16922,21064,416258,90911,28822,276087,274617,159131,106840,564,8081,1471,1813525,19280496,,
1993:Q1,pct00to20,992298,526171,417840,108331,466127,132729,5088,12555,7981,4574,7248,2099,5150,45232,11924,2643,5585,152646,76175,14303,121701,121283,61474,57445,157,2207,418,870597,19277501,,
1993:Q2,pct99to100,4462768,924257,677060,247197,3538510,268638,129655,472453,363589,108865,157801,128836,28965,1116743,44567,20458,167857,152573,986636,21130,247257,245889,178147,12398,640,54705,1367,4215511,966379,,
1993:Q2,pct80to99,12273237,4026453,3218543,807911,8246784,1089784,194758,522302,399384,122918,194816,148485,46331,1618521,210993,283836,619164,2102600,1297465,112545,1750763,1743388,1411176,250174,1383,80655,7376,10522474,18373826,,
1993:Q2,pct60to80,5214929,2110655,1607998,502657,3104273,522042,40644,129662,104681,24981,38747,25440,13307,378350,99520,124006,180669,1149626,376848,64158,963563,960128,724670,214613,372,20473,3435,4251366,19322036,,
1993:Q2,pct40to60,3482960,1421203,1079453,341751,2061756,466789,29814,51731,37351,14381,76887,47200,29687,227889,64559,52664,57226,729975,260783,43437,555138,552875,364719,174799,592,12765,2263,2927822,19335347,,
1993:Q2,pct20to40,2134140,997175,769759,227416,1136966,317521,18734,39369,29455,9914,8156,2192,5965,121333,42637,16620,24700,423356,95326,29214,283936,282459,165642,106770,485,9563,1477,1850204,19329788,,
1993:Q2,pct00to20,1017661,536789,427274,109515,480873,133324,5698,10050,5364,4685,7624,2555,5070,46026,12439,2838,7359,155313,85661,14542,126926,126495,63993,59909,146,2448,431,890736,19327658,,
1993:Q3,pct99to100,4573742,935312,689398,245915,3638430,281125,126326,471813,351036,120777,162502,133780,28722,1183883,48657,20947,171591,149618,1000284,21684,249078,247613,179566,12008,761,55278,1465,4324664,968920,,
1993:Q3,pct80to99,12459125,4068724,3247545,821179,8390401,1085778,192824,519132,385161,133971,190018,144421,45597,1693167,211605,294204,632054,2140322,1317986,113311,1786096,1778781,1427551,260781,1598,88851,7315,10673029,18420435,,
1993:Q3,pct60to80,5294939,2150292,1637729,512562,3144647,522177,40896,122205,95073,27132,39463,25314,14150,399031,103268,127176,184951,1161181,378997,65301,989960,986441,744184,220585,471,21201,3519,4304979,19372660,,
1993:Q3,pct40to60,3521331,1436829,1088922,347907,2084501,462432,29563,53746,35991,17755,73583,45765,27818,233414,64625,55827,62511,747050,257724,44024,564612,562369,370255,178644,725,12745,2243,2956719,19384677,,
1993:Q3,pct20to40,2188291,1022930,794430,228501,1165360,319625,20140,41434,30408,11026,8283,2363,5920,127607,43305,16428,28382,430526,99862,29771,292613,291131,171520,108297,532,10782,1483,1895678,19379533,,
1993:Q3,pct00to20,1044952,547999,437996,110003,496953,133943,6315,8023,3162,4861,7255,2270,4985,47855,12979,3053,9077,158032,95554,14867,130591,130147,65456,62352,175,2164,444,914361,19378176,,
1993:Q4,pct99to100,4706857,950929,699399,251530,3755929,289977,126956,491109,356354,134755,170217,141735,28481,1250858,52795,21278,174069,146371,1010193,22107,252760,251195,181600,13013,792,55790,1565,4454097,971495,,
1993:Q4,pct80to99,12657495,4116402,3284390,832012,8541093,1073862,197523,538829,383317,155512,188772,143910,44863,1767604,212274,299557,638999,2175377,1334866,113429,1819301,1812046,1438794,277396,1605,94252,7254,10838194,18467457,,
1993:Q4,pct60to80,5378754,2190760,1668301,522459,3187994,520540,41977,125077,92989,32088,41249,26245,15004,419722,107050,128005,186660,1171297,380396,66020,1017712,1014108,758983,232713,518,21895,3604,4361042,19423782,,
1993:Q4,pct40to60,3557436,1451469,1100325,351144,2105967,456202,29832,60145,36664,23481,70219,44280,25939,238924,64701,57814,66703,763697,253523,44208,577038,574815,375243,186141,771,12659,2223,2980398,19434445,,
1993:Q4,pct20to40,2234114,1040197,808321,231876,1193917,320981,22038,45064,32108,12955,7978,2098,5880,133899,43977,15992,31766,437666,104508,30048,305233,303744,177531,113627,502,12083,1489,1928881,19429796,,
1993:Q4,pct00to20,1075323,559233,446007,113226,516090,134553,6957,8823,3556,5267,7152,2250,4903,49681,13527,3223,10801,160676,105651,15046,133469,133012,67525,63279,181,2027,456,941854,19429103,,
1994:Q1,pct99to100,4719110,964984,700373,264611,3754126,295417,128909,528687,382896,145790,177569,149314,28255,1177369,56120,21586,175034,143186,1027627,22621,252365,250692,182129,11301,1113,56149,1673,4466745,974105,,
1994:Q1,pct80to99,12709337,4175945,3343434,832511,8533392,1054570,204510,555444,395016,160428,187913,143772,44141,1691733,211196,304157,638884,2211680,1359326,113980,1828847,1821648,1446809,279367,2204,93269,7199,10880490,18514971,,
1994:Q1,pct60to80,5423547,2217611,1689621,527989,3205936,517264,43346,131637,99034,32603,43052,27164,15888,414344,110398,128489,185356,1181992,383029,67029,1028970,1025279,772260,229739,771,22509,3691,4394577,19475460,,
1994:Q1,pct40to60,3556132,1439771,1092310,347461,2116361,448237,30271,66043,39767,26277,67091,43001,24090,234706,64473,59619,69638,780649,250971,44662,579130,576928,377611,185772,1124,12421,2202,2977003,19484732,,
1994:Q1,pct20to40,2261040,1043339,807384,235955,1217701,321651,24131,48640,34975,13665,7726,1850,5876,135942,44629,15523,34808,444880,109256,30515,309561,308067,182701,111142,651,13572,1495,1951478,19480643,,
1994:Q1,pct00to20,1102051,566878,449247,117630,535173,135159,7616,12201,6991,5211,7085,2240,4844,48406,13908,3385,12532,163370,116188,15324,137956,137486,68443,66555,264,2224,470,964095,19480488,,
1994:Q2,pct99to100,4760295,978635,708789,269846,3781660,296430,124666,572169,414954,157215,180787,152769,28018,1135082,59635,21795,178860,139822,1049332,23081,256585,254798,184899,11883,1491,56525,1786,4503710,976751,,
1994:Q2,pct80to99,12781456,4230828,3388226,842603,8550628,1025876,201132,573305,408114,165191,183991,140587,43403,1649070,210471,305708,652131,2246616,1388076,114254,1855059,1847913,1458991,293145,2890,92887,7146,10926397,18563057,,
1994:Q2,pct60to80,5485889,2254889,1717646,537243,3230999,511903,43435,140093,107044,33049,43754,26986,16768,414607,113858,127567,189713,1191912,386299,67858,1054098,1050318,787304,238787,1093,23135,3779,4431791,19527750,,
1994:Q2,pct40to60,3573915,1444979,1094500,350479,2128936,438084,29908,72789,43548,29241,64203,42018,22186,232587,64307,60701,74718,797424,249273,44943,591530,589349,383696,191895,1563,12195,2181,2982385,19535619,,
1994:Q2,pct20to40,2303567,1061749,822725,239024,1241818,321440,25472,52604,38217,14388,7872,2028,5844,138853,45289,14913,38322,452103,114087,30862,321676,320175,189140,115176,802,15057,1501,1981891,19532139,,
1994:Q2,pct00to20,1134961,578996,458577,120419,555965,135763,8246,16729,11601,5128,6772,2006,4767,47808,14325,3519,14165,166030,127069,15540,142022,141538,71086,67694,368,2390,483,992939,19532380,,
1994:Q3,pct99to100,4851915,985970,716760,269210,3865945,309293,125393,591489,423186,168303,184925,157144,27781,1158659,65725,22135,184436,136613,1063601,23675,260578,258681,187452,12764,1614,56852,1897,4591337,979433,,
1994:Q3,pct80to99,12921872,4256367,3397945,858422,8665506,1021154,206168,571289,407171,164119,181409,138748,42661,1677182,215109,311223,673448,2283815,1409543,115165,1881664,1874575,1472050,309227,3029,90269,7089,11040208,18611792,,
1994:Q3,pct60to80,5570029,2299118,1750687,548432,3270911,511964,44573,137397,105521,31875,44826,27167,17658,427264,118731,128492,197439,1202935,388177,69113,1082234,1078366,803259,250128,1239,23740,3868,4487795,19580711,,
1994:Q3,pct40to60,3618032,1467532,1109719,357813,2150501,433413,30191,75742,44567,31174,61345,41087,20258,235139,65073,62710,81063,814695,245507,45623,604552,602392,389727,199019,1732,11914,2159,3013481,19587186,,
1994:Q3,pct20to40,2360037,1089658,848654,241004,1270379,323632,27464,54962,40268,14694,7871,2062,5809,143843,46032,14496,42118,459427,119045,31487,334574,333066,195523,120146,776,16621,1507,2025464,19584348,,
1994:Q3,pct00to20,1166856,591510,469876,121634,575346,136428,8915,17302,12415,4887,6550,1865,4686,48680,15266,3688,15744,168771,138099,15902,145775,145278,73533,68669,401,2675,497,1021081,19584829,,
1994:Q4,pct99to100,4932785,995279,723190,272089,3937506,320981,129418,656957,475483,181475,189385,161873,27512,1131509,68984,22285,183377,133007,1077406,24197,266728,264719,190348,14893,2041,57437,2009,4666057,982153,,
