Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
2014:Q1,pct99to100,18767034,3246274,2620123,626152,15520760,1750487,357519,1051383,823416,227967,402153,363032,39122,7193869,300642,43799,818269,230558,3294609,77472,852455,846773,592286,62740,21135,170612,5682,17914579,1232951,,
2014:Q1,pct80to99,42670591,11030376,9345489,1684887,31640215,3338418,890671,1363853,1061799,302054,520850,474181,46670,8751316,693534,1149615,3602464,7384992,3587399,357104,5996168,5981472,4594013,998432,36427,352599,14696,36674423,23426749,,
2014:Q1,pct60to80,14861889,4902403,3863572,1038832,9959486,1205628,185970,281258,212155,69104,111199,98090,13109,1482496,219826,528723,1057433,3927648,719631,239674,3066629,3062029,2216813,784559,20132,40525,4600,11795260,24653834,,
2014:Q1,pct40to60,7683997,2878261,2195710,682551,4805736,770995,99218,155781,115005,40776,24541,17569,6973,698618,134786,186471,376326,1922951,271334,164716,1726651,1723945,1106025,584180,9543,24196,2706,5957346,24655378,,
2014:Q1,pct20to40,4476473,2065325,1587321,478003,2411148,511640,54655,96752,81839,14913,25623,19507,6116,289290,75465,48894,97822,904798,172943,133266,985201,983658,580685,382455,7912,12606,1543,3491272,24660927,,
2014:Q1,pct00to20,2613099,1239051,970407,268644,1374048,292158,29811,29133,21240,7893,72626,67246,5381,258582,39214,5420,38584,210333,335752,62435,640647,639822,259643,284449,66610,29120,825,1972452,24650219,,
2014:Q2,pct99to100,19498287,3343101,2706664,636438,16155185,1783726,337030,1061669,807357,254312,397624,359557,38067,7653251,304786,46222,850575,237268,3404872,78161,875194,868953,601852,72412,22507,172182,6242,18623092,1236221,,
2014:Q2,pct80to99,43675230,11196409,9515325,1681084,32478821,3382951,856316,1393744,1045337,348406,521535,475281,46254,9213211,700439,1168751,3697008,7464389,3720540,359936,6004791,5989560,4586477,1011546,38885,352651,15231,37670439,23490987,,
2014:Q2,pct60to80,15052153,4975087,3932303,1042784,10077066,1194274,184411,288775,208354,80421,107388,94258,13131,1527392,223599,540678,1083136,3963897,721044,242471,3074981,3070223,2200208,806803,22502,40710,4758,11977173,24721755,,
2014:Q2,pct40to60,7821218,2959938,2273443,686495,4861279,781001,96830,166407,118734,47673,26933,20026,6907,704989,136431,189072,384046,1929557,279515,166498,1738974,1736259,1104170,598652,10494,22943,2715,6082244,24723183,,
2014:Q2,pct20to40,4510454,2084745,1605265,479480,2425709,512005,52435,97070,79643,17427,24849,19229,5620,295567,76309,48924,102036,903305,180155,133053,996486,994908,578542,395448,8399,12519,1578,3513968,24728726,,
2014:Q2,pct00to20,2624767,1246935,975672,271263,1377832,286676,28506,28177,19091,9086,70326,65027,5298,266966,42048,6053,38504,207651,340007,62918,640702,639799,262637,279140,65120,32902,903,1984065,24717874,,
2014:Q3,pct99to100,19664256,3430929,2778672,652257,16233326,1826184,341067,1067499,811152,256348,411868,374897,36970,7536579,306729,48109,857642,242659,3516548,78443,895893,890110,611460,81340,23523,173787,5783,18768363,1239286,,
2014:Q3,pct80to99,43990293,11380232,9699992,1680240,32610062,3445978,872083,1395215,1049096,346119,540182,494443,45739,9071499,702699,1163018,3674332,7529353,3854908,360795,5917596,5902675,4589096,1027548,39496,246536,14921,38072697,23551129,,
2014:Q3,pct60to80,15083931,5045024,3995381,1049642,10038907,1187013,190852,291045,211378,79667,109195,96088,13107,1473223,226170,540827,1060834,3992651,723131,243967,3090390,3085628,2191764,829957,24204,39703,4762,11993541,24785520,,
2014:Q3,pct40to60,7870105,3015210,2324740,690471,4854895,794994,98789,172030,125136,46894,27597,20792,6804,677197,137269,185580,373190,1933151,288040,167059,1753169,1750387,1104678,615788,10767,19153,2782,6116936,24786771,,
2014:Q3,pct20to40,4525089,2104234,1620350,483884,2420854,513970,53341,96205,78953,17252,21980,16863,5117,288103,77078,47772,101927,901137,187360,131981,1009628,1008043,576864,407646,8104,15429,1585,3515461,24792144,,
2014:Q3,pct00to20,2626922,1255064,978031,277033,1371858,281168,27921,28365,19290,9076,69704,64511,5192,263072,44447,6476,38917,204399,344435,62953,650786,649852,265493,280666,60168,43526,934,1976136,24781384,,
2014:Q4,pct99to100,20191404,3494633,2825515,669119,16696770,1866019,343694,1054159,805260,248899,396771,360809,35962,7857536,311367,50488,882372,249200,3606268,78898,917135,911714,620737,90390,25106,175482,5420,19274269,1242172,,
2014:Q4,pct80to99,44748579,11511855,9840403,1671452,33236723,3503970,885080,1367952,1042825,325127,531100,485822,45277,9390114,710588,1178595,3735408,7605275,3966152,362489,5912902,5898214,4590423,1040784,42234,224773,14688,38835677,23607616,,
2014:Q4,pct60to80,15188591,5081137,4028983,1052154,10107453,1178896,196939,285214,210941,74273,101851,88748,13103,1495725,230206,551165,1073139,4027057,721238,246023,3106575,3101794,2182689,852396,27047,39662,4781,12082016,24845562,,
2014:Q4,pct40to60,7936096,3046317,2356002,690315,4889779,807900,100512,172786,129595,43191,31182,24438,6744,676333,139085,187311,375787,1938814,291917,168153,1766509,1763665,1104581,629887,11862,17336,2844,6169588,24846576,,
2014:Q4,pct20to40,4543197,2111176,1624242,486934,2432021,515540,54072,93662,77619,16043,22362,17684,4678,291347,77919,47617,104872,899236,194127,131266,1020735,1019141,574947,419628,8604,15962,1594,3522461,24851655,,
2014:Q4,pct00to20,2624277,1253135,971349,281786,1371142,275733,27264,27025,18427,8598,66232,61116,5116,268655,47409,7090,38984,201552,348015,63183,651920,650951,268131,276454,57490,48875,970,1972357,24841182,,
2015:Q1,pct99to100,20694117,3578788,2894927,683861,17115330,1960703,330972,1073235,848444,224792,395337,360723,34613,8061197,315679,52688,906385,255062,3684842,79230,929710,923860,625955,94044,26928,176934,5850,19764407,1244904,,
2015:Q1,pct80to99,45491231,11670002,10004866,1665136,33821228,3670857,866585,1362952,1087406,275546,535040,490688,44352,9586152,717770,1185319,3793988,7673494,4065486,363585,5891367,5876255,4576513,1031044,45804,222894,15112,39599863,23660890,,
2015:Q1,pct60to80,15306517,5129345,4073697,1055648,10177173,1194036,197928,289547,227601,61946,98480,85573,12906,1498586,234063,557322,1084557,4057449,717518,247686,3088737,3083819,2164251,849260,30515,39794,4918,12217780,24902313,,
2015:Q1,pct40to60,8029995,3095388,2403493,691895,4934607,844309,99499,177677,142442,35235,33322,26852,6471,668849,140779,186867,378068,1942826,293529,168881,1761628,1758769,1095994,633480,13320,15975,2859,6268367,24903031,,
2015:Q1,pct20to40,4566667,2120026,1630323,489703,2446641,526489,52840,93095,79796,13299,21005,16921,4084,291872,78744,47036,107706,896931,200634,130288,1015428,1013803,570319,418187,9395,15902,1625,3551239,24907731,,
2015:Q1,pct00to20,2623599,1251529,965433,286096,1372070,270030,26179,30376,22986,7390,63841,58942,4899,271768,50315,7634,39067,198392,351190,63277,657625,656582,267904,281088,54726,52864,1042,1965974,24897705,,
2015:Q2,pct99to100,20979094,3687476,2986294,701181,17291618,1992603,321617,1040687,849444,191243,383490,350177,33313,8121979,316894,54896,916641,260218,3802891,79702,951114,944955,635313,102388,28945,178308,6158,20027980,1247506,,
2015:Q2,pct80to99,45908817,11868737,10194776,1673962,34040079,3713363,854962,1305481,1088546,216934,529331,485909,43422,9632163,718431,1191588,3789766,7733823,4205816,365356,5932642,5917209,4594240,1046452,50164,226353,15433,39976175,23711391,,
2015:Q2,pct60to80,15367332,5212328,4143945,1068383,10155004,1183073,200029,277104,229373,47731,91766,79058,12708,1477412,236228,563296,1070737,4083726,721830,249803,3121826,3116789,2168223,873962,34635,39970,5036,12245507,24956205,,
2015:Q2,pct40to60,8116230,3182402,2482304,700098,4933828,853879,99080,174084,147739,26345,36617,30393,6224,653162,141338,186308,370644,1945154,303523,170040,1779908,1777026,1099509,647622,15153,14743,2882,6336322,24956570,,
2015:Q2,pct20to40,4582010,2138225,1641279,496946,2443785,526827,52037,89196,79035,10161,20881,17337,3544,289021,79469,46425,108232,894228,207872,129598,1026508,1024855,569072,429629,10471,15683,1653,3555503,24960848,,
2015:Q2,pct00to20,2627611,1261920,967403,294516,1365692,264787,25182,28724,22803,5921,60433,55732,4701,271810,52600,8179,39377,194912,356160,63528,656957,655847,270254,277680,51448,56465,1110,1970654,24951386,,
2015:Q3,pct99to100,20606454,3774533,3071575,702958,16831921,2018349,335620,1167492,976281,191211,372011,340171,31840,7457477,315790,56481,890280,263630,3874022,80769,972926,967003,645500,110569,30941,179992,5923,19633527,1250002,,
2015:Q3,pct80to99,45481771,12038090,10357678,1680412,33443681,3743831,891917,1428363,1215205,213159,524143,481932,42211,8911508,714201,1168569,3618617,7775689,4296853,369990,5952051,5936747,4613690,1065745,53909,203403,15304,39529721,23759559,,
