Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2024:Q2,Bottom50,3879079,9847211,4873139,1884871,473062,473620,649735,165298,1327486,5968132,3034038,2564911,369183
2024:Q3,TopPt1,22445956,22644230,1938577,625481,11478392,297727,207318,4365903,3730832,198274,75388,51332,71554
2024:Q3,RemainingTop1,27374753,28147623,4569329,388261,12517731,866838,1479154,3864625,4461685,772870,375899,112568,284403
2024:Q3,Next9,58903112,62727790,14770501,1731496,17949289,6767732,6464997,4889655,10154120,3824678,3132304,522603,169771
2024:Q3,Next40,48733560,57409304,22394208,3415196,5671642,9291969,5732646,2264609,8639034,8675745,6621939,1781270,272536
2024:Q3,Bottom50,3904209,9939496,4874075,1899076,507521,475859,679250,165543,1338172,6035287,3068098,2597089,370100
2024:Q4,TopPt1,22586633,22785667,1925067,632949,11576055,297527,209130,4391991,3752948,199034,76738,50458,71838
2024:Q4,RemainingTop1,27593827,28321198,4526790,393023,12615236,873937,1478632,3882251,4551330,727371,372180,110939,244252
2024:Q4,Next9,58969975,62823154,14644940,1756829,18087599,6829121,6418360,4916118,10170187,3853179,3174140,511195,167844
2024:Q4,Next40,48731759,57395404,22156087,3463872,5711352,9342021,5723886,2274137,8724048,8663645,6674041,1748245,241359
2024:Q4,Bottom50,4003310,10008904,4883787,1927506,511971,478104,679589,165782,1362164,6005594,3088712,2567044,349838
2025:Q1,TopPt1,22194486,22392029,1922401,663116,11092739,300051,207066,4374992,3831664,197543,77375,49631,70537
2025:Q1,RemainingTop1,27202211,27909228,4531392,394358,12150194,876106,1453229,3880330,4623619,707017,371685,109577,225755
2025:Q1,Next9,58380613,62233868,14675775,1763883,17431129,6842034,6283196,4903694,10334156,3853255,3192995,500384,159876
2025:Q1,Next40,48494665,57142377,21978923,3516728,5531444,9382831,5597821,2274933,8859697,8647712,6703037,1720485,224190
2025:Q1,Bottom50,4003987,9972081,4826369,1961186,489688,480408,664652,166939,1382839,5968093,3086027,2554995,327071
