Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2019:Q1,Next40,36184668,14926249,12593647,2332602,21258419,3468949,457847,715453,715453,0,65564,40365,25199,2955983,599539,679229,3067504,7130438,1517879,600034,6647864,6634677,5024955,1368953,84945,155824,13187,29536804,51282357,
2019:Q1,Bottom50,6518167,4506628,3207417,1299211,2011539,511343,13565,25740,25740,0,1512,565,946,156484,138055,34564,442222,251446,181907,254701,4813691,4810502,2263809,2296293,116242,134158,3189,1704476,64107779,
2019:Q2,TopPt1,13168736,1545574,1129046,416528,11623162,882232,93604,638636,638636,0,279427,268159,11268,5988811,158212,2036,124205,48235,3378772,28993,124887,123002,50628,18327,1240,52807,1884,13043849,130183,
2019:Q2,RemainingTop1,20067889,3563101,3235942,327159,16504788,1419404,423841,933187,933187,0,438276,426965,11311,8392758,349994,93372,766454,716496,2891995,79013,699650,692460,508084,49607,25987,108782,7190,19368239,1153458,
2019:Q2,Next9,44783622,10087333,8904025,1183308,34696289,3863832,825947,1605145,1605145,0,180824,151600,29225,9903120,510155,1509368,3537257,8555528,3908454,296659,2727670,2716782,2336168,261033,19305,100275,10888,42055952,11555773,
2019:Q2,Next40,36684715,15074345,12726400,2347946,21610370,3448194,450676,767886,767886,0,69748,42659,27089,3019799,599285,689018,3159655,7252056,1552405,601647,6718554,6705512,5062545,1389442,89068,164456,13042,29966161,51369427,
2019:Q2,Bottom50,6620346,4575904,3264247,1311657,2044442,505430,12247,25000,25000,0,1596,577,1018,160710,138580,35476,459192,261193,187759,257259,4868744,4865605,2273539,2333698,121138,137231,3139,1751602,64216998,
2019:Q3,TopPt1,13096931,1519621,1133106,386515,11577309,862702,132720,633019,633019,0,293206,282616,10590,5870563,162558,622,116980,44722,3431129,29089,128387,126406,50700,18700,880,56127,1981,12968543,130501,38420920
2019:Q3,RemainingTop1,20129926,3555727,3225558,330168,16574199,1374926,486354,937537,937537,0,442667,431903,10764,8432368,358450,94526,753690,729597,2884883,79201,703748,696169,515997,47253,21662,111257,7579,19426178,1155287,10473388
2019:Q3,Next9,45073390,10129905,8905211,1224694,34943485,3888819,915960,1628764,1628764,0,179524,152133,27391,9853128,512056,1528877,3594739,8565960,3976700,298958,2751168,2740057,2369089,262189,17681,91098,11111,42322222,11574716,1775322
2019:Q3,Next40,37015988,15211798,12848281,2363517,21804191,3471512,492396,782590,782590,0,76432,47117,29315,2981415,599278,694916,3173699,7370611,1559821,601521,6785374,6772216,5104119,1410366,86064,171667,13158,30230615,51456152,160852
2019:Q3,Bottom50,6816563,4751476,3431647,1319828,2065087,506967,14058,24443,24443,0,1742,639,1103,152629,139162,36451,466426,270856,193308,259046,4930721,4927533,2282073,2385640,121514,138306,3188,1885842,64325791,
2019:Q4,TopPt1,13776178,1538327,1154112,384214,12237852,923184,169420,619723,619723,0,288185,275151,13034,6424879,166562,6067,120040,64773,3424965,30054,132609,130617,51412,21213,1763,56229,1992,13643570,130794,
2019:Q4,RemainingTop1,20626082,3559721,3228794,330927,17066361,1432483,497417,897005,897005,0,424248,413926,10322,8807890,357181,103883,807679,749568,2909204,79804,710013,702597,505860,52349,28161,116226,7416,19916069,1157127,
2019:Q4,Next9,46113398,10234049,8989614,1244435,35879350,4000830,956988,1581405,1581405,0,186242,160070,26172,10611541,518985,1513429,3767735,8474945,3963710,303540,2784132,2772992,2382126,282386,19356,89124,11140,43329266,11593589,
2019:Q4,Next40,38156792,15467080,13082303,2384777,22689712,3632336,518448,765937,765937,0,80727,52639,28088,3229327,603071,728801,3342371,7582641,1588567,617484,6859059,6845899,5153477,1438372,84905,169145,13160,31297733,51542564,
2019:Q4,Bottom50,6933655,4759725,3432735,1326990,2173930,534412,15583,25041,25041,0,1811,839,972,187020,140449,38133,484559,290748,190571,265604,4963866,4960677,2298446,2397871,120013,144347,3189,1969788,64434188,
