Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2014:Q1,Silent,21628805,22771101,4859896,943465,5897322,2942963,593294,1906731,5627430,1142296,770711,199653,171932
2014:Q1,BabyBoom,42886696,48553862,9651635,2122807,9579388,10065824,5252852,4452483,7428873,5667166,4111793,1028696,526677
2014:Q1,GenX,12101458,17110880,5143312,1266500,2911606,1452605,1933341,1891421,2512095,5009422,3726121,1188203,95098
2014:Q1,Millennial,1188373,2637240,927779,446297,285854,119886,174333,131032,552059,1448867,740842,680263,27762
2014:Q2,Silent,21880762,23026764,4905504,933970,6133909,2933560,591917,1970081,5557823,1146002,764127,201912,179963
2014:Q2,BabyBoom,44195305,49777819,9817593,2133221,10135614,10138960,5354575,4630256,7567600,5582514,4023752,1033842,524920
2014:Q2,GenX,12496898,17548544,5291729,1266526,3071991,1505117,2014288,1894988,2503905,5051647,3736569,1217174,97904
2014:Q2,Millennial,1278016,2828980,993846,463828,319863,128430,194225,150809,577980,1550964,809437,711074,30453
2014:Q3,Silent,21763570,22902907,4966920,923273,5978401,2921184,582441,2032739,5497949,1139337,759147,202425,177765
2014:Q3,BabyBoom,44863593,50288894,9964699,2146750,10074873,10186905,5330292,4808843,7776532,5425302,3959813,1033403,432086
2014:Q3,GenX,12460622,17567386,5382612,1273608,2955787,1556400,1986328,1901251,2511400,5106763,3752675,1252900,101188
2014:Q3,Millennial,1355349,3001409,1082934,489896,300610,138861,199564,171589,617954,1646060,867720,754217,24123
2014:Q4,Silent,21858700,23000328,5009075,906567,6119884,2910791,578149,2078226,5397637,1141629,753737,204471,183421
2014:Q4,BabyBoom,45854486,51198973,10045432,2152575,10483305,10253296,5399986,4961892,7902487,5344487,3895612,1037204,411671
2014:Q4,GenX,12664557,17815613,5421347,1276583,3053236,1608705,2038362,1899987,2517394,5151056,3766355,1280574,104127
2014:Q4,Millennial,1478624,3217228,1170640,516036,323285,148340,216333,187612,654982,1738604,925804,787291,25509
2015:Q1,Silent,21911760,23048854,5048008,892717,6180994,2898356,575017,2114501,5339261,1137095,745551,200576,190968
2015:Q1,BabyBoom,46847137,52110599,10161409,2159549,10766080,10306296,5454339,5101629,8161297,5263462,3841613,1013500,408349
2015:Q1,GenX,12958885,18106155,5509330,1279110,3095930,1660462,2084207,1895646,2581470,5147270,3756571,1282690,108009
2015:Q1,Millennial,1649849,3446518,1253990,540963,335420,159040,233076,201424,722604,1796669,957203,810336,29130
2015:Q2,Silent,21804822,22949160,5100097,887177,6145720,2883617,565312,2176268,5190970,1144339,742523,203000,198816
2015:Q2,BabyBoom,47445124,52691594,10313470,2179900,10894226,10345670,5458918,5285971,8213439,5246470,3818106,1019146,409218
2015:Q2,GenX,13087324,18290514,5660682,1293447,3071804,1711698,2079578,1909924,2563381,5203190,3780479,1310163,112548
2015:Q2,Millennial,1774872,3649827,1341753,574563,333797,171074,242281,225929,760431,1874955,995503,845423,34029
2015:Q3,Silent,21348456,22495472,5131628,888376,5631520,2864219,543178,2204064,5232486,1147015,739344,203730,203941
2015:Q3,BabyBoom,47356039,52552094,10498755,2195354,10230762,10353249,5290491,5416491,8566993,5196055,3788360,1020965,386730
2015:Q3,GenX,12705545,17975100,5807765,1292503,2699601,1761500,1929402,1905550,2578779,5269555,3808003,1344869,116683
2015:Q3,Millennial,1737947,3710793,1416161,587463,257081,185867,228894,239081,796246,1972846,1042630,893501,36715
2015:Q4,Silent,21349100,22494207,5155791,884130,5778699,2849647,540316,2196795,5088830,1145108,735936,198708,210464
2015:Q4,BabyBoom,48377935,53468932,10623585,2207726,10658534,10412688,5400982,5489210,8676208,5090998,3731346,989184,370468
2015:Q4,GenX,13047327,18339402,5904207,1293205,2813407,1814337,2016896,1881075,2616275,5292076,3845755,1320231,126090
2015:Q4,Millennial,1862808,3920748,1497267,605565,283377,197398,252571,239477,845093,2057940,1122769,892100,43071
2016:Q1,Silent,21301054,22441545,5171756,873958,5802197,2831952,534980,2158296,5068405,1140491,728959,195128,216404
2016:Q1,BabyBoom,49193124,54219400,10709767,2221348,10887770,10458260,5449386,5508458,8984411,5026276,3698956,970446,356874
2016:Q1,GenX,13264127,18571970,5993404,1303228,2840476,1866836,2058478,1838236,2671312,5307843,3850988,1325557,131298
2016:Q1,Millennial,2016429,4138890,1589517,638709,291016,210459,269929,227634,911626,2122461,1153179,921103,48179
2016:Q2,Silent,21370926,22514933,5243432,858040,5895682,2809234,528520,2201285,4978740,1144007,724926,196438,222643
2016:Q2,BabyBoom,50156916,55177792,10888873,2233278,11245340,10488434,5522206,5674081,9125580,5020877,3691513,974156,355208
2016:Q2,GenX,13587704,18948008,6141298,1318036,2924555,1952229,2113795,1851451,2646643,5360303,3877885,1348820,133598
2016:Q2,Millennial,2221443,4416487,1725833,682370,311632,219556,289756,250098,937242,2195043,1183534,957379,54130
2016:Q3,Silent,21360394,22505748,5251871,861611,5996552,2785549,525862,2229719,4854585,1145354,720685,196300,228369
2016:Q3,BabyBoom,51176029,56168026,11112567,2248828,11629268,10527337,5634650,5819430,9195946,4991997,3662918,975791,353288
