Table 6.6B. Wages and Salaries Per Full-Time Equivalent Employee by Industry
Table 6.6B. Wages and Salaries Per Full-Time Equivalent Employee by Industry
"Last Revised on: September 27, 2024"
Line,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
23,"                Other transportation equipment",3602,3607,3752,4259,4466,4744,4882,5167,5510,5719,6253,6560,6877,7187,7430,7789,8173,8320,8633,8881,9352,9929,10550,10888,11447,12011,13026,14398,15335,16397,17703,19648,22215,24376,26916,28479,29862,31616,33104,33800
24,"                Instruments and related products",3159,3302,3561,3928,4178,4394,4517,4740,5028,5277,5592,5851,6007,6206,6390,6597,6936,7034,7248,7568,7896,8424,8882,9491,9926,10444,11161,12228,13062,14082,14997,16310,18260,20228,22174,23739,24969,26415,28590,30093
25,"                Miscellaneous manufacturing industries",2808,2856,3020,3240,3404,3560,3640,3789,4015,4195,4408,4528,4648,4753,4883,5039,5301,5365,5548,5849,6252,6620,7097,7355,7800,8080,8679,9407,10148,10678,11441,12507,13932,15072,16719,17820,18394,19411,20230,21002
26,"            Nondurable goods",2892,2961,3154,3386,3587,3784,3923,4134,4387,4540,4725,4950,5081,5250,5416,5570,5836,5950,6172,6413,6849,7257,7691,8167,8636,9099,9925,10901,11710,12578,13559,14737,16328,17733,19315,20461,21505,22704,23702,24528
27,"                Food and kindred products",2870,2970,3140,3398,3612,3855,4033,4247,4506,4648,4872,5094,5257,5428,5608,5773,6040,6141,6379,6632,7031,7403,7896,8408,8866,9365,10287,11220,12170,12972,13923,15100,16671,18024,19436,20328,21130,22060,22828,23564
28,"                Tobacco manufactures",2040,2119,2333,2490,2689,2835,3000,3172,3463,3663,3800,3978,4189,4253,4471,4616,4795,4919,5253,5405,5902,6329,7063,7797,8230,8842,9519,10831,11986,12985,14552,16044,19076,21588,23848,26062,27274,29306,31241,35508
29,"                Textile mill products",2578,2570,2784,2935,3039,3088,3077,3255,3401,3440,3519,3793,3870,3948,4130,4226,4505,4703,4915,5040,5459,5738,6035,6369,6853,7263,7758,8448,9105,9739,10527,11381,12421,13417,14126,15386,15975,16631,17547,18451
30,"                Apparel and other textile products",2445,2407,2541,2645,2741,2862,2923,3027,3226,3293,3379,3507,3540,3633,3780,3860,4058,4140,4248,4481,4909,5143,5337,5606,5812,6112,6593,7118,7628,8046,8636,9296,10075,10869,11633,12240,12747,13343,13876,14208
31,"                Paper and allied products",3194,3248,3498,3815,4032,4252,4391,4654,4895,5067,5292,5559,5708,5952,6151,6327,6636,6768,7037,7256,7734,8182,8637,9226,9947,10581,11461,12613,13847,14996,16300,17821,19727,21482,23135,24697,26423,27732,29205,30064
32,"                Printing and publishing",3499,3700,3892,4115,4399,4682,4885,5133,5430,5568,5771,6009,6197,6346,6502,6686,6971,7096,7368,7586,8001,8558,8975,9597,10210,10658,11347,12176,13053,13809,14706,15633,17254,18584,20181,21293,22395,23433,24575,25585
33,"                Chemicals and allied products",3384,3549,3797,4131,4370,4658,4878,5121,5475,5725,6033,6307,6509,6755,6996,7199,7507,7618,7915,8168,8655,9238,9871,10514,11244,11894,13069,14370,15496,16789,18219,19872,22105,24188,26441,28211,30091,32131,33742,35417
34,"                Petroleum and coal products",4145,4294,4449,4793,5091,5349,5478,5753,6153,6427,6676,7153,7238,7593,7656,7989,8172,8427,8704,9034,9590,10269,10775,11505,12410,13152,14418,16594,18057,19631,21350,22950,26279,28015,31832,34243,36725,39829,41417,40328
35,"                Rubber and miscellaneous plastics products",3214,3286,3600,3861,4168,4358,4445,4852,4965,5199,5325,5644,5714,5902,6017,6162,6450,6538,6693,6890,7302,7599,7956,8375,8799,9215,9909,10634,11284,12249,13172,14350,15838,17242,18570,19794,20711,21386,22137,22795
36,"                Leather and leather products",2416,2416,2571,2723,2931,3035,3076,3229,3423,3507,3575,3750,3768,3853,3988,4084,4346,4411,4551,4779,5172,5438,5746,6098,6344,6500,6978,7527,7973,8426,8866,9705,10627,11487,12448,13303,13989,14156,14831,15512
37,"        Transportation and public utilities",3297,3398,3545,3831,4056,4258,4392,4589,4833,5081,5328,5639,5821,6014,6264,6489,6817,7030,7309,7622,8113,8724,9336,10151,10973,11886,12698,13746,15226,16498,17967,19500,21337,23310,24876,26248,27039,28223,29060,30108
38,"            Transportation",3428,3512,3639,3947,4153,4334,4436,4623,4886,5163,5405,5680,5835,5994,6228,6428,6740,6989,7269,7603,8107,8746,9396,10266,10991,11980,12677,13550,14944,16151,17505,19017,20786,22446,23501,24295,24731,25290,25792,26517
39,"                Railroad transportation",3607,3703,3778,4163,4338,4418,4544,4701,5085,5416,5836,6099,6241,6440,6651,6823,7105,7460,7708,8116,8663,9317,10110,11360,11991,13775,14240,14987,17292,18784,20605,23025,25049,27143,29550,33183,34829,36609,39167,41972
40,"                Local and interurban passenger transit",3101,3164,3288,3489,3645,3809,3914,4142,4306,4449,4571,4789,4877,4966,5081,5202,5409,5553,5737,5926,6279,6623,6996,7309,7496,7973,8645,9462,10121,10780,11482,12155,13372,14321,15102,14785,14728,14944,15181,15455
41,"                Trucking and warehousing1",3140,3261,3468,3614,3834,4106,4200,4410,4548,4763,4953,5284,5396,5563,5797,6053,6408,6623,6896,7166,7670,8207,8672,9657,10548,11384,12054,12765,13991,15102,16319,17533,19067,20572,21264,21587,22087,22380,22799,23633
42,"                Water transportation",3465,3404,3698,4080,4465,5017,4937,5126,5300,5663,5610,5757,6212,6307,6708,6919,7185,7402,7907,8201,8684,9615,10302,10594,11074,11979,12850,14136,15514,17065,19071,21086,23378,25019,25874,26774,27803,28571,29249,29769
43,"                Transportation by air1",3584,3805,4070,4411,4741,4982,5172,5416,5549,5813,6144,6731,6929,7145,7580,7833,8262,8495,8742,9253,9782,10816,12027,12988,13988,14695,15702,17035,18501,20123,21797,23383,25656,27970,29487,31198,30987,32139,32235,32546
44,"                Pipelines, except natural gas",4100,4172,4333,4714,5069,5286,5444,5692,6077,6385,6480,6833,6957,7318,7524,7800,8105,8053,8667,8778,9222,9722,10765,11412,11882,13125,14562,16765,17833,19444,21600,24450,26227,29500,33000,34143,35895,37316,39284,40179
45,"                Transportation services",2920,3282,3129,3481,3713,3827,4079,4179,4564,4921,5139,5184,5380,5532,5675,5744,5977,6239,6484,6696,7155,7642,8232,8679,9274,9820,10664,11430,12146,12779,13413,14530,15953,17467,18553,18889,19710,20542,21199,22071
46,"            Communication",2869,3019,3180,3390,3642,3881,4093,4339,4501,4675,4931,5305,5532,5793,6078,6335,6687,6823,7084,7289,7752,8282,8755,9526,10643,11489,12536,13887,15615,17060,18875,20491,22303,24702,26701,28872,29831,32011,33325,35161
47,"                Telephone and telegraph",2776,2920,3059,3253,3492,3720,3914,4153,4298,4471,4707,5091,5311,5600,5877,6123,6462,6604,6858,7062,7506,8044,8512,9350,10518,11397,12503,13948,15756,17279,19121,20759,22679,25283,27463,29910,30761,33037,34401,36381
48,"                Radio and television",4234,4380,4698,5017,5417,5734,5957,6250,6613,6756,7051,7210,7429,7384,7713,8011,8435,8515,8833,9000,9562,10085,10712,10885,11575,12168,12779,13475,14705,15708,17412,18890,20115,21411,22604,23776,25455,27395,28658,29833
49,"            Electric, gas, and sanitary services",3189,3353,3556,3827,4130,4408,4610,4783,5072,5307,5552,5916,6150,6390,6655,6941,7303,7480,7801,8191,8666,9316,10028,10696,11420,12156,13031,14231,15653,16916,18295,19758,21794,24100,26357,28355,30402,32442,33966,35486
50,"        Wholesale trade",3597,3621,3806,4028,4134,4320,4442,4616,4883,5119,5294,5558,5756,5932,6172,6419,6703,6981,7345,7690,8142,8685,9193,9671,10245,10897,11992,12930,13684,14584,15630,17012,18695,20176,21692,22589,23903,25039,26175,27357
51,"        Retail trade",2509,2596,2711,2785,2891,3035,3136,3267,3374,3514,3626,3785,3911,4001,4156,4297,4454,4623,4776,4970,5275,5591,5914,6234,6607,6902,7381,7918,8439,8873,9335,10011,10844,11596,12369,12927,13300,13648,14209,14663
52,"        Finance, insurance, and real estate",3010,3095,3262,3418,3552,3708,3874,4005,4168,4314,4523,4791,4910,5203,5353,5522,5797,5962,6239,6516,6994,7400,7823,8347,8861,9270,9853,10609,11386,12184,13319,14466,16027,17526,19044,20892,22243,24048,26124,28025
53,"            Banking",3025,3166,3347,3481,3636,3776,3912,4045,4226,4311,4537,4675,4812,5000,5166,5305,5525,5677,5896,6070,6421,6839,7334,7720,8049,8444,9134,9833,10497,11060,11859,12812,14076,15449,17122,18432,19631,21101,22396,23713
54,"            Credit agencies other than banks",3200,3280,3314,3481,3650,3787,3952,4060,4137,4387,4607,4805,4935,5125,5257,5443,5639,5761,5925,6088,6427,6787,7247,7751,8085,8581,9246,9748,10641,11405,12188,13239,14448,15517,16847,18231,19398,21032,22877,23987
55,"            Security and commodity brokers",4679,4784,5607,5700,5429,5516,6672,7013,6612,6718,7253,8176,7640,8951,8039,8311,9025,9903,10963,12414,13606,12706,12221,14874,16431,16063,16570,19399,21823,23232,25219,27400,33027,34819,39777,48070,47459,52646,61241,65232
56,"            Insurance carriers",3273,3382,3505,3675,3831,3981,4059,4120,4292,4445,4615,4922,5141,5405,5700,5898,6201,6328,6626,6849,7225,7694,8255,8669,9194,9756,10504,11379,12123,12898,13610,14876,16381,18007,19646,21159,22612,24263,25927,27533
57,"            Insurance agents, brokers, and service",3245,3243,3341,3474,3573,3767,3917,4018,4208,4367,4527,4768,4910,5158,5359,5577,5805,5944,6253,6555,6988,7446,8022,8567,9153,9724,10341,11095,12017,13124,14319,15527,16882,17935,19424,20301,21500,23224,25096,27319
58,"            Real estate",2365,2359,2527,2659,2741,2887,3056,3222,3427,3546,3659,3877,3921,4137,4285,4462,4703,4846,4993,5142,5538,6038,6590,7011,7603,8147,8502,8746,9368,10261,12125,13184,14232,15446,15535,16783,18510,19855,20979,22261
59,"            Holding and other investment offices",5500,5583,5818,5750,5929,6071,5812,6000,6389,6250,7421,7900,6708,6846,7037,7185,7926,7774,7824,8143,8878,9617,10058,10600,11186,11548,11940,14341,13811,15188,19505,20673,23956,27067,27521,30493,32600,35392,37807,40051
60,"        Services",2085,2156,2213,2368,2554,2708,2844,2958,3115,3249,3378,3539,3688,3854,4023,4171,4383,4562,4785,5005,5377,5885,6406,6840,7243,7710,8354,9010,9642,10296,11152,12129,13394,14661,16065,17049,17898,18721,19660,21003
