Table 6.3C. Wages and Salaries by Industry
Table 6.3C. Wages and Salaries by Industry
"Last Revised on: September 27, 2024"
Line,,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
48,"                Radio and television",9140,9431,9768,10796,10814,11481,11970,12832,14400,16019,16877,18866,21324,23297
49,"            Electric, gas, and sanitary services",32045,33501,35276,37168,39053,41321,42053,43111,43204,44125,45346,46962,49470,53006
50,"        Wholesale trade",155045,169968,181732,188706,191476,202072,204433,216561,233470,246560,266995,289971,309526,333064
51,"        Retail trade",223171,240017,253072,263211,268282,278376,292002,310842,328552,344612,365296,392218,420605,450337
52,"        Finance, insurance, and real estate",176899,191283,197251,208002,215155,238393,249813,255814,269421,295473,325962,366875,392011,432689
53,"            Depository institutions",49669,52948,55293,57376,57159,60455,61267,62667,65338,69552,74442,79948,84025,85692
54,"            Nondepository institutions",10229,10821,11128,11907,12611,15315,18084,18236,18525,21593,25608,32912,35325,36058
55,"            Security and commodity brokers",27919,28976,26830,27772,29919,40396,44108,42673,48185,57744,68278,79812,89121,115381
56,"            Insurance carriers",37996,41020,43643,47504,51051,54366,56234,58916,61049,64659,68526,75660,79466,82560
57,"            Insurance agents, brokers, and service",16034,18076,18976,20340,21080,21834,22566,24067,25369,27032,29046,30953,32396,34496
58,"            Real estate",26400,29123,30423,31046,30739,31924,33132,34920,35839,38290,41940,47160,50333,53910
59,"            Holding and other investment offices",8651,10318,10959,12057,12597,14101,14421,14336,15116,16602,18122,20430,21345,24592
60,"        Services",468540,521445,573283,633897,664364,719289,767417,813256,878860,948363,1031109,1133495,1232358,1361992
61,"            Hotels and other lodging places",19103,21535,23354,25161,25584,26650,27484,28597,30156,31994,34377,37340,40739,44109
62,"            Personal services",13625,14751,15586,16605,17045,17866,18593,19274,20402,21579,23103,24663,26236,27894
63,"            Business services",74890,84901,95150,105887,107380,119423,130641,143294,166260,191925,224611,264815,310274,365021
64,"            Auto repair, services, and parking",14336,15574,16784,18199,17851,18555,19798,21150,22742,24787,26471,28320,30513,32895
65,"            Miscellaneous repair services",6825,7749,8561,9196,8298,8826,9391,9043,9993,10815,11317,12091,12413,12982
66,"            Motion pictures",7292,7769,8515,9923,9991,10270,11484,12418,14173,16157,17705,18959,19688,20894
67,"            Amusement and recreation services",13831,15236,16614,19062,20149,22488,24477,26030,28993,31592,34341,37224,40624,44355
68,"            Health services",149863,165259,181466,203277,222330,240815,257927,273224,284345,297398,311910,327780,341436,360267
69,"            Legal services",28071,32264,34816,38052,39051,41638,42416,43325,44481,46367,49150,53318,56758,62280
70,"            Educational services",24674,27106,29349,31417,33899,36687,38827,41105,43598,46283,49376,53757,57857,62932
71,"            Social services and membership organizations",39514,44838,49381,53964,58404,62161,67134,72059,77634,82188,88220,96448,104729,113700
72,"                Social services",16692,18788,21195,23797,26367,29180,31528,34183,37214,39543,42559,46795,51179,56302
73,"                Membership organizations",22822,26050,28186,30166,32037,32981,35606,37876,40419,42645,45661,49653,53550,57398
74,"            Other services3",68942,76294,84929,93932,95411,103953,108712,112823,124389,135465,148669,164999,178543,201245
75,"            Private households",7572,8170,8778,9223,8971,9956,10533,10915,11693,11814,11856,13782,12547,13419
76,"    Government",423117,452037,481106,519049,548765,572001,589010,609496,629026,648094,671887,701313,733766,779787
77,"        Federal",138372,146174,151149,160396,168808,173527,173712,174024,173700,174648,176268,178872,183516,194988
78,"            General government",113594,119547,123770,130685,138025,140729,141516,140388,139344,139236,140220,141924,145800,154248
79,"                Civilian",61476,65766,68403,72409,76619,79759,83676,84840,84792,85524,86364,87876,90276,96288
80,"                Military4",52118,53781,55367,58276,61406,60970,57840,55548,54552,53712,53856,54048,55524,57960
81,"            Government enterprises",24778,26627,27379,29711,30783,32798,32196,33636,34356,35412,36048,36948,37716,40740
82,"        State and local",284745,305863,329957,358653,379957,398474,415298,435472,455326,473446,495619,522441,550250,584799
83,"            General government",264559,284204,306773,333726,353647,371111,386531,405325,423982,440856,461284,486083,511975,543989
84,"                Education",137431,147755,159481,173286,183922,191946,200536,209732,220496,230952,243477,257914,272334,290446
85,"                Other1",127128,136449,147292,160440,169725,179165,185995,195593,203486,209904,217807,228169,239641,253543
86,"            Government enterprises1",20186,21659,23184,24927,26310,27363,28767,30147,31344,32590,34335,36358,38275,40810
87,Rest of the world,-1356,-867,-1285,-2307,-2751,-2965,-3320,-4015,-4090,-4125,-4402,-4563,-7250,-7484
88,"    Receipts from the rest of the world",994,995,1017,1172,1290,1796,1820,1943,2179,2181,2270,2437,4246,4395
89,"    Less:  Payments to the rest of the world5",2350,1862,2302,3479,4041,4761,5140,5958,6269,6306,6672,7000,11496,11879

Legend/Footnotes
"1. Beginning with 1990, reflects the reclassification of employees of Indian tribal governments from the private sector to state and local government."
2. Reflects the reclassification of air couriers from trucking and warehousing to transportation by air.
"3. Consists of museums, botanical and zoological gardens; engineering and management services; and services, not elsewhere classified."
4. Includes Coast Guard.
"5. Beginning with 1993, includes estimates of foreign professional workers and undocumented Mexican migratory workers employed temporarily in the United States."
Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).
