row,industry,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
68,            Health services,6919,7207,7579,7932,8300,8643,8937,9149,9369,9580,9773,9949,10078,10197
69,            Legal services,814,868,909,931,931,933,942,942,939,947,964,990,1013,1030
70,            Educational services,1620,1676,1724,1754,1802,1889,1946,2004,2053,2092,2161,2249,2331,2417
71,            Social services and membership organizations,3126,3349,3563,3758,3881,3969,4150,4291,4478,4595,4765,5000,5213,5403
72,                Social services,1466,1567,1679,1785,1893,2002,2120,2235,2353,2424,2524,2658,2806,2935
73,                Membership organizations,1660,1782,1884,1973,1988,1967,2030,2056,2125,2171,2241,2342,2407,2468
74,            Other services3,2212,2375,2554,2677,2609,2670,2751,2785,2949,3094,3227,3397,3503,3686
75,            Private households,1544,1483,1426,1332,1312,1434,1423,1285,1281,1246,1233,1280,1251,1208
76,    Government,20550,20906,21284,21813,21844,21895,21924,22005,22077,22069,22090,22322,22611,23094
77,        Federal,6475,6470,6483,6532,6349,6177,5929,5719,5556,5386,5266,5191,5136,5235
78,            General government,5493,5465,5471,5520,5356,5211,4976,4749,4571,4398,4276,4200,4146,4260
79,                Civilian,2190,2192,2207,2315,2211,2231,2176,2101,2027,1952,1900,1878,1855,1976
80,                Military4,3303,3273,3264,3205,3145,2980,2800,2648,2544,2446,2376,2322,2291,2284
81,            Government enterprises,982,1005,1012,1012,993,966,953,970,985,988,990,991,990,975
82,        State and local,14075,14436,14801,15281,15495,15718,15995,16286,16521,16683,16824,17131,17475,17859
83,            General government,13258,13608,13955,14402,14603,14853,15109,15346,15551,15711,15858,16149,16476,16835
84,                Education,6992,7257,7458,7670,7787,7887,8070,8227,8392,8526,8740,8932,9152,9389
85,                Other1,6266,6351,6497,6732,6816,6966,7039,7119,7159,7185,7118,7217,7324,7446
86,            Government enterprises1,817,828,846,879,892,865,886,940,970,972,966,982,999,1024
87,Rest of the world5,-66,-75,-83,-82,-82,-78,-426,-479,-477,-440,-472,-468,-514,-463
