date,FL893065505.Q,FL163165505.Q,FL103165505.Q,FL113165505.Q,FL893065505.Q,FL153065505.Q,FL103065505.Q,FL113065503.Q,FL313065505.Q,FL213065503.Q,FL763065505.Q,FL753065503.Q,FL743065505.Q,FL473065503.Q,FL513065505.Q,FL543065505.Q,FL573065505.Q,FL223065545.Q,FL413065505.Q,FL673065505.Q,FL613065503.Q,FL643065573.Q
1945:Q4,7465,316,8197,-1048,7465,3450,5,0,15,0,1776,0,5,0,56,2154,0,2,0,0,2,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,8765,414,8972,-621,8765,3935,10,0,9,0,2379,0,10,0,61,2345,7,3,0,0,6,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,10080,506,10102,-528,10080,4452,16,0,7,0,2786,0,16,0,69,2710,13,3,0,0,8,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
