1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q2,1659658,210027,1449631,1358121,91510,1363,12448,27963,169993,5742,272639,265126,242577,155571,75615,12568,-1177,22549,123636,-18220,15062,1672,-10530,50086,-35442,61748,-1943,25723,-5490,-3463,-2027,0,-50438,1369,44159,7712,85388,1734,1131,101086,1591,96964,53344,34372,6552,1865,832,2333,198,7513
1996:Q3,1678207,212495,1465712,1372988,92724,358,-2504,27704,171454,6034,288710,261897,244646,156272,76369,13148,-1143,17250,116365,-17257,35144,4000,22122,9567,25978,26285,-21798,-20898,-1705,367,-2072,0,-63418,-415,24799,14223,84226,1734,3345,99115,1164,95424,57154,33267,2628,1543,832,2333,194,26814
1996:Q4,1700658,217162,1483496,1393633,89863,720,-4685,28619,173436,5946,291376,351103,246965,158632,75613,13831,-1111,104138,204736,-10224,15557,4028,32026,1869,-5505,32492,-12170,-12949,38623,40689,-2066,0,-40214,-1789,38212,14444,107882,1734,2588,100598,2069,96007,49278,44031,-5531,7398,832,2333,189,-59727
1997:Q1,1730545,222822,1507723,1414529,93194,423,-1858,31530,174788,6420,295373,267852,251851,162324,75929,14756,-1158,16001,58477,-26831,41570,2811,41409,-77425,-22623,-10355,-5153,-39294,-10626,-8614,-2012,0,-51899,-7346,34348,11550,95780,1876,3260,42476,1083,38920,42333,-19702,8340,7073,876,2406,67,27521
1997:Q2,1750825,229033,1521792,1425615,96177,866,12962,27820,177045,6581,282365,269627,251723,160253,77213,15422,-1165,17904,114541,-4815,25883,346,-8269,-16055,-54078,17247,9112,11664,15240,17084,-1844,0,-75256,-6032,50398,12732,115060,1876,3433,96636,3006,91151,51087,23862,4023,11304,876,2406,73,12738
1997:Q3,1779102,236549,1542553,1453958,88596,147,-3051,33134,178424,6879,296472,295056,260238,166279,78726,16445,-1211,34818,156000,-33662,61575,1555,28521,2361,-38655,12840,-2242,30418,1960,3705,-1745,0,-95565,-5344,66664,13685,106846,1876,5528,121182,715,117983,84667,27767,-13460,18133,876,2406,78,1416
1997:Q4,1813505,243417,1570088,1476290,93798,232,-5039,35098,180482,7095,307554,360614,265981,169587,80607,17084,-1297,94633,191573,29387,22171,1821,30616,14435,-6437,30719,13151,-22997,18891,20996,-2105,0,-87271,-717,54757,8154,97421,1876,32,96940,2327,92122,37139,38360,12166,3581,876,2406,85,-53060
1998:Q1,1854118,246730,1607388,1492170,115218,64,-1624,34530,183006,7645,326796,373554,270710,170780,83275,17991,-1336,102844,159504,-34995,26893,-362,61748,-6519,12124,-58413,-1335,41104,24074,26323,-2249,0,-120306,-8880,73580,6958,132554,2465,2294,56660,4013,50805,55085,-20122,3586,9720,2536,1881,-39,-46758
1998:Q2,1886101,255554,1630547,1521633,108914,2013,13494,40472,185174,8032,315047,337892,282626,178081,87241,18742,-1438,55266,195349,5077,-11310,968,15241,92073,-52437,65297,20721,58492,12457,14779,-2322,0,-102726,-15760,49503,10536,136549,2465,276,140082,3952,133948,78257,43701,-2129,11583,2536,1881,301,-22845
1998:Q3,1912603,262057,1650545,1545971,104574,260,-3344,42504,187659,8205,330136,381136,290022,181740,90864,18943,-1524,91114,207699,-10769,9602,1715,72171,30237,45332,28356,-14846,-28605,37005,39191,-2186,0,-59501,-3634,-10726,8794,127103,2465,3236,116585,1138,114066,76455,32974,3879,-1778,2536,1881,-500,-51001
