date,FL174090005.Q,FL173020005.Q,FL173030005.Q,LM153030505.Q,FL173034005.Q,FL174022005.Q,FL173061105.Q,LM153061705.Q,FL173062005.Q,LM153063005.Q,FL174023005.Q,FL153069005.Q,FL173065005.Q,FL173066005.Q,LM153064105.Q,LM153064205.Q,FL163070005.Q,FL153040005.Q,FL153050005.Q,FL173099005.Q,FL174190005.Q,FL173165105.Q,FL173165205.Q,FL153166000.Q,FL173169005.Q,FL173199005.Q
1945:Q4,474085,72438,50230,3014,0,35908,23582,61,3869,8396,56397,43629,12189,579,144855,1245,0,39560,61172,9266,45484,18706,8606,6800,4987,6385
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,493252,78244,56568,3379,0,32338,20976,93,3817,7452,59264,44884,13711,669,138515,1298,0,43360,69381,10905,56570,23100,9597,9777,5207,8889
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,508806,78289,60047,3523,0,30079,18829,148,4458,6644,62747,46896,15070,781,136405,1413,0,46510,77939,11854,68383,28267,10436,13298,5654,10727
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,521616,75421,62248,3442,0,29392,17980,95,4629,6688,65661,48491,16268,902,135486,1516,0,49353,86476,12621,79530,33422,11611,16332,6082,12084
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
