1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q3,0,1,9,2,-5,-6,0,0,1,11,0,7,4,1,10,9,0,1,1,ND
1955:Q4,0,1,13,3,-3,-4,0,0,1,9,0,6,3,4,13,13,0,0,-0,ND
1956:Q1,0,1,16,4,3,1,0,1,1,6,0,4,2,3,15,16,0,-1,-1,ND
1956:Q2,0,1,19,5,7,5,0,1,1,4,0,3,1,3,20,19,0,1,1,ND
1956:Q3,0,1,22,6,8,5,0,2,1,3,0,2,1,5,21,22,0,-1,-1,ND
1956:Q4,0,1,26,6,7,4,0,2,1,5,0,2,3,8,26,26,0,0,-0,ND
1957:Q1,0,1,31,7,5,3,0,2,0,5,0,1,4,14,31,31,0,0,-0,ND
1957:Q2,0,1,36,8,3,2,0,2,-1,5,0,0,5,20,36,36,0,0,-0,ND
1957:Q3,0,1,37,8,3,2,0,2,-1,5,0,0,5,21,37,37,0,0,-0,ND
1957:Q4,0,1,34,5,1,3,0,2,-4,5,0,1,4,23,33,34,0,-1,-1,ND
1958:Q1,0,1,34,6,8,5,0,2,1,10,0,6,4,10,33,34,0,-1,-1,ND
1958:Q2,0,1,36,6,12,7,0,2,3,13,0,9,4,5,36,36,0,0,-0,ND
1958:Q3,0,1,31,4,11,6,0,2,3,13,0,9,4,3,31,31,0,0,-0,ND
1958:Q4,0,1,18,1,4,1,0,2,1,7,0,4,3,6,17,18,0,-1,-1,ND
1959:Q1,0,1,3,-3,-1,-1,0,0,0,2,0,1,1,5,3,3,0,0,-0,ND
1959:Q2,0,1,-14,-9,-7,-6,0,0,-1,-2,0,-2,0,4,-13,-14,0,1,1,ND
1959:Q3,0,1,-15,-9,-7,-6,0,0,-1,-3,0,-3,0,4,-15,-15,0,0,-0,ND
1959:Q4,0,1,-3,-8,-11,-6,0,-2,-3,-3,0,-3,0,19,-4,-3,0,-1,-1,ND
1960:Q1,0,1,11,1,3,2,0,1,0,1,0,0,1,6,9,11,0,-2,-2,ND
1960:Q2,0,1,19,4,7,6,0,1,0,2,0,1,1,6,17,19,0,-2,-2,ND
1960:Q3,0,1,24,6,8,7,0,1,0,3,0,2,1,7,23,24,0,-1,-1,ND
1960:Q4,0,1,23,6,1,5,0,0,-4,2,0,2,0,14,21,23,0,-2,-2,ND
1961:Q1,0,1,28,8,4,3,0,1,0,5,0,3,2,11,26,28,0,-2,-2,ND
1961:Q2,0,1,33,10,2,2,0,1,-1,5,0,3,2,16,32,33,0,-1,-1,ND
1961:Q3,0,1,34,10,1,1,0,1,-1,7,0,5,2,16,33,34,0,-1,-1,ND
1961:Q4,0,1,32,8,-4,0,0,0,-4,10,0,7,3,18,32,32,0,0,-0,ND
1962:Q1,0,1,30,5,2,2,0,0,0,15,0,10,5,8,28,30,0,-2,-2,ND
1962:Q2,0,1,28,3,2,2,0,0,0,19,0,13,6,4,26,28,0,-2,-2,ND
1962:Q3,0,1,30,2,3,3,0,0,0,19,0,13,6,6,29,30,0,-1,-1,ND
1962:Q4,0,1,35,2,4,5,0,-1,0,15,0,11,4,14,35,35,0,0,-0,ND
1963:Q1,0,1,40,3,14,8,0,4,2,12,0,10,2,11,38,40,0,-2,-2,ND
1963:Q2,0,1,45,2,23,12,0,7,4,9,0,9,0,11,44,45,0,-1,-1,ND
1963:Q3,0,1,46,2,21,11,0,7,3,8,0,8,0,15,46,46,0,0,-0,ND
1963:Q4,0,1,41,3,9,5,0,3,1,13,0,9,4,16,41,41,0,0,-0,ND
1964:Q1,0,1,40,3,-1,0,0,1,-2,15,0,10,5,23,35,40,0,-5,-5,ND
1964:Q2,0,1,39,3,-9,-4,0,0,-5,18,0,11,7,27,33,39,0,-6,-6,ND
1964:Q3,0,1,37,3,-10,-5,0,0,-5,19,0,12,7,25,36,37,0,-1,-1,ND
1964:Q4,0,1,31,1,-11,-4,0,-1,-6,18,0,13,5,23,28,31,0,-3,-3,ND
1965:Q1,0,1,23,0,1,-1,0,2,0,18,0,16,2,4,20,23,0,-3,-4,ND
1965:Q2,0,1,12,-3,4,0,0,2,2,19,0,19,0,-8,9,12,0,-3,-4,ND
1965:Q3,0,1,16,-2,6,0,0,3,3,19,0,19,0,-7,14,16,0,-2,-3,ND
1965:Q4,0,1,36,-2,7,0,0,5,2,17,0,15,2,14,32,36,0,-4,-5,ND
1966:Q1,0,1,55,5,15,4,0,7,4,16,0,11,5,19,54,55,0,-1,-2,ND
1966:Q2,0,1,73,9,21,6,0,10,5,14,0,7,7,29,73,73,0,0,-1,ND
1966:Q3,0,1,78,10,22,7,0,10,5,14,0,6,8,32,77,78,0,-1,-2,ND
1966:Q4,0,1,70,8,15,5,0,7,3,15,0,9,6,32,68,70,0,-2,-3,ND
1967:Q1,0,1,73,11,22,9,0,5,8,15,0,14,1,25,72,73,0,-1,-2,ND
1967:Q2,0,1,78,13,22,11,0,3,8,16,0,18,-2,27,77,78,0,-1,-2,ND
1967:Q3,1,1,76,14,22,11,0,2,9,16,0,18,-2,24,76,76,0,0,-1,ND
1967:Q4,1,1,67,12,21,10,0,1,10,14,0,13,1,20,67,67,0,0,-1,ND
1968:Q1,1,1,55,5,13,6,0,2,5,5,0,11,-6,32,56,55,0,1,1,ND
1968:Q2,1,1,21,6,8,3,0,2,3,6,0,8,-2,1,22,21,0,1,1,ND
1968:Q3,1,1,46,6,7,3,0,2,2,6,0,7,-1,27,46,46,0,0,-1,ND
1968:Q4,1,1,130,6,34,4,0,29,1,6,0,9,-3,84,129,130,0,-1,-2,ND
1969:Q1,1,2,236,8,15,6,0,8,1,31,0,8,23,182,207,25,211,-29,-30,ND
1969:Q2,1,2,368,9,14,6,0,8,0,45,0,8,37,300,328,40,328,-40,-41,ND
1969:Q3,1,2,345,9,15,7,0,8,0,49,0,8,41,272,342,40,305,-3,-4,ND
1969:Q4,1,2,166,9,18,9,0,7,2,43,0,8,35,96,163,26,140,-3,-4,ND
1970:Q1,1,1,175,21,11,7,0,6,-2,30,0,72,-42,113,171,122,53,-4,-5,ND
1970:Q2,1,1,122,29,5,6,0,3,-4,23,0,15,8,65,118,86,36,-4,-4,ND
1970:Q3,1,2,97,30,8,7,0,5,-4,21,0,15,6,38,92,67,30,-5,-6,ND
1970:Q4,1,2,100,23,13,9,0,9,-5,24,0,18,6,40,96,70,30,-4,-5,ND
1971:Q1,1,2,-43,21,86,30,0,56,0,26,0,21,5,-176,-52,-30,-13,-9,-10,ND
1971:Q2,1,2,-36,35,38,25,0,13,0,54,0,74,-20,-163,-44,-25,-11,-8,-9,ND
1971:Q3,1,2,369,64,45,69,0,-25,1,27,0,6,21,233,359,258,111,-10,-11,ND
1971:Q4,1,2,219,7,10,37,0,-27,0,25,0,6,19,177,208,154,65,-11,-12,ND
1972:Q1,1,2,-110,47,16,-39,0,54,1,2,0,4,-2,-175,-117,-77,-33,-7,-8,ND
1972:Q2,1,2,-107,62,-3,-31,0,27,1,-23,0,15,-38,-143,-115,-75,-32,-8,-9,ND
1972:Q3,1,2,341,53,137,140,0,-4,1,77,0,5,72,74,335,239,102,-6,-7,ND
1972:Q4,1,2,342,7,128,135,0,-8,1,-47,0,-2,-45,254,336,239,103,-6,-7,ND
1973:Q1,1,2,42,5,-77,-85,0,3,5,-4,0,-42,38,118,40,29,13,-2,-3,ND
1973:Q2,1,2,-126,6,-77,-85,0,3,5,-5,0,-41,36,-50,-129,-88,-38,-3,-4,ND
1973:Q3,1,3,309,138,75,48,0,27,0,60,0,48,12,36,295,216,93,-14,-16,ND
1973:Q4,1,3,248,137,76,49,0,27,0,61,0,49,12,-26,235,174,74,-13,-14,ND
1974:Q1,1,4,-41,-119,-34,-125,0,90,1,56,0,-17,73,56,-42,-29,-12,-1,-3,ND
1974:Q2,1,4,-44,-120,67,-24,0,91,0,56,0,-18,74,-47,-46,-30,-14,-2,-4,ND
1974:Q3,2,4,82,-55,45,-21,0,66,0,234,0,88,146,-142,83,57,25,1,-1,ND
1974:Q4,2,4,70,112,-89,-54,0,-35,0,130,0,1,129,-83,72,49,21,2,0,ND
1975:Q1,2,5,250,8,51,29,0,25,-3,25,0,-36,61,166,245,175,75,-5,-8,ND
1975:Q2,2,5,254,8,35,20,0,12,3,30,0,15,15,181,247,178,76,-7,-10,ND
1975:Q3,2,5,275,47,54,13,0,38,3,60,0,8,52,114,293,192,83,18,16,ND
1975:Q4,3,5,281,49,49,9,0,37,3,61,0,7,54,122,298,197,84,17,15,ND
1976:Q1,2,5,-25,-24,120,-42,0,143,19,24,0,50,-26,-145,37,-18,-7,62,60,ND
1976:Q2,2,5,-31,-11,80,-29,0,82,27,22,0,49,-27,-122,21,-21,-10,52,50,ND
1976:Q3,3,5,216,-64,173,64,0,98,11,-4,0,16,-20,111,218,151,65,2,-1,ND
1976:Q4,3,5,219,-56,217,84,0,121,12,-3,0,14,-17,61,220,153,66,1,-2,ND
1977:Q1,3,5,235,156,45,56,0,-61,50,2,0,36,-34,32,257,-12,247,22,20,ND
1977:Q2,3,5,240,193,74,71,0,-58,61,2,0,36,-34,-29,258,-60,300,18,16,ND
1977:Q3,3,5,179,79,56,39,0,18,-1,39,0,-51,90,5,129,-66,245,-50,-53,ND
1977:Q4,3,5,179,80,58,42,0,19,-3,37,0,-33,70,4,109,-35,214,-70,-73,ND
1978:Q1,3,6,370,80,118,-2,0,100,20,-107,0,53,-160,279,368,-19,389,-2,-5,ND
1978:Q2,3,6,483,82,113,0,0,92,21,-110,0,66,-176,398,481,-30,513,-2,-6,ND
1978:Q3,3,7,400,75,99,-35,0,64,70,14,0,14,0,212,384,8,392,-16,-20,ND
1978:Q4,3,7,368,89,99,-36,0,64,71,15,0,15,0,165,351,95,273,-17,-21,ND
1979:Q1,3,7,317,95,-184,-29,0,-159,4,16,0,15,1,390,310,203,114,-7,-11,ND
1979:Q2,3,7,317,82,-147,-37,0,-116,6,20,0,15,5,362,310,327,-10,-7,-11,ND
1979:Q3,4,8,733,335,122,55,0,16,51,21,0,15,6,255,725,330,403,-8,-12,ND
1979:Q4,4,8,775,351,117,54,0,15,48,24,0,15,9,283,767,211,564,-8,-12,ND
1980:Q1,4,9,591,90,86,21,0,-33,98,21,66,20,-65,394,583,108,182,293,-13,ND
1980:Q2,4,9,793,90,172,29,0,-12,155,142,97,20,25,389,784,21,98,665,-14,ND
1980:Q3,4,9,835,90,151,28,0,-17,140,167,116,20,31,427,826,-8,141,693,-14,ND
1980:Q4,4,9,831,89,22,20,0,-53,55,170,121,20,29,550,824,17,316,491,-12,ND
1981:Q1,4,9,906,-46,-100,16,0,-80,-36,250,139,20,91,802,896,32,523,341,-15,ND
1981:Q2,4,10,1054,21,-217,17,0,-113,-121,280,117,20,143,970,1044,32,759,253,-15,ND
1981:Q3,4,10,946,58,-249,8,0,-115,-142,340,189,20,131,797,935,31,740,164,-17,ND
1981:Q4,5,10,581,67,-200,-11,0,-92,-97,430,355,20,55,284,571,28,462,81,-16,ND
1982:Q1,5,10,146,99,-80,19,0,-31,-68,547,539,-32,40,-420,135,41,193,-99,-17,ND
1982:Q2,5,10,-368,146,-23,22,0,7,-52,691,746,-63,8,-1182,-379,69,-79,-369,-16,ND
1982:Q3,5,10,-322,149,4,28,0,19,-43,697,777,-70,-10,-1172,-333,37,-100,-270,-16,ND
1982:Q4,5,10,280,106,-1,31,0,5,-37,565,638,-55,-18,-390,268,-56,124,200,-17,ND
1983:Q1,5,8,550,70,10,46,0,1,-37,454,526,-15,-57,16,537,-156,349,344,-17,ND
1983:Q2,5,8,1268,33,30,62,0,1,-33,364,458,10,-104,841,1254,-265,562,957,-18,ND
1983:Q3,5,9,1203,33,36,59,0,1,-24,329,414,15,-100,805,1190,-282,558,914,-17,ND
1983:Q4,5,9,458,64,24,33,0,-3,-6,353,402,25,-74,17,444,-211,337,318,-18,ND
1984:Q1,5,9,223,99,17,15,0,1,1,347,357,25,-35,-240,208,-160,133,235,-19,ND
1984:Q2,5,9,-505,126,4,-7,0,1,10,312,289,40,-17,-947,-520,-140,-57,-323,-19,ND
1984:Q3,5,9,-588,133,15,-10,0,1,24,335,297,25,13,-1071,-603,-103,-91,-409,-19,ND
1984:Q4,5,9,72,117,47,2,0,0,45,413,383,35,-5,-505,56,-51,27,80,-20,ND
1985:Q1,5,10,279,119,86,17,0,16,53,522,487,36,-1,-448,263,13,116,134,-21,ND
1985:Q2,5,10,826,131,118,21,0,-2,99,657,614,18,25,-80,809,79,171,559,-22,ND
1985:Q3,5,10,860,113,134,29,0,-8,113,624,580,12,32,-11,843,107,200,536,-22,ND
1985:Q4,5,10,382,62,133,42,0,-6,97,419,384,14,21,-232,365,95,202,68,-22,ND
1986:Q1,6,11,-18,29,152,99,0,0,53,233,201,10,22,-432,-50,102,239,-391,-37,ND
1986:Q2,6,11,-360,4,185,149,0,0,36,62,37,10,15,-611,-384,127,303,-814,-29,ND
1986:Q3,6,11,-473,-35,171,146,0,0,25,-6,-33,10,17,-603,-497,117,276,-890,-29,ND
1986:Q4,6,11,-373,-92,111,91,0,0,20,25,-6,25,6,-417,-397,73,158,-628,-29,ND
1987:Q1,8,14,-365,-158,54,30,0,0,24,29,-9,23,15,-290,-360,27,28,-415,-1,ND
1987:Q2,8,14,-462,-246,-5,-32,0,-2,29,-8,-43,35,0,-203,-452,-21,-111,-320,4,ND
1987:Q3,8,14,-376,-251,-19,-28,0,0,9,-4,-53,38,11,-102,-367,-26,-119,-222,3,ND
1987:Q4,9,14,-111,-180,4,41,0,2,-39,35,-37,46,26,30,-106,11,3,-120,-0,ND
1988:Q1,10,17,158,-166,-55,-183,289,11,-172,173,65,50,58,206,146,44,74,28,-19,ND
1988:Q2,10,18,410,-148,-113,124,35,19,-291,262,126,50,86,409,397,66,130,201,-21,ND
1988:Q3,10,18,517,-134,-90,139,42,18,-289,288,135,50,103,453,501,80,171,250,-24,ND
1988:Q4,11,18,477,-126,60,113,57,7,-117,249,90,50,109,294,458,88,196,174,-26,ND
1989:Q1,10,16,446,-109,167,96,79,-1,-7,174,7,50,117,214,585,117,185,283,132,ND
1989:Q2,10,17,421,-97,175,89,104,-10,-8,60,-118,50,128,283,398,169,138,91,-30,ND
1989:Q3,10,17,514,-83,193,84,101,-11,19,161,-28,50,139,243,490,139,250,101,-31,ND
1989:Q4,11,17,725,-71,173,81,70,-9,31,474,277,50,147,149,699,26,521,152,-32,ND
1990:Q1,8,12,1062,-39,917,75,40,0,802,887,674,56,157,-703,1047,-92,898,241,-19,ND
1990:Q2,8,12,1528,1,-725,68,13,5,-811,1400,1165,74,161,852,1515,-216,1379,352,-17,ND
1990:Q3,8,12,1363,-10,64,66,6,3,-11,1301,1068,54,179,8,1352,-235,1282,305,-15,ND
1990:Q4,9,12,564,-80,84,69,19,-7,3,591,385,-3,209,-31,458,-155,607,6,-109,ND
1991:Q1,11,13,-256,-150,103,53,11,-17,56,-117,-307,31,159,-92,-222,-96,-61,-65,31,ND
1991:Q2,11,13,-1097,-233,121,17,-16,-30,150,-822,-1009,-45,232,-163,-1056,-72,-727,-257,39,ND
1991:Q3,11,13,-1220,-228,111,55,15,-29,70,-928,-1088,-47,207,-175,-1181,-31,-833,-317,37,ND
1991:Q4,11,13,-597,-139,74,166,106,-19,-179,-439,-550,18,93,-93,-596,21,-382,-235,-1,ND
1992:Q1,12,16,614,-82,511,277,213,-8,29,205,49,155,1,-20,584,96,-1,489,-34,ND
1992:Q2,12,17,698,-100,837,388,333,0,116,244,66,268,-90,-283,668,180,299,189,-35,ND
1992:Q3,12,17,684,-113,770,425,337,-10,18,266,56,302,-92,-239,653,195,347,111,-36,ND
1992:Q4,12,18,608,-167,659,388,223,-31,79,251,-11,256,6,-135,575,142,144,289,-39,ND
1993:Q1,18,16,488,-131,557,395,126,-52,88,205,-87,339,-47,-143,369,109,-25,285,-118,ND
1993:Q2,18,17,396,-150,419,447,46,-92,18,172,-178,352,-2,-45,276,97,-163,342,-119,ND
1993:Q3,19,17,360,-82,382,395,16,-77,48,162,-175,302,35,-102,260,71,-179,368,-99,ND
1993:Q4,19,18,435,66,332,241,38,-25,78,187,-84,162,109,-150,350,32,-75,393,-84,ND
1994:Q1,24,22,335,-88,-133,-373,97,87,56,315,104,125,86,241,247,10,267,-30,-87,ND
1994:Q2,24,23,683,30,100,-200,100,75,125,427,-37,19,445,126,695,68,428,199,14,ND
1994:Q3,24,23,680,130,-200,-200,100,100,-200,756,456,78,222,-6,599,-36,328,307,-80,ND
1994:Q4,25,24,1972,377,341,145,171,122,-97,1735,1147,411,177,-481,1953,66,528,1359,-18,ND
1995:Q1,24,22,-31,-218,184,208,-2,-20,-2,409,279,68,62,-406,-85,-381,442,-146,-52,ND
1995:Q2,24,23,1917,256,484,501,18,-42,7,813,554,503,-244,364,1851,363,448,1040,-64,ND
1995:Q3,25,23,269,-314,-57,78,42,110,-287,508,443,11,54,132,221,-224,472,-27,-46,ND
1995:Q4,25,23,3786,426,871,-543,1196,17,201,987,523,368,96,1502,3543,425,1065,2053,-241,ND
1996:Q1,26,30,137,-194,-357,-337,-28,33,-25,881,516,130,235,-193,112,-191,440,-137,-29,ND
1996:Q2,26,31,641,90,-156,208,-289,-12,-63,591,516,235,-160,116,584,249,621,-286,-62,ND
1996:Q3,27,32,528,-66,-291,-603,476,-89,-75,458,329,309,-180,427,457,71,-446,832,-77,ND
1996:Q4,27,33,0,-16,-480,-527,74,-71,44,72,75,-54,51,424,213,359,-298,152,208,ND
1997:Q1,28,38,1634,-30,1422,610,874,-62,0,95,85,-154,164,147,1585,-85,-538,2208,-59,ND
1997:Q2,28,39,871,52,72,100,-72,5,39,381,387,-61,55,366,770,174,-486,1082,-111,ND
1997:Q3,29,40,1411,-33,935,496,400,-51,90,522,307,100,115,-13,1316,-288,588,1016,-107,ND
1997:Q4,29,41,1563,-41,-173,-1119,846,86,14,436,105,184,147,1341,1441,622,434,385,-133,ND
1998:Q1,31,47,1399,-33,1054,348,685,66,-45,319,-48,285,82,59,1413,126,546,741,-2,ND
1998:Q2,32,48,1785,188,298,-225,558,-133,98,967,540,384,43,332,1520,217,497,806,-281,ND
1998:Q3,32,48,1158,-134,75,-596,495,10,166,651,244,230,177,566,1154,81,613,460,-20,ND
1998:Q4,33,50,5425,611,2273,-189,2165,6,291,407,127,159,121,2134,5339,779,284,4276,-103,ND
1999:Q1,31,45,-1481,-384,-443,-568,391,111,-377,-647,-508,-519,380,-7,-1179,-658,-1215,694,289,ND
1999:Q2,32,46,2374,-349,941,18,1078,21,-176,1371,411,591,369,411,2353,520,554,1279,-35,ND
1999:Q3,33,47,2227,392,1039,-364,1509,-49,-57,615,87,267,261,181,2129,-298,690,1737,-112,ND
1999:Q4,34,47,558,596,624,167,350,1,106,945,545,260,140,-1607,522,436,1602,-1516,-49,ND
2000:Q1,34,43,669,-331,-74,-310,210,121,-95,1412,947,360,105,-338,549,-344,199,694,-129,ND
2000:Q2,35,44,1911,162,278,-132,410,-10,10,1064,188,551,325,407,1811,5,1242,564,-110,ND
2000:Q3,35,45,2847,-662,2013,-140,1815,10,328,1060,391,387,282,436,2706,-66,1136,1636,-151,ND
2000:Q4,35,45,-1379,291,1513,-420,1857,13,63,-568,-416,-259,107,-2615,-1644,306,242,-2192,-275,ND
2001:Q1,37,48,-281,157,-1652,-648,-1420,-339,755,741,127,-2032,2646,473,-568,-16,-302,-250,-299,ND
2001:Q2,37,47,1617,-144,-346,-121,83,-4,-304,1391,318,443,630,716,1494,351,2206,-1063,-133,ND
2001:Q3,37,47,2607,799,904,378,337,-25,214,509,157,133,219,395,2280,0,1232,1048,-337,ND
2001:Q4,38,45,13019,251,3316,-248,3473,142,-51,5157,3927,525,705,4295,13241,2762,5974,4505,215,ND
2002:Q1,38,46,1553,-1087,1709,832,1038,-18,-143,-68,-271,23,180,999,1565,-301,1121,745,4,654
2002:Q2,39,46,2840,1043,737,-885,1453,-5,174,486,140,432,-86,574,2713,2043,1662,-992,-134,264
2002:Q3,39,45,706,-20,-2,-57,283,34,-262,994,46,531,417,-266,356,-1096,-104,1556,-356,-195
2002:Q4,40,44,-10112,-223,1546,433,1167,-3,-51,-4090,-4261,494,-323,-7345,-10346,-1773,-6554,-2019,-239,623
2003:Q1,39,46,1854,565,-1013,131,-875,38,-307,842,-187,910,119,1460,1641,441,-343,1543,-220,-353
2003:Q2,40,47,2705,-54,2841,351,1596,6,888,1027,206,541,280,-1109,2477,1172,46,1259,-235,-282
2003:Q3,40,48,3731,-598,3694,365,3319,95,-85,1163,-40,427,776,-528,3547,-672,1241,2978,-192,326
2003:Q4,41,49,114,71,621,143,665,-48,-139,1416,358,645,413,-1994,-195,573,1594,-2362,-318,403
2004:Q1,41,50,4039,716,1522,316,974,46,186,1451,490,559,402,350,3628,660,120,2848,-421,778
2004:Q2,41,52,3408,-454,2286,904,1608,25,-251,2338,554,1095,689,-762,3585,378,884,2323,166,235
2004:Q3,42,54,5484,353,745,-483,1788,-382,-178,1880,28,879,973,2506,5041,134,1750,3157,-455,352
2004:Q4,43,55,2969,422,1085,619,290,86,90,2607,719,856,1032,-1145,3231,410,373,2448,249,182
2005:Q1,44,51,3414,115,591,198,591,13,-211,2414,235,4778,-2599,294,3312,7,2954,351,-109,523
2005:Q2,45,52,3383,178,1255,-537,1566,4,222,2333,1698,-73,708,-383,2988,818,2975,-805,-402,469
2005:Q3,45,54,1076,-520,-198,-162,199,-36,-199,1569,-360,189,1740,225,1164,-1200,2558,-194,80,74
2005:Q4,46,55,1908,-234,-759,600,-1206,186,-339,2949,4054,-4145,3040,-48,1861,192,1342,327,-56,-723
2006:Q1,47,62,1505,-347,-93,99,-106,133,-219,1128,482,-541,1187,817,1647,323,1924,-600,127,193
2006:Q2,48,63,217,-67,-1857,-308,-1216,109,-442,-197,-3365,2356,812,2338,383,-169,371,181,150,-342
2006:Q3,48,65,-3319,-171,-1385,-428,-1226,273,-4,570,1448,-1083,205,-2333,-3698,-863,-71,-2764,-396,-1460
2006:Q4,49,66,393,452,-2225,389,-3206,315,277,2349,1141,190,1018,-183,407,1383,254,-1230,-3,557
2007:Q1,17,21,-1404,-210,-530,-540,0,39,-29,-1100,-925,-535,360,436,-1670,-883,126,-913,-270,-739
2007:Q2,18,21,1499,-558,-251,14,-130,-243,108,22,-1077,759,340,2286,1729,437,1615,-323,226,839
2007:Q3,18,22,501,764,-1804,-950,-1427,252,321,1636,558,355,723,-95,279,-261,2439,-1899,-226,1473
