1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q4,167,74,783,-600,0,-287,0,-168,-119,0,0,1115,0,-190,-190,0,0,0,1305,0,0,555,669,0,99,555,0,0,15,-21,36
1979:Q1,152,79,2082,1385,0,-124,0,45,-169,0,0,470,0,129,129,0,0,0,341,0,0,351,2052,0,89,1880,0,0,83,43,36
1979:Q2,136,80,2139,881,0,-130,0,91,-221,0,0,1012,0,-9,-9,0,0,0,1021,0,0,376,2109,0,169,1875,0,0,65,26,36
1979:Q3,114,84,1207,-391,0,-190,0,24,-214,0,0,1333,0,-133,-133,0,0,0,1466,0,0,455,1157,0,104,1027,0,0,26,-20,36
1979:Q4,99,85,-672,-652,0,-626,0,-262,-364,0,0,-9,0,603,603,0,0,0,-612,0,0,615,-762,0,15,-748,0,0,-29,-76,36
1980:Q1,76,97,175,-315,158,-559,0,-26,-533,0,0,-290,0,1375,1375,0,0,0,-1665,0,0,1181,154,0,258,-1917,0,0,1813,-43,36
1980:Q2,69,94,2000,2540,174,916,0,202,714,0,0,-2500,0,255,255,0,0,0,-2755,0,0,870,2015,0,207,1793,0,0,15,-10,36
1980:Q3,93,97,2300,823,156,603,0,132,471,0,0,300,0,-300,-300,0,0,0,600,0,0,418,2321,0,395,2805,0,0,-879,17,36
1980:Q4,137,100,1400,-538,244,24,0,6,18,0,0,700,0,213,213,0,0,0,487,0,0,970,1403,0,972,-272,0,0,703,39,91
1981:Q1,195,101,1200,894,541,157,0,34,123,0,0,200,0,-140,-140,0,0,0,340,0,0,-592,1151,0,136,1164,0,0,-149,46,22
1981:Q2,276,104,600,-642,532,-71,0,-16,-55,0,0,1300,0,-369,-369,0,0,0,1669,0,0,-519,538,0,229,771,0,0,-462,110,23
1981:Q3,363,109,600,-1066,202,-421,0,-92,-329,0,0,1000,0,-308,-308,0,0,0,1308,0,0,885,536,0,63,-363,0,0,836,190,-1
1981:Q4,453,112,900,1253,390,679,0,149,530,0,0,-800,0,-142,-142,0,0,0,-658,0,0,-622,841,0,165,735,0,0,-59,282,37
1982:Q1,536,117,2800,3868,135,513,0,113,400,0,0,-700,0,-561,-561,0,0,0,-139,0,0,-1016,2603,0,284,2716,0,0,-397,222,136
1982:Q2,559,114,2600,326,273,347,0,76,271,0,0,400,0,-43,-43,0,0,0,443,0,0,1254,2385,0,414,1886,0,0,85,230,69
1982:Q3,531,112,1900,1163,227,-533,0,-117,-416,0,0,1200,0,17,17,0,0,0,1183,0,0,-157,1656,0,336,1364,0,0,-44,175,39
1982:Q4,448,110,3100,2264,154,864,0,190,674,0,0,200,0,-413,-413,0,0,0,613,0,0,-382,2864,0,804,2396,0,0,-336,103,-82
1983:Q1,324,110,5500,5624,-303,132,0,267,-135,0,0,100,0,79,79,0,0,0,21,0,0,-53,5443,0,706,4494,0,0,243,158,-68
1983:Q2,228,112,5000,-237,426,3464,0,1370,2094,0,0,2600,0,770,770,0,0,0,1830,0,0,-1253,4927,0,765,4035,0,0,127,43,-18
1983:Q3,203,117,2600,-3784,504,1312,0,300,1012,0,0,3300,0,516,516,0,0,0,2784,0,0,1268,2475,0,437,1963,0,0,75,-39,49
1983:Q4,239,125,2500,443,457,-1763,0,-529,-1234,0,0,3000,0,330,330,0,0,0,2670,0,0,363,2367,0,369,2131,0,0,-133,-20,16
1984:Q1,325,125,6230,1168,1279,577,119,340,118,0,0,3500,0,1157,1157,0,0,0,2343,0,0,-294,6349,0,243,6057,0,0,49,319,49
