1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q3,5665,-40,399,5331,5288,-29,0,72,-24,-1,6720,4148,125,166,-41,2774,-620,253,359,-245,-234,-12,1,0,11,82,36,0,9,0,13,6,0,-18,0,0,40,-1055
1953:Q4,5567,-22,430,5036,4835,107,1,93,77,46,3116,3225,716,714,2,-2923,906,1109,-79,948,849,38,1,60,3,185,27,0,7,0,28,7,0,-17,0,0,83,2451
1954:Q1,-3791,-9,-1582,-2296,-2352,13,7,36,181,-85,-800,383,-2734,-2793,59,1792,666,-1103,-274,-655,-680,-4,0,29,-4,-155,21,0,4,0,-53,12,0,1,0,0,196,-2991
1954:Q2,5713,-36,211,5367,5181,70,10,106,80,91,4652,1897,1835,1711,124,481,5,8,-78,7,-43,13,-1,38,-11,41,14,0,2,0,5,12,0,16,0,0,426,1061
1954:Q3,3251,-39,-854,4190,4032,50,12,96,-46,0,4184,5788,1617,1478,139,-2120,-825,-329,96,-471,-514,2,-1,42,-16,10,15,0,0,0,24,-16,0,29,0,0,53,-933
1954:Q4,8553,-51,894,7545,7215,209,10,111,29,136,6116,3082,1730,1627,103,-541,987,681,132,425,284,53,-4,92,-21,129,19,0,-1,0,-3,-35,0,36,0,0,177,2437
1955:Q1,-2267,-27,-1058,-1221,-1193,-66,9,29,57,-18,-70,1740,-1471,-1551,80,58,-94,60,333,-142,-120,-22,1,-1,-7,-179,31,0,-3,0,-10,15,0,22,0,0,-363,-2197
1955:Q2,3645,-88,-327,3925,3652,134,7,132,-4,139,2820,111,966,897,69,1524,529,-504,-251,-354,-408,23,1,30,3,28,41,0,-6,0,2,31,0,2,0,0,194,825
1955:Q3,3349,-106,626,2964,2898,-63,9,120,-186,51,4857,4877,585,519,66,-797,-1013,1213,545,522,515,-23,2,28,12,71,42,0,-6,0,-5,49,0,-17,0,0,-8,-1508
1955:Q4,7474,-11,1231,6102,5905,56,13,128,29,123,4427,2788,1027,959,68,-842,534,922,223,485,380,17,3,85,17,105,35,0,-5,0,33,63,0,-34,0,0,-2,3047
