date,FL594090005.Q,FL593020005.Q,FL593030005.Q,FL593034005.Q,FL592051005.Q,LM594022005.Q,FL593069105.Q,LM593061105.Q,LM593061705.Q,LM593062045.Q,LM593063005.Q,FL594023005.Q,FL343069005.Q,FL593065005.Q,LM593064105.Q,LM593064205.Q,FL593090005.Q,FL593095005.Q,FL573074005.Q,FL593073005.Q,FL593093005.Q,FL594190005.Q,FL594190045.Q,FL592000075.Q,FL593073045.Q,FL153050015.Q,FL594190045.Q,FL594090055.Q,LM893131573.Q,FL543150015.Q
1945:Q4,58456,150,0,0,0,6359,0,3570,0,849,1940,2921,2903,18,7,0,49019,0,0,49149,-130,58472,57677,8528,49149,ND,57677,795,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,66264,178,0,0,0,6866,0,3771,0,935,2160,3316,3273,43,8,0,55896,0,0,56118,-222,66281,65489,9371,56118,ND,65489,792,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,74316,216,0,0,0,7438,0,4011,0,1037,2390,4163,4096,67,10,0,62489,0,0,62511,-22,74339,73374,10863,62511,ND,73374,965,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
