1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2001:Q3,185714,3172,1643,55160,11822,91194,-20155,194476,18320,4192,-4125,108608,-11864,64780,-34431,400,-145909,48736,-226562,26256,1861129,82628,866807,119504,-29548,1108,191888,32416,1580,40529,41610,12813,-83843,33178,74510,-2253,117006,0,31288,12364,18457,4632,227508,31248,0,35700,-1675416
2001:Q4,960890,-596,126170,55160,22290,215750,-37072,-255623,-70896,18020,-3602,48632,84088,11508,32215,2036,377687,10440,298436,26248,372796,29796,-459817,157844,-44672,-556,149967,-30472,17180,-43853,68024,-24609,156482,36958,222190,-1971,-46508,0,-10400,11624,55833,1960,230506,-81664,-240,-20808,588094
2002:Q1,944907,1328,235458,18720,46109,62151,26933,169611,-72960,2980,5955,63800,176312,-27672,70612,604,127915,62640,-37510,11920,928170,29800,198654,39108,-22088,3470,92514,-816,3996,54648,-5352,-46230,172508,37453,55515,-71915,-28118,0,-864,32272,38959,-1808,272060,21380,0,53024,16737
2002:Q2,459001,-520,186745,18720,40125,211810,20458,172292,116856,-3968,-2662,72876,22400,36328,6559,220,-319297,-8196,-123666,11920,554542,61228,567255,41952,-43188,-670,20523,8864,2296,-43293,21312,34727,-33026,32201,187106,79545,46112,0,21788,20844,40307,4704,-473677,-25024,0,-17344,-95541
2002:Q3,221132,2880,41468,18724,13595,-189928,-26080,130956,42432,6224,1071,64292,30472,70828,97634,1168,-213599,11520,105568,11908,802917,50992,627432,42792,-21492,-3672,154298,864,-1064,8512,12316,22644,-46949,38571,-216504,-26219,128264,0,44600,14308,25964,6020,-82124,19628,0,3736,-581785
2002:Q4,832628,-72,283479,18720,45624,545841,-21647,322953,-6528,-8076,3339,88256,-106704,62124,24997,-1320,-272627,10124,-167776,11920,538740,27900,-143438,39864,-22604,-1908,237358,8008,-29380,573,23824,-2604,191545,38980,573693,-17635,-34002,0,22304,12248,35190,876,-424816,26144,152,-23532,293888
2003:Q1,1250035,2764,203374,23388,49625,-225451,16428,-153450,-13528,6172,8888,110392,226136,-40024,98436,2884,749475,-10148,163214,31460,819999,72964,158545,18816,-14628,-1232,-134057,-3292,5840,-66607,46076,88204,-33351,34005,-212027,-54158,-28635,0,5428,23136,86889,-220,778495,50292,0,-484,430036
2003:Q2,3039004,1364,41023,23388,46752,905465,9970,181107,129944,5036,-2734,72500,207348,4176,136794,-8,960994,3544,304373,7968,2129549,61932,-480999,18816,-9836,-1820,194985,38916,-4436,5388,-6968,40952,128948,23724,957373,-16151,-5697,0,35424,26152,114525,2456,944952,56636,0,4276,909456
2003:Q3,589805,72,22342,23388,72797,186152,-22111,194333,-90176,11912,-2476,80768,30856,-43576,246343,-1972,-218119,14316,71672,13284,578061,91670,-142074,18676,3140,-1374,217725,-47336,-2112,24519,-1308,-56749,159387,52095,210548,-12248,-37065,0,17964,15928,74657,-1800,-40649,35932,0,-1464,11744
2003:Q4,686665,-384,154424,23388,70818,297476,-5783,92360,-23828,-9448,5054,92876,56012,-71204,-26128,1960,-9702,14092,15986,8696,536480,24466,-204629,16980,15496,-1118,97252,-15072,-7976,14228,-49208,-3423,173363,61960,346672,9861,-90474,0,15164,20344,42377,-852,32374,32452,180,6064,150184
