1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q3,342640,57,70001,36152,5675,96169,887,18360,-14350,-2764,1325,1659,14227,-13395,14964,2002,85012,7605,17423,1631,556687,1051,114318,79086,3703,127,50391,1249,-2333,-3195,-5082,20170,15660,4917,101635,346,273,1070,8780,2107,-16143,3103,173702,5459,41,-3748,-214046
2006:Q4,125327,164,-22782,36152,12861,94562,-220,-115556,-7227,-1230,-1977,-5799,-884,3050,17503,4298,83966,17955,12363,-1873,409814,16778,204487,79143,1359,-759,-109402,-4174,-183,844,-17746,13933,17037,-10855,104118,2545,-15935,2657,-8177,4220,17896,3897,86299,28612,-28,-6752,-284487
2007:Q1,645800,536,163723,23472,31167,101164,539,-27342,18780,-913,415,12062,32844,-5778,138,-2402,289612,-9846,11731,5898,709939,5140,115859,70314,4150,-255,-41913,3691,436,-6156,4471,5345,12598,35706,101826,5102,-15962,2014,8880,2484,-3883,-4020,401017,544,17,2534,-64139
2007:Q2,490886,30,60047,23472,36936,-54426,-269,102768,6525,-323,-1271,7049,15774,8999,16348,-1988,217777,9285,36115,8039,425900,3945,95677,70272,-6957,617,-3577,3480,2286,7963,-8610,12187,16017,30729,-43103,-3241,-36738,302,16804,4329,3798,-1477,229978,28413,-11,2818,64986
2007:Q3,104960,466,81759,23471,8113,114860,457,37593,3992,-1899,-5061,11258,31436,1297,-9772,2991,-191926,20554,-33348,8719,303692,12951,110845,70510,6671,-674,62409,8291,-95,10612,-4906,6178,13372,4055,123089,20889,-10163,3752,-4869,2836,7900,1824,-159405,10413,-34,7241,-198733
2007:Q4,-182974,0,44733,23472,-5506,38849,-2357,-49142,-4470,-8444,260,-18745,-675,2825,2022,1687,-160906,34803,-90711,9331,153390,19151,259118,70498,-228,-241,-5091,-7113,3490,-2109,-3310,27384,10214,-22970,36905,2402,72635,2992,6229,267,6021,-589,-354651,13223,58,19105,-336363
2008:Q1,33248,1336,5825,28572,29931,-2675,-845,29240,16716,643,5153,13886,10269,14519,15605,1042,-141676,4784,4256,-3333,-80370,13853,-228250,9412,-3035,-215,28698,15757,691,-13104,41120,13796,19221,35183,-15247,-28842,16671,3733,-14311,-1233,7236,1629,-24785,37799,113,3739,113618
2008:Q2,-187328,392,35212,28572,18658,6934,-584,-81621,-26006,501,-3975,2455,13272,-6087,-7502,-270,-240235,68094,7747,-2885,-430370,7708,-244172,9848,-4962,-1066,-25621,-18961,766,9353,3501,-7692,26190,13540,8667,-434,-21158,3284,991,4730,11391,437,-308565,57989,-71,43937,243042
2008:Q3,-150441,-181,21378,28572,4201,60420,1620,5476,11302,-3747,-3026,26989,-83901,17227,19279,2339,-158252,-8912,-86445,-4779,-197378,18006,-120394,9707,-4240,-331,55288,10970,-677,6433,40921,17559,16746,1263,41394,-1007,2157,1984,-20632,-11938,15408,89,-247037,-14076,75,-15045,46937
2008:Q4,-437388,1625,263720,28571,-9908,63961,-1714,-41315,42555,-1859,3537,-22538,-14453,22023,-10056,-303,-630248,105933,-271754,34835,-582285,17728,58161,9565,-5018,255,-26454,-4727,-1767,-8696,5161,62937,13203,-33278,31595,1541,119479,1567,-8630,-7722,-1108,2375,-975545,107346,-121,59869,144896
2009:Q1,-72207,-493,-10345,8162,32915,33587,795,-78118,-27489,128,15379,11515,-14743,31646,-16426,158,5545,-87127,36351,-13647,-226576,-19,-80324,-14601,-6012,8892,-31345,1020,-1065,-2330,24015,3975,29018,42742,21233,6017,-35016,14588,10538,-10614,2102,-4092,-81553,-93156,32,-30621,154369
2009:Q2,360660,-1654,22814,8162,20816,244259,2015,-1985,-38513,-995,200,-11617,10525,1246,-47732,2394,60198,3842,81292,5393,259976,4069,-67662,-15379,6347,21972,26660,-467,-946,4842,-35968,-23527,40606,14934,257282,-17961,-28109,5022,17571,-6865,-11144,-1632,106124,-34267,-14,-1512,100685
