date,FA893150005.Q,FA543150005.Q,FA574190005.Q,FA344090005.Q,FA224190005.Q,FA263150005.Q,FA893150005.Q,FA153050005.Q,FA543050005.Q,FA543151905.Q,FA893131573.Q,FA763131573.Q,FA473131573.Q,FA543131503.Q,FA633131573.Q,FA653131573.Q,FA153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6705,400,1380,4047,878,0,6705,6705,0,0,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,7057,500,1517,3946,1094,0,7057,7057,0,0,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,23844,2136,8364,9492,3852,0,23844,23844,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q3,26072,2108,8696,11348,3920,0,26072,26072,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q4,25300,1784,9220,10304,3992,0,25300,25300,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q1,23968,1484,7720,10664,4100,0,23968,23968,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q2,23780,1208,7444,10940,4188,0,23780,23780,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q3,23440,1136,7096,10932,4276,0,23440,23440,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q4,23500,1272,7064,10804,4360,0,23500,23500,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q1,23556,1364,6548,11116,4528,0,23556,23556,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q2,23856,1412,6436,11364,4644,0,23856,23856,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q3,23812,1424,6036,11588,4764,0,23812,23812,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q4,23736,1400,6032,11420,4884,0,23736,23736,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q1,24164,1364,5900,11896,5004,0,24164,24164,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q2,23712,1316,5144,12128,5124,0,23712,23712,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q3,23372,1352,4584,12192,5244,0,23372,23372,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q4,23988,1468,4768,12388,5364,0,23988,23988,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q1,25764,1564,6120,12596,5484,0,25764,25764,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q2,26736,1644,6584,12904,5604,0,26736,26736,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q3,27464,1716,7128,12896,5724,0,27464,27464,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q4,28452,1776,7732,13100,5844,0,28452,28452,0,0,ND,ND,ND,ND,ND,ND,ND
