1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,5167,5167,0,0,5167,566,0,0,-41,25,3523,0,11,68,952,8,2,0,0,0,53,0,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,5155,5155,0,0,5155,517,0,0,85,50,2949,0,26,77,1446,9,5,0,0,0,-9,0,0,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,3984,3984,0,0,3984,196,0,0,117,75,2309,0,15,43,1150,8,9,0,0,0,62,0,0,ND,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,7844,7844,0,0,7844,220,0,0,543,46,4411,0,22,57,2385,10,12,0,0,0,138,0,0,ND,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6542,6542,0,0,6542,288,0,0,618,62,3472,0,25,3,2132,8,15,0,0,0,-81,0,0,ND,ND,ND,ND,ND,ND
1952:Q1,6252,6252,0,0,6252,208,0,0,832,72,3540,0,8,-192,1352,12,16,0,0,0,404,0,0,ND,ND,ND,ND,ND,ND
1952:Q2,6388,6388,0,0,6388,-60,0,0,100,80,4880,0,0,188,1048,12,20,0,0,0,120,0,0,ND,ND,ND,ND,ND,ND
1952:Q3,6676,6676,0,0,6676,-184,0,0,196,80,5416,0,0,-176,1112,16,20,0,0,0,196,0,0,ND,ND,ND,ND,ND,ND
1952:Q4,7180,7180,0,0,7180,124,0,0,732,76,4920,0,-4,120,1076,16,20,0,0,0,100,0,0,ND,ND,ND,ND,ND,ND
1953:Q1,7520,7520,0,0,7520,1384,0,0,644,64,4404,0,0,20,1352,16,24,0,0,0,-388,0,0,ND,ND,ND,ND,ND,ND
1953:Q2,8352,8352,0,0,8352,-4,0,0,472,60,6044,0,4,132,1380,20,24,0,0,0,220,0,0,ND,ND,ND,ND,ND,ND
1953:Q3,7192,7192,0,0,7192,-464,0,0,164,56,5768,0,4,-168,1380,24,28,0,0,0,400,0,0,ND,ND,ND,ND,ND,ND
1953:Q4,7024,7024,0,0,7024,372,0,0,-272,60,5316,0,0,-12,1640,20,28,0,0,0,-128,0,0,ND,ND,ND,ND,ND,ND
1954:Q1,6836,6836,0,0,6836,636,0,0,-156,64,4808,0,0,-88,1420,20,28,0,0,0,104,0,0,ND,ND,ND,ND,ND,ND
1954:Q2,8560,8560,0,0,8560,-48,0,0,-168,72,6380,0,0,380,1780,20,32,0,0,0,112,0,0,ND,ND,ND,ND,ND,ND
1954:Q3,10108,10108,0,0,10108,-112,0,0,260,68,7712,0,0,-160,1952,20,40,0,0,0,328,0,0,ND,ND,ND,ND,ND,ND
1954:Q4,12168,12168,0,0,12168,328,0,0,324,56,8512,0,4,-36,2680,28,36,0,0,0,236,0,0,ND,ND,ND,ND,ND,ND
1955:Q1,12772,12772,0,0,12772,980,0,0,360,44,8280,0,16,392,2280,36,36,0,0,0,348,0,0,ND,ND,ND,ND,ND,ND
1955:Q2,13356,13356,0,0,13356,-64,0,0,236,32,10144,0,28,152,2120,36,40,36,0,0,596,0,0,ND,ND,ND,ND,ND,ND
1955:Q3,12484,12484,0,0,12484,-744,0,0,40,32,10024,0,28,-68,2148,44,44,84,0,0,852,0,0,ND,ND,ND,ND,ND,ND
1955:Q4,11708,11708,0,0,11708,344,0,0,0,44,7460,0,24,-8,3484,48,36,224,0,0,52,0,0,ND,ND,ND,ND,ND,ND
1956:Q1,11036,11036,0,0,11036,1376,0,0,-60,52,6816,0,16,-8,2760,52,40,280,0,0,-288,0,0,ND,ND,ND,ND,ND,ND
1956:Q2,11388,11388,0,0,11388,72,0,0,-48,48,8008,0,12,508,2396,60,36,308,0,0,-12,0,0,ND,ND,ND,ND,ND,ND
1956:Q3,10404,10404,0,0,10404,-748,0,0,-52,68,8244,0,8,-212,2240,64,44,476,0,0,272,0,0,ND,ND,ND,ND,ND,ND
1956:Q4,10408,10408,0,0,10408,416,0,0,-16,116,6412,0,8,-12,2480,64,52,1188,0,0,-300,0,0,ND,ND,ND,ND,ND,ND
1957:Q1,9936,9936,0,0,9936,1896,0,0,36,156,4628,0,4,340,1940,64,68,1528,0,0,-724,0,0,ND,ND,ND,ND,ND,ND
1957:Q2,8180,8180,0,0,8180,384,0,0,116,204,5544,0,0,32,1196,60,76,872,0,0,-304,0,0,ND,ND,ND,ND,ND,ND
1957:Q3,8344,8344,0,0,8344,-368,0,0,204,220,6324,0,0,-140,1156,64,88,784,0,0,12,0,0,ND,ND,ND,ND,ND,ND
1957:Q4,8056,8056,0,0,8056,324,0,0,308,200,5688,0,4,-236,952,64,88,764,0,0,-100,0,0,ND,ND,ND,ND,ND,ND
1958:Q1,8092,8092,0,0,8092,1140,0,0,208,192,4356,0,24,296,988,68,92,328,0,0,400,0,0,ND,ND,ND,ND,ND,ND
1958:Q2,7944,7944,0,0,7944,316,0,0,108,184,7492,0,36,-140,684,64,100,-1296,0,0,396,0,0,ND,ND,ND,ND,ND,ND
1958:Q3,10404,10404,0,0,10404,-520,0,0,108,192,9368,0,36,136,744,76,108,-244,0,0,400,0,0,ND,ND,ND,ND,ND,ND
1958:Q4,12772,12772,0,0,12772,660,0,0,496,208,9464,0,16,-184,1316,84,120,192,0,0,400,0,0,ND,ND,ND,ND,ND,ND
1959:Q1,12972,12972,0,0,12972,1236,-56,0,1268,228,8000,0,4,416,932,100,120,332,0,0,392,0,0,ND,ND,ND,ND,ND,ND
1959:Q2,12884,12884,0,0,12884,-488,-48,0,1332,256,10560,0,-8,28,776,112,120,440,0,0,-196,0,0,ND,ND,ND,ND,ND,ND
1959:Q3,13696,13696,0,0,13696,-1260,-164,0,832,252,11124,0,-12,200,1276,124,140,812,0,0,372,0,0,ND,ND,ND,ND,ND,ND
1959:Q4,12588,12588,0,0,12588,-320,0,0,268,220,9052,0,-12,-112,1852,124,172,1052,0,0,292,0,0,ND,ND,ND,ND,ND,ND
1960:Q1,11872,11872,0,0,11872,1460,0,0,-492,188,6612,0,0,712,1612,136,212,1320,0,0,112,0,0,ND,ND,ND,ND,ND,ND
1960:Q2,10096,10096,0,0,10096,364,0,0,40,160,7424,0,4,-96,1188,152,256,920,0,0,-316,0,0,ND,ND,ND,ND,ND,ND
1960:Q3,11704,11704,0,0,11704,20,0,0,220,152,8924,0,8,-124,968,152,268,824,0,0,292,0,0,ND,ND,ND,ND,ND,ND
1960:Q4,11444,11444,0,0,11444,1204,0,0,348,164,7852,0,8,-88,1416,132,248,380,0,0,-220,0,0,ND,ND,ND,ND,ND,ND
1961:Q1,11124,11124,0,0,11124,2868,0,0,220,180,6548,0,12,560,924,120,240,-532,0,0,-16,0,0,ND,ND,ND,ND,ND,ND
1961:Q2,10612,10612,0,0,10612,264,0,0,184,192,9688,0,12,-268,908,112,244,-992,0,0,268,0,0,ND,ND,ND,ND,ND,ND
1961:Q3,13196,13196,0,0,13196,176,0,0,168,184,10384,0,20,356,304,108,236,336,0,0,924,0,0,ND,ND,ND,ND,ND,ND
1961:Q4,15664,15664,0,0,15664,608,0,0,280,148,10468,0,28,272,1452,120,212,1064,0,0,1012,0,0,ND,ND,ND,ND,ND,ND
1962:Q1,12072,12072,0,0,12072,3136,0,0,232,124,7496,0,40,204,196,128,188,600,0,0,-272,0,0,ND,ND,ND,ND,ND,ND
1962:Q2,13552,13552,0,0,13552,104,0,0,-120,100,12440,0,52,-156,564,140,176,-628,0,0,880,0,0,ND,ND,ND,ND,ND,ND
1962:Q3,15376,15376,0,0,15376,456,0,0,-52,80,13092,0,52,252,372,144,168,-92,0,0,904,0,0,ND,ND,ND,ND,ND,ND
1962:Q4,16120,16120,0,0,16120,1608,0,0,132,64,12428,0,44,276,1260,140,168,-20,0,0,20,0,0,ND,ND,ND,ND,ND,ND
1963:Q1,14544,14544,0,0,14544,2700,0,0,-172,48,11856,0,40,400,656,140,180,-1272,0,0,-32,0,0,ND,ND,ND,ND,ND,ND
1963:Q2,16148,16148,0,0,16148,1204,0,0,-1320,24,15792,0,36,-24,676,140,184,-1560,0,0,996,0,0,ND,ND,ND,ND,ND,ND
1963:Q3,18504,18504,0,0,18504,244,0,0,-180,12,15944,0,32,296,780,148,192,-228,0,0,1264,0,0,ND,ND,ND,ND,ND,ND
1963:Q4,18000,18000,0,0,18000,700,0,0,184,16,14112,0,36,348,1716,176,200,-120,0,0,632,0,0,ND,ND,ND,ND,ND,ND
1964:Q1,17268,17268,0,0,17268,3612,0,0,-108,20,12680,0,40,16,972,244,216,-68,0,0,-356,0,0,ND,ND,ND,ND,ND,ND
1964:Q2,16460,16460,0,0,16460,-140,0,0,-400,16,14764,0,44,-232,944,264,216,-52,0,0,1036,0,0,ND,ND,ND,ND,ND,ND
1964:Q3,18004,18004,0,0,18004,1408,0,0,28,12,14536,0,48,228,912,236,228,-152,0,0,520,0,0,ND,ND,ND,ND,ND,ND
1964:Q4,17184,17184,0,0,17184,1744,0,0,76,12,12876,0,52,-140,1948,232,260,56,0,0,68,0,0,ND,ND,ND,ND,ND,ND
1965:Q1,16988,16988,0,0,16988,2836,0,0,-108,8,11436,0,64,556,1312,248,308,132,0,0,196,0,0,ND,ND,ND,ND,ND,ND
1965:Q2,15624,15624,0,0,15624,392,0,0,-384,4,13324,0,76,-12,668,452,344,120,0,0,640,0,0,ND,ND,ND,ND,ND,ND
1965:Q3,18184,18184,0,0,18184,216,0,0,-48,4,15200,0,76,-324,748,216,364,420,92,0,1220,0,0,ND,ND,ND,ND,ND,ND
1965:Q4,17660,17660,0,0,17660,1544,0,0,48,20,12960,0,60,-316,1528,148,364,1424,108,0,-228,0,0,ND,ND,ND,ND,ND,ND
1966:Q1,17184,17184,0,0,17184,224,0,0,380,36,11016,0,44,984,1040,204,372,3004,136,0,-256,0,0,ND,ND,ND,ND,ND,ND
1966:Q2,13188,13188,0,0,13188,392,0,0,504,56,9536,0,28,-196,708,124,400,1752,152,0,-268,0,0,ND,ND,ND,ND,ND,ND
1966:Q3,11672,11672,0,0,11672,1424,0,0,832,52,7496,0,24,-484,228,188,388,1476,264,0,-216,0,0,ND,ND,ND,ND,ND,ND
1966:Q4,9768,9768,0,0,9768,2176,0,0,832,32,5340,0,36,-272,600,340,332,1272,312,0,-1232,0,0,ND,ND,ND,ND,ND,ND
1967:Q1,9356,9356,0,0,9356,3572,0,0,600,8,3620,0,56,4,40,124,312,824,360,0,-164,0,0,ND,ND,ND,ND,ND,ND
1967:Q2,9020,9020,0,0,9020,-732,0,0,352,-12,8076,0,72,-28,-684,-44,316,-40,408,0,1336,0,0,ND,ND,ND,ND,ND,ND
1967:Q3,17616,17616,0,0,17616,1456,0,0,900,-16,13440,0,72,-12,-900,136,152,1604,372,0,412,0,0,ND,ND,ND,ND,ND,ND
1967:Q4,17440,17440,0,0,17440,1904,0,0,1012,-12,12544,0,52,-164,-336,36,152,2120,404,0,-272,0,0,ND,ND,ND,ND,ND,ND
1968:Q1,16580,16580,0,0,16580,4296,0,0,1072,4,9208,0,44,-260,-476,4,280,2564,436,0,-592,0,0,ND,ND,ND,ND,ND,ND
1968:Q2,15168,15168,0,0,15168,104,0,0,956,4,11356,0,32,-32,-776,-84,232,1832,468,0,1036,40,0,ND,ND,ND,ND,ND,ND
1968:Q3,17908,17908,0,0,17908,2084,4,0,936,12,14216,0,28,-128,-1008,28,-8,872,232,0,580,60,0,ND,ND,ND,ND,ND,ND
1968:Q4,18616,18616,0,0,18616,1544,0,0,644,20,14228,0,36,-12,-672,-24,152,1284,232,0,1148,36,0,ND,ND,ND,ND,ND,ND
1969:Q1,18472,18472,0,0,18472,1236,0,0,432,28,12612,0,32,-68,-404,16,124,2080,232,0,2092,60,0,ND,ND,ND,ND,ND,ND
1969:Q2,17072,17072,0,0,17072,-1916,4,0,108,36,14084,0,32,-308,-732,-24,28,1936,224,0,3468,132,0,ND,ND,ND,ND,ND,ND
1969:Q3,19032,19032,0,0,19032,1876,4,0,164,68,14544,0,32,-380,-976,108,-148,4572,512,0,-1520,176,0,ND,ND,ND,ND,ND,ND
1969:Q4,16240,16240,0,0,16240,5812,4,0,120,100,7516,0,32,-128,-3412,120,100,6484,532,0,-1372,332,0,ND,ND,ND,ND,ND,ND
1970:Q1,14964,12068,579,2317,14964,1116,12,0,4,144,4436,0,288,-1300,512,0,200,6108,612,0,2236,596,0,ND,ND,ND,ND,ND,ND
1970:Q2,6640,4500,428,1712,6640,-5208,8,0,-100,8,5752,0,60,56,-1316,-60,452,4248,656,0,1848,236,0,ND,ND,ND,ND,ND,ND
1970:Q3,12864,11624,248,992,12864,-1800,4,0,-176,16,10556,0,60,108,-1536,-92,-244,5500,1276,0,-1056,248,0,ND,ND,ND,ND,ND,332
1970:Q4,17868,16976,178,714,17868,792,8,0,-236,132,12444,0,72,116,-1300,-40,40,2620,2108,0,656,456,0,ND,ND,ND,ND,ND,336
1971:Q1,23948,21820,426,1702,23948,5608,4,400,-784,60,14500,0,84,-16,-1404,-196,-152,-932,4204,0,2320,252,0,ND,ND,ND,ND,ND,336
1971:Q2,20184,15840,869,3475,20184,-4708,8,500,-328,8,20256,0,296,32,-2244,-20,16,-168,5832,0,300,404,0,ND,ND,ND,ND,ND,332
1971:Q3,29640,26784,571,2285,29640,-2580,0,500,-340,44,27448,0,24,72,-2560,-412,-176,5844,2704,0,-812,-116,0,ND,ND,ND,ND,ND,336
1971:Q4,33408,31808,320,1280,33408,3304,4,500,-1024,264,23664,0,24,100,-2168,-544,664,3564,4000,0,892,164,0,ND,ND,ND,ND,ND,336
1972:Q1,36840,33808,606,2426,36840,5244,8,500,180,4,28476,0,16,32,-1888,-616,56,1260,3676,0,-504,396,0,ND,ND,ND,ND,ND,332
1972:Q2,31868,25672,1239,4957,31868,-7192,16,400,-256,288,34000,0,60,-40,-2208,-88,-148,2080,4180,0,-120,896,0,ND,ND,ND,ND,ND,340
1972:Q3,42460,35760,1340,5360,42460,-3112,0,400,-612,24,40196,0,20,492,-2740,-664,88,2100,3624,0,2772,-128,0,ND,ND,ND,ND,ND,332
1972:Q4,44712,41152,712,2848,44712,1692,8,400,-1848,140,38448,0,-8,128,-2484,-280,200,1956,4456,0,1400,504,0,ND,ND,ND,ND,ND,332
1973:Q1,45696,43392,461,1843,45696,8340,8,252,-800,128,35204,0,-168,536,-1832,-640,364,1900,2620,0,-592,376,0,ND,ND,ND,ND,ND,336
1973:Q2,40276,33056,1444,5776,40276,-6632,0,180,-3652,212,43728,0,-164,172,-2324,-136,32,2380,4576,0,1880,24,0,ND,ND,ND,ND,ND,332
1973:Q3,42920,36720,1240,4960,42920,-2856,28,0,2756,516,37248,0,192,752,-2136,-72,-72,5224,1688,0,-1708,1360,0,ND,ND,ND,ND,ND,340
1973:Q4,44152,44704,-110,-442,44152,3636,20,-132,-1384,1344,26916,0,196,304,-1264,-72,344,3996,2856,0,6528,864,0,ND,ND,ND,ND,ND,332
1974:Q1,42128,40412,343,1373,42128,9296,8,-4,-824,596,24228,0,-68,68,-1288,-24,156,868,6532,0,2024,560,0,ND,ND,ND,ND,ND,336
1974:Q2,35360,33968,278,1114,35360,-4228,0,-16,1956,496,30584,0,-72,-312,-2084,-44,-160,7236,2120,0,-80,-36,0,ND,ND,ND,ND,ND,332
1974:Q3,34680,38364,-737,-2947,34680,2556,-20,-44,228,388,22364,0,352,328,-1404,-16,32,8460,5412,0,-2952,-1004,0,ND,ND,ND,ND,ND,336
1974:Q4,29908,36472,-1313,-5251,29908,4508,-4,-68,4264,1492,13308,0,4,204,-824,-24,256,5844,3544,0,-2404,-192,0,ND,ND,ND,ND,ND,336
1975:Q1,31204,32000,-159,-637,31204,11328,-2104,-156,-416,1276,13308,0,-144,364,-1104,-272,-332,12,11128,0,-720,-964,0,ND,ND,ND,ND,ND,336
1975:Q2,34540,32088,490,1962,34540,-2960,-16,-92,4752,564,25580,0,60,104,-1540,-140,-100,2332,6124,0,824,-952,0,ND,ND,ND,ND,ND,308
1975:Q3,41672,40868,161,643,41672,-1048,-32,60,5652,464,27748,0,32,1000,-1640,-120,-60,4680,4540,0,1500,-1104,0,ND,ND,ND,ND,ND,1516
1975:Q4,47804,53948,-1229,-4915,47804,3620,88,200,6212,772,29184,0,28,452,-1460,-112,-988,2948,7412,0,224,-776,0,ND,ND,ND,ND,ND,1472
1976:Q1,63528,58348,1036,4144,63528,14888,-2224,204,1724,232,38972,0,200,584,-1720,-84,-80,520,9444,0,1020,-152,0,ND,ND,ND,ND,ND,384
1976:Q2,49804,46428,675,2701,49804,-4736,-744,272,-4916,1204,48496,0,196,-76,-1220,-60,-44,-832,11708,0,732,-176,0,ND,ND,ND,ND,ND,256
1976:Q3,62012,59580,486,1946,62012,-4692,-516,424,572,728,52832,0,64,1064,-1628,-60,-124,2736,11544,0,-740,-192,0,ND,ND,ND,ND,ND,240
1976:Q4,67324,66180,229,915,67324,2476,-316,560,-340,1100,48796,0,56,456,-1440,-104,156,-440,14976,0,1600,-212,0,ND,ND,ND,ND,ND,0
1977:Q1,81356,77264,818,3274,81356,16556,1524,208,-236,8,50676,0,144,588,-1516,-40,-220,-3096,17984,0,-1112,-112,0,ND,ND,ND,ND,ND,1308
1977:Q2,91500,80400,2220,8880,91500,-6616,1296,288,2896,-904,80564,0,144,-532,-1100,16,208,3244,10596,0,1520,-120,0,ND,ND,ND,ND,ND,1284
1977:Q3,98536,92380,1231,4925,98536,-7216,1064,480,3388,648,78312,0,-204,916,-1584,-104,-28,740,17712,0,4532,-120,0,ND,ND,ND,ND,ND,1056
1977:Q4,99416,93652,1153,4611,99416,1100,1128,648,3788,1060,73236,0,-132,228,-1192,148,316,1064,16632,0,1520,-128,0,ND,ND,ND,ND,ND,1400
1978:Q1,100080,98756,265,1059,100080,21836,768,732,128,1736,57552,0,212,776,-1292,260,52,6592,9448,0,1328,-48,0,ND,ND,ND,ND,ND,1904
1978:Q2,101152,95368,1157,4627,101152,-3668,432,780,3388,1484,76276,0,264,-224,-800,164,8,7992,10572,0,4532,-48,0,ND,ND,ND,ND,ND,2404
1978:Q3,119024,111408,1523,6093,119024,-1260,188,908,3964,2576,82520,0,56,-764,-236,296,224,10872,12156,0,7592,-68,0,ND,ND,ND,ND,ND,2648
1978:Q4,124636,119816,964,3856,124636,7124,296,1016,2468,2148,76904,0,60,-940,1112,248,-728,10640,17288,0,7032,-32,0,ND,ND,ND,ND,ND,2924
1979:Q1,121652,123032,-276,-1104,121652,24820,1340,900,2956,3328,53852,0,60,1008,236,252,96,13700,18400,0,772,-68,0,ND,ND,ND,ND,ND,2092
1979:Q2,113608,104888,1744,6976,113608,-3136,1172,824,2668,3788,74272,0,60,-848,-104,-56,168,7896,18108,0,8868,-72,0,ND,ND,ND,ND,ND,1892
1979:Q3,123548,117648,1180,4720,123548,-712,1292,640,2244,5024,69216,0,60,-20,1524,476,396,5748,26024,0,11704,-68,0,ND,ND,ND,ND,ND,2932
1979:Q4,104908,120380,-3094,-12378,104908,4572,1076,496,1408,6564,48828,0,60,2220,5176,632,496,9400,24532,0,-484,-68,0,ND,ND,ND,ND,ND,3036
1980:Q1,98268,95028,-152,3392,98268,4928,6244,-468,3816,6724,34992,0,80,5784,3996,156,548,12796,20368,0,-1680,-16,0,ND,ND,ND,ND,ND,2664
1980:Q2,56484,62628,-1229,-4915,56484,-984,7440,-128,2512,7800,14500,0,80,580,2644,276,508,5792,15304,0,180,-20,0,ND,ND,ND,ND,ND,2608
1980:Q3,105264,97956,662,6646,105264,6912,7888,712,1796,9012,46440,0,80,-1164,744,240,372,3044,22132,0,7076,-20,0,ND,ND,ND,ND,ND,956
1980:Q4,110188,105268,984,3936,110188,9956,8012,1388,2712,8100,53320,0,80,972,-188,264,324,8888,16984,0,-604,-20,0,ND,ND,ND,ND,ND,2512
1981:Q1,76964,72352,122,4490,76964,18824,-608,2168,2712,8036,28996,0,80,-244,-576,276,412,1168,12552,0,3164,4,0,ND,ND,ND,ND,ND,3700
1981:Q2,86844,85868,195,781,86844,21928,-6112,2428,2240,6772,39680,0,80,-1916,-1000,60,220,2296,14408,0,5760,0,0,ND,ND,ND,ND,ND,3432
1981:Q3,58632,58876,-849,605,58632,9076,-8032,3076,2720,4496,23912,0,80,-1280,-692,24,244,9564,13512,0,1928,4,0,ND,ND,ND,ND,ND,52
1981:Q4,47772,50852,-616,-2464,47772,20116,-8976,3596,1884,3984,6424,0,80,-396,-700,-32,356,7176,16652,0,-2392,0,0,ND,ND,ND,ND,ND,604
1982:Q1,61048,54152,-221,7117,61048,37084,-16292,2500,1296,2388,-5416,0,-128,-1344,-428,0,116,5232,34896,0,1156,-12,0,ND,ND,ND,ND,ND,956
1982:Q2,44940,36508,86,8346,44940,5012,5044,2296,1588,2256,-20376,0,-252,-980,-2508,1116,208,10156,36932,0,4460,-12,0,ND,ND,ND,ND,ND,2524
1982:Q3,40520,33344,635,6541,40520,4832,-3108,1800,1844,3400,-39340,0,-280,-600,1628,1564,-8,15420,52804,0,576,-12,0,ND,ND,ND,ND,ND,488
1982:Q4,71440,65704,347,5389,71440,32508,-7196,1392,1084,3920,-48984,0,-220,-1076,-492,788,-40,10496,72724,0,6552,-16,0,ND,ND,ND,ND,ND,-216
1983:Q1,95456,87980,695,6781,95456,5828,1300,1044,-668,4656,1756,0,-60,1720,-1316,-2144,176,7648,70504,0,5060,-48,0,ND,ND,ND,ND,ND,400
1983:Q2,102072,95416,531,6125,102072,-8752,-956,1248,1648,4876,23328,0,40,2520,-2248,972,-184,9556,65460,0,4616,-52,0,ND,ND,ND,ND,ND,928
1983:Q3,128536,115052,1897,11587,128536,-23784,7508,1756,1508,4492,61508,0,60,1368,-1304,-504,-20,4820,72180,0,-1000,-52,0,ND,ND,ND,ND,ND,804
1983:Q4,138272,122388,2377,13507,138272,4764,644,2160,504,6596,57180,0,100,1172,-860,-264,0,15452,52216,0,-1340,-52,0,ND,ND,ND,ND,ND,1792
1984:Q1,154060,145764,859,7437,154060,34252,-3916,3648,252,5544,47772,0,100,4444,-1676,2512,-32,15536,43968,0,1632,24,0,ND,ND,ND,ND,ND,-1508
1984:Q2,139376,120136,3848,15392,139376,-4772,-4096,3492,40,5308,93176,0,160,3432,-1984,-480,-88,6236,29324,0,9604,24,0,ND,ND,ND,ND,ND,2120
1984:Q3,114792,111436,-129,3485,114792,-5944,-8100,3104,-1144,4488,69632,0,100,2016,-980,1016,-96,5880,45996,0,-1196,20,0,ND,ND,ND,ND,ND,3968
1984:Q4,135468,132980,498,1990,135468,-776,-1856,2804,3340,6440,40780,0,140,2720,-156,712,-12,15312,54768,8000,3248,4,0,ND,ND,ND,ND,ND,3192
1985:Q1,202928,193140,1158,8630,202928,84496,7000,1652,816,5908,29644,0,144,868,-316,1212,-28,20632,56572,2164,-7860,24,0,ND,ND,ND,ND,ND,1356
1985:Q2,142852,126472,2476,13904,142852,-8396,-472,1220,200,5440,39884,0,72,3308,712,-940,-136,13220,66668,7264,14764,44,0,ND,ND,ND,ND,ND,3776
