1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q3,2,3,173,30,0,20,10,0,0,-22,-6,27,0,-17,-26,88,64,24,0,0,77,177,175,118,116,2,28,17,0,25,1,-14,2,2,0,3,ND
1956:Q4,2,3,79,25,0,20,5,0,1,-11,16,10,0,-15,-22,32,0,32,0,0,32,80,74,49,47,2,15,9,0,32,-3,-28,6,6,0,0,ND
1957:Q1,2,4,-41,-9,0,-7,-2,0,0,-24,-12,-34,0,9,13,-10,-21,11,0,1,1,-38,-41,-32,-32,0,-12,-12,1,11,0,3,3,3,0,2,ND
1957:Q2,2,4,120,24,0,18,6,0,0,16,-1,17,0,0,0,37,45,-8,0,0,43,124,124,117,111,6,18,-19,1,-8,1,14,0,0,0,3,ND
1957:Q3,2,4,-41,-14,0,-11,-3,0,0,-36,-19,-12,0,-2,-3,28,-15,43,0,1,-20,-39,-40,-22,-22,0,32,-21,1,44,0,-74,1,1,0,1,ND
1957:Q4,2,4,31,20,0,20,0,0,1,-26,14,-2,0,-15,-23,5,-17,22,0,1,30,33,28,39,35,4,41,-12,1,22,-4,-59,5,5,0,1,ND
1958:Q1,3,4,54,-9,0,-13,4,0,0,-32,-11,-14,0,-3,-4,72,27,45,0,0,23,56,56,51,50,1,-53,-11,0,45,1,23,0,0,0,1,ND
1958:Q2,3,3,171,22,0,11,11,0,0,35,7,28,0,0,0,32,68,-36,0,0,82,174,173,151,146,5,-33,-2,1,-36,0,92,1,1,0,2,ND
1958:Q3,3,3,48,-1,0,-4,3,0,0,-38,-16,-19,0,-1,-2,14,28,-14,0,1,72,51,50,43,40,3,37,-2,0,-14,0,-14,1,1,0,2,ND
1958:Q4,3,4,0,18,0,19,-1,0,0,47,29,28,0,-4,-6,-48,-31,-17,0,0,-17,2,3,4,4,0,29,-3,1,-18,2,-12,-1,-1,0,1,ND
1959:Q1,3,4,157,19,0,19,0,0,0,-4,-5,3,0,-1,-1,-1,27,-28,0,0,143,159,158,-25,-22,-3,201,5,-1,-28,0,6,1,1,0,1,ND
1959:Q2,3,4,251,33,0,33,0,0,1,5,0,5,0,0,0,11,25,-14,0,1,200,253,251,-27,-24,-3,280,7,0,-14,1,4,2,2,0,1,ND
1959:Q3,3,4,214,19,0,18,1,0,0,-8,-13,5,0,0,0,41,47,-6,0,0,162,216,214,-18,-15,-3,273,7,0,-6,1,-43,2,2,0,1,ND
1959:Q4,3,4,-481,-40,0,-42,2,0,0,33,28,3,0,1,1,39,0,39,0,0,-513,-478,-484,-140,-136,-4,-344,7,0,40,-1,-46,6,6,0,2,ND
1960:Q1,2,4,144,10,0,-1,11,0,0,-34,-29,-3,0,-1,-1,27,-16,43,0,1,140,146,143,112,122,-10,27,9,-2,43,0,-46,3,3,0,1,ND
1960:Q2,2,4,236,48,0,35,13,0,0,1,8,-4,0,-1,-2,70,67,3,0,1,116,239,235,114,123,-9,30,9,-2,3,1,80,4,4,0,2,ND
1960:Q3,2,4,82,20,0,7,13,0,1,-18,-6,-4,0,-3,-5,145,87,58,0,1,-67,85,81,125,133,-8,24,11,-1,58,1,-137,4,4,0,2,ND
1960:Q4,3,4,152,60,0,46,14,0,0,31,44,-8,0,-2,-3,107,36,71,0,1,-47,156,152,125,134,-9,39,11,-2,72,1,-94,4,4,0,3,ND
1961:Q1,3,4,262,79,0,81,-2,0,1,141,83,48,0,4,6,431,390,41,0,0,-390,267,263,233,224,9,20,11,3,42,1,-47,4,4,0,4,ND
1961:Q2,3,4,293,23,0,25,-2,0,2,41,-15,48,0,3,5,160,152,8,0,1,66,298,295,233,223,10,79,12,3,8,0,-40,3,3,0,4,ND
1961:Q3,3,4,-54,-5,0,-11,6,0,-1,93,-7,77,0,9,14,-112,-142,30,0,0,-29,-53,-55,7,10,-3,-55,13,-1,30,1,-50,2,2,0,-0,ND
1961:Q4,3,4,-221,40,0,-25,65,0,0,-186,-9,-144,0,-13,-20,-23,-76,53,0,0,-52,-219,-217,-224,-267,43,37,7,-2,53,5,-93,-2,-2,0,1,ND
1962:Q1,3,4,-7,-57,0,-19,-38,0,-1,214,-23,146,0,36,55,-160,-123,-37,0,0,-3,-7,-9,-4,22,-26,51,4,-2,-37,1,-22,2,2,0,-2,ND
1962:Q2,3,5,48,-26,0,13,-39,0,-1,283,17,145,0,48,73,-198,-166,-32,0,1,-11,49,46,-4,22,-26,43,0,-2,-32,0,41,3,3,0,-1,ND
1962:Q3,3,5,-28,4,0,-6,10,0,0,-124,-6,-134,0,6,10,95,107,-12,0,0,-3,-23,-25,5,16,-11,-81,-1,-1,-12,1,64,2,2,0,3,ND
1962:Q4,3,5,103,63,0,23,40,0,0,-211,9,-187,0,-13,-20,87,13,74,0,-1,165,106,98,109,17,92,-48,2,1,74,-5,-35,8,8,0,1,ND
1963:Q1,2,4,38,-1,0,12,-13,0,2,17,15,15,0,-5,-8,144,156,-12,0,1,-125,47,45,64,96,-32,-81,13,3,-12,1,57,2,2,0,8,ND
1963:Q2,2,4,110,2,0,13,-11,0,1,-34,2,17,0,-21,-32,167,146,21,0,0,-26,116,116,62,95,-33,14,17,3,22,0,-2,0,0,0,4,ND
1963:Q3,3,4,22,29,0,-1,30,0,2,-233,-8,-116,0,-43,-66,204,201,3,0,0,20,28,28,70,57,13,-72,17,-4,2,0,15,0,0,0,4,ND
1963:Q4,3,4,90,38,0,15,23,0,0,-69,2,-23,0,-19,-29,-20,-56,36,0,0,141,90,96,30,-15,45,42,15,5,37,3,-36,-6,-6,0,-2,ND
1964:Q1,3,5,106,17,0,25,-8,0,0,10,21,-1,0,-4,-6,70,28,42,0,0,9,110,110,65,58,7,36,8,4,43,0,-46,0,0,0,2,ND
1964:Q2,3,5,160,9,0,18,-9,0,0,-3,-4,-2,0,1,2,63,53,10,0,1,90,164,162,63,56,7,201,6,4,9,0,-121,2,2,0,1,ND
1964:Q3,3,5,268,53,0,39,14,0,-4,141,12,89,0,16,24,70,65,5,0,1,7,260,259,136,182,-46,270,7,-1,5,1,-159,1,1,0,-11,ND
1964:Q4,3,5,115,77,0,19,58,0,60,-72,-21,-43,0,-3,-5,-91,-133,42,0,1,140,253,255,183,167,16,228,5,5,43,4,-213,-2,-2,0,135,ND
1965:Q1,3,5,398,34,0,69,-35,0,-42,43,54,-9,0,-1,-1,56,68,-12,0,4,303,312,310,267,261,6,155,19,-4,-12,0,-115,2,2,0,-89,ND
1965:Q2,3,5,249,25,0,17,8,0,15,-31,-25,-8,0,1,1,-71,-77,6,0,3,308,285,287,270,261,9,-135,18,-5,6,-1,134,-2,-2,0,34,ND
1965:Q3,3,6,-300,35,0,-27,62,0,2,83,3,57,0,9,14,127,135,-8,0,1,-548,-290,-287,-390,-346,-44,-220,17,0,-9,0,315,-3,-3,0,8,ND
1965:Q4,3,6,-301,-26,0,-40,14,0,9,24,-16,27,0,5,8,-280,-295,15,0,2,-30,-283,-275,-335,-378,43,29,21,7,16,0,-13,-8,-8,0,15,ND
1966:Q1,3,6,32,0,0,19,-19,0,-10,-45,21,-51,0,-6,-9,62,62,0,0,3,22,7,10,-145,-130,-15,-12,18,-4,-1,0,154,-3,-3,0,-28,ND
1966:Q2,3,6,385,60,0,54,6,0,18,-71,-3,-50,0,-7,-11,-18,-24,6,0,3,393,428,424,65,79,-14,307,20,-4,7,0,29,4,4,0,41,ND
1966:Q3,3,6,273,65,0,44,21,0,-20,141,28,75,0,15,23,140,150,-10,0,2,-55,233,230,252,198,54,-8,-1,12,-10,1,-16,3,3,0,-42,ND
1966:Q4,3,6,89,25,0,14,11,0,-8,22,11,-24,0,14,21,264,217,47,0,3,-217,82,67,202,156,46,-104,1,10,47,-4,-85,15,15,0,-10,ND
1967:Q1,3,6,-145,194,0,-2,196,0,-27,40,38,-24,0,10,16,103,83,20,0,3,-458,-199,-203,-16,-63,47,-64,26,-1,20,0,-168,4,4,0,-57,ND
1967:Q2,4,6,464,86,0,61,25,0,13,33,-12,-28,0,29,44,62,-23,85,0,2,268,496,495,-17,-62,45,408,25,0,86,1,-8,1,1,0,30,ND
1967:Q3,4,6,269,237,0,39,198,0,7,202,9,84,0,43,66,82,79,3,0,3,-262,291,289,285,344,-59,-88,28,-3,3,0,64,2,2,0,20,ND
1967:Q4,4,6,205,131,0,26,105,0,32,137,-14,85,0,26,40,20,-14,34,0,3,-118,280,281,237,302,-65,-126,32,-3,35,3,103,-1,-1,0,72,ND
1968:Q1,4,8,634,287,0,94,193,0,-14,31,25,14,0,-3,-5,156,152,4,0,3,171,609,607,195,171,24,359,40,4,4,0,5,2,2,0,-29,ND
1968:Q2,4,8,687,304,0,99,205,0,2,-8,17,18,0,-17,-26,91,101,-10,0,4,294,695,692,181,154,27,674,43,4,-10,1,-201,3,3,0,4,ND
1968:Q3,4,8,-727,56,0,-87,143,0,-3,-4,20,22,0,-18,-28,132,124,8,0,3,-911,-729,-732,132,100,32,-913,33,6,8,1,1,3,3,0,-6,ND
1968:Q4,4,8,932,-16,0,118,-134,0,8,-47,-5,-10,0,-13,-19,-10,-31,21,0,2,995,954,952,125,120,5,1011,38,7,20,2,-251,2,2,0,18,ND
1969:Q1,4,8,922,370,0,149,221,0,10,40,41,2,0,-1,-2,254,247,7,0,0,248,951,948,373,321,52,1835,55,12,8,1,-1336,3,3,0,25,ND
1969:Q2,4,8,381,310,0,77,233,0,26,23,32,1,0,-4,-6,275,192,83,0,0,-253,441,436,322,280,42,108,21,11,84,1,-111,5,5,0,56,ND
1969:Q3,4,8,643,208,0,122,86,0,-9,58,60,8,0,-4,-6,434,364,70,0,4,-52,630,625,341,303,38,278,78,6,71,1,-150,5,5,0,-17,ND
1969:Q4,4,9,-289,-28,0,-3,-25,0,9,90,52,10,0,11,17,356,312,44,0,4,-720,-265,-278,348,303,45,-2233,77,10,44,-7,1483,13,13,0,20,ND
1970:Q1,4,7,1926,677,0,360,317,0,26,-250,140,-291,0,-39,-60,821,841,-20,0,4,648,1992,1987,146,67,79,3952,174,-9,-20,1,-2257,5,5,0,63,ND
1970:Q2,4,8,151,541,0,46,495,0,42,97,-5,44,0,23,35,94,-31,125,0,5,-628,255,251,96,54,42,-382,90,2,126,1,318,4,4,0,101,ND
1970:Q3,4,8,944,261,0,239,22,0,-37,255,169,94,0,-3,-5,1000,1025,-25,0,4,-539,868,864,-15,54,-69,1277,69,-1,-26,1,-441,4,4,0,-79,ND
1970:Q4,5,7,488,90,0,118,-28,0,-7,607,66,9,0,210,322,641,399,242,0,4,-847,468,462,268,64,204,-667,43,28,245,-1,546,6,6,0,-23,ND
1971:Q1,5,9,422,487,0,62,425,0,36,-532,-32,-39,0,-182,-279,-166,-189,23,0,2,595,480,476,-205,32,-237,1580,56,-4,23,1,-975,4,4,0,54,ND
1971:Q2,5,9,765,1182,0,131,1051,0,112,-244,-20,-181,0,-17,-26,-15,-109,94,0,3,-273,972,967,236,147,89,1597,38,11,95,1,-1011,5,5,0,203,ND
1971:Q3,5,9,963,227,0,148,79,0,-49,77,56,0,0,8,13,449,348,101,0,-5,264,814,810,592,290,302,-645,114,97,102,2,548,4,4,0,-153,ND
1971:Q4,5,10,-370,-755,0,-28,-727,0,-63,48,67,-14,0,-2,-3,363,415,-52,0,-4,41,-534,-533,1200,246,954,-2379,52,307,-52,7,332,-1,-1,0,-169,ND
1972:Q1,5,9,632,-854,0,173,-1027,0,149,320,70,203,70,-9,-14,459,440,19,0,16,542,952,947,2313,-224,2537,-4274,97,348,19,1,2443,5,5,0,316,ND
1972:Q2,5,9,1203,1302,0,212,1090,0,92,-81,-3,-97,70,-20,-31,-177,6,-183,0,7,60,1420,1416,1950,452,1498,-1291,76,-201,-185,1,1066,4,4,0,213,ND
1972:Q3,5,9,1676,809,0,279,530,0,-49,256,115,109,70,-15,-23,626,720,-94,0,0,34,1574,1570,1877,429,1448,-155,-274,428,-94,1,-213,4,4,0,-106,ND
1972:Q4,5,10,-479,-907,0,-164,-743,0,99,-141,-68,-96,-7,12,18,-343,-403,60,0,0,813,-1288,-1285,-3781,-200,-3581,2402,-271,-265,59,8,563,-3,-3,0,-814,ND
1973:Q1,6,12,726,260,0,446,-186,0,37,81,207,-128,84,-1,-81,342,330,-8,20,15,-9,345,341,652,-1469,2121,-1142,387,547,-7,1,-97,4,4,0,-388,ND
1973:Q2,6,13,4043,2982,0,640,2342,0,291,321,205,44,48,-1,25,439,370,75,-6,-20,30,4627,4613,2912,1234,1678,1008,45,356,76,4,212,14,14,0,577,ND
1973:Q3,6,13,-778,-1915,0,46,-1961,0,-87,-170,-278,33,74,26,-25,1170,967,187,16,18,206,-648,-662,-267,-16,-251,-1122,356,182,188,4,-3,14,14,0,123,ND
1973:Q4,6,14,3560,2236,0,1121,1115,0,66,149,104,20,-15,2,38,1210,1044,144,22,36,-137,3412,3388,829,-5,834,1520,173,347,146,7,366,24,24,0,-155,ND
1974:Q1,6,16,1337,312,0,-244,556,0,434,290,165,-7,109,24,-1,356,93,255,8,11,-66,2231,2217,2685,2409,276,-298,82,-111,258,4,-403,14,14,0,885,ND
1974:Q2,7,16,10058,7522,0,3529,3993,0,-158,311,235,23,31,32,-10,2403,1795,602,6,1,-21,9002,8945,3822,659,3163,3676,189,516,607,14,121,57,57,0,-1065,ND
1974:Q3,7,17,-3934,-5740,0,-1497,-4243,0,248,-32,26,-49,-45,24,12,1737,1149,572,16,-1,-146,-2448,-2504,-745,990,-1735,-2756,529,195,578,15,-320,56,56,0,1476,ND
1974:Q4,8,17,5045,3159,0,1988,1171,0,-434,341,227,87,45,-30,12,2362,1854,490,18,1,-384,5220,5118,3501,431,3070,532,324,276,495,22,-32,102,102,0,166,ND
1975:Q1,10,23,-2724,-2662,0,-957,-1705,0,276,-679,-410,-64,-223,18,0,201,37,49,115,14,126,-2019,-2075,-2332,-560,-1772,-1235,179,-70,49,15,1319,56,56,0,692,ND
1975:Q2,11,23,4070,3758,0,862,2896,0,-204,364,359,-13,-48,32,34,-373,-308,-198,133,-17,542,3660,3655,1096,101,995,1960,500,136,-200,1,162,5,5,0,-422,ND
1975:Q3,11,23,-2014,-2163,0,220,-2383,0,413,-84,-36,10,-54,13,-17,289,541,-190,-62,-1,-468,-1066,-1071,-582,1614,-2196,-1291,964,-339,-191,1,367,5,5,0,936,ND
1975:Q4,12,24,5699,4504,0,2339,2165,0,-175,291,77,174,54,-30,16,996,710,387,-101,14,69,5295,5342,1776,-297,2073,1142,1741,449,391,-12,-145,-47,-47,0,-416,ND
1976:Q1,16,32,-1051,-575,0,-211,-364,0,249,7,26,95,-15,-28,-71,-620,-635,35,-20,63,-175,-481,-486,-51,279,-330,117,-614,-151,35,1,177,5,5,0,554,ND
1976:Q2,16,33,2123,1715,0,2029,-314,0,-40,135,-95,156,55,10,9,634,460,177,-3,-8,-313,2087,2062,1755,1364,391,445,360,-26,178,7,-657,25,25,0,-53,ND
1976:Q3,17,34,2128,1810,0,-1158,2968,0,-125,218,371,-78,-69,6,-12,41,112,-37,-34,-12,196,1910,1884,1259,1187,72,193,372,66,-37,6,25,26,26,0,-236,ND
1976:Q4,17,36,5667,4415,0,4124,291,0,211,572,156,379,23,14,0,653,107,585,-39,-8,-176,6221,6152,3161,1143,2018,1612,264,586,591,-11,-51,69,69,0,536,ND
1977:Q1,24,46,-1768,-1664,0,-3316,1652,0,29,-164,178,-185,-67,-80,-10,238,202,34,2,26,-233,-1635,-1660,-1451,-1147,-304,-819,276,-78,34,7,371,25,25,0,111,ND
1977:Q2,25,48,3035,2471,0,1600,871,0,215,-435,-327,-101,-18,12,-1,835,675,149,11,-1,-50,3581,3554,2594,1617,977,919,330,231,151,7,-678,27,27,0,523,ND
1977:Q3,26,49,4499,2574,0,3736,-1162,0,687,633,284,178,-8,137,42,690,736,-25,-21,-3,-82,6090,6063,3039,1163,1876,2425,134,57,-25,7,426,27,27,0,1567,ND
1977:Q4,27,52,8889,6997,0,4624,2373,0,-147,161,-58,135,-21,-21,126,2098,1656,468,-26,9,-229,8654,8615,4978,3951,1027,494,1476,714,472,-5,486,39,39,0,-260,ND
1978:Q1,37,78,1819,-602,200,1559,-2361,0,-81,269,284,-57,31,-34,45,1689,1972,-295,12,29,515,1728,1701,1279,-300,1579,-526,902,-102,-297,7,438,27,27,0,-132,ND
1978:Q2,38,86,4538,1425,289,606,530,0,309,583,384,151,89,-57,16,1947,1906,22,19,-3,277,5322,5288,2600,1444,1156,734,511,487,21,10,925,34,34,0,736,ND
1978:Q3,40,90,9156,5436,-15,2662,2789,0,359,236,180,11,11,-19,53,2561,3019,-468,10,8,556,10058,10023,6327,4573,1754,543,1979,272,-472,9,1365,35,35,0,852,ND
1978:Q4,41,94,12859,7299,104,5517,1678,0,250,349,121,156,67,-23,28,5168,4721,440,7,6,-213,13681,13620,6619,1357,5262,1708,3029,1996,496,-7,-221,61,61,0,770,ND
1979:Q1,59,137,4530,885,39,64,782,0,372,52,142,-160,-40,-10,120,3199,3123,60,16,2,20,5589,5470,4723,6048,-1325,-17,238,-819,60,30,1255,119,119,0,981,ND
1979:Q2,62,139,9540,6059,183,6234,-358,0,105,98,-171,236,-10,24,19,3327,2920,390,17,-1,-48,9497,9379,6580,3481,3099,1980,1718,468,560,31,-1958,118,118,0,-120,ND
1979:Q3,64,146,14416,5480,93,2220,3167,0,367,1014,375,132,35,19,453,7449,6380,740,329,1,105,15023,14905,11260,4390,6870,-1293,2317,1608,890,31,92,118,118,0,526,ND
1979:Q4,68,147,4120,262,-327,-602,1191,0,492,180,277,295,36,33,-461,3197,2486,320,391,9,-20,4953,4801,4195,1551,2644,87,-640,1308,310,-3,-456,152,152,0,754,ND
1980:Q1,87,216,2134,-1643,200,-445,-1398,0,481,11,-20,57,-53,31,-4,3296,2214,690,392,2,-13,2546,2217,4016,2406,1610,-4449,-329,1145,700,86,1048,329,329,0,284,ND
1980:Q2,92,208,5070,5401,22,7447,-2068,19,651,-194,-252,115,-23,75,-109,-1197,-2175,587,391,-10,400,4005,3342,3642,749,2893,-1288,-127,595,653,42,-175,663,163,500,-1182,ND
1980:Q3,96,214,10116,4299,-276,2191,2384,1,235,1044,654,322,-1,48,21,4077,3266,521,290,4,456,11429,10673,7828,5394,2434,1115,3356,-2558,791,57,84,756,217,539,1195,ND
1980:Q4,100,222,16689,7852,207,7293,352,1,921,658,401,83,36,2,136,6500,6562,-311,249,-8,765,17382,18103,12596,4907,7689,-967,4993,1202,-245,231,293,-721,-50,-671,571,ND
1981:Q1,101,230,-1455,-3372,188,-6730,3170,0,-1173,196,187,-187,58,1,137,2469,1454,635,380,-25,450,2841,1987,-1302,-4869,3567,-799,1313,1643,642,47,443,854,180,674,4167,ND
1981:Q2,106,239,22021,19644,237,5058,14349,2,1857,676,463,28,13,-37,209,-478,-1466,492,496,-12,332,22172,23519,24425,5360,19065,-463,666,-1732,957,115,-449,-1347,444,-1791,18,ND
1981:Q3,111,249,12152,4381,273,4902,-794,-1,97,139,86,60,194,-3,-198,6098,5489,236,373,2,1436,15779,15291,10211,7463,2748,-1031,3092,1700,385,81,853,488,311,177,3489,ND
1981:Q4,115,256,1267,-6556,-101,16875,-23330,0,2879,1357,308,511,-64,-32,634,3066,892,1685,489,-16,537,-339,-703,-19057,-196,-18861,-3851,13643,6550,1232,52,728,364,706,-342,-1747,ND
1982:Q1,114,253,11758,6456,77,6554,-175,2,-2567,-203,-523,166,-10,-28,192,6472,5762,371,339,7,1591,11594,10307,-3792,-2061,-1731,-1489,14480,-86,558,-53,689,1287,451,836,-303,ND
1982:Q2,119,247,13415,7343,-81,5733,1691,2,804,-58,-20,-267,2,-18,245,5052,4409,247,396,-3,275,20544,18694,4233,1930,2303,227,11755,-308,933,145,1709,1850,253,1597,7001,ND
1982:Q3,123,241,13204,10244,235,4779,5230,0,-3058,135,-36,-43,15,-4,203,5574,5481,-132,225,2,307,21380,19415,8936,-1587,10523,-837,9172,3618,-695,98,-877,1965,242,1723,8058,ND
1982:Q4,127,236,9662,2814,116,3922,-1224,-2,2490,942,-120,959,-8,0,111,1232,835,279,118,4,2182,-477,1569,-2517,-962,-1555,414,5994,-2551,754,158,-683,-2046,216,-2262,-10248,ND
1983:Q1,125,215,1731,2562,164,-28,2426,0,1227,407,-622,888,-34,0,175,1285,1939,-685,31,9,-3759,253,850,9124,3955,5169,-474,-7169,150,-923,25,117,-597,197,-794,-1569,ND
1983:Q2,129,220,-1169,935,-586,869,652,1,199,1240,449,779,-32,-115,159,-2785,-2857,123,-51,1,-760,6284,5693,-3777,-1737,-2040,825,8943,429,-60,69,-736,591,-2,593,7362,ND
1983:Q3,133,230,13730,5375,-303,2084,3594,-1,-2859,145,-87,-390,94,100,428,9899,8025,2015,-141,-3,1174,16181,16181,8346,708,7638,-520,4858,285,2121,164,927,0,257,-257,2354,ND
1983:Q4,137,246,4725,-2173,59,-1285,-947,3,3166,748,-106,356,31,-82,549,3225,2085,783,357,-6,-238,20585,17750,4985,5944,-959,501,14144,-3063,1099,-40,124,2835,187,2648,15751,ND
1984:Q1,129,235,11794,10383,-97,4427,6053,-2,-1229,-660,-949,-207,-45,-12,553,2172,2193,747,-768,2,1128,-441,-521,-2183,-5570,3387,-93,-3855,4421,706,28,455,80,170,-90,-12341,ND
1984:Q2,134,247,12109,8161,100,5244,2817,0,-919,660,60,-115,-4,-50,769,3738,1875,2021,-158,0,469,15473,19694,7401,5344,2057,190,11479,-1271,2152,190,-447,-4221,160,-4381,3250,ND
1984:Q3,138,255,10681,1918,100,-1700,3518,4,2431,1066,-59,-72,157,65,975,2991,-301,3149,143,-4,2275,12797,6975,-1528,1104,-2632,-759,1045,2809,3330,182,1896,5822,567,5255,1999,ND
1984:Q4,143,262,10895,3417,200,3496,-279,6,-625,443,57,-184,-159,-94,823,8655,6756,690,1209,-71,-930,10120,10196,2001,1859,142,-372,8809,-1041,1081,-17,-265,-76,373,-449,-894,ND
1985:Q1,140,281,5031,6122,150,2176,3796,-10,-668,1062,35,-5,-16,-2,1050,-1365,-757,-445,-163,65,-175,11858,9923,1619,-2045,3664,276,6035,1140,-416,64,1205,1935,165,1770,6686,ND
1985:Q2,145,285,491,-3203,150,-2877,-476,0,480,956,277,-815,9,12,1473,3973,3417,629,-73,5,-1720,3846,4099,2265,1595,670,253,-4899,7122,654,71,-1367,-253,84,-337,3215,ND
1985:Q3,150,282,15892,5609,100,2438,3071,9,2563,2179,105,432,118,-16,1540,3775,3251,433,91,11,1746,17404,17403,7366,3814,3552,1153,5969,-1524,-147,199,4387,1,590,-589,1380,ND
1985:Q4,155,288,10493,1143,314,3184,-2355,-34,-2056,1752,-91,349,371,-71,1194,13585,12318,995,272,5,-3902,-5667,-7385,2473,12975,-10502,429,-9238,4278,1404,-103,-6628,1718,356,1362,-16293,ND
1986:Q1,153,294,8084,6943,-162,4959,2146,0,-17,-291,-358,-625,504,0,188,-620,-1100,49,431,9,2060,10895,7782,11594,12405,-811,-509,-2538,-2075,-107,121,1296,3113,200,2913,2670,ND
1986:Q2,158,291,20279,11643,714,6064,4865,0,3241,4000,209,1349,495,0,1947,2078,1774,-109,413,-19,-664,12908,19454,10586,8018,2568,1225,740,7252,645,84,-1078,-6546,185,-6731,-7504,ND
1986:Q3,164,290,39710,22650,-601,17006,6245,0,372,3905,66,801,300,0,2738,10293,7245,2642,406,5,2485,42182,36010,18479,9578,8901,-385,12450,512,2955,146,1853,6172,556,5616,2346,ND
1986:Q4,169,294,53720,32554,641,26531,5382,0,3235,2682,-69,578,211,0,1962,15793,15011,-900,1682,12,-556,56683,54059,37924,27898,10026,593,17145,-267,-669,23,-690,2624,251,2373,2839,ND
1987:Q1,168,291,-2082,-9361,-372,-7740,-1249,0,540,2915,672,1318,-5,0,930,2534,2334,514,-314,8,1282,-6284,-6947,-8383,-8907,524,-779,-1969,2219,-22,256,1731,663,143,520,-4326,ND
1987:Q2,173,298,32942,27348,562,22316,4470,0,-4649,1347,-485,-1025,333,0,2524,9424,2785,5223,1416,5,-533,35351,32248,11611,3989,7622,94,12025,3764,5451,-110,-587,3103,-456,3559,2285,ND
1987:Q3,179,306,16289,4877,-95,1883,3089,0,2660,594,131,326,623,0,-486,5443,3059,926,1458,-9,2724,24857,22503,13464,11006,2458,368,10604,-4243,-275,503,2082,2354,428,1926,8441,ND
1987:Q4,186,307,32984,18410,-511,17923,998,0,2746,1364,872,-1002,292,0,1202,10893,8398,-191,2686,-94,-335,32727,30966,25821,25735,86,-289,7412,-3890,1436,352,124,1761,543,1218,-378,ND
1988:Q1,201,360,1030,329,-60,2994,-2605,0,-3177,760,-600,1009,151,0,200,-301,-1366,-973,2038,-1,3420,1555,-4202,-7350,-4000,-3350,528,-10130,10923,-1086,59,2854,5757,1109,4648,367,ND
1988:Q2,208,370,29275,16152,-840,13693,3299,0,1522,315,-127,-112,298,0,256,11662,8865,893,1904,8,-384,32948,28496,17179,14117,3062,804,2622,7551,525,35,-220,4452,227,4225,3511,ND
1988:Q3,214,373,20928,20935,71,14283,6581,0,-1671,-412,-48,-62,318,0,-620,1035,-126,-931,2092,0,1041,18148,15636,12780,3174,9606,-264,7763,-5389,-737,46,1437,2512,-145,2657,-2939,ND
1988:Q4,221,381,15298,-1819,-287,1257,-2789,0,4938,-457,308,-718,323,0,-370,11946,8088,1750,2108,-8,698,26306,23916,8327,12039,-3712,-53,16253,-3119,1828,284,396,2390,1122,1268,10848,ND
1989:Q1,235,400,15919,19391,-54,18335,1110,0,-5797,-775,63,-414,675,0,-1099,321,2515,-3744,1550,1,2778,12731,8542,3156,3260,-104,-218,9012,-2385,-3860,693,2144,4189,302,3887,-3353,ND
1989:Q2,242,407,-8662,-10125,363,-16964,6476,0,-44,485,202,-406,381,0,308,1547,-3020,2626,1941,1,-526,-5548,-4159,-13020,-19548,6528,87,-3767,9557,2587,64,333,-1389,11,-1400,2949,ND
1989:Q3,249,420,41043,21695,-466,12444,9717,0,6442,1749,325,26,-793,0,2191,7413,3091,1959,2363,0,3744,20949,22575,19530,8389,11141,719,1122,-3798,1163,-12,3851,-1626,580,-2206,-20265,ND
1989:Q4,256,415,22468,10154,118,11018,-982,0,648,2313,-228,616,37,0,1888,11324,6837,2215,2272,0,-1971,31190,28207,11217,9490,1727,-861,16285,2125,1136,39,-1734,2983,653,2330,8563,ND
1990:Q1,191,290,-17019,-12876,336,-8184,-5028,0,-2388,4621,47,2501,680,0,1393,-6872,-8147,-4297,5572,0,496,-24474,-22197,-15960,-9138,-6822,604,-16853,12120,-2213,119,-14,-2277,555,-2832,-7554,ND
1990:Q2,196,285,19603,10187,-338,17123,-6598,0,1259,2618,1021,307,292,0,998,6647,4376,-513,2784,1,-1109,18597,20362,2130,2607,-477,-398,-1863,20426,-218,174,111,-1765,635,-2400,-1096,ND
1990:Q3,200,289,8168,1583,285,-6102,7400,0,1972,2534,-134,1228,347,0,1093,-1447,-1838,-2390,2781,-1,3527,7284,1263,6400,13246,-6846,617,-380,-7944,-826,-31,3427,6021,188,5833,-973,ND
