1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2014:Q4,772,700,-198054,-220229,-199003,-19667,-1559,18,-614,-8395,0,-4898,-142,0,-3355,34246,32305,0,1941,0,-3080,-214837,-195138,-145862,-144108,-1754,14670,-48827,-4085,-7634,-1160,-2240,-19699,4934,-24633,-16711,-34155
2015:Q1,662,795,-34572,-40125,-16454,-19217,-4454,-40,-18338,-7330,0,-1473,-1305,0,-4552,26136,26295,0,-159,0,5125,-26328,-17098,-38709,-40319,1610,11641,-5235,-1340,2745,-525,14325,-9230,-2254,-6976,8111,6405
2015:Q2,669,798,-34366,-52713,14390,-67971,868,-1,10741,-94,0,2916,4188,0,-7198,13459,10726,0,2733,0,-5758,-24787,-38970,-2288,-1060,-1228,11731,-36259,4864,7118,207,-24343,14183,1294,12889,9449,-24528
2015:Q3,678,804,-46644,-50922,-15560,-33590,-1772,0,-12058,6769,0,-3341,-2526,0,12636,18407,12722,0,5685,0,-8840,-39387,-39025,-7887,-2769,-5118,-8117,-19627,565,-10721,-561,7323,-362,406,-768,7131,-27744
2015:Q4,687,804,-126432,-166960,-180800,13111,729,0,20037,6670,0,15955,2385,0,-11670,22718,17939,0,4779,0,-8897,-114422,-113239,-88072,-87285,-787,-4616,-56626,31251,8839,88,-4103,-1183,1793,-2976,11893,-61241
2016:Q1,655,810,60140,29887,58889,-28339,-663,0,-12692,13474,0,7757,-284,0,6001,17716,12673,0,5043,0,11755,54545,31941,-29466,-34905,5439,23692,6763,1286,8647,1747,19272,22604,881,21723,-5751,30453
2016:Q2,664,817,74189,32145,17078,15196,-129,0,-2429,17967,0,8410,-486,0,10043,19910,15082,0,4828,0,6596,43357,53968,56311,53719,2592,20932,-58618,21237,-448,875,13679,-10611,1597,-12208,-30985,-37685
2016:Q3,673,830,-179699,-163739,-164018,-2812,3091,-1,1359,-12942,0,9595,1707,0,-24244,2277,-2912,0,5189,-3,-6650,-201224,-193596,-71413,-71871,458,-20039,-79603,11609,-7604,1554,-28100,-7628,1371,-8999,-21682,-99642
2016:Q4,683,842,-32066,5337,-34501,38258,1580,0,-11678,-13389,0,-418,-3140,0,-9831,-11296,-13677,0,2381,0,-1040,3520,7866,18432,20558,-2126,-20088,-11019,32588,2712,1101,-15860,-4346,1780,-6126,35427,-31108
2017:Q1,1060,1357,162217,178155,161097,9545,7513,0,4040,-10651,0,-5668,715,0,-5698,-1528,-2768,0,1240,0,-7799,154760,140745,56080,50340,5740,18913,70507,1392,-4245,-492,-1410,14015,3658,10357,-7755,89421
2017:Q2,1076,1383,7201,-18542,-24264,7104,-1382,-1,12872,1562,0,2376,915,0,-1729,705,-3685,0,4390,0,10605,30872,47185,-12705,-12222,-483,6643,16234,33249,585,-436,3615,-16313,4687,-21000,23364,22877
2017:Q3,1089,1402,103129,68630,77834,-6647,-2557,0,30264,-7591,0,-6898,-1615,0,922,5058,4834,0,224,0,6768,76892,84358,43670,48567,-4897,-4157,3688,30500,8852,-1139,2944,-7466,173,-7639,-26550,-469
2017:Q4,1104,1437,7761,-89802,-72401,-15938,-1463,0,27879,43990,0,13531,24494,0,5965,1614,-1524,0,3138,0,24080,-20325,-20347,23389,26726,-3337,10932,-64578,14018,-11829,-974,8695,22,1809,-1787,-28419,-53646
2018:Q1,1104,1495,9836,22786,66949,-45440,1277,0,-3718,-2830,0,1425,-1553,0,-2702,-6333,-7454,0,1121,0,-69,56412,10335,10318,11531,-1213,-5701,25813,-26202,4704,-1560,2963,46077,1472,44605,46185,20112
2018:Q2,1123,1518,-60566,-117660,-45165,-71096,-1399,0,26063,10976,0,11161,-258,0,73,17231,11955,0,5276,0,2824,-79776,-97109,-85766,-82879,-2887,557,30342,-23376,-6996,-1455,-10415,17333,5303,12030,-19605,30898
2018:Q3,1142,1536,-86961,-85829,-72325,-14870,1366,0,14733,-3530,0,7008,-8562,0,-1976,-3210,-2401,0,-809,0,-9125,-78199,-69222,-20697,-21348,651,9788,-36978,-16444,-7589,-382,3080,-8977,2272,-11249,8368,-27189
2018:Q4,1160,1550,15123,-38845,-60905,25505,-3445,0,13799,21737,0,9851,7880,0,4006,32459,29997,0,2462,0,-14027,19757,17995,49560,57577,-8017,-11883,-21179,17132,-2774,-873,-11988,1762,3776,-2014,4244,-33062
2019:Q1,1384,2281,60872,695,-21288,20798,1185,0,45801,-13933,0,440,-1814,0,-12559,11286,11054,0,232,0,17023,36831,18572,-20430,-22094,1664,12842,47801,-15263,-1441,-1083,-3854,18259,2836,15423,-24938,60643
2019:Q2,1412,2330,-8000,-41688,-53517,11973,-144,0,16855,3966,0,-1582,3190,0,2358,11188,10822,0,366,0,1679,-20573,-4938,-57392,-53953,-3439,6606,13494,22403,4063,-1018,6906,-15635,504,-16139,-13491,20101
2019:Q3,1435,2357,-13309,-27505,-18154,-8832,-519,0,21240,3220,0,399,6087,0,-3266,-1219,-3739,0,2520,0,-9045,19569,22906,24068,29368,-5300,-3362,-21526,15755,14614,-847,-5796,-3337,281,-3618,31957,-24890
2019:Q4,1450,2352,52650,95014,48466,47451,-903,0,-23881,-23375,0,-9123,1407,0,-15659,7053,7384,0,-331,0,-2161,97403,94739,46249,47858,-1609,5519,49272,23531,3756,-955,-32633,2664,1873,791,43851,54792
2020:Q1,1678,2210,452888,297934,319719,-22973,1188,0,-51844,26114,0,-14686,4333,0,36467,158475,156276,0,2199,0,22209,440357,436933,333593,329960,3633,52042,-49520,47113,16934,-1004,37775,3424,584,2840,-13064,2523
2020:Q2,1699,2063,-332322,-203162,-229206,28563,-2519,0,-24978,-18646,0,1601,1111,0,-21358,-66583,-65980,0,-603,0,-18953,-266227,-255576,-198478,-198206,-272,4679,58170,-98981,-12906,-723,-7337,-10651,270,-10921,65731,62848
2020:Q3,1715,2142,-75277,-28128,4942,-34215,1145,1,33948,-13763,0,-7114,-2681,0,-3968,-62173,-61683,0,-490,0,-5162,-87324,-79672,-83025,-78507,-4518,9680,-33670,42734,-8230,-137,-7024,-7652,2782,-10434,-12474,-23990
2020:Q4,1740,2209,-90379,-55261,-47129,-5511,-2621,-1,-12486,-6343,0,-7123,5126,0,-4346,-12068,-11529,0,-539,0,-4220,-58021,-53520,-12928,-14429,1501,-9451,-25756,4060,-1617,-810,-7018,-4501,4565,-9066,31889,-35207
2021:Q1,1831,2093,201544,231854,208587,18927,4340,0,-15942,-3078,0,-8035,2880,0,2077,-16865,-16258,0,-607,0,5575,165870,124096,21828,17507,4321,50443,35060,12517,763,-238,3723,41774,-519,42293,-35936,85503
2021:Q2,1872,2146,-59913,-26211,-11910,-11667,-2634,0,-31540,-10590,0,-3505,-4137,0,-2948,-1528,-2558,0,1030,0,9956,-119744,-95382,-53289,-50941,-2348,-10683,-7285,-15494,-7348,-1926,643,-24362,-6911,-17451,-60105,-17968
2021:Q3,1922,2159,155102,107012,167469,-57260,-3197,0,23213,2528,0,2297,814,0,-583,29467,27102,0,2365,0,-7118,119072,106711,97636,93902,3734,8829,-18979,26401,-6251,75,-1000,12361,3370,8991,-36267,-10150
2021:Q4,1970,2209,-70979,-110436,-136367,25496,435,64,-23516,-1368,0,1608,-5225,0,2249,73349,66047,0,7302,0,-9072,-71579,-55587,8527,12104,-3577,-22882,-4642,-40937,1332,-518,3533,-15992,1264,-17256,-839,-27523
2022:Q1,2169,2661,224467,168189,203815,-34418,-1208,-64,6285,14763,0,7761,-1730,0,8732,27426,23601,0,3825,0,7868,223979,198306,76580,70704,5876,25500,45275,17020,23566,-331,10696,25673,2008,23665,-980,70774
2022:Q2,2215,2755,54101,-40616,-55209,12846,1747,-1,7278,30550,0,10399,4423,0,15728,42707,37891,0,4816,0,14183,53320,78216,39205,31684,7521,19397,27016,-53293,18862,-346,27375,-24896,1747,-26643,-1321,46413
2022:Q3,2262,2849,125841,45888,53290,-9235,1833,0,12441,24468,0,1500,1304,0,21664,27507,24103,0,3404,0,15537,94482,80558,70621,67617,3004,-16308,11479,-15413,1479,604,28096,13924,2889,11035,-31946,-4829
2022:Q4,2284,2905,-25861,-77976,-73153,-1489,-3334,0,-36606,-11378,0,-3299,-4153,0,-3926,76561,72179,0,4382,0,23538,39435,40589,43079,59257,-16178,-40883,20374,-11610,9050,-406,20985,-1154,6025,-7179,64674,-20509
2023:Q1,2736,3161,136854,126133,164543,-40976,2566,-1,71322,-25016,0,335,-6575,0,-18776,-1501,-4729,0,3228,0,-34083,88864,77214,109670,104877,4793,10433,-40816,45920,476,229,-48698,11650,3936,7714,-48415,-30383
2023:Q2,2750,3221,26243,19783,-45767,62691,2859,1,13137,13228,0,8213,3444,0,1571,-21503,-24412,0,2909,0,1597,63918,62980,-30254,-30451,197,7773,9849,48793,10784,537,15498,938,3887,-2949,37204,17622
2023:Q3,2772,3242,56036,46178,-14697,60581,294,0,-15940,-4605,0,-5006,-2000,0,2401,17035,18944,0,-1909,0,13368,24943,951,-9017,-8976,-41,14987,-14031,-5664,2743,-48,11981,23992,688,23304,-31563,956
2023:Q4,2803,3292,-30331,-40920,-46604,12315,-6631,-1,1411,-20289,0,-1261,-1068,0,-17960,38969,38769,0,200,0,-9501,43826,61975,64300,65678,-1378,-23257,6685,-1710,27288,-261,-11070,-18149,3711,-21860,73669,-16572
2024:Q1,2840,3345,122753,72389,75046,-6037,3380,1,30336,15050,0,8366,55,0,6629,4047,2604,0,1443,0,930,115680,100528,3335,3513,-178,48220,16010,21691,5452,149,5671,15152,4297,10855,-7578,64230
2024:Q2,2893,3414,-28668,-58274,-51927,-5893,-454,-1,-1226,9190,0,8107,661,0,422,18026,15100,0,2926,0,3617,-14114,-5194,7226,7777,-551,-14537,-13767,12926,5773,756,-3571,-8920,2514,-11434,14033,-28304
2024:Q3,2953,3490,-149747,-129581,-58819,-69874,-888,1,1495,-7057,0,-2002,4385,0,-9440,2651,4229,0,-1578,0,-17256,-151027,-159888,-54608,-55831,1223,24289,10625,-129291,9349,18,-20270,8861,5433,3428,-1817,34914
2024:Q4,3002,3485,-37158,-81407,-73335,-4929,-3143,-1,-5163,11830,0,-6647,946,0,17531,42850,43219,0,-369,0,-5267,-13443,2689,15153,12885,2268,-18599,29532,-20421,6035,-71,-8940,-16132,3191,-19323,23232,10933
2025:Q1,3025,3598,300904,209708,223769,-16983,2922,0,72219,-8668,0,5398,1530,0,-15596,5015,6940,0,-1925,0,22630,241929,213029,114894,108833,6061,51207,2548,33961,-9411,-207,20037,28900,4813,24087,-59547,53755
