1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q1,593215,495027,495027,0,92888,4101,4101,0,6916,6916,0,81,81,0,7528,0,8,0,0,0,926,926,0,10914,10914,0,62414,62414,0,5300,593215,486613,13226,0,0,0,1494,17,10499,7433,29690,0,1657,23697,5571,0,181,0,13137,587915,0,0,0,ND
1964:Q2,612252,511094,511094,0,95826,4287,4287,0,7338,7338,0,92,92,0,7703,0,8,0,0,0,830,830,0,11379,11379,0,64189,64189,0,5332,612252,501922,13568,0,0,0,1525,18,10866,7581,31136,0,1782,24256,5700,0,430,0,13468,606920,0,0,0,ND
1964:Q3,633228,528953,528953,0,98923,4385,4385,0,7673,7673,0,78,78,0,7822,0,10,0,0,0,964,964,0,11599,11599,0,66392,66392,0,5352,633228,518877,13866,0,0,0,1556,19,11227,7747,32638,0,1906,25693,5788,0,145,0,13766,627876,0,0,0,ND
1964:Q4,647246,545955,545955,0,96021,4136,4136,0,7574,7574,0,77,77,0,7890,0,14,0,0,0,812,812,0,11289,11289,0,64229,64229,0,5270,647246,530699,13844,0,0,0,1584,20,11351,7834,33705,0,2000,25638,5839,0,897,0,13835,641976,0,0,0,ND
1965:Q1,663263,559834,559834,0,98249,4110,4110,0,7140,7140,0,69,69,0,7894,0,14,0,0,0,826,826,0,19546,19546,0,58650,58650,0,5180,663263,544164,14085,0,0,0,1625,24,11435,7985,34953,0,2094,26533,5763,0,688,0,13914,658083,0,0,0,ND
1965:Q2,637854,539451,539451,0,93594,4314,4314,0,8030,8030,0,68,68,0,7521,0,10,0,0,0,706,706,0,18328,18328,0,54617,54617,0,4809,637854,521171,13763,0,0,0,1636,27,10887,7778,34570,0,2074,26183,5409,0,1077,0,13279,633045,0,0,0,ND
1965:Q3,693718,587928,587928,0,100749,4874,4874,0,8655,8655,0,70,70,0,7719,0,10,0,0,0,717,717,0,19950,19950,0,58754,58754,0,5041,693718,566815,14731,0,0,0,1754,28,11702,8597,38608,0,2326,28565,5635,0,661,0,14296,688677,0,0,0,ND
1965:Q4,734923,623812,623812,0,106063,5165,5165,0,9950,9950,0,80,80,0,7633,0,13,0,0,0,746,746,0,19840,19840,0,62636,62636,0,5048,734923,601439,15148,0,0,0,1809,30,12000,9006,40754,0,2500,30863,5572,0,1203,0,14599,729875,0,0,0,ND
1966:Q1,714419,606267,606267,0,103306,4902,4902,0,9372,9372,0,121,121,0,7548,0,13,0,0,0,797,797,0,18350,18350,0,62203,62203,0,4846,714419,581368,15646,0,0,0,1795,33,11770,8977,40765,0,2580,31372,5435,0,651,0,14027,709573,0,0,0,ND
1966:Q2,685683,581050,581050,0,100041,4501,4501,0,9485,9485,0,98,98,0,7437,0,16,0,0,0,1059,1059,0,18206,18206,0,59239,59239,0,4592,685683,555687,15829,0,0,0,1744,36,11386,8799,39868,0,2633,30268,5355,0,1155,0,12923,681091,0,0,0,ND
1966:Q3,615709,523227,523227,0,88360,3560,3560,0,9222,9222,0,75,75,0,6742,0,13,0,0,0,856,856,0,15681,15681,0,52211,52211,0,4122,615709,497826,15179,0,0,0,1646,38,10386,8109,36711,0,2527,26480,4686,0,666,0,11455,611587,0,0,0,ND
1966:Q4,660424,547891,547891,0,108209,5215,5215,0,11647,11647,0,79,79,0,7300,0,13,0,0,0,927,927,0,19948,19948,0,63080,63080,0,4324,660424,531716,16847,0,0,0,1701,41,11000,8692,39468,0,2800,28943,5256,0,1317,0,12643,656100,0,0,0,ND
1967:Q1,747328,625556,625556,0,116897,5009,5009,0,11423,11423,0,116,116,0,8000,0,16,0,0,0,1096,1096,0,20383,20383,0,70854,70854,0,4875,747328,599333,18608,0,0,0,1845,44,12432,9935,45497,0,3292,33712,5883,0,745,0,16002,742453,0,0,0,ND
1967:Q2,759549,641312,641312,0,113318,4503,4503,0,11083,11083,0,217,217,0,7819,0,34,0,0,0,1105,1105,0,18984,18984,0,69573,69573,0,4919,759549,605033,18388,0,0,0,1907,46,12486,10051,46820,0,3420,35265,5696,0,1281,0,19156,754630,0,0,0,ND
1967:Q3,809759,678588,678588,0,125944,5388,5388,0,11390,11390,0,185,185,0,7891,0,30,0,0,0,1206,1206,0,20901,20901,0,78953,78953,0,5227,809759,641200,19289,0,0,0,2021,49,13138,10671,50519,0,3740,38329,5748,0,1467,0,23588,804532,0,0,0,ND
1967:Q4,835107,712221,712221,0,117648,5190,5190,0,8068,8068,0,231,231,0,7549,0,37,0,0,0,1299,1299,0,19714,19714,0,75560,75560,0,5238,835107,663676,18911,0,0,0,2041,52,13000,10687,51104,0,3900,39176,5360,0,1689,0,25511,829869,0,0,0,ND
1968:Q1,776014,652734,652734,0,118342,5793,5793,0,7960,7960,0,175,175,0,7232,0,47,0,0,0,1143,1143,0,21251,21251,0,74741,74741,0,4938,776014,614634,18496,0,0,0,1967,55,12059,10053,48280,0,3847,35655,4961,0,1376,0,24631,771076,0,0,0,ND
1968:Q2,884503,731114,731114,0,147639,6701,6701,0,10666,10666,0,181,181,0,8274,0,44,0,0,0,1535,1535,0,24449,24449,0,95789,95789,0,5750,884503,697727,21318,0,0,0,2083,59,13773,11713,55974,0,4696,42054,5875,0,1019,0,28212,878753,0,0,0,ND
1968:Q3,901429,728536,728536,0,166789,6859,6859,0,4384,4384,0,180,180,0,8598,0,38,0,0,0,1504,1504,0,25699,25699,0,119527,119527,0,6104,901429,705275,22906,0,0,0,2096,62,14263,12385,58869,0,5232,44089,6076,0,1293,0,28883,895325,0,0,0,ND
1968:Q4,996085,843150,843150,0,146483,4547,4547,0,2726,2726,0,6285,6285,0,8925,0,36,0,0,0,1377,1377,0,29499,29499,0,93088,93088,0,6452,996085,791494,24109,0,0,0,2131,64,14600,12986,61456,0,5800,46082,6337,0,1509,0,29517,989633,0,0,0,ND
1969:Q1,946300,803399,803399,0,136385,3964,3964,0,2143,2143,0,6294,6294,0,8707,0,31,0,0,0,843,843,0,31451,31451,0,82952,82952,0,6516,946300,745190,25548,0,0,0,2137,64,14129,12893,60813,0,6091,43798,6005,0,1034,0,28598,939784,0,0,0,ND
1969:Q2,907895,774485,774485,0,126673,3628,3628,0,4022,4022,0,5342,5342,0,8696,0,21,0,0,0,578,578,0,35091,35091,0,69295,69295,0,6737,907895,707585,26502,0,0,0,2189,64,13826,12966,60925,0,6458,41803,5997,0,1685,0,27895,901158,0,0,0,ND
1969:Q3,882607,743955,743955,0,131889,3993,3993,0,3862,3862,0,8913,8913,0,8565,0,27,0,0,0,516,516,0,34750,34750,0,71263,71263,0,6763,882607,686177,27077,0,0,0,2223,68,13244,12751,59756,0,6699,40914,5905,0,1160,0,26633,875844,0,0,0,ND
1969:Q4,840609,705075,705075,0,128581,3511,3511,0,3565,3565,0,8089,8089,0,8587,0,18,0,0,0,478,478,0,35168,35168,0,69165,69165,0,6953,840609,638984,28569,0,0,0,2303,72,13300,13157,61425,0,7300,40857,6011,0,1870,0,26761,833656,0,0,0,ND
1970:Q1,815012,677754,677754,0,130509,4026,4026,0,3314,3314,0,8434,8434,0,8077,0,21,0,0,0,626,626,0,38530,38530,0,67481,67481,0,6749,815012,614908,28802,0,0,0,2349,76,12964,13164,61339,0,7750,40995,5654,0,1015,0,25996,808263,0,0,0,ND
