1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q2,11606147,6683535,3034744,2063788,612142,972862,4922612,175125,90287,16080,47676,2514,146132,17880,53152,24901,49969,230,132123,58867,73256,62901,372317,871711,195,29114,1111514,1864923,11091981,5929114,1673960,135680,129467,1408813,1174281,528488,411567,234226,118848,728065,41256,2192704,5162867,4573094,589773,5677033,90.94304702809251,55.167816308515405,50.17129312982485,10045739,5123127,1927214,1679165,549903,966845,4116625,28480,1615118
1994:Q3,11760761,6781504,3077947,2088998,624142,990418,4979257,177254,90528,12638,49330,2696,143811,17818,60794,14900,50035,264,134907,60166,74741,65033,379788,887811,202,30922,1125020,1879317,11365638,5923995,1691955,138683,130445,1422827,1190882,540578,412262,238042,121185,742957,42676,2134340,5441643,4833579,608064,5836766,93.230439944625,52.977327816692345,49.39099579440847,10175344,5196087,1944193,1707330,558981,985583,4251349,28823,1631671
1994:Q4,11998545,6891750,3127500,2109169,638916,1016165,5106795,185515,96369,15664,52209,2178,146524,18826,50820,19875,56706,297,147702,61081,86621,52768,369073,918843,199,31061,1106979,1981711,11430769,5995826,1711446,139238,131689,1440519,1218687,559786,422135,236767,114500,796530,40315,2114348,5434943,4831577,603366,6002719,90.54135034182997,53.91285963607865,48.813431122401006,10377664,5270869,1966695,1739534,568654,995986,4381838,29212,1649532
1995:Q1,12159793,6996869,3148384,2142580,658984,1046921,5162924,163852,82205,13850,57503,3707,128196,18211,41270,21042,47372,301,141113,61366,79747,53837,401714,937499,198,34725,1131862,2012663,11844847,6019220,1734179,149799,131748,1452632,1267356,589647,438718,238991,111778,786451,49454,2070002,5825627,5203193,622434,6140573,94.87106069168163,51.52294503530423,48.880364454585255,10533492,5370568,1986297,1775641,579284,1029346,4514272,29641,1669615
1995:Q2,12372686,7088808,3165910,2187674,669460,1065764,5283878,159423,91827,14454,64388,9019,153320,17386,47962,24306,63360,306,142276,61771,80505,54493,436328,951649,199,38408,1156199,2011895,12326205,6057482,1773316,162887,132761,1477668,1296470,609977,445825,240668,113813,799388,40898,2033597,6268723,5633101,635622,6315204,99.2639842877951,48.96987511689751,48.60944914179003,10734044,5450166,2012678,1811148,590810,1035530,4676562,30099,1691221
1995:Q3,12600240,7187667,3208753,2221714,685209,1071991,5412573,165359,93237,15856,69660,3771,123030,18004,43647,20783,40286,310,140363,62083,78280,55553,467322,971797,200,42323,1205810,2058292,12843434,6127476,1784090,163268,133510,1487312,1306643,620021,445181,241441,115195,832922,42359,2046267,6715958,6064628,651330,6472764,103.75718952165629,46.02073572053934,47.749821980820585,10937757,5525184,2037670,1845486,603130,1038898,4810281,30589,1713559
1995:Q4,12998313,7271087,3249696,2251824,690603,1078964,5727226,188079,99688,17403,76969,2440,137852,20142,57098,23421,36787,404,147235,62174,85061,51139,491714,1148264,206,45668,1184941,2135628,13513187,6252414,1797593,157351,134758,1505484,1343829,636165,467293,240371,113366,877498,40309,2079819,7260773,6449974,810799,6745899,107.63240116215384,43.26566684646749,46.567876105670884,11311918,5584692,2057079,1880516,615597,1031500,5059504,31049,1735830
1996:Q1,13208962,7347406,3284654,2276095,706576,1080081,5861556,158999,95849,20387,84858,2428,124159,17436,57356,20853,28016,498,137542,60864,76678,49386,521977,1174629,206,50177,1222302,2218657,13906128,6350796,1837097,174174,134937,1527986,1352927,634193,474101,244633,120966,863816,49331,2126659,7555332,6728661,826671,6858166,110.16548440548017,42.222160846982334,46.514248023539075,11548964,5687408,2085664,1915801,629138,1056805,5198168,31483,1758860
1996:Q2,13377994,7395652,3290558,2298635,721369,1085090,5982342,164724,103832,19844,84764,4322,138943,20928,63106,22880,31437,592,131713,59696,72017,49650,549214,1188650,210,54306,1269179,2222991,14307241,6423114,1873228,181726,137110,1554392,1376514,643412,482210,250892,124082,889439,45602,2114249,7884127,7035650,848477,6954880,113.36107565994769,41.2187890728666,46.72606266700656,11715868,5733526,2099326,1951508,643221,1039471,5292754,31899,1782780
1996:Q3,13550151,7456677,3293245,2335992,733959,1093481,6093474,177224,112984,20922,88884,4674,135843,23488,52144,25926,33603,682,127089,58569,68520,53351,569961,1206024,212,57743,1295612,2242951,14466969,6508231,1880751,172999,137084,1570668,1400680,660819,488555,251306,124923,876673,49068,2176136,7958738,7100424,858314,7041920,113.01942622738974,41.23054935042501,46.598530306251114,11918087,5824613,2125260,1989551,657918,1051884,5409856,32328,1807283
1996:Q4,14087957,7726221,3505547,2371476,744688,1104510,6361736,189301,129670,28208,94627,3904,138732,31534,47095,28480,31017,606,135609,57864,77745,59367,621908,1348740,153,62566,1273063,2275888,14959605,6570921,1889281,156405,137851,1595025,1413320,669521,484638,259162,125607,927011,49872,2165830,8388684,7403482,985202,7517036,111.59562804684144,39.369713654893154,43.93487921342111,12283450,5921714,2153678,2027223,673124,1067689,5712529,32822,1833388
1997:Q1,14468417,8041066,3769910,2394899,766026,1110231,6427351,191362,132912,28968,103040,3732,131445,26721,54405,19272,30361,686,134511,64554,69957,60380,655484,1376025,154,62961,1311149,2235228,15140133,6680710,1931085,168747,138652,1623686,1450526,689072,490933,270521,135119,905003,62141,2196836,8459423,7454662,1004761,7787707,108.6253325427331,39.97448680755425,43.42241922695678,12453397,6026046,2173652,2064743,690204,1097447,5772687,33391,1859367
1997:Q2,14648403,8119032,3787821,2422642,786774,1121795,6529371,184566,146321,33462,104608,3249,114841,25733,40178,11823,36262,845,139461,71488,67973,61398,789496,1397400,162,69664,1365473,2119270,16232688,6617697,1979805,179286,139800,1660719,1476829,704488,491727,280614,141475,917933,57173,2044482,9614991,8597080,1017911,8030706,119.72784447182343,35.95046252038329,43.04271385330568,12623396,6094025,2189433,2103758,707969,1092865,6005699,34046,1884605
1997:Q3,14989668,8325089,3929940,2456686,805684,1132780,6664579,188636,141792,33251,112057,4004,107805,28351,36848,8394,33371,841,146985,78328,68657,61780,869725,1418159,169,74632,1388629,2116955,16982895,6657770,2034658,176649,141682,1716327,1507525,712475,500125,294926,141919,938196,64368,1971104,10325125,9304824,1020301,8331898,123.92283890984623,34.30644005499578,42.51351444505539,12862054,6197475,2228926,2145992,726027,1096530,6204284,34729,1911530
1997:Q4,15612917,8732153,4287825,2480420,816120,1147788,6880764,178778,164374,23139,118834,4562,99247,36145,26846,7971,27380,905,169999,85590,84409,64484,916390,1577539,161,74492,1361106,2127659,17468261,6758597,2046083,168598,142002,1735483,1577455,733262,534908,309286,147048,992089,59214,1936708,10709664,9433427,1276237,8854320,120.95411405973601,33.834287165018765,40.92396228887542,13169206,6288442,2261936,2184038,743467,1099001,6410609,35376,1939079
1998:Q1,15960787,8876530,4384741,2500445,833014,1158330,7084257,191770,205028,27115,130272,3717,91667,32204,21850,7283,29203,1127,161451,83154,78297,70432,1072297,1618771,174,84641,1395370,2031552,18939119,6856021,2151561,193105,143842,1814614,1601289,746950,550237,304102,151037,1003982,69045,1879107,12083098,10786196,1296902,9104766,132.71179272605258,31.058674964768766,41.21852434270231,13502957,6418700,2292638,2223389,760652,1142021,6646936,35992,1966792
1998:Q2,16371321,9116816,4582488,2525628,846284,1162416,7254505,192645,202999,20577,135402,2491,82588,28870,19024,7036,26479,1179,157381,80331,77050,83423,1136358,1644628,191,88194,1432830,2074798,19384466,7095423,2252070,202491,145492,1904087,1636381,777822,553909,304649,156045,1000609,59915,1990403,12289043,10982814,1306229,9275898,132.48358820725704,31.64160653629855,41.9199357057103,13760920,6506415,2323470,2261713,777574,1143658,6665497,36591,1997227
1998:Q3,16504061,9198391,4616316,2554421,861816,1165838,7305670,189102,201597,18385,149180,3252,86759,31301,20292,8288,25803,1075,153309,77618,75691,80990,1048714,1668148,203,83020,1480470,2142541,18620487,7398317,2295087,216872,147009,1931206,1678378,807679,558909,311789,161395,1022821,68559,2172077,11222170,9912848,1309322,9105744,123.24276313543507,35.407275120461875,43.63690420942266,13924287,6618617,2360644,2298403,794952,1164618,6525970,37202,2027725
1998:Q4,17466633,9363655,4716287,2586099,886940,1174330,8102978,163220,192588,30518,161719,4208,100255,39433,23615,10609,25748,850,153578,74229,79349,86871,1303141,1897535,186,97645,1448432,2463082,21191099,7623417,2309478,192958,147763,1968757,1761130,828739,595095,337295,171885,1049696,64058,2267170,13567682,11883702,1683980,9843216,137.8378927150545,30.002238236345857,41.35445295232946,14780193,6677215,2389154,2337684,813077,1137300,7156776,37861,2058098
1999:Q1,17693164,9310385,4590389,2623791,906824,1189381,8382779,154251,195635,36235,172938,4775,100327,40493,22992,11324,24734,784,143438,68168,75270,111859,1476972,1935650,184,102125,1501928,2446462,21720628,7884995,2395716,223886,149143,2022687,1813227,834562,628245,350420,187480,1052365,69320,2366887,13835633,12155256,1680377,9808169,141.06234910207968,30.42103904391204,42.91263229660316,15187150,6804371,2429691,2378291,831868,1164521,7302155,38548,2088155
1999:Q2,18133006,9408509,4619080,2653859,932293,1203278,8724497,173087,210997,32343,171667,3434,101694,47355,21103,11363,21096,777,136467,61601,74866,125774,1696963,1966938,195,110629,1582779,2411530,23020106,8055143,2466609,232365,150297,2083947,1816535,838442,616010,362083,196211,1094026,70936,2410826,14964963,13207732,1757231,10077863,148.4934100275268,28.621147170033723,42.50051742178006,15636678,6912181,2468339,2420387,852132,1171323,7581535,39277,2117595
1999:Q3,18644523,9714086,4852520,2684140,950811,1226614,8930437,178700,214705,33490,179286,6089,111411,47618,21191,12445,29423,734,128792,54927,73865,137487,1698637,2014431,200,109252,1659489,2458468,22898186,8423197,2542876,239280,151977,2151619,1878780,854571,615908,408301,210486,1163247,73587,2554221,14474989,12706835,1768154,10221326,141.61557230872697,30.546869242905817,43.259123700739565,15938946,7008509,2475475,2463792,873618,1195624,7515749,40045,2147067
1999:Q4,19598543,9909998,4941825,2724829,984814,1258530,9688545,192794,236877,31460,196783,5793,105469,47604,19420,12416,25002,1027,124706,48586,76120,142387,2075021,2371426,192,127331,1657593,2420713,25972112,8494122,2559067,230326,152826,2175915,1918142,867951,623177,427015,224574,1228170,71032,2493137,17477990,15388745,2089245,11104421,157.39667358317598,25.616271327009944,40.31915896475455,16798994,7110449,2511787,2504069,895759,1198834,8304872,40857,2177351
2000:Q1,19774692,9800458,4740639,2769709,1010575,1279536,9974234,180475,234409,35750,204332,7995,112516,46046,21881,15205,28229,1155,120931,49102,71829,133741,2074707,2411788,184,132886,1740248,2584272,27079336,8695053,2634270,260797,153262,2220211,1977085,883458,659166,434461,230796,1276515,82756,2493631,18384283,16265643,2118640,11079639,165.92853071652078,25.083140160059553,41.62008592515238,17233832,7259598,2551675,2548069,918996,1240858,8538779,41722,2209229
2000:Q2,20540144,10243385,5089205,2814795,1036396,1302989,10296759,196362,249797,29742,197260,5943,124591,49284,23978,18089,32062,1178,123662,49369,74293,132903,1973307,2461166,195,128352,1851019,2822460,26932745,9119030,2703105,296844,153380,2252881,2029489,903938,680060,445491,240679,1359541,80244,2705972,17813715,15617179,2196536,11421114,155.97177831664033,26.567137380143883,41.43723661963531,17665080,7368321,2589671,2595299,942286,1241065,8546050,42622,2243629
2000:Q3,21329971,10692290,5448232,2860650,1061943,1321465,10637681,220774,265311,13998,202859,5763,128395,58245,23141,18933,26918,1158,124365,49061,75304,139202,1908758,2488038,205,128479,1932418,3079116,26962486,9474469,2754174,307039,153937,2293198,2026030,909341,666715,449974,276953,1447654,80356,2889302,17488017,15261250,2226767,11855502,147.50971365270252,27.33416626122928,40.32055038129293,18156439,7518758,2633953,2641406,965595,1277804,8681970,43518,2280553
2000:Q4,21985970,10890090,5571374,2893562,1085157,1339997,11095880,227700,272343,24029,213914,4204,124661,57765,18105,15423,31938,1430,130954,49464,81490,131195,1717546,2250325,210,118041,1939233,3941525,25303080,9887584,2751414,278402,154187,2318825,2076735,918905,700932,456898,280845,1541422,77992,3159176,15415496,13366519,2048977,12098386,127.4177851830597,31.320104660792463,39.90738367579801,18708073,7612193,2667670,2685131,989241,1270151,8820489,44406,2318612
2001:Q1,21965809,10887611,5541759,2909504,1101100,1335248,11078198,164208,254457,16928,246450,3349,113209,54671,16108,14284,26641,1505,125408,49979,75429,135394,1457214,2283166,208,106246,1947028,4224933,24082355,10195115,2811293,235619,154669,2421005,2038030,904932,705194,427904,305180,1506208,82860,3451544,13887240,11817843,2069397,11770694,117.98149352384402,34.91927385065296,41.19828081668147,18829765,7751567,2708200,2722613,1010825,1309929,8634650,45291,2354655
2001:Q2,22188116,11000136,5627119,2934839,1113625,1324553,11187980,169914,250584,17093,259403,3196,111844,56427,16063,14828,23426,1100,123428,50216,73212,132651,1482561,2315551,258,112361,1951662,4257474,25040456,10252518,2902655,206256,155816,2540583,2038051,869496,727112,441442,314628,1479788,77568,3439828,14787938,12673982,2113956,11935598,123.89775124163025,33.410375280890285,41.394703654412574,19004272,7816292,2744642,2751611,1030173,1289866,8751754,46189,2391930
2001:Q3,22205856,11070847,5697595,2948546,1119809,1304897,11135009,168264,251814,14369,285024,3496,117077,56538,16864,16203,26337,1135,120659,50835,69824,137425,1213521,2344200,270,99260,1909069,4470561,23225362,10474966,2922508,189571,156406,2576531,2037688,843261,729225,465202,323789,1451015,103125,3636841,12750396,10625839,2124557,11730890,108.69077806009344,38.90229032001859,42.28320203202461,19022274,7887265,2793424,2774497,1047189,1272155,8547308,47097,2430002
2001:Q4,21598728,10834172,5463270,2967393,1130541,1272968,10764556,174562,281120,15517,314064,3980,124868,60169,16852,17539,29331,977,125048,51995,73053,137668,1286722,1904942,282,108960,1817916,4468907,24187509,10394431,2955471,177726,157687,2620058,2013908,811191,703037,499680,333019,1437691,81045,3573297,13793078,11971563,1821515,11204297,123.1052470967513,36.02806356261841,44.35243667293601,18664215,7899659,2834780,2793674,1061657,1209548,8269784,47989,2461648
2002:Q1,21797130,10998318,5627822,2973612,1138754,1258129,10798812,180548,276810,16672,310972,2673,124424,54667,20664,18325,29835,933,120599,52296,68303,144935,1285382,1938488,284,109114,1855375,4432536,24324275,10482848,2982797,162983,157500,2662314,1994823,796869,698317,499637,338358,1440835,85067,3640969,13841427,12001621,1839806,11314282,122.33588642972389,35.961749720868724,43.99412529666351,18762113,7963301,2863266,2808072,1074314,1217649,8279265,48907,2491047
2002:Q2,21775348,10987752,5587296,2979992,1147222,1273242,10787596,180239,279564,18500,305105,5667,127959,55218,25139,18964,27818,820,121853,52986,68867,153196,1108373,1963358,302,99863,1875524,4548093,22900189,10625695,2995238,141454,158317,2695467,1983092,750064,716089,516939,318183,1441265,88580,3799338,12274494,10408263,1866231,11149653,110.08857617475975,40.558327563485435,44.65008533493625,18791453,8003857,2898076,2819639,1086304,1199838,8165758,49853,2517216
2002:Q3,21827102,11112449,5694969,2963937,1159939,1293604,10714653,174787,263917,20000,302591,5282,140785,60256,28351,18126,33223,829,123389,53829,69560,153130,912525,1996396,312,87756,1832497,4701286,21290353,10749046,2979760,136423,159165,2684172,1990473,730144,726205,534124,305659,1441937,101055,3930162,10541307,8649324,1891983,11078056,95.15484370300179,47.150063218110276,44.86556896105937,18793076,8078423,2919074,2829927,1097884,1231538,8044030,50799,2541082
2002:Q4,21776976,11371177,5920259,2973703,1164513,1312702,10405799,161595,291301,20587,319714,6171,145920,64789,31354,16883,32131,763,128994,54196,74798,158343,984329,1596736,323,90918,1719534,4781334,21400822,10750383,2974326,119813,160622,2693891,2012314,708527,734905,568882,308096,1457412,92954,3905281,10650439,9251390,1399049,11026593,96.58866752557894,46.82097665513699,45.22375747365919,18532927,8127128,2949024,2838047,1108441,1231616,7782544,51786,2564934
2003:Q1,22069678,11653552,6170372,2961598,1173296,1348286,10416126,172507,303994,21933,311854,5717,147400,61894,34525,17944,32334,703,126924,54481,72443,149567,922711,1627325,323,89812,1799889,4736170,21220713,10780679,2983466,119825,160774,2702867,1995901,683732,733774,578394,297488,1417649,97214,3988961,10440034,9012023,1428011,11288999,92.47971682129602,47.694929571105675,44.10813580547511,18609994,8193868,2981814,2845820,1119320,1246914,7829315,52826,2589148
2003:Q2,22107110,11634269,6141062,2961832,1191419,1339956,10472841,190869,325301,30297,307481,6221,150337,70005,36575,12192,30865,700,127428,55021,72407,158464,1030006,1660922,350,100865,1797930,4586370,22365957,10576608,3011544,100995,161893,2748656,1983776,650886,737110,595780,293618,1395469,96413,3795788,11789349,10359270,1430079,11530502,102.24488938506546,42.37146442808009,43.322656935322854,18735832,8262991,3011609,2857024,1130666,1263692,8159224,53886,2614622
2003:Q3,22010603,11519750,6007259,2957512,1210343,1344636,10490853,211277,337052,34513,299347,7241,163107,80487,35355,11785,34611,869,128911,55855,73056,161730,1021911,1694528,373,105180,1783467,4542216,22734909,10529840,3045379,103978,162518,2778883,1974191,635696,723124,615371,278477,1391531,98972,3741291,12205069,10758279,1446790,11480763,106.30886753910158,41.126923589199045,43.721566721349134,18809998,8319145,3038786,2870680,1142916,1266763,8280158,55022,2640226
2003:Q4,22724684,11677638,6107816,2980244,1225681,1363898,11047046,204455,362778,38145,293559,5986,157048,75679,33690,11230,35404,1045,115962,56897,59065,154364,1106509,2177117,416,114880,1701793,4614034,24104696,10397159,3032939,82481,163914,2786544,1989149,627326,737795,624028,266249,1402680,81222,3624920,13707537,11927922,1779615,12327525,111.19455558150386,36.63742124221149,40.738817726800555,19413902,8366856,3056204,2886051,1155372,1269229,9016743,56192,2666398
2004:Q1,23364189,12126812,6482540,3007871,1238467,1397935,11237377,222037,369694,41699,295004,5183,160190,78983,34925,11642,33487,1153,116464,60461,56003,159798,1122544,2232998,408,117914,1805212,4588232,24650844,10529312,3085447,91623,196584,2797240,2003245,593439,745825,663981,273548,1436135,90747,3640190,14121532,12327258,1794274,12834877,110.02467326176064,36.034984739184154,39.647374219212665,19715106,8477729,3088548,2898106,1167002,1324073,9185794,57372,2691616
2004:Q2,24014663,12581906,6840727,3057661,1249850,1433668,11432757,245120,360406,47625,295646,4829,158009,78886,34008,11336,32561,1218,120375,64275,56100,166055,1138964,2290847,447,118146,1860975,4625313,25104595,10657245,3080668,98673,202700,2779295,2039621,596813,756167,686641,265254,1443397,92174,3736131,14447350,12626660,1820690,13357418,108.15975277891437,35.441023141087854,38.33292301171845,19995727,8562970,3118285,2914735,1178544,1351406,9338482,58593,2717948
2004:Q3,24651977,13059731,7253206,3079010,1260277,1467238,11592246,261585,384213,44697,296208,5719,161033,85624,31880,10627,31750,1152,122240,68136,54104,168939,1114543,2338421,482,116560,1883098,4694508,25006671,10827457,3087692,105121,204025,2778546,2079847,608725,759268,711855,263561,1471093,100406,3824858,14179214,12337220,1841994,13824520,102.56568692681314,36.444466338570045,37.379517246965555,20250239,8657993,3148412,2934725,1191602,1383254,9422782,59822,2746470
2004:Q4,25304917,13178118,7276665,3129204,1278650,1493599,12126799,235523,370456,53705,305966,6422,173582,95023,34014,11338,31813,1394,131518,72307,59211,162684,1213832,2682900,487,125553,1830643,4833528,26407102,10930823,3085138,97782,205538,2781818,2168116,632940,793245,741932,262887,1499936,87996,3826750,15476279,13511859,1964420,14374094,107.667860067873,33.94390990670579,36.546681419916865,20863605,8736806,3183074,2958519,1205593,1389620,9932782,61071,2776805
2005:Q1,25884430,13575218,7556710,3183332,1297448,1537728,12309212,234769,362506,61301,307646,6190,190736,90942,49230,16410,32636,1518,127807,72457,55350,163942,1137185,2736282,475,124068,1944055,4912250,26649355,11191219,3097320,112001,208494,2776825,2207768,629079,819713,758976,264266,1536003,99689,3986173,15458136,13467492,1990644,14693211,105.20597619945636,34.319069621477084,36.10571221784603,21196428,8887216,3220871,2983014,1221487,1461844,10005209,62352,2808665
2005:Q2,26383905,13811337,7719556,3222108,1321683,1547990,12572568,278710,343199,57496,313360,8459,192879,90215,52929,17643,30113,1979,129676,73660,56016,160764,1101851,2770784,481,125722,2031068,5058119,27142570,11399261,3095264,110679,222487,2762098,2300856,636482,849659,814716,241978,1589494,98061,4073608,15743309,13736489,2006820,14984644,105.06294985629063,34.275641675961225,36.01100022693699,21566976,8994408,3262670,3010546,1238629,1482563,10167715,63663,2842068
2005:Q3,27075609,14233931,8077272,3231981,1341059,1583619,12841678,315583,351596,51419,329218,11692,198471,99352,48484,16161,32331,2143,131805,74008,57797,168904,1089399,2750257,521,131207,2108390,5203216,27785383,11532698,3109306,116493,234121,2758692,2327281,609896,859401,857985,258843,1655679,96934,4084655,16252685,14222454,2030231,15542911,104.5665451074796,33.45039544149921,34.97792283796557,21958638,9116960,3309256,3041622,1256598,1509484,10425940,65026,2877216
2005:Q4,27899043,14594110,8347582,3262634,1365208,1618687,13304933,336173,380360,63571,359020,14560,215089,110974,52117,17372,32113,2513,134342,74759,59583,158934,1058806,2905296,529,134404,2108248,5435601,27966252,11703368,3092526,90071,250109,2752346,2443072,610993,903561,928518,276048,1699382,86222,4106118,16262884,14217798,2045086,16195675,100.41497868472892,34.03823234203217,34.1794837509101,22527530,9222597,3356869,3073034,1273381,1519313,10824162,66410,2914692
2006:Q1,28622236,14960371,8622251,3310465,1388429,1639226,13661865,315537,375331,41996,363225,10103,208952,105397,50010,16670,34480,2395,125610,72490,53120,160028,1043745,3144016,538,146510,2167880,5558394,29250969,11888072,3118443,96494,257516,2764433,2506061,623003,922012,961046,282955,1708719,98139,4173755,17362897,15235218,2127679,16734164,103.75718001816456,32.39380897599428,33.61090269396274,23040762,9378897,3403621,3111718,1291137,1572421,11152690,67801,2957371
2006:Q2,29319117,15459460,9011577,3357513,1405118,1685252,13859657,278925,355438,53045,377091,12154,211831,118946,44880,14960,30718,2327,120613,70555,50058,152765,970391,3155713,548,149921,2235216,5786006,29020082,12169559,3178334,111671,274103,2792560,2575051,619846,974198,981007,297905,1760837,95147,4262285,16850523,14749809,2100714,17149558,98.25631064607641,34.14365958931718,33.54830023201835,23397669,9538012,3461712,3151224,1309786,1615290,11228110,69098,3003199
2006:Q3,29964212,15835373,9277393,3424348,1424474,1709158,14128839,276087,356342,43697,398615,12668,208094,118689,44794,14931,27313,2367,116998,68674,48324,153618,964281,3314583,566,159532,2217738,5906020,29632599,12268826,3200429,110579,281892,2807958,2603133,628354,967008,1007771,310958,1777183,94466,4282657,17363773,15147399,2216374,17695386,98.12599149274357,33.4233913374197,32.797034140342845,23814036,9685197,3517068,3191154,1330448,1646527,11545210,70314,3050974
2006:Q4,30754161,16181342,9525255,3486061,1449999,1720027,14572819,262603,386992,49336,428003,15533,213883,122669,45463,15154,28131,2466,115170,66877,48293,147594,964060,3600319,580,173221,2099243,6116282,30736759,12365787,3246779,112517,304143,2830119,2701859,630054,1028421,1043383,322943,1812989,85421,4195796,18370972,16026365,2344607,18388374,99.90536641686585,32.38063614849842,32.349993192269466,24345362,9772543,3576096,3229834,1352456,1614157,11979575,71506,3099844
2007:Q1,31476328,16578112,9804084,3540599,1482688,1750740,14898216,252160,360421,45306,442716,13914,192555,109057,39167,13056,28420,2855,111577,63762,47815,143216,974300,3769925,624,174805,2180375,6236322,31723074,12629522,3308946,126169,318682,2864095,2749898,628793,1082131,1038974,320571,1825123,73230,4351754,19093552,16666943,2426609,18846806,101.30922089773013,31.732408394261025,32.14785571631176,24825286,9927070,3628560,3268493,1374096,1655921,12195764,72674,3151632
2007:Q2,32564793,17132914,10244870,3591272,1509092,1787681,15431879,289820,331493,55824,460558,8695,190807,114501,33119,11040,29455,2692,107478,58394,49084,130747,1039857,4032196,675,181888,2265597,6336244,32902803,12884141,3416042,154347,346726,2914969,2858783,632739,1160439,1065604,332060,1859504,63114,4354638,20018662,17400479,2618183,19680652,101.71747154394673,31.344876112088954,31.883215439799432,25506183,10074304,3717196,3307420,1395607,1654081,12622042,73813,3207422
2007:Q3,33204430,17420033,10465926,3618300,1530607,1805200,15784397,318238,289046,56965,518735,7643,164918,79935,38968,12989,30464,2562,104258,54113,50145,128428,1065175,4193251,694,183739,2302048,6451259,33445590,13157419,3427816,131416,358946,2937454,3042112,689946,1250536,1101630,348390,1864257,51882,4422962,20288171,17576536,2711635,20047011,101.2029716229753,31.890148952973153,32.27377839540197,26004073,10219676,3775265,3345767,1416580,1682064,12846654,74891,3267601
2007:Q4,33421392,17443677,10395278,3640080,1552430,1855888,15977715,311604,261335,50250,565641,8050,152455,69462,38319,12773,29188,2713,100055,50631,49424,151391,1033221,4188219,712,178028,2262207,6714547,33045524,13493860,3465301,123814,375411,2966076,3176206,738590,1315943,1121672,384157,1898892,35828,4533476,19551664,16924153,2627511,19927532,98.11382664759127,33.96900995907952,33.32829554515429,26310186,10332471,3844966,3384826,1439093,1663586,12816326,75885,3331203
2008:Q1,32168741,16830159,9673760,3654662,1581922,1919814,15338582,293526,198425,55037,652124,7100,112416,52866,27239,9080,20814,2417,95545,49442,46103,157766,987843,3827562,435,161150,2295248,6494405,31807927,13763475,3510907,139956,385461,2985490,3247823,778535,1332350,1136938,407313,1856758,55007,4685667,18044452,15615923,2428529,18405266,98.03961676321119,37.45600080528843,36.72171964433007,25863571,10524989,3921508,3422550,1462862,1718069,12100096,76786,3395941
2008:Q2,32207460,17137250,9851380,3669157,1606395,2010318,15070210,281624,227939,36837,660757,8056,119669,58271,28797,9599,20463,2539,95140,48443,46697,167109,1011226,3734603,417,155506,2313176,6258151,31813113,13952562,3614036,139827,412762,3061447,3277644,780140,1362497,1135007,441072,1817609,37941,4764260,17860551,15454256,2406295,18254898,97.83977440120586,38.58604316349113,37.75249758151164,25757849,10687639,4002965,3458434,1487146,1739094,11805287,77658,3463190
2008:Q3,31108238,16991449,9658293,3723660,1628040,1981456,14116789,264834,195910,31580,690980,5300,118037,56981,25505,8502,24071,2978,93359,47023,46336,150371,971814,3067074,385,135848,2245395,6145902,30201937,14128125,3648725,146538,427221,3074966,3302619,805454,1393785,1103381,433639,1745659,54068,4943415,16073812,13834119,2239693,16980113,94.66257519272783,43.24639653616991,40.93815263919709,24925261,10808472,4078058,3489269,1507952,1733193,10797136,78456,3530514
2008:Q4,29763162,16657548,9394401,3825487,1631698,1805962,13105614,179358,151888,24704,798998,7178,126993,57286,30455,10152,26164,2936,92062,45120,46942,141565,791594,2378648,422,106333,2093967,6211904,27317726,14527159,3662283,131477,440294,3090512,3256637,803307,1383914,1069415,422721,1668971,38954,5477593,12790567,11049169,1741398,15236003,83.94962197233627,54.09392418723955,45.411644865189785,23882799,10777185,4119113,3503636,1524916,1629520,9355640,79082,3595573
2009:Q1,28858067,16086297,8889722,3829946,1628469,1738161,12771770,195373,153930,25736,804807,7469,127408,49862,41105,9702,22318,4421,91539,47850,43689,161710,678830,2167294,460,108583,2101539,6147092,25930513,14450004,3741933,106921,447721,3187291,3117739,742114,1308772,1066853,405316,1581848,40221,5562947,11480509,9962136,1518373,14408063,79.68113963893086,59.75059034428666,47.609951327316594,23587281,10815511,4175032,3502245,1536269,1601965,9137277,79567,3651680
