1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1983:Q3,6854689,4734351,2588533,1262539,254077,629203,2120338,73516,66597,13176,12259,3847,51430,9943,24105,3141,14241,0,72761,40895,31866,27674,158269,225710,307,4044,630051,780697,4683554,2884619,565894,40547,81876,443471,645343,332084,158128,155131,30398,376903,41038,1225043,1798935,1709522,89413,3970070,45.312422309935215,67.33075614870327,30.5091965705731,4784136,2663798,970367,891299,203550,598582,1899517,16791,857782
1983:Q4,6982070,4794609,2616850,1277332,260874,639553,2187461,89573,69974,14393,11153,3248,64787,12188,30144,4187,18268,0,76700,41335,35365,26988,159277,262731,311,4501,626517,777308,4678117,2944667,568188,36775,83897,447516,682020,353041,168609,160370,29770,401994,38646,1224049,1733450,1630514,102936,4037403,42.934776766625184,72.12255436758424,30.965657716110172,4909716,2722255,988906,910169,210333,612847,1965049,17035,874329
1984:Q1,7120148,4855597,2632617,1291363,268479,663137,2264551,102485,67460,15541,11509,4127,76853,12632,38101,2548,23572,0,77354,44278,33076,25313,156938,268766,312,5034,662415,790444,4742652,3109419,584561,42518,85897,456146,710826,368704,178987,163135,30089,410679,43234,1330030,1633233,1527807,105426,4010729,40.72160221091876,79.31426260656661,32.298038515169544,5056643,2792092,1008883,929142,217494,636573,1947224,17295,892221
1984:Q2,7283770,4936651,2669605,1308654,275793,682600,2347119,97238,65810,16503,13318,5917,74845,11246,37282,3291,23026,0,81788,47222,34566,23535,154115,275475,314,5604,693100,839557,4817396,3251868,606582,53463,88116,465003,748924,388805,190168,169951,34059,429080,39561,1393662,1565528,1456011,109517,4031902,38.82851983592738,86.58461461919183,33.61952426227417,5205376,2858257,1030355,949812,224981,653109,1953508,17557,911586
1984:Q3,7459191,5020448,2712824,1325072,284278,698274,2438743,96723,61132,12418,15272,3928,69308,11189,33740,3715,20664,0,85177,50197,34980,22369,170467,280585,317,6295,717799,896953,4973174,3318210,630042,60349,90480,479213,764807,391682,198699,174426,34848,428203,40087,1420223,1654964,1543237,111727,4140981,39.96550634526906,84.28272959482985,33.68401964418769,5365686,2926943,1052903,971184,232715,670141,2047476,17817,931854
1984:Q4,7543460,5097458,2755196,1343028,290589,708645,2446002,102698,69124,13284,16062,3919,74011,9742,36467,5319,22483,0,91521,53143,38378,24401,175013,263661,314,7193,694120,910681,4994318,3328645,660216,58490,104439,497287,802882,412301,214839,175742,35874,436676,42167,1350830,1665673,1553653,112020,4214815,39.51947867778961,87.83823626461925,34.71321305154266,5435706,2989704,1076052,993128,240593,679931,2107061,18089,952382
1985:Q1,7649724,5139368,2772640,1358321,298794,709613,2510356,90366,73050,12568,15820,8081,62817,10202,30156,4183,18276,0,90071,54565,35506,23485,187569,267804,318,8651,724675,945081,5212544,3425507,685075,62972,106139,515964,806549,423221,218787,164542,37203,433874,42555,1420251,1787037,1671498,115539,4224217,42.30457476046554,83.46913588176199,35.311262991014566,5581925,3071569,1100883,1013562,248442,708682,2156418,18376,974132
1985:Q2,7747727,5190427,2796190,1376799,305975,711463,2557300,96506,66808,11895,14675,4225,82688,9798,42730,3502,26658,0,93112,56021,37091,20429,197608,274917,311,10112,736169,947845,5346939,3484726,717806,68886,110639,538281,815047,425627,222247,167173,38896,437622,38470,1436885,1862213,1744053,118160,4263001,43.68314583751176,82.3135139916505,35.95713236095333,5691115,3133815,1126129,1034276,256312,717098,2206389,18674,995726
1985:Q3,7853424,5248409,2828738,1395917,313534,710220,2605015,107016,68688,12514,14413,4794,70885,9326,35913,3533,22113,0,95597,57497,38100,21043,186046,277439,303,10393,746326,989558,5366733,3603510,742619,69036,116039,557544,821712,434910,223552,163249,39870,434607,41296,1523406,1763223,1642361,120862,4249914,41.488437774696365,88.71994939755588,36.80852099954707,5789657,3184642,1150446,1053266,264098,716832,2186147,18987,1016431
1985:Q4,8139538,5331604,2872856,1418255,319916,720577,2807934,125714,69301,16023,14516,3374,81169,10478,41102,4017,25572,0,102580,60075,42505,20675,214143,370692,296,10799,739342,1039310,5655233,3589880,780402,72207,127039,581156,864685,454562,238234,171889,40132,479653,39009,1385999,2065353,1917631,147722,4549658,45.395785564407404,79.65161356403097,36.15847569211794,6050967,3243033,1173994,1072285,271961,724793,2461087,19313,1037023
1986:Q1,8178936,5366688,2892723,1430812,327801,715352,2812248,115339,74757,17734,16069,3349,69882,11646,33539,4167,20530,0,98623,58505,40118,24088,247091,374288,280,12589,724905,1033254,5845611,3550562,810766,69514,124039,617213,878671,461150,244321,173199,41811,444559,40329,1334426,2295049,2137668,157381,4628374,49.58650593709462,73.61222249434628,36.50172907758632,6107218,3294970,1195676,1089605,279771,729918,2556656,19667,1056360
1986:Q2,8268489,5416023,2911224,1454038,334714,716047,2852466,112387,80427,18854,16952,2900,80815,10268,40715,4518,25314,0,98555,56955,41600,23470,264642,380217,284,13947,739512,1019504,6003453,3595503,846331,68654,120767,656910,902550,470500,254864,177185,43400,439233,39574,1324415,2407950,2245424,162526,4672986,51.5291524451014,72.6294413694098,37.42533556326871,6190087,3337621,1213667,1106883,287455,729616,2594584,20054,1072584
1986:Q3,8395756,5468539,2935496,1476731,341555,714757,2927217,103940,92218,18104,18216,3742,78234,9378,38961,5750,24145,0,97793,55278,42515,23498,248845,384997,270,14709,759201,1083450,5954117,3752609,878036,72779,119531,685726,917434,472674,263030,181730,44548,445482,41274,1425835,2201508,2032679,168829,4643147,47.41413502135545,81.55634811659726,38.66923701449011,6301223,3374006,1230422,1123311,294939,725334,2548614,20444,1087682
1986:Q4,8601198,5513361,2956923,1493379,348148,714911,3087837,123998,85530,19201,18117,5073,77913,10173,40325,2360,25055,0,100233,53216,47017,24955,265538,492660,256,15676,741486,1117201,6255739,3819043,892043,62865,117138,712040,982938,520589,274200,188149,49532,477971,42784,1373775,2436696,2241896,194800,4782155,50.95393053990388,76.94767407279548,39.207864399123835,6499095,3411258,1247741,1139787,302253,721477,2680052,20820,1102974
1987:Q1,8754637,5566367,2975392,1508576,355483,726916,3188270,124940,81118,16826,18826,5556,75671,12384,37705,2274,23308,0,98104,53681,44423,26134,321289,497641,239,16057,772240,1133629,6711253,3799100,918406,63593,117349,737464,1002056,505739,278169,218149,55308,477734,43947,1301649,2912153,2709357,202796,4955537,58.765635095746575,65.9464808463284,38.753868292639744,6658035,3469765,1264553,1153536,309344,742332,2858935,21163,1117640
1987:Q2,8864374,5624675,3002850,1517282,363539,741004,3239699,129056,81792,15896,18518,5532,69549,13815,32734,3006,19994,0,100580,54009,46571,26169,336338,505161,232,15039,788985,1146852,6836381,3840568,941146,67916,116146,757084,1028256,509974,289192,229090,57155,473369,46928,1293714,2995813,2784821,210992,5023806,59.632337356105495,65.73847642871087,39.20139003673276,6755731,3516032,1281563,1167675,316235,750559,2915163,21490,1132600
1987:Q3,8985978,5679297,3032658,1526657,372036,747946,3306681,129178,80483,15081,18611,5601,70878,16886,31671,3036,19285,0,102614,54539,48075,26352,357654,512466,221,14628,811164,1161750,7041252,3875188,963518,68108,116097,779313,1046045,514072,293539,238434,68018,482992,47763,1266852,3166064,2945570,220494,5110790,61.94862740232928,63.47194891422884,39.32000113787241,6875952,3569271,1299908,1182291,322971,764101,3000764,21797,1148564
1987:Q4,9148879,5804924,3096102,1555118,382179,771525,3343955,133651,85943,16262,18940,3362,68768,14966,31790,2648,19364,0,109168,55140,54028,27104,275803,538063,224,12817,805346,1248504,6691568,4169288,986175,73768,116224,796183,1085339,525461,307345,252533,66301,522356,47866,1461251,2522280,2287678,234602,4979591,50.65235684905065,82.1286150434379,41.60007916698526,6971681,3627726,1319543,1195895,329682,782606,2802393,22091,1165050
1988:Q1,9317657,5904036,3154574,1574518,391758,783186,3413621,128805,81972,18334,19578,3658,66367,12295,31319,3702,19051,0,110363,59450,50913,28833,270421,538954,215,12167,841376,1292578,6947802,4277074,1011324,73507,115753,822064,1115255,529046,330501,255709,63262,524786,48823,1513624,2670728,2420352,250376,5040583,52.984507281781724,79.62545330186653,42.18915410287917,7114687,3701066,1339164,1210923,336328,814651,2837613,22361,1180706
