date,FA156000105.A,FA146000105.A,FA316000105.A,FA216000105.A,FA386000105.A,FA796000105.A,FA266000105.A,FA896000105.A,FA156300005.A,FA146300005.A,FA316300001.A,FA216300001.A,FA386300005.A,FA796330005.A,FA886300005.A,FA156006305.A,FA146006305.A,FA316006305.A,FA216006305.A,FA386006305.A,FA796006305.A,FA266000105.A,FA896006305.A,FA155090005.A,FA145090005.A,FA315090005.A,FA215090005.A,FA385090005.A,FA795090005.A,FA265090005.A,FA895090005.A,FA907005005.A,FA155050005.A,FA145050005.A,FA315050005.A,FA215050005.A,FA385050005.A,FA795013005.A,FA265420005.A,FA895050005.A,FA906000105.A,FA155111003.A,FA155111003.A,FA155111003.A,FA155012005.A,FA145012005.A,FA315012065.A,FA215012063.A,FA385012005.A,FA885012005.A,FA165013005.A,FA145013005.A,FA315013005.A,FA215013005.A,FA385013005.A,FA795013005.A,FA885013005.A,FA145020005.A,FA145020005.A,FA145020005.A,FA155420003.A,FA105420005.A,FA315420003.A,FA215420003.A,FA385420005.A,FA265420005.A,FA155000005.A,FA145000005.A,FA315000005.A,FA215000005.A,FA385000005.A,FA795000005.A,FA265000005.A,FA895000005.A,FA905000005.A,FA154090005.A,FA144090005.A,FA314090005.A,FA214090005.A,FA384090005.A,FA794090005.A,FA264090005.A,FA894090005.A,FA154190005.A,FA144194005.A,FA314190005.A,FA214190005.A,FA384194005.A,FA794194005.A,FA264194005.A,FA894194005.A,FA313011105.A,FA313111303.A,FA313011105.A,FA313111303.A,FA263011105.A,FA313011303.A,FA893011105.A,FA893111305.A,FA794010005.A,FA794110005.A,FA264016005.A,FA264116005.A,FA894010005.A,FA894110005.A,FA904010005.A,FA153020005.A,FA143020005.A,FA313020005.A,FA313125003.A,FA213020005.A,FA383020005.A,FA313125003.A,FA793020005.A,FA793120005.A,FA263020005.A,FA893020005.A,FA883120005.A,FA903020005.A,FA153030005.A,FA143030005.A,FA313030003.A,FA213030000.A,FA383030005.A,FA793030005.A,FA703130005.A,FA263030005.A,FA703130005.A,FA703130005.A,FA153030505.A,FA103091003.A,FA313030505.A,FA313131003.A,FA383030505.A,FA313131003.A,FA793030505.A,FA403197033.A,FA263130505.A,FA893030505.A,FA893130505.A,FA903091005.A,FA153034005.A,FA143034005.A,FA213034003.A,FA383034005.A,FA793034005.A,FA634090005.A,FA263034003.A,FA634090005.A,FA634090005.A,FA102051003.A,FA313011545.A,FA212051003.A,FA382051005.A,FA792050005.A,FA792150005.A,FA262051005.A,FA262151005.A,FA892050005.A,FA892150005.A,FA902050005.A,FA154022005.A,FA163162003.A,FA144022005.A,FA104122005.A,FA314022005.A,FA314122005.A,FA214022005.A,FA213162005.A,FA384022005.A,FA384122005.A,FA794022005.A,FA794122005.A,FA264022005.A,FA264122005.A,FA894122005.A,FA894122005.A,FA103069100.A,FA103169100.A,FA213069103.A,FA383069105.A,FA103169100.A,FA793069175.A,FA793169175.A,FA263069103.A,FA263169105.A,FA893169175.A,FA893169175.A,FA153061105.A,FA143061105.A,FA313161105.A,FA213061103.A,FA383061105.A,FA313161105.A,FA793061105.A,FA263061105.A,FA313161105.A,FA313161105.A,FA153061705.A,FA103061703.A,FA313061703.A,FA313161705.A,FA213061703.A,FA383061705.A,FA313161705.A,FA793061705.A,FA423161705.A,FA263061705.A,FA893161705.A,FA893161705.A,FA153062005.A,FA163162003.A,FA143062005.A,FA103162000.A,FA213062003.A,FA213162005.A,FA383062005.A,FA383162005.A,FA793062005.A,FA263062003.A,FA383162005.A,FA383162005.A,FA153063005.A,FA123063003.A,FA103163005.A,FA313063005.A,FA213063003.A,FA383063005.A,FA103163005.A,FA793063005.A,FA793163005.A,FA263063005.A,FA263163005.A,FA893063005.A,FA893163005.A,FA154023005.A,FA154123005.A,FA144023005.A,FA144123005.A,FA314023005.A,FA314123005.A,FA214023005.A,FA213169203.A,FA384023005.A,FA384123005.A,FA794023005.A,FA794123005.A,FA263069005.A,FA264123005.A,FA894123005.A,FA894123005.A,FA153168005.A,FA143168005.A,FA383168005.A,FA793068005.A,FA793168005.A,FA263168005.A,FA793068005.A,FA793068005.A,FA153069005.A,FA153169005.A,FA143169005.A,FA313069005.A,FA313169005.A,FA213069200.A,FA213169203.A,FA383069005.A,FA383169005.A,FA793069005.A,FA793169005.A,FA263069005.A,FA263169005.A,FA893169005.A,FA893169005.A,FA153065005.A,FA153165005.A,FA143065005.A,FA143165005.A,FA313065005.A,FA313165403.A,FA213065005.A,FA383065005.A,FA383165005.A,FA793065005.A,FA893065005.A,FA893065005.A,FA163066223.A,FA153166000.A,FA143066005.A,FA313066220.A,FA383066005.A,FA153166000.A,FA793066005.A,FA153166000.A,FA153166000.A,FA103092305.A,FA103092305.A,FA793092305.A,FA263192305.A,FA263192305.A,FA263192305.A,FA143192305.A,FA143192305.A,FA793192305.A,FA263092305.A,FA263092305.A,FA263092305.A,FA153064105.A,FA103064103.A,FA103164105.A,FA313064105.A,FA213064103.A,FA383064105.A,FA103164105.A,FA793064105.A,FA793164105.A,FA263064105.A,FA263164100.A,FA893064105.A,FA893064105.A,FA103092105.A,FA103092105.A,FA793092105.A,FA263192101.A,FA263192101.A,FA263192101.A,FA143192105.A,FA143192105.A,FA793192105.A,FA263092101.A,FA263092101.A,FA263092101.A,FA153081115.A,FA143092405.A,FA112090205.A,FA313081115.A,FA383094905.A,FA112090205.A,FA793094905.A,FA793194905.A,FA313092803.A,FA893194905.A,FA893194905.A,FA153064205.A,FA103064203.A,FA213064203.A,FA383064205.A,FA793064205.A,FA653164205.A,FA263064203.A,FA653164205.A,FA653164205.A,FA153040005.A,FA313140003.A,FA153040005.A,FA313140003.A,FA793040005.A,FA543140005.A,FA543141905.A,FA263140005.A,FA893140005.A,FA893140005.A,FA153050005.A,FA153050005.A,FA543050005.A,FA583150005.A,FA543151905.A,FA263150005.A,FA893150005.A,FA893150005.A,FA163070005.A,FA163170005.A,FA143070005.A,FA143170005.A,FA313070000.A,FA313170005.A,FA213070003.A,FA213170003.A,FA383070005.A,FA383170005.A,FA793070005.A,FA793170005.A,FA263070005.A,FA263170005.A,FA893070005.A,FA893170005.A,FA903070005.A,FA143178005.A,FA313078000.A,FA213078005.A,FA383078005.A,FA143178005.A,FA793178005.A,FA893078005.A,FA893178005.A,FA903078005.A,FA153090005.A,FA543077073.A,FA143090005.A,FA143190005.A,FA313190005.A,FA213093003.A,FA223073045.A,FA383090005.A,FA383190005.A,FA793090005.A,FA793190005.A,FA263090005.A,FA263190005.A,FA893090005.A,FA893190005.A,FA903090005.A,FA157005005.A,FA107005005.A,FA317005005.A,FA217005005.A,FA387005005.A,FA797005005.A,FA267005005.A,FA897005005.A,FA907005005.A
1945,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946,38126,14019,1108,2612,55865,1523,-4917,52471,12997,11686,9952,1571,36206,291,36497,25129,2333,-8844,1041,19659,1232,-4917,15974,40079,8196,7388,1342,57005,1903,-4736,54172,-1701,23253,25128,3079,1699,53159,540,-0,53699,-1228,15862,15862,15862,6794,1161,258,119,8332,8332,597,18026,2821,1510,22954,540,23494,6011,6011,6011,0,-70,0,70,0,-0,16826,-16932,4309,-357,3846,1363,-4736,473,-473,23683,290,-15289,445,9128,3020,-1960,10188,6857,17222,-19598,802,5283,1657,2776,9716,623,0,623,0,-623,0,0,0,312,-611,-145,280,167,-331,-498,5202,1147,-22723,223,875,-15499,223,613,-14623,-397,-15283,-14400,883,6338,0,16,179,6533,-2,6535,4,6535,6535,365,35,-438,365,-38,365,24,24,-403,-14,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,14,5,-9,-3570,0,-5636,995,0,-24665,-757,69,-9963,-23601,-12425,573,-732,-92,-23120,-23120,32,42,0,32,42,210,216,16,0,258,258,-2606,-5729,-24462,-352,-8687,-24462,-15301,-474,-24462,-24462,32,0,0,-203,-100,-68,-203,160,295,0,92,92,-52,0,61,0,-305,69,-296,69,365,0,69,69,-944,0,953,0,0,-944,953,2141,62,-274,-92,923,923,2777,6625,622,6171,1963,1586,25,-21,5387,14361,10349,-1020,0,2395,15736,15736,-116,4483,4367,3202,-1155,-10,3202,3202,1255,-728,1,2309,1586,0,-21,3564,838,-186,135,0,2405,3378,3378,1522,4492,5,1687,-346,0,25,1206,6179,4973,6179,6179,0,2977,617,0,617,2977,2360,2977,2977,16,16,-7,9,9,9,-4,-4,3,-1,-1,-1,900,0,1018,0,0,900,1018,303,29,-64,92,1139,1139,195,195,26,221,221,221,-8,-8,5,-3,-3,-3,542,-39,542,257,760,542,22,-77,317,782,782,185,0,0,185,0,185,0,185,185,3800,1165,3800,1165,0,2635,0,0,3800,3800,6705,6705,0,6705,0,0,6705,6705,0,167,3763,7842,-800,-2013,123,146,3086,6142,117,15,1,-43,3204,6114,2910,-1958,5813,0,5813,-1958,14,5813,-1944,-7757,438,65,187,2623,3741,0,608,625,7037,3674,1260,0,0,4299,8297,3999,-1953,5823,-6280,1270,-1140,-380,-181,-1701,-1701
1947,34525,20027,11535,2256,68343,1346,-9289,60400,15600,14433,9512,1875,41420,365,41785,18925,5594,2023,381,26923,981,-9289,18615,38980,15827,21176,2534,78517,1519,-8658,71378,-10978,31588,25280,2796,2980,62644,621,-0,63265,-2865,20447,20447,20447,10394,1815,34,183,12426,12426,747,24105,2762,2707,30321,621,30942,-550,-550,-550,0,-90,0,90,0,-0,7392,-9453,18380,-446,15873,898,-8658,8113,-8113,16419,9539,17003,1811,44772,19745,-2061,62456,9027,18992,-1377,2257,28899,18847,6597,54343,2162,0,2162,0,-2162,0,0,0,1823,2050,188,86,2011,2136,125,-105,2082,-552,0,741,2166,0,485,1275,-562,2089,1275,-814,3479,0,-9,159,3629,-16,3595,-18,3595,3595,144,-17,1576,144,1703,144,-251,28,1280,1452,1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2,0,0,82,2,-80,-2259,0,-354,2848,0,-9316,675,1611,-1938,-4857,-3193,404,657,-21,-4474,-4474,97,35,0,97,35,89,157,6,0,192,192,-2147,-488,-9279,711,-1924,-9279,-7955,600,-9279,-9279,55,0,0,-37,3,58,-37,21,116,0,79,79,641,0,37,0,-39,1611,639,1611,972,0,1611,1611,-808,0,2813,0,0,-808,2813,3680,131,51,-21,2923,2923,3371,8846,916,5805,3966,2908,25,19,8278,17578,13013,-389,0,4102,21291,21291,-18,3720,3702,3530,-447,275,3530,3530,2012,84,178,4059,2908,0,19,6071,3189,1003,58,0,3827,7074,7074,1359,5259,6,1907,-93,0,25,1297,7166,5869,7166,7166,0,3521,910,0,910,3521,2611,3521,3521,16,16,13,29,29,29,-27,-27,29,2,2,2,991,0,1093,0,0,991,1093,559,300,-151,6,1399,1399,711,711,9,720,720,720,28,28,-20,8,8,8,34,-20,34,291,305,34,26,-21,318,331,331,163,0,0,163,0,163,0,163,163,3150,605,3150,605,0,2545,0,0,3150,3150,7057,7057,0,7057,0,0,7057,7057,0,100,5286,4367,-100,-666,211,-132,5397,3669,100,15,-23,77,5474,3761,-1713,2186,9669,0,9669,2186,-109,9669,2077,-7592,394,81,919,2658,4948,0,759,1313,8446,7095,1923,0,0,8408,10369,1960,-4455,4200,-9641,-278,-10174,-173,-631,-10978,-10978
1948,43102,27469,9318,2656,82545,1896,-2417,82024,18750,17001,8368,2137,46256,428,46684,24352,10468,950,519,36289,1468,-2417,35340,47046,21224,17388,3258,88917,1733,-3092,87558,-5534,37442,35031,4411,4185,81069,705,-0,81774,250,22947,22947,22947,13381,2427,58,116,15982,15982,1114,27062,4353,3953,36482,705,37187,5658,5658,5658,0,-116,0,116,0,-0,9604,-13807,12977,-927,7848,1028,-3092,5784,-5784,18245,5421,12773,1514,37954,18841,-907,55888,8641,19228,-204,2441,30106,17813,2185,50104,1531,0,1531,0,-1531,0,0,0,2658,2626,187,71,2845,2697,-148,-2398,-43,1185,27,499,-757,27,-218,-847,481,-494,-820,-326,2201,0,6,271,2478,44,2543,21,2543,2543,-81,-41,270,-81,148,-81,33,35,227,181,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-6,0,0,4,-6,-10,-687,0,715,4294,0,-7310,604,1334,632,-1682,-1443,892,101,80,-710,-710,51,-6,0,51,-6,71,177,49,0,171,171,-849,562,-8157,387,100,-8157,-8357,100,-8157,-8157,-53,0,0,847,197,144,847,982,279,0,1126,1126,171,0,102,0,20,1334,293,1334,1041,0,1334,1334,44,0,4300,0,0,44,4300,4820,436,-48,80,4816,4816,2793,8510,921,3113,1363,2424,54,70,5131,14117,11267,1149,0,1132,16398,16398,5,697,702,1818,1078,38,1818,1818,1595,101,416,1317,2424,0,70,2912,3011,1264,71,0,1094,4176,4176,1198,5370,14,2000,46,0,54,1312,7370,6058,7370,7370,0,3034,907,0,907,3034,2127,3034,3034,10,10,18,28,28,28,-37,-37,44,7,7,7,833,0,1000,0,0,833,1000,346,100,-144,-65,1035,1035,685,685,8,693,693,693,66,66,-39,27,27,27,4760,2,4760,3,4765,4760,21,26,0,4786,4786,148,0,0,148,0,148,0,148,148,2843,213,2843,213,0,2630,0,0,2843,2843,7357,7357,0,7357,0,0,7357,7357,0,80,2116,2719,0,0,86,143,2202,2942,74,10,-56,19,2220,2971,751,775,8415,0,8415,775,147,8415,922,-7493,476,51,1057,2538,4523,0,894,1533,8006,6029,998,0,0,7562,9004,1443,-3944,6245,-8070,-602,-6372,163,675,-5534,-5534
1949,42098,28321,-1176,3224,72467,2263,-879,73851,20262,18499,7518,2176,48455,468,48923,21836,9822,-8694,1048,24012,1795,-879,24928,45820,22675,6231,4354,79080,1762,-881,79961,-6110,38945,24384,5918,5596,74843,747,-0,75590,-1739,25176,25176,25176,12451,2390,37,306,15184,15184,1318,24885,5881,5091,37175,747,37922,-2692,-2692,-2692,0,-199,0,199,0,-0,6875,-1709,313,-1242,4237,1015,-881,4371,-4371,14827,4073,7176,823,26899,15067,361,42327,7952,5783,6863,2065,22663,14052,1242,37957,164,0,164,0,-164,0,0,0,-4037,-3496,374,-101,-3663,-3597,66,-1779,914,339,9,246,-280,9,156,24,-211,-335,33,368,2594,0,65,152,2811,28,2981,142,2981,2981,-140,0,341,-140,201,-140,135,134,342,336,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-6,0,0,-9,-6,3,-1402,0,1962,2899,0,1114,379,986,939,4999,4204,379,226,-9,5369,5369,85,-4,0,85,-4,61,181,31,0,177,177,-24,1844,1025,66,1886,1025,-961,100,1025,1025,-66,0,0,89,0,-66,89,46,-109,0,-20,-20,-905,0,33,0,313,986,-559,986,1545,0,986,986,-407,0,2903,0,0,-407,2903,3513,307,95,-9,3201,3201,2236,7850,630,66,857,2503,81,-85,3804,10334,7829,937,0,362,11633,11633,16,-2026,-2010,-1066,971,-27,-1066,-1066,1511,563,210,740,2503,0,-85,2251,3191,1295,-34,0,389,3546,3546,725,4229,-6,1882,117,0,81,917,6111,5194,6111,6111,0,3042,636,0,636,3042,2406,3042,3042,14,14,12,26,26,26,-17,-17,29,12,12,12,530,0,1212,0,0,530,1212,994,300,-21,-9,1503,1503,617,617,17,634,634,634,63,63,-19,44,44,44,1348,3,1348,-24,1327,1348,26,5,0,1353,1353,275,0,0,275,0,275,0,275,275,2751,84,2751,84,0,2667,0,0,2751,2751,7904,7904,0,7904,0,0,7904,7904,0,33,-899,-2,0,0,-35,161,-934,192,71,15,-41,-3,-904,204,1108,-2302,5434,0,5434,-2302,213,5434,-2089,-7523,510,69,833,2516,3293,0,1003,1343,6881,5641,1710,0,0,6984,8591,1608,-3722,5646,-7407,-1130,-6613,501,2,-6110,-6110
1950,54350,27758,8415,3118,93641,1930,1843,97414,22768,19887,6879,2181,51715,505,52220,31582,7871,1536,937,41926,1425,1843,45194,57605,21982,17187,2252,99026,2842,3177,105045,-7631,50053,36064,5531,6194,97842,835,-0,98677,-1263,30690,30690,30690,17692,3052,45,315,21104,21104,1671,27511,5486,5610,40278,835,41113,5770,5770,5770,0,-269,0,269,0,-0,7552,-14082,11656,-3942,1184,2007,3177,6368,-6368,21294,18412,14913,1775,56393,29248,3939,89580,13742,32494,3257,5717,55210,27241,762,83213,-1743,0,-1743,0,1743,0,0,0,2218,2499,346,164,2564,2663,99,2561,1548,-238,38,469,4340,38,690,5413,47,5077,5451,374,2365,0,8,101,2474,42,2743,227,2743,2743,-267,47,-227,-267,-447,-267,203,-43,66,-244,-244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9,0,0,54,9,-45,554,0,3218,1669,0,-1431,693,4525,4465,4763,-118,781,1448,251,5795,5795,-122,45,0,-122,45,270,161,58,0,206,206,-1008,3173,-809,509,2674,-809,-4883,1400,-809,-809,92,0,0,-622,-100,-8,-622,-208,406,0,-216,-216,1741,0,167,0,284,4525,2192,4525,2333,0,4525,4525,-271,0,1624,0,0,-271,1624,2370,214,-10,251,2089,2089,1217,13572,1294,7485,955,1036,52,67,3518,22160,20470,1937,0,-109,23988,23988,142,4598,4740,5769,1285,-256,5769,5769,521,713,602,388,1036,0,67,909,2418,2308,652,0,147,3217,3217,696,8144,-1,2285,567,0,52,1314,10429,9115,10429,10429,0,4573,1295,0,1295,4573,3278,4573,4573,6,6,18,24,24,24,-69,-69,86,17,17,17,648,0,1288,0,0,648,1288,710,300,3,-227,1361,1361,579,579,18,597,597,597,149,149,-86,63,63,63,2027,3,2027,-40,1990,2027,58,21,0,2048,2048,211,0,0,211,0,211,0,211,211,2945,309,2945,309,0,2636,0,0,2945,2945,8430,8430,0,8430,0,0,8430,8430,0,67,11039,9231,400,1100,460,114,11899,10512,17,15,45,-4,11961,10523,-1438,7255,15798,0,15798,7255,160,15798,7415,-8383,602,103,678,3459,2472,0,1011,1280,7045,4868,2129,0,0,6148,9174,3025,-3255,5776,-8772,866,-5385,-912,-1334,-7631,-7631
1951,59702,31071,11859,4872,107504,2215,-877,108842,27249,22643,7358,2621,59871,574,60445,32453,8428,4501,2251,47633,1641,-877,48397,69213,9485,21138,5336,105172,1704,-785,106091,2751,47934,43534,12543,7310,111321,979,-0,112300,-3458,29961,29961,29961,16118,2543,108,546,19315,19315,1855,31353,12435,6492,52135,979,53114,9910,9910,9910,0,-272,0,272,0,-0,21279,-34049,8595,-1974,-6149,725,-785,-6209,6209,30043,8734,16359,1582,56718,34708,105,91531,8764,42782,7764,3556,62866,33983,890,97739,52,0,52,0,-52,0,0,0,2327,2085,474,-78,2801,2007,-794,4429,2143,119,73,414,7105,73,779,7678,-335,7549,7751,202,4970,0,88,152,5210,29,4951,-288,4951,4951,-222,34,-23,-222,-211,-222,43,37,17,-168,-168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,-6,0,0,108,-6,-114,-93,0,922,3356,5,33,709,2115,1543,5504,5234,1071,75,277,6852,6852,-53,62,0,-53,62,471,447,91,0,509,509,-603,783,170,480,660,170,-468,-22,170,170,-42,0,5,-137,200,163,-137,-62,238,0,101,101,275,0,192,0,29,2115,496,2115,1619,0,2115,2115,277,0,3294,0,0,277,3294,3674,386,6,277,3957,3957,385,8602,736,8366,1318,239,69,261,2508,17468,15027,-255,0,322,17535,17535,231,5023,5254,5076,-278,100,5076,5076,-549,123,723,690,239,0,261,141,1346,1450,23,0,222,1591,1591,934,6845,3,2620,628,0,69,1634,9465,7831,9465,9465,0,1403,733,0,733,1403,670,1403,1403,-2,-2,22,20,20,20,-22,-22,41,19,19,19,1354,0,2107,0,0,1354,2107,632,200,120,-201,2106,2106,467,467,21,488,488,488,105,105,-34,71,71,71,1617,5,1617,-56,1566,1617,106,55,0,1672,1672,266,0,0,266,0,266,0,266,266,2728,173,2728,173,0,2555,0,0,2728,2728,13803,13803,0,13803,0,0,13803,13803,0,83,3264,-53,900,1600,238,86,4402,1716,110,10,21,45,4533,1771,-2762,4476,13956,0,13956,4476,230,13956,4706,-9250,806,79,1165,22831,5868,0,1094,1971,29872,10270,1296,0,0,12241,31168,18927,-9511,21586,-9279,-464,2332,511,-92,2751,2751
1952,61444,33686,6107,5381,106617,2643,-590,108670,28323,23998,8267,2796,63384,625,64009,33121,9688,-2160,2584,43234,2018,-590,44662,75008,33766,15294,1537,125605,2538,-605,127537,-18867,47472,38049,17223,7650,110394,908,-0,111302,-2631,29407,29407,29407,16290,2568,75,601,19535,19535,1775,32219,17148,6797,57938,908,58846,3514,3514,3514,0,-252,0,252,0,-0,27536,-4283,-1929,-6114,15211,1630,-605,16236,-16236,39859,7515,11325,2625,61324,40484,823,102631,12323,11798,13254,8739,46113,38854,1428,86395,380,0,380,0,-380,0,0,0,-154,-76,144,-43,-10,-119,-109,2141,313,2371,103,323,5148,103,174,6482,250,5572,6585,1013,7474,0,73,85,7632,419,8192,141,8192,8192,-157,-16,24,-157,-149,-157,157,159,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,247,247,575,34,0,0,822,34,-788,6718,0,-932,4767,-3,5273,1422,6887,7205,16927,9935,428,242,27,17382,17382,105,62,0,105,62,297,356,16,0,418,418,1871,-1006,4892,1206,2071,4892,2631,190,4892,4892,-80,0,-3,381,166,83,381,355,57,0,438,438,5217,0,-31,0,50,6887,5236,6887,1651,0,6887,6887,-290,0,4705,0,0,-290,4705,5001,15,36,27,4747,4747,579,12148,1254,3964,1575,1050,103,322,3511,17484,15946,1448,0,525,19457,19457,-133,1175,1042,2830,1674,114,2830,2830,-87,218,723,1015,1050,0,322,928,2313,1570,-226,0,411,2498,2498,666,6891,4,2066,560,0,103,1333,8957,7624,8957,8957,0,5172,1250,0,1250,5172,3922,5172,5172,31,31,2,33,33,33,24,24,3,27,27,27,615,0,2320,0,0,615,2320,1578,95,255,33,2448,2448,779,779,40,819,819,819,78,78,27,105,105,105,2455,5,2455,0,2460,2455,60,65,0,2520,2520,505,0,0,505,0,505,0,505,505,2888,43,2888,43,0,2845,0,0,2888,2888,15747,15747,0,15747,0,0,15747,15747,0,99,4766,1342,951,75,74,490,5791,2006,98,60,39,28,5928,2094,-3834,-3156,5954,10,5964,-3156,339,5964,-2817,-8781,894,76,1315,3,6867,361,1040,2570,7986,11654,2501,0,0,14224,10487,-3737,-13564,-80,-9187,3844,-18988,106,15,-18867,-18867
1953,66698,34412,5112,6022,112244,2819,1321,116384,29530,25444,9250,2894,67117,666,67784,37168,8968,-4138,3128,45126,2153,1321,48600,77311,33810,14925,3528,129574,2977,121,132672,-16288,52023,40006,18671,8325,119023,1172,-0,120195,-3812,33115,33115,33115,16963,2736,233,508,20440,20440,1945,35650,18438,7488,63520,1172,64693,1948,1948,1948,0,-329,0,329,0,-0,25288,-6195,-3746,-4797,10551,1805,121,12477,-12477,38022,3628,9496,1644,52790,35834,1963,90587,12734,9823,13242,6441,42240,34029,1842,78111,-1161,0,-1161,0,1161,0,0,0,178,-36,-68,12,110,-24,-134,1284,-287,-1532,82,415,-120,82,-42,-291,-452,-614,-209,405,8235,0,-9,329,8555,73,9229,601,9229,9229,-191,39,-95,-191,-247,-191,125,138,-69,-122,-122,0,0,0,0,0,0,0,0,0,0,0,0,-72,-72,-72,-9,0,0,-144,-9,135,3512,0,1794,3586,-2,6822,902,5355,6206,15763,10457,1686,674,-112,17337,17337,9,71,0,9,71,277,307,92,0,378,378,451,1593,5195,804,2848,5195,1780,567,5195,5195,155,0,-2,1627,-84,69,1627,1562,4,0,1631,1631,2916,0,192,0,182,5355,3290,5355,2065,0,5355,5355,-10,0,3515,0,0,-10,3515,4773,1375,15,-112,4778,4778,1188,12563,388,1185,1656,728,83,-364,3315,14112,12337,306,0,1234,15652,15652,61,-1072,-1011,-902,224,-115,-902,-902,192,592,245,1261,728,0,-364,1453,1201,1179,82,0,1349,2632,2632,996,7818,2,2012,395,0,83,1476,9830,8354,9830,9830,0,4092,386,0,386,4092,3706,4092,4092,26,26,3,29,29,29,33,33,0,33,33,33,371,0,1766,0,0,371,1766,1944,433,-55,61,2260,2260,652,652,54,706,706,706,79,79,46,125,125,125,2832,7,2832,0,2839,2832,65,72,0,2904,2904,383,0,0,383,0,383,0,383,383,2982,74,2982,74,0,2908,0,0,2982,2982,16590,16590,0,16590,0,0,16590,16590,0,79,-450,89,-37,-175,4,518,-483,511,58,30,-56,-19,-481,522,1003,605,10676,-53,10623,605,469,10623,1074,-9549,836,92,1459,-352,5902,36,932,2331,6574,10654,2075,0,0,12985,8649,-4337,-10613,601,-9813,2494,-17330,-158,1200,-16288,-16288
