1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q2,65869,19363,8627,290,4590,0,16,16,0,26175,20602,5573,0,0,1111,1771,3926,400271,0,5198,917,185278,184325,953,60655,1049,59606,59606,6389,2997,138837,19322,0,119198,0,317
1960:Q3,66823,18725,8918,280,4609,0,4,4,0,26411,20740,5671,0,0,1115,1761,5000,403692,0,5219,873,186622,186230,392,60817,1150,59667,59667,6406,3078,140677,18685,0,121675,0,317
1960:Q4,65128,17804,7154,262,4596,0,37,37,0,26678,20878,5800,0,0,1194,1790,5613,408196,0,5242,844,189038,188350,688,61034,1252,59782,59782,6426,3359,142253,17767,0,124169,0,317
1961:Q1,61763,17433,5382,300,4619,13,36,36,0,27299,21414,5885,0,0,1194,1792,3696,408589,0,5253,803,186622,185688,934,61519,1306,60213,60213,6447,3444,144501,17388,0,126796,0,317
1961:Q2,63209,17603,7457,288,4842,93,13,13,0,27148,21171,5977,0,0,1198,1749,2818,411770,0,5281,774,186650,185994,656,62382,1360,61022,61022,6469,3211,147003,17550,0,129136,0,317
1961:Q3,68395,17457,9428,300,5236,31,37,37,0,27884,21776,6108,0,0,1187,1798,5037,419748,0,5406,743,191477,191041,436,62792,1417,61375,61375,6493,3365,149472,17376,0,131779,0,317
1961:Q4,67725,16947,7055,284,4996,58,35,35,0,28340,22091,6249,0,0,1359,1776,6875,426102,0,5429,720,195201,194206,995,62975,1474,61501,61501,6519,3618,151640,16889,0,134434,0,317
1962:Q1,67150,16643,7435,290,4785,115,38,38,0,29037,22737,6300,0,0,1360,1780,5667,429088,0,5432,677,195596,194302,1294,63336,1554,61782,61782,6548,3410,154089,16608,0,137260,0,221
1962:Q2,70408,16527,10910,300,4696,277,8,8,0,29620,23325,6295,0,0,1362,1821,4887,432180,0,5442,648,195356,194009,1347,64281,1635,62646,62646,6579,3465,156409,16435,0,139760,0,214
1962:Q3,69579,16082,9864,270,4473,225,5,5,0,29762,23468,6294,0,0,1351,1886,5661,435291,0,5394,620,195649,194901,748,64494,1683,62811,62811,6612,3634,158888,16067,0,142607,0,214
1962:Q4,69819,16057,8098,269,4527,50,0,0,0,30323,24002,6321,0,0,1475,2005,7016,444371,0,5411,601,201292,199754,1538,64752,1734,63018,63018,6644,4051,161620,15978,0,145428,0,214
1963:Q1,69983,15946,8646,260,4627,66,10,10,0,31006,24734,6272,0,0,1477,2292,5653,447909,0,5422,575,201566,199827,1739,65204,1759,63445,63445,6677,3964,164501,15878,0,148409,0,214
1963:Q2,74149,15830,12595,254,4914,63,59,59,0,31116,25187,5929,0,0,1486,2545,5287,450702,0,5431,551,200583,199094,1489,66740,1786,64954,64954,6711,3758,166928,15733,0,151016,0,179
1963:Q3,73114,15634,10100,250,4901,77,41,41,0,31288,25421,5867,0,0,1473,2500,6850,453474,0,5432,523,200269,199333,936,66842,1790,65052,65052,6744,3925,169739,15582,0,153978,0,179
1963:Q4,72986,15596,7671,260,4933,106,29,29,0,31848,25926,5922,0,0,1482,2490,8571,460745,0,5422,508,203578,202211,1367,67430,1796,65634,65634,6775,4381,172651,15513,0,156959,0,179
1964:Q1,73481,15550,9058,260,4689,220,21,21,0,32554,26620,5934,0,0,1468,2553,7108,463968,0,5423,491,203756,202520,1236,67502,1793,65709,65709,6803,4268,175725,15461,0,160085,0,179
1964:Q2,75568,15623,11686,257,4552,91,14,14,0,33196,27319,5877,0,0,1519,2573,6057,465938,0,5422,473,202169,200805,1364,68638,1787,66851,66851,6827,3914,178495,15461,0,162914,0,120
1964:Q3,76449,15643,10996,240,4377,114,20,20,0,33987,28113,5874,0,0,1475,2675,6923,472080,0,5397,455,204678,203501,1177,69018,1805,67213,67213,6851,4088,181593,15463,0,166010,0,120
1964:Q4,75910,15471,8165,272,4647,216,12,12,0,34633,28760,5873,0,0,1529,2734,8231,480042,0,5249,436,208989,206767,2222,69320,1826,67494,67494,6879,4476,184693,15388,0,169185,0,120
1965:Q1,76519,14638,10202,260,4390,245,18,18,0,35386,29547,5839,0,0,1529,2770,7081,482523,0,5234,411,208482,206174,2308,69772,1850,67922,67922,6910,4483,187231,14563,0,172547,0,121
