1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q2,243903,0,0,0,0,0,0,23603,0,220300,243903
1968:Q3,248236,0,0,0,0,0,0,23594,0,224642,248236
1968:Q4,252645,0,0,0,0,0,0,23628,0,229017,252645
1969:Q1,257285,0,0,0,0,0,0,23755,0,233530,257285
1969:Q2,262513,0,0,0,0,0,0,24871,0,237642,262513
1969:Q3,267237,0,0,0,0,0,0,25176,0,242061,267237
1969:Q4,271799,0,0,0,0,0,0,25147,0,246652,271799
1970:Q1,279893,0,0,0,0,0,0,25185,0,254708,279893
1970:Q2,288688,0,0,0,0,0,0,26910,0,261778,288688
1970:Q3,296707,0,0,0,0,0,0,27046,0,269661,296707
1970:Q4,304735,0,0,0,0,0,0,27528,0,277207,304735
1971:Q1,311605,0,0,0,0,0,0,27726,0,283879,311605
1971:Q2,319154,0,0,0,0,0,0,29583,0,289571,319154
1971:Q3,325869,0,0,0,0,0,0,29814,0,296055,325869
1971:Q4,332737,0,0,0,0,0,0,30371,0,302366,332737
1972:Q1,339969,0,0,0,0,0,0,30289,0,309680,339969
1972:Q2,348063,0,0,0,0,0,0,32423,0,315640,348063
1972:Q3,355275,0,0,0,0,0,0,32693,0,322582,355275
1972:Q4,362527,0,0,0,0,0,0,33364,0,329163,362527
1973:Q1,370015,0,0,0,0,0,0,33182,0,336833,370015
1973:Q2,378389,0,0,0,0,0,0,35497,0,342892,378389
1973:Q3,385785,0,0,0,0,0,0,35193,0,350592,385785
1973:Q4,393345,0,0,0,0,0,0,35499,0,357846,393345
1974:Q1,401040,0,0,0,0,0,0,35113,0,365927,401040
1974:Q2,409725,0,0,0,0,0,0,38912,0,370813,409725
1974:Q3,417229,0,1501,1501,0,0,0,36625,0,379103,417229
1974:Q4,424887,0,1501,1501,0,0,0,36737,0,386649,424887
1975:Q1,432693,0,0,0,0,0,0,37947,0,394746,432693
1975:Q2,441436,0,0,0,0,0,0,43043,0,398393,441436
1975:Q3,448949,0,0,0,0,0,0,41962,0,406987,448949
1975:Q4,456667,0,38,38,0,0,0,42023,0,414606,456667
1976:Q1,464733,0,74,74,0,0,0,41249,0,423410,464733
1976:Q2,473875,0,96,96,0,0,0,47585,0,426194,473875
1976:Q3,481543,0,124,124,0,0,0,46188,0,435231,481543
1976:Q4,489683,0,142,142,0,0,0,46515,0,443026,489683
1977:Q1,497878,0,152,152,0,0,0,45314,0,452412,497878
1977:Q2,507353,0,6,6,0,0,0,46922,0,460425,507353
1977:Q3,515508,0,38,38,0,0,0,53064,0,462406,515508
1977:Q4,523876,0,55,55,0,0,0,53177,0,470644,523876
1978:Q1,533932,0,66,66,0,0,0,51900,0,481966,533932
1978:Q2,545290,0,84,84,0,0,0,53341,0,491865,545290
1978:Q3,555049,0,117,117,0,0,0,59536,0,495396,555049
1978:Q4,565382,0,140,140,0,0,0,60119,0,505123,565382
1979:Q1,575627,0,156,156,0,0,0,58395,0,517076,575627
1979:Q2,587240,0,186,186,0,0,0,59860,0,527194,587240
1979:Q3,597479,0,226,226,0,0,0,67381,0,529872,597479
1979:Q4,608234,0,5,5,0,0,0,68254,0,539975,608234
1980:Q1,618716,0,27,27,0,0,0,66134,0,552555,618716
1980:Q2,630414,0,56,56,0,0,0,67302,0,563056,630414
1980:Q3,640793,0,78,78,0,0,0,76846,0,563869,640793
1980:Q4,651608,0,104,104,0,0,0,77079,0,574425,651608
1981:Q1,662423,0,138,138,0,0,0,74301,0,587984,662423
1981:Q2,674606,0,211,211,0,0,0,75442,0,598953,674606
1981:Q3,685301,0,0,0,0,0,0,86895,0,598406,685301
1981:Q4,696166,0,0,0,0,0,0,87179,0,608987,696166
1982:Q1,707713,0,0,0,0,0,0,84313,0,623400,707713
1982:Q2,720710,0,0,0,0,0,0,86345,0,634365,720710
1982:Q3,732210,0,0,0,0,0,0,98516,0,633694,732210
1982:Q4,743577,0,0,0,0,0,0,99245,0,644332,743577
1983:Q1,755838,0,0,0,0,0,0,96374,0,659464,755838
1983:Q2,769038,0,0,0,0,0,0,98735,0,670303,769038
1983:Q3,780817,0,0,0,0,0,0,111500,0,669317,780817
1983:Q4,793574,0,0,0,0,0,0,113787,0,679787,793574
1984:Q1,807810,0,0,0,0,0,0,111640,0,696170,807810
1984:Q2,822769,0,0,0,0,0,0,115547,0,707222,822769
1984:Q3,836275,0,0,0,0,0,0,128964,0,707311,836275
1984:Q4,849675,0,0,0,0,0,0,132262,0,717413,849675
1985:Q1,865223,0,0,0,0,0,0,140863,0,724360,865223
1985:Q2,879934,0,0,0,0,0,0,144839,0,735095,879934
1985:Q3,894633,0,0,0,0,0,0,158741,0,735892,894633
1985:Q4,909235,0,14194,14194,0,0,0,157936,0,737105,909235
1986:Q1,927434,0,14169,14169,0,0,0,155533,0,757732,927434
1986:Q2,945014,0,0,0,0,0,0,175169,0,769845,945014
1986:Q3,962531,0,15000,15000,0,0,0,171641,0,775890,962531
1986:Q4,979912,0,15000,15000,0,0,0,186682,0,778230,979912
1987:Q1,995290,0,15000,15000,0,0,0,183583,0,796707,995290
1987:Q2,1010559,0,15000,15000,0,0,0,189244,0,806315,1010559
1987:Q3,1025721,0,15000,15000,0,0,0,202841,0,807880,1025721
1987:Q4,1040961,0,14845,14845,0,0,0,217105,0,809011,1040961
1988:Q1,1056776,0,14845,14845,0,0,0,213114,0,828817,1056776
1988:Q2,1072648,0,15000,15000,0,0,0,219929,0,837719,1072648
1988:Q3,1088330,0,15000,15000,0,0,0,233193,0,840137,1088330
1988:Q4,1103808,0,14845,14845,0,0,0,249885,0,839078,1103808
1989:Q1,1119963,0,14845,14845,0,0,0,245331,0,859787,1119963
1989:Q2,1136509,0,15000,15000,0,0,0,253190,0,868319,1136509
1989:Q3,1152627,0,15000,15000,0,0,0,266179,0,871448,1152627
1989:Q4,1168779,0,15000,15000,0,0,0,284287,0,869492,1168779
1990:Q1,1185070,0,15000,15000,0,0,0,279038,0,891032,1185070
1990:Q2,1201377,0,15000,15000,0,0,0,286075,0,900302,1201377
1990:Q3,1217694,0,15000,15000,0,0,0,299748,0,902946,1217694
1990:Q4,1233878,0,15000,15000,0,0,0,317641,0,901237,1233878
1991:Q1,1250881,0,15000,15000,0,0,0,311631,0,924250,1250881
1991:Q2,1268136,0,15000,15000,0,0,0,321001,0,932135,1268136
1991:Q3,1285334,0,15000,15000,0,0,0,335634,0,934700,1285334
1991:Q4,1302248,0,15000,15000,0,0,0,355999,0,931249,1302248
1992:Q1,1320116,0,15000,15000,0,0,0,349685,0,955431,1320116
1992:Q2,1338149,0,15000,15000,0,0,0,359374,0,963775,1338149
1992:Q3,1356103,0,15000,15000,0,0,0,374902,0,966201,1356103
1992:Q4,1373691,0,15000,15000,0,0,0,395786,0,962905,1373691
1993:Q1,1390640,0,15000,15000,0,0,0,387820,0,987820,1390640
1993:Q2,1407555,0,15000,15000,0,0,0,397383,0,995172,1407555
1993:Q3,1424385,0,15000,15000,0,0,0,412230,0,997155,1424385
1993:Q4,1440962,0,15000,15000,0,0,0,432864,0,993098,1440962
1994:Q1,1457905,0,15000,15000,0,0,0,424948,0,1017957,1457905
1994:Q2,1474663,0,15000,15000,0,0,0,434373,0,1025290,1474663
1994:Q3,1491899,0,15000,15000,0,0,0,448883,0,1028016,1491899
1994:Q4,1508641,0,15000,15000,0,0,0,470506,0,1023135,1508641
1995:Q1,1525918,0,15000,15000,0,0,0,461892,0,1049026,1525918
1995:Q2,1543681,0,15000,15000,0,0,0,471918,0,1056763,1543681
1995:Q3,1561488,0,15000,15000,0,0,0,486617,0,1059871,1561488
1995:Q4,1578603,0,15000,15000,0,0,0,491332,0,1072271,1578603
1996:Q1,1595963,0,15000,15000,0,0,0,495850,0,1085113,1595963
1996:Q2,1613685,0,15000,15000,0,0,0,507650,0,1091035,1613685
1996:Q3,1631006,0,15000,15000,0,0,0,520788,0,1095218,1631006
1996:Q4,1648058,0,15000,15000,0,0,0,546392,0,1086666,1648058
