1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q2,8786,5161,2717,96644,15726,970,-2337,6599,31017,-1345,3997,25466,-5371,8270,43079,10908,-1928,22201,11898,79,596,254,207,0,0,454,93927,97884,6629,48202,21271,12964,723,-1169,1892,7776,84,283,-48,515,-563,-3957,325,185,2264,-6731,909,0,ND
1986:Q3,7902,5373,1663,129214,44176,388,1716,-9137,48453,-1486,3977,23855,8908,13199,36888,-1022,1184,26683,10043,82,869,-402,311,0,0,5870,127551,117494,37375,3608,47036,10243,4632,2153,2479,4376,146,294,9784,-524,10308,10057,350,556,3535,5616,867,0,ND
1986:Q4,6652,5512,5319,197416,54063,3043,1913,7933,23694,3018,2711,24827,-14408,7546,101341,56626,-2500,35680,11535,7,450,-2151,333,0,0,6790,192097,184532,36856,82690,45205,18948,-2162,-3137,975,9849,23,-362,-6515,1110,-7625,7565,350,251,4591,2373,-4179,0,ND
1987:Q1,6358,5012,3773,-11751,-28465,-3159,-1763,1237,9946,-452,2953,14314,-10944,4075,-19128,-25462,750,19046,-13462,40,819,353,677,0,0,27692,-15525,-20652,2694,-69698,11138,4891,3631,329,3302,-1711,256,-104,28252,1681,26571,5127,369,143,4095,520,-2428,0,ND
1987:Q2,7512,5162,29341,107213,29701,1457,-3864,-1397,26239,-2023,1822,23798,-6974,9616,64870,6305,4172,44013,10380,86,337,-983,442,0,0,-9675,77872,84653,18137,41405,36462,3518,3977,4259,-282,8355,-110,-1858,-25233,-1585,-23648,-6781,373,-456,-10257,3559,-26991,0,ND
1987:Q3,8386,5522,-9752,87430,8409,472,-3200,-8439,23423,-1845,8270,15063,-5458,7393,60032,8711,-1107,41161,11267,51,137,264,329,0,0,5951,97182,89586,33850,-2224,35556,6728,-1484,-2326,842,5951,503,-187,10893,1255,9638,7596,373,428,4869,1926,12617,0,ND
1987:Q4,9137,5987,1866,111073,17615,436,2224,-2007,28116,5644,-3696,19586,-5761,12343,73927,10916,1611,49307,12093,68,24,-1090,521,-48,0,-8712,109207,105475,15230,17760,68434,575,4501,3314,1187,13191,352,-286,-14282,2277,-16559,3732,374,543,1597,1218,1284,0,ND
1988:Q1,6053,5255,-7396,38891,-8560,-1748,4193,12337,1812,-3473,-799,2647,-7266,10703,31504,3543,-5046,33518,-511,136,724,349,646,-118,0,-2384,46288,40549,-16304,-17962,53513,21967,-5456,-5325,-131,-3603,59,-496,8831,148,8683,5739,167,1109,-185,4648,8195,0,ND
1988:Q2,7685,5974,-9734,118404,13463,2455,-4276,-2225,16287,-301,-5709,13877,-5280,13700,74832,22084,986,39999,11763,47,505,-404,341,-79,0,17457,128138,117089,28551,27884,32614,8238,1922,615,1307,5295,35,-653,13203,1365,11838,11049,-48,227,6645,4225,11445,0,ND
1988:Q3,8016,6541,7122,111942,37336,-3472,-562,-1314,16113,1327,-1484,14919,-2796,4147,60902,138,-300,48112,12952,3,460,-80,418,-123,0,2261,104820,94743,24989,-11796,53659,8446,17,-193,210,6569,46,354,12459,2415,10044,10077,1705,-145,5860,2657,-5647,0,ND
