date,FU106902501.A,FU106300003.A,FU106902605.A,FU106025005.A,FU106020001.A,FU106401001.A,FU106240101.A,FU106402101.A,FU106140005.A,FU106402101.A,FU106150105.A,FU106130101.A,FU106121101.A,FU103092201.A,FU106150005.A,FU106130001.A,FU106121001.A,FU103192201.A,FU106112001.A,FU106140005.A,FU106220001.A,FU106403001.A,FU106012095.A,FU106012095.A,FU106006385.A,FU106012095.A,FU105440005.A,FU105050985.A,FU105019085.A,FU106300003.A,FU105420095.A,FU105020005.A,FU105000905.A,FU105000905.A,FU104090005.A,FU104000005.A,FU103020005.A,FU103030003.A,FU103091003.A,FU104022005.A,FU103069100.A,FU103061103.A,FU103061703.A,FU103062003.A,FU123063003.A,FU104035005.A,FU104041005.A,FU104042005.A,FU103081005.A,FU103034000.A,FU103064103.A,FU103064203.A,FU103092105.A,FU103092405.A,FU103076005.A,FU103096005.A,FU103070005.A,FU103072005.A,FU103094705.A,FU103093005.A,FU104194005.A,FU104122005.A,FU103169100.A,FU103162000.A,FU103163005.A,FU104135005.A,FU104141005.A,FU103168005.A,FU103169005.A,FU104142005.A,FU103165005.A,FU103192305.A,FU103181005.A,FU103164105.A,FU103192105.A,FU103152025.A,FU573074005.A,FU573073005.A,FU103196005.A,FU103170005.A,FU103178005.A,FU103193005.A,FU105000005.A,FV108090105.A,FV102010005.A,FV108090085.A,FU107005045.A,FU105020601.A,FR102010005.A,FR105035005.A,FR105015205.A,FR105013765.A,FR105020015.A,FR104090005.A,FR104022005.A,FR103092305.A,FR103064103.A,FR103064203.A,FR103092105.A,FR103093005.A,FR104194005.A,FR103192305.A,FR103164105.A,FR103192105.A,FR103152025.A,FR103193005.A,FR102090095.A,FC102090095.A,FL102000005.A,LM102010005.A,LM105035005.A,LM105015205.A,LM105013765.A,LM105020015.A,FL104090005.A,FL104000005.A,FL103020005.A,FL103030003.A,FL103091003.A,LM104022005.A,FL103069100.A,LM103061103.A,LM103061703.A,LM103062003.A,LM123063003.A,FL104035005.A,FL104041005.A,FL102051003.A,FL103066005.A,FL104042005.A,FL103065005.A,FL103092305.A,FL103081005.A,FL103034000.A,LM103064103.A,LM103064203.A,LM103092105.A,FL103092405.A,FL103076005.A,FL103096005.A,FL103070005.A,FL103072005.A,FL103094705.A,FL103093005.A,FL102100085.A,FL104194005.A,FL104122005.A,FL103169100.A,FL103162000.A,FL103163005.A,FL104135005.A,FL104141005.A,FL103168005.A,FL103169005.A,FL104142005.A,FL103165005.A,LM103192305.A,FL103181005.A,LM103164105.A,FL103192105.A,FL103152025.A,FL573074005.A,FL573073005.A,FL103196005.A,FL103170005.A,FL103178005.A,FL103193005.A,FL102090095.A
2008,7327703,1108750,6218954,4364267,3624655,739612,637442,1217245,572398,1217245,613293,293484,108064,211745,1258141,593201,599233,39778,25929,572398,207206,46320,318873,318873,322558,318873,-3685,305950,1422602,1108750,17901,-25803,16608,16608,-331187,-267239,-132246,-109447,-25546,-25205,-12176,-7864,-2621,-3024,480,-36176,-3352,-32824,700330,233357,201760,-16512,281813,-88,10908,-713805,-168242,0,-1062,-544501,152032,196982,7663,64883,124436,109592,132691,64718,67973,-23099,-47286,24187,-253881,-428240,174359,117601,14738,102863,-18262,-229921,3126,208534,-483219,-643921,-23692,-155233,499826,-34830,-1102200,-1139597,83283,13067,-58953,-2540996,-257,17487,-443387,-55183,-2059912,257,-6034128,14377,-5446744,-1193160,591401,-0,2390931,2069568,29763162,16657548,9394401,3825487,1631698,1805962,13105614,355950,179358,151888,24704,126993,57286,30455,10152,26164,2936,240805,54120,7178,46942,186685,45120,141565,4075995,798998,791594,106333,2378648,422,310921,7994950,2093967,0,80453,5820530,29763162,27317726,3662283,131477,440294,3090512,3679358,2187222,803307,1383914,1492136,1069415,422721,12790567,11049169,1741398,771547,84024,687523,6413971,1668971,38954,4706046,2445436
2009,6904035,1114626,5789409,4094885,3382810,712076,608503,1086020,603014,1086020,556942,206914,139031,210997,1039948,490232,506824,24684,18209,603014,161436,60532,381046,381046,342747,381046,38298,-36727,1201470,1114626,6611,-130181,379474,379474,237406,268383,184646,76913,6824,17690,-1299,12509,4169,937,1374,33637,-3047,36684,93710,-73929,-99497,35268,231847,21,-3967,-172047,-29516,0,-9275,-133256,-253121,179135,-73067,37421,214781,-504877,-399265,-238271,-160994,-105612,-93942,-11670,35121,-89082,124203,29676,-8605,38281,7824,-86928,-3254,98006,490527,143561,-6610,41735,-111053,2617,-2631148,-2626737,-31416,-1932,28938,930499,730,2081,171056,20438,736924,-730,2768266,-5535,2719611,301315,-247123,0,-4468915,-3982607,28236942,13963423,6826243,3765496,1669582,1702103,14273519,624333,364004,228801,31528,145413,55987,42964,14321,27101,5040,276522,51072,7852,43220,225450,45067,180383,5036240,725069,863153,162039,3285535,444,306954,7884058,2064452,0,71178,5748428,28236942,29774113,3841418,58410,477715,3305293,3084600,1703613,565036,1138577,1380987,975471,405516,15800558,13679698,2120860,541398,75419,465979,6506139,1582043,35700,4888396,-1537171
2010,7287190,1123495,6163695,4166597,3452257,714341,638214,1358883,882410,1358883,573128,172315,134462,266351,1049601,456863,516629,56680,19429,882410,203784,71808,606818,606818,585901,606818,20917,180913,1251051,1123495,-1080,54437,404988,404988,554561,145313,125671,6439,13203,-5264,-12476,6867,1974,-1866,237,-37522,-2647,-34875,118295,-169929,-51450,7284,332268,122,11603,322136,141836,0,28264,152036,289107,247131,24518,33299,189314,-308184,-195489,-86619,-108870,-112695,-104836,-7859,-8807,-179008,170201,-5474,15383,-20857,364441,156864,42698,164879,265454,-2086592,1079,-1995730,139534,-47593,845503,744402,21271,23566,56262,270883,-3273,4575,105506,15646,148549,-120,2057029,8643,2064943,163226,-179782,-0,-940643,-2441334,28282506,15077107,7631731,3844060,1740922,1860394,13205399,788906,489675,235240,63991,216876,123511,48024,16008,23935,5398,261576,66426,22034,44392,195150,43864,151286,5361823,555140,917209,184969,3703940,565,318558,6257660,2202562,0,62334,3992764,28282506,32261011,4088549,82928,511014,3494607,2736816,1443134,496741,946393,1293682,887382,406300,17988844,15565633,2423211,527980,90802,437178,6918822,1738907,78398,5101517,-3978506
2011,7661063,1173463,6487600,4372725,3630646,742079,670849,1444027,889297,1444027,545374,172844,94854,277676,1100103,452485,555685,69774,22160,889297,209219,79885,600193,600193,606621,600193,-6428,257975,1390984,1173463,-1014,41468,348646,348646,376702,41780,93132,-39889,-11463,-13931,93,-7801,-2161,-3410,-652,21927,1498,20429,352011,-39310,23399,-14048,382009,-39,12218,-37303,86838,0,12634,-136775,497676,215301,33379,8533,173389,161919,204968,145301,59667,-43049,-78374,35325,-181239,-345302,164063,-1039,2960,-3999,302733,23705,13347,265681,-120974,-410738,1015,-10142,469620,-68008,562482,440684,59778,31071,30951,-575681,5048,-9617,-53,-5923,-565074,-62,234715,-12433,378503,-130743,-612,1,-247914,-52030,28990368,15983948,8128479,4023175,1831473,2000821,13006420,830686,582807,195351,52528,207993,123604,42968,14323,22291,4807,273885,67923,22906,45017,205962,46182,159780,5174892,515830,940555,164998,3552983,526,330775,6188189,2289401,0,74968,3823820,28990368,33020904,4303850,116307,519547,3667996,2885419,1647220,641161,1006059,1238199,809007,429192,18017949,15598834,2419115,591248,93762,497486,7222438,1762612,91745,5368081,-4030536
2012,8110944,1234809,6876136,4608338,3839249,769089,695083,1572716,911923,1572716,527999,159027,106972,262000,1188792,444225,646862,74985,22719,911923,245804,82372,583748,583748,600745,583748,-16997,382028,1543062,1234809,247,73527,218717,218717,321405,58708,43884,13731,1093,-16163,-11472,-2799,-1334,-174,-384,9661,-5423,15084,259220,-10918,-26334,-6128,302574,26,7761,2218,55424,0,3919,-57125,769775,410589,14022,13507,383060,36518,122985,103979,19006,-86467,-89167,2700,-93343,-280491,187148,-1567,-12321,10754,417578,68072,1357,348149,-448370,-735188,-7338,-72212,667087,-11449,385253,334434,19409,17962,13449,450506,411,22687,125889,19110,282598,-188,2135367,-24674,2145119,195020,-180098,-0,-1299607,-1434050,30528467,16750136,8543871,4199753,1907266,2099247,13778331,889394,626691,209082,53621,192241,112132,39437,13146,22915,4611,306232,62499,18273,44226,243733,45944,197789,5848441,504912,1040110,177980,4124887,552,338536,6203487,2344826,0,78887,3779774,30528467,35993054,4714439,130329,533054,4051056,2864459,1737401,726567,1010834,1127058,719840,407218,20282738,17486791,2795947,458599,81441,377158,7672819,1830684,93102,5749033,-5464586
2013,8417763,1282795,7134968,4773789,3971082,802707,726674,1634506,1000162,1634506,536968,147173,100632,289163,1171313,427048,650726,72077,21462,1000162,263956,84166,652040,652040,657751,652040,-5712,393377,1590871,1282795,1376,83925,264374,264374,727804,152072,44367,39155,68550,-3485,-5628,1674,277,-222,414,-727,-1741,1014,343337,30580,10670,2236,299807,44,-5915,242522,271819,0,14086,-43383,796740,308427,14182,2104,292141,173543,139126,52261,86865,34417,22457,11960,-79273,-255054,175781,122719,-2472,125191,271324,100522,-9911,180713,-68936,-816101,-1376,-467521,333310,13894,1149449,1096787,-25783,42841,35605,935198,-4572,-1045,308981,27868,603690,276,5820350,-219,5454514,691444,-325390,-0,-3735703,-3894052,33706121,18264788,9724684,4321474,2013748,2204882,15441333,1041466,671058,248237,122171,184184,106504,38822,12941,21167,4750,279460,60758,22643,38115,218702,49908,168794,7215009,535492,1359761,208084,5111076,596,332621,6388593,2616645,0,92973,3678975,33706121,43064760,5022866,144511,535158,4343197,3026322,1865066,778769,1086297,1161256,742297,418959,26389695,22686251,3703444,670272,78969,591303,7955605,1931206,83191,5941208,-9358638
2014,8851699,1352680,7499019,5032918,4202501,830417,754668,1711433,981983,1711433,536994,147530,103029,286435,1266444,435851,729399,78860,22334,981983,290629,82241,609113,609113,615788,609113,-6675,491176,1767576,1352680,1587,74693,124612,124612,686147,22850,119720,-87561,-9309,26055,25085,1579,638,-1629,382,24587,27357,-2770,407759,21859,37338,23784,324646,132,10233,194663,104130,0,15781,74752,1091744,350643,37501,59,313083,249617,190259,107957,82302,59358,4145,55213,-165439,-295672,130233,39594,-2865,42459,617329,148547,12218,456564,-405598,-559102,-1589,-25473,530210,1830,742168,757020,-17509,20562,-17907,-72641,3375,6617,156652,8546,-247732,-98,3026858,-8284,2933045,255217,-153119,-0,-2357331,-2300645,35548002,19488483,10615169,4497223,2116253,2259838,16059519,1064316,790778,160676,112862,213614,131589,41679,13893,21223,5230,360666,88117,50432,37685,272549,54461,218088,7424550,557351,1553751,240414,5072306,728,342854,6653519,2720773,0,108754,3823992,35548002,47207285,5373959,182012,535217,4656730,3267548,2055217,886619,1168598,1212331,746443,465888,29403462,25323624,4079838,579526,76104,503422,8582790,2079753,95409,6407628,-11659284
2015,9222330,1408263,7814067,5303853,4439667,864186,771216,1738998,926529,1738998,543695,150800,125542,267353,1356164,457522,809199,71629,17815,926529,283948,99763,542818,542818,546059,542818,-3241,542704,1801854,1408263,29472,119642,3355,3355,1143274,38992,47098,10899,-19005,3616,7807,-3770,-1303,1002,-120,26526,13569,12957,258791,19010,-42105,12004,269803,79,2305,813044,33423,0,2207,777414,1287146,444766,-2995,13892,433869,237295,102918,110398,-7480,134377,94362,40015,-130529,-506179,375650,74604,15162,59442,661011,24341,-21203,657873,-143873,-256558,-29470,-21949,147228,57911,467308,591931,-65483,-8050,-51088,-466659,-857,3714,-11711,-6436,-451668,300,-606626,1964,-479022,-173111,43543,0,607276,896777,37122462,20386328,11315644,4615911,2184292,2270481,16736134,1103308,837876,171575,93857,216373,139396,37425,12475,22267,4810,390903,101683,64591,37092,289220,78086,211134,7292745,576361,1499935,245982,4969661,806,345159,7387646,2754199,0,111317,4522130,37122462,47884969,5818725,179017,549109,5090599,3471415,2116465,985215,1131250,1354950,847083,507867,28616088,24338423,4277665,699549,91266,608283,9279192,2104094,74206,7100892,-10762507
2016,9346389,1441019,7905370,5448417,4574390,874027,785159,1671794,800094,1671794,520567,151402,102460,266705,1392267,479690,831987,64993,15597,800094,262059,73341,464694,464694,462060,464694,2634,429640,1826792,1441019,7263,36604,32420,32420,960331,178164,156970,17464,3730,-3761,-6866,4155,1295,-2698,353,-14097,26794,-40891,222126,-112514,66942,-5760,273362,96,6562,571337,198835,0,-13146,385648,1073532,317713,1766,22532,293415,-25271,-35750,-13581,-22169,10479,12780,-2301,-28455,-441711,413256,64607,8824,55783,744938,184231,-8093,568800,-113201,-265897,-7263,-107786,145621,5227,667227,610659,-28791,30003,55355,183981,-685,-14565,146064,13159,40078,-70,2066429,-38326,1949749,297277,-142271,-0,-1215221,-1019058,39320897,21445035,12028416,4734456,2324950,2357213,17875862,1281472,994846,189039,97587,211927,132530,41185,13728,19251,5233,357660,128480,90280,38200,229180,50663,178517,7699152,463847,1712941,253381,5268081,902,351720,7973931,2953031,0,98171,4922729,39320897,51102462,6136438,180783,571641,5384014,3403233,2080714,971634,1109080,1322519,855279,467240,30852475,25846461,5006014,681601,100090,581511,10028716,2288325,66113,7674278,-11781565
2017,9771449,1509413,8262036,5727599,4804918,922681,825906,1708532,833679,1708532,595780,166434,102041,327305,1470634,501609,871619,80618,16788,833679,213815,92900,526964,526964,326139,526964,200825,441900,1919802,1509413,167,31344,-115760,-115760,578847,66840,-44397,-7726,118963,30816,-8803,30135,9987,-2479,1976,-70645,-52686,-17959,330037,68696,-89863,7520,343408,276,13963,207836,163357,0,12521,31958,284779,368081,25887,18441,323753,36634,70710,-47270,117980,-34076,-25530,-8546,-29543,-327987,298444,-47983,19166,-67149,-42410,81344,220441,-344195,294068,301644,-19855,-135917,-409828,-47588,694892,593585,22792,63182,15334,1316895,608,8858,326205,36587,944745,-108,5084123,13244,4507435,833529,-270085,-0,-3072336,-2444552,42342979,22571375,12701817,4921584,2496496,2451478,19771604,1348312,950449,181313,216550,243351,123727,71295,23765,17247,7317,295873,75794,39551,36243,220079,65268,154811,9344835,532543,1949283,297488,6564342,1179,365682,8173551,3116388,0,110692,4946471,42342979,56569096,6504519,206670,590082,5707767,3590907,2289220,924365,1364855,1301687,829749,471938,36180136,30025909,6154227,445025,119256,325769,9848509,2369669,286554,7192286,-14226117
2018,10337805,1582147,8755658,6047036,5068451,978585,873481,1835141,871003,1835141,913330,188789,947169,-222628,1877468,527714,1229574,100825,19356,871003,212945,97765,560293,560293,566488,560293,-6195,550016,2080197,1582147,-1022,52989,16472,16472,855073,146548,250966,5842,-110260,22283,38399,-15591,-5455,1734,3196,53241,-24728,77969,-317153,-51777,-40673,-8500,-216272,69,11416,938738,396298,0,2460,539980,918340,168388,-10203,-2375,180966,137767,117013,106158,10855,20754,93646,-72892,-391876,-627785,235909,41153,-34555,75708,962908,320692,-11297,653513,-63266,287828,-4525,321080,79738,-51012,192306,79025,57414,31832,24032,-1308120,-2414,-744,-118742,-21788,-1164939,507,-1900943,9142,-1474590,-587612,152117,0,785128,1639445,43057874,23339317,12930859,5167558,2661389,2579511,19718557,1494860,1201415,187155,106290,263220,162126,54404,18135,18549,10006,309369,51065,14579,36486,258304,61534,196770,7753717,480766,1789868,267200,5214635,1248,377098,9520293,3512687,0,113152,5894454,43057874,55644546,6672907,196467,587707,5888733,4064315,2740232,1030522,1709710,1324083,915895,408188,33736742,27923534,5813208,685664,84701,600963,10484918,2690361,275257,7519300,-12586672
2019,10799812,1664696,9135116,6344263,5323469,1020794,928990,1861863,865257,1861863,767968,240245,379070,148653,1764574,593102,1046863,104656,19954,865257,196789,89471,578998,578998,591427,578998,-12430,533899,2127034,1664696,-657,72219,57528,57528,2406352,179582,140590,14299,24693,69351,55442,6709,2380,4788,32,-96447,-1854,-94593,216951,108326,10193,-9004,107361,75,15019,2021896,540535,0,-637,1481998,2201988,317196,-1937,16141,302992,325043,150204,22159,128045,174839,182018,-7179,-109556,-340297,230741,68757,-4576,73333,1600549,230122,-7519,1377946,204365,-11688,656,-158640,-146836,540,790312,755310,8111,28355,-1466,1525680,5054,-24185,517677,50678,977410,-954,8518160,-8674,7482041,1479329,-434536,-0,-6202168,-5622429,48737600,24687011,13892279,5319014,2825994,2649724,24050589,1674442,1342005,201454,130983,337625,217568,63629,21210,24226,10992,188736,49210,13384,35826,139526,67448,72078,9431625,589092,2317738,308874,6214598,1323,392117,12026044,4053223,0,112515,7860306,48737600,66946701,6990103,194530,603848,6191725,4328775,2890435,1052681,1837754,1438340,1046005,392335,42563036,35065278,7497758,493978,80125,413853,12570809,2920483,267738,9382588,-18209101
2020,10497684,1727849,8769835,6349986,5351703,998282,507677,1912172,853047,1912172,538374,172532,197100,168742,1597499,480711,1029745,70701,16342,853047,212507,90817,549723,549723,536090,549723,13633,295720,2048138,1727849,46,-24615,240370,240370,436233,525126,444416,76681,4029,37122,33285,7423,3637,-8442,1219,4196,23606,-19410,240355,122041,-136007,7468,246775,78,22008,-392574,-137032,249768,-3032,-502278,338344,696046,-62328,5698,752676,306671,339326,151229,188097,-32655,33781,-66436,93457,-69696,163153,-9141,-2741,-6400,-748689,-155882,7653,-600460,97889,-87422,-46,34864,142481,-20242,689664,487012,36661,139072,26919,726228,2482,-6105,361446,37314,331773,-682,9542165,-5779,8792611,1065889,-310556,-0,-8126273,-7677604,50767458,25554408,14378157,5399541,3104439,2672271,25213050,2199568,1786421,278135,135012,377229,250853,72901,24300,16282,12893,188183,72816,36991,35825,115367,81811,33556,10359141,711133,2543177,353656,6749774,1401,414125,11674804,3916191,249768,109483,7399362,50767458,76654162,7686149,132202,609546,6944401,4629667,3229761,1203910,2025851,1399906,1079786,320120,52486113,43788193,8697920,205113,77384,127729,11647120,2764601,275391,8607128,-25886704
2021,12068310,1815365,10252945,7003512,5918890,1084622,714200,2535234,1095175,2535234,485373,157052,93286,235035,1925432,460314,1251435,190457,23225,1095175,340071,122990,632113,632113,647489,632113,-15375,431230,2228566,1815365,6847,11182,216258,216258,1341645,302308,265443,5582,31283,37826,5399,10660,2886,11190,7691,-38969,-10282,-28687,272790,100322,-101357,17276,256386,163,36112,731578,498079,-206364,-14902,454765,1306269,251698,6041,11781,233876,281119,214669,-83388,298057,66450,70316,-3866,287418,-96660,384078,110365,-6508,116873,375669,429772,-25545,-28558,35376,-122786,-31498,-172740,180882,-262334,2855955,2243287,340739,59827,212102,1669003,-5494,-22226,703077,43951,948933,762,12722286,-6761,10842553,2180948,-294454,-0,-8197329,-7672626,57282954,29044382,16712228,5827916,3346349,3157889,28238572,2501459,2051447,283717,166295,409561,256252,79668,26556,27263,19822,143991,62537,26733,35804,81454,113222,-31768,12342512,811455,3144897,414883,7969713,1564,450237,12390812,4414267,43404,151265,7781876,57282954,90842285,7933758,138243,621327,7174188,5097760,3610548,1119298,2491250,1487212,1177719,309493,65827988,54534086,11293902,124317,70876,53441,11858462,3194373,249846,8414243,-33559331
2022,13490916,2011040,11479876,7594468,6451301,1143167,1110236,2775174,1235996,2775174,545464,234826,78919,231719,2084641,522077,1342472,185636,34456,1235996,462035,126433,647529,647529,617276,647529,30253,781736,2552684,2011040,106454,133638,-164460,-164460,2683565,-2575,-54575,17289,34711,-5403,-39380,21203,5750,4276,2748,-37881,3331,-41212,69246,-73466,-136173,-19868,298633,120,33218,2626960,462525,-43405,-6184,2214024,2798158,78562,59310,795,18457,517881,328822,136326,192496,189059,134806,54253,-288178,-545191,257013,163830,2371,161459,2326063,400918,15751,1909394,-114593,404288,-119487,332810,-49867,-141098,288163,-173444,340850,86382,34371,-2432574,-21990,34133,-611078,-76125,-1761627,4113,-13430748,-17912,-11470812,-2505477,563453,-0,11286337,12307901,58613292,30109029,16692924,6286700,3662409,3466996,28504263,2498884,1996872,301006,201006,382168,216872,88981,29660,28199,18456,109571,65869,30093,35776,43702,118638,-74936,10115041,737989,2397646,318890,6658832,1684,483455,14915144,4876791,-1,145081,9893273,58613292,79864721,8012320,197553,622122,7192645,5537129,3864070,1255624,2608446,1673059,1327225,345834,51661129,42518083,9143046,409018,73247,335771,14245125,3595291,265597,10384237,-21251429
2023,14162980,2161654,12001325,8018585,6791636,1226949,1124676,2858064,1435589,2858064,757063,421783,43508,291772,2179538,595480,1385200,165599,33259,1435589,498417,116720,820453,820453,821148,820453,-696,680552,2806374,2161654,-1028,36860,140597,140597,1458036,98151,-79611,132992,44770,12754,-7038,19883,6633,-4087,-2637,48670,-3098,51768,280492,135715,-87165,-41092,272801,233,36509,981460,332180,1,8277,641002,1275013,225949,20406,-1343,206886,2195,-31034,-11316,-19718,33229,51351,-18122,-349778,-621305,271527,132853,36,132817,1263794,256958,-15893,1022729,183023,-117239,1026,-130873,-42426,29818,-789491,-965978,135360,76232,-35107,1459396,5139,-11645,603361,47393,816083,-935,11900879,-3564,10374971,1915550,-386078,-0,-11230974,-10527065,61359864,29938169,15962046,6569746,3967446,3438931,31421695,2597035,1917261,433998,245776,400061,209834,111424,37141,24907,16755,146597,62772,27018,35754,83825,141232,-57407,11817122,873704,2913842,325191,7702468,1917,519964,15940916,5208970,0,153358,10578588,61359864,93138359,8238269,217959,620779,7399531,5533684,3830960,1244308,2586652,1702724,1378576,324148,63601672,52271749,11329923,253739,73283,180456,15510995,3852249,249704,11409042,-31778494
2024,14961162,2285466,12675696,8484583,7177093,1307491,1172635,3018478,1554688,3018478,ND,ND,ND,ND,ND,ND,ND,ND,ND,1554688,547296,157773,849619,849619,855738,849619,-6120,708867,2955029,2285466,-1188,40491,146872,146872,371876,232016,278571,-12970,-33585,9129,-3981,12327,3299,692,-3208,-34144,17425,-51569,79085,88473,-376966,41880,325539,159,37860,47930,98691,0,-10379,-40382,434560,264831,-21646,12961,273516,198323,127390,36137,91253,70933,36701,34232,-145544,-378454,232910,85899,1071,84828,31051,99481,-24252,-44178,-62684,-241083,1188,-48316,209556,-15601,-168863,-452191,147814,121310,14204,917523,-2693,1945,659503,37383,221227,158,13480100,9503,11505674,2281648,-316725,-1,-12731439,-12116784,63161145,30450517,15741134,6875396,4324759,3509228,32710628,2828963,2195744,421028,212191,406497,205853,121467,40489,25300,13388,114365,80197,44457,35740,34168,145163,-110995,12805680,962177,3196379,404454,8240594,2076,557824,15997299,5307661,0,142979,10546659,63161145,107056424,8502228,196313,633740,7672175,5619817,3836690,1158786,2677904,1783127,1415244,367883,77253054,63398969,13854085,22912,74354,-51442,15658413,3951730,225452,11481231,-43895279
