1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2215,1704,979,979,725,34708,2327,779,29,43,0,108,5234,471,-468,-62,1619,3674,15027,5076,1450,7831,670,22,632,127,0,0,0,110,10270,33983,33762,2085,7678,4951,37,0,-6,1071,447,238,386,-255,-278,23,41,266,2555,13803,10,230,1296,221,200,21,511
1952:Q1,2449,649,922,922,-273,42243,772,-1316,1476,324,0,1576,16148,1020,9092,-488,1896,4628,6984,328,-1460,6448,1668,0,1360,96,0,0,0,104,14719,42516,42216,2796,13640,7528,336,0,896,16,900,-448,-436,-2516,-648,-1868,0,524,2612,16100,40,964,-720,300,192,108,1800
1952:Q2,2578,3278,935,935,2343,31367,-3416,176,64,252,0,-236,4908,-712,-1176,-512,1812,5496,18904,4492,1576,7996,4840,0,1692,100,0,0,0,100,8823,29024,28900,-4904,3272,8104,248,0,-788,1312,588,396,328,4184,4140,44,4,512,2752,15456,0,-332,-920,124,36,88,-700
1952:Q3,2716,3091,850,850,2241,52601,8884,-72,68,-112,0,2052,8036,644,-416,1512,1384,4912,13968,-560,3280,8244,3004,4,2460,80,0,0,0,96,17137,50360,49828,13856,11340,6860,-108,0,1540,868,608,372,-112,-1884,-2060,176,8,524,2924,15556,160,660,-2476,532,472,60,-375
1952:Q4,2829,3132,923,923,2209,35725,-6856,1908,68,164,0,-1092,10648,236,3024,908,1512,4968,23928,7060,2884,7808,6176,4,800,124,0,0,0,92,5937,33516,33724,-12052,-2324,10276,160,0,-1512,-484,-672,-92,280,6008,5264,744,0,460,3092,15876,40,64,14120,-208,-320,112,-303
1953:Q1,2757,2295,1146,1146,1149,38241,3668,-1344,68,188,0,1804,9408,720,1016,-180,2364,5488,12416,-1084,136,6704,6660,0,2360,160,0,0,0,76,9437,37092,36292,4548,3952,8380,196,0,2308,1780,624,-416,1572,-3424,-2504,-920,8,492,3064,16220,40,-632,-640,800,656,144,462
1953:Q2,2739,3618,1161,1161,2457,16773,-4684,128,76,152,0,-1872,-4052,-676,-7008,-1744,768,4608,16396,1172,1864,9524,3836,4,2404,128,0,0,0,64,8029,14316,13536,-5456,-10776,10032,144,0,-2316,1800,-456,60,2196,1176,1140,36,8,332,2968,16432,40,-456,-392,780,660,120,-879
1953:Q3,2864,2640,1197,1197,1443,58951,2344,116,72,-96,0,780,22196,800,14196,832,1880,4488,14824,1880,1764,8792,2388,4,2220,88,0,0,0,52,16351,57508,56852,6736,17372,7312,-96,0,756,2680,1056,476,1148,1792,1364,428,8,336,2852,16668,40,964,-568,656,572,84,224
1953:Q4,2916,3356,1185,1185,2171,29371,-616,932,76,256,0,-1000,14276,264,-1084,7340,3248,4508,5712,-5576,952,8396,1940,4,792,100,0,0,0,40,8799,27200,27232,-5972,-11712,11192,308,0,-784,484,4,-104,584,1680,896,784,-24,372,2748,17040,0,2000,9900,-32,-156,124,-440
1954:Q1,2835,2445,1190,1190,1255,23255,-3568,-324,88,752,0,-192,11692,1024,284,1584,3768,5032,3568,-2176,-852,7620,-1024,0,596,220,0,0,0,44,10379,22000,22340,-4712,2368,11048,724,0,148,160,928,-908,140,-4224,-3248,-976,12,340,2820,16204,40,-948,-1640,-340,-512,172,390
1954:Q2,2939,5279,1184,1184,4095,44395,296,440,88,320,0,-896,14800,-420,10308,-3292,4168,4036,15396,1708,1396,10616,1676,4,1516,140,0,0,0,52,12239,40300,40804,624,5500,12072,320,0,-196,152,-364,388,128,3796,3428,368,4,200,2952,16040,0,-1468,808,-504,-540,36,-2340
1954:Q3,2955,4447,1208,1208,3239,41247,-716,132,64,-184,0,152,9872,252,7316,-5496,3360,4440,15704,1480,2012,11512,700,0,1288,112,0,0,0,60,14763,38008,38636,2076,8228,8908,-184,0,1212,-392,-148,532,-776,772,372,400,16,496,3076,15680,40,1124,-2416,-628,-708,80,-1492
1954:Q4,3096,6588,1205,1205,5383,44995,-112,-404,44,112,0,-1160,14752,-816,2504,6928,2380,3756,21864,1420,4236,13548,2660,4,1228,164,0,0,0,76,8427,39612,39720,-4304,1924,10168,116,0,-1244,-576,188,-80,-684,2780,1664,1116,32,648,3156,16100,0,216,10704,-108,-588,480,-3492
1955:Q1,3396,158,1396,1396,-1238,35498,588,916,100,232,0,3060,-2888,996,-10340,500,3560,2396,21172,3132,-732,13468,5304,0,1244,228,0,0,0,80,10766,36736,36492,296,6540,8756,228,0,2612,1284,956,-44,372,-1080,-432,-648,12,508,3124,16528,0,-1080,-1236,244,48,196,3238
