1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,8007,8007,8007,12541,11117,1424,-4534,707,506,0,0,0,0,0,109,0,109,5,-117,204,204,0,0,5240,3621,3293,814,454,2025,4,325,0,0,1619,2,1617
1952:Q1,8315,8315,8315,11854,10714,1140,-3539,6595,52,0,0,0,0,0,3368,0,3368,4,2912,260,260,0,0,10134,4634,2036,569,26,1440,0,2598,0,0,5500,4,5496
1952:Q2,8383,8383,8383,12305,10636,1669,-3922,-244,-636,0,0,0,0,0,744,0,744,8,-652,292,292,0,0,3678,3765,3421,496,173,2752,4,340,0,0,-87,0,-87
1952:Q3,8450,8450,8450,11972,9636,2336,-3522,1380,-808,0,0,0,0,0,260,0,260,4,1624,300,300,0,0,4902,3275,2503,256,171,2076,0,772,0,0,1627,4,1623
1952:Q4,8525,8525,8525,11332,10645,687,-2807,656,-484,0,0,0,0,0,1284,0,1284,4,-428,280,280,0,0,3463,666,2054,196,794,1064,-4,-1384,0,0,2797,8,2789
1953:Q1,8606,8606,8606,12082,11171,911,-3476,3260,-336,0,0,0,0,0,-884,0,-884,8,4212,260,260,0,0,6736,5242,586,-80,26,640,4,4652,0,0,1494,0,1494
1953:Q2,8682,8682,8682,10959,11415,-456,-2277,-184,-292,0,0,0,0,0,444,0,444,0,-592,256,256,0,0,2093,2626,2234,-192,-114,2540,0,392,0,0,-532,4,-536
1953:Q3,8754,8754,8754,12471,11720,751,-3717,500,-164,0,0,0,0,0,-32,0,-32,12,428,256,256,0,0,4217,3575,2367,656,139,1572,0,1208,0,0,641,8,633
1953:Q4,8820,8820,8820,13476,11606,1870,-4656,-1212,8,0,0,0,0,0,984,0,984,8,-2468,256,256,0,0,3444,-6301,-1513,-2424,323,588,0,-4788,0,0,9745,8,9737
1954:Q1,8876,8876,8876,11490,10802,688,-2614,2720,236,0,0,0,0,0,-1236,0,-1236,4,3456,260,260,0,0,5334,7152,1712,712,284,716,0,5440,0,0,-1818,4,-1822
1954:Q2,8936,8936,8936,10662,11027,-365,-1726,-224,496,0,0,0,0,0,292,0,292,4,-1280,264,264,0,0,1502,4625,3205,80,-143,3268,0,1420,0,0,-3123,8,-3131
