1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,38850,29827,0,461,223,2382,0,-13,83,263,2188,445,1218,0,911,0,862,6103,2563,0,0,177,1808,0,218,0,0,564,441,0,0,0,0,104,307,0,-79,0,0,32747
1952:Q1,42324,33220,0,418,43,2577,-230,-13,90,263,2236,414,1351,0,901,0,1054,6737,2590,0,31,206,1902,32,220,0,0,589,603,0,0,0,0,216,427,0,-79,0,0,35588
1952:Q2,48332,39044,0,367,142,2670,-220,-13,99,264,2349,298,1474,0,900,0,958,6890,2475,0,128,233,1948,48,222,0,0,611,631,0,0,0,0,218,458,0,-82,0,0,41442
1952:Q3,47842,38203,0,333,-29,2954,-219,-12,109,265,2437,260,1574,0,860,0,1107,7387,2587,0,244,307,2048,39,224,0,0,631,657,0,0,0,0,222,514,0,-86,0,0,40455
1952:Q4,36540,27275,0,275,285,2771,-229,-12,119,279,1885,266,1671,0,849,0,1106,8307,3473,0,361,207,2169,28,227,0,0,645,672,0,0,0,0,81,537,0,-93,0,0,28233
1953:Q1,32712,23006,0,266,201,2992,-247,-12,126,279,1955,322,1645,0,839,0,1340,8370,3585,0,245,224,1981,218,226,0,0,658,682,0,0,0,0,229,419,0,-97,0,0,24342
1953:Q2,23300,13517,0,251,58,3098,-223,-13,137,280,2007,299,1788,0,828,0,1273,8231,3655,0,136,148,2135,-20,222,0,0,666,683,0,0,0,0,228,479,0,-101,0,0,15069
1953:Q3,19514,8858,0,263,229,3464,-224,-13,148,281,2017,308,1919,0,817,0,1447,8725,3847,0,273,244,2093,-36,221,0,0,675,685,0,0,0,0,233,595,0,-105,0,0,10789
1953:Q4,33336,23284,0,226,342,2909,-229,-13,163,290,2022,305,1844,0,819,0,1374,9766,4553,0,397,205,2404,-62,222,0,0,688,685,0,0,0,0,228,556,0,-110,0,0,23571
1954:Q1,45069,34531,0,232,224,3145,-232,-13,181,291,2154,331,1919,0,808,0,1498,9619,4667,0,267,219,2162,-28,226,0,0,710,692,0,0,0,0,234,585,0,-115,0,0,35450
1954:Q2,61507,50723,0,216,230,3293,-234,-14,200,292,2292,298,2036,0,807,0,1368,9959,4624,0,121,150,2654,-6,230,0,0,738,700,0,0,0,0,252,616,0,-120,0,0,51547
1954:Q3,81632,70298,0,250,149,3794,-240,-13,218,293,2324,290,2101,0,796,0,1372,10435,4688,0,212,232,2761,14,236,0,0,766,710,0,0,0,0,233,708,0,-125,0,0,71197
1954:Q4,84462,73187,0,242,179,3537,-310,-13,239,326,2303,324,2506,0,793,0,1149,11638,5276,0,315,192,3144,-18,248,0,0,787,730,0,0,0,0,321,773,0,-130,0,0,72824
1955:Q1,92029,79849,0,292,198,3692,-299,-13,253,327,2299,323,2860,0,792,0,1456,11590,5415,0,213,199,2910,-1,250,0,0,800,762,0,0,0,0,306,872,0,-136,0,0,80439
1955:Q2,117779,103689,0,254,237,4242,-277,-12,271,329,2372,346,3989,0,791,0,1548,12226,5513,0,141,197,3321,-9,250,0,0,806,798,0,0,0,0,319,1032,0,-142,0,0,105553
1955:Q3,134453,119125,0,260,248,4856,-288,-11,290,330,2408,384,4454,0,790,0,1607,12996,5559,0,313,208,3627,-59,251,0,0,812,843,0,0,0,0,317,1273,0,-148,0,0,121458
1955:Q4,137518,121670,0,238,402,4461,-293,-11,311,357,2490,339,5330,0,779,0,1445,13758,6386,0,469,221,3332,-69,255,0,0,828,896,0,0,0,0,313,1281,0,-154,0,0,123761
1956:Q1,154987,138787,0,233,202,4941,-288,-12,334,359,2605,330,4761,0,768,0,1967,14167,6778,0,391,182,3374,36,258,0,0,853,952,0,0,0,0,311,1193,0,-161,0,0,140821
1956:Q2,145538,129229,0,231,202,5050,-285,-11,357,360,2728,387,4752,0,758,0,1780,14445,6680,0,291,292,3538,125,261,0,0,887,1027,0,0,0,0,328,1184,0,-168,0,0,131093
1956:Q3,139162,122956,0,261,103,5440,-299,-12,381,360,2694,344,4456,0,757,0,1721,14877,6605,0,466,353,3561,202,266,0,0,921,1101,0,0,0,0,316,1261,0,-175,0,0,124285
1956:Q4,159126,143517,0,263,272,4745,-320,-12,407,365,2727,500,4374,0,760,0,1528,15878,7601,0,533,325,3525,234,274,0,0,947,1153,0,0,0,0,296,1171,0,-181,0,0,143248
1957:Q1,144523,128097,0,311,168,5158,-317,-12,433,366,2768,428,4418,0,749,0,1956,15395,7737,0,379,220,3298,235,288,0,0,967,1200,0,0,0,0,300,960,0,-189,0,0,129128
1957:Q2,163062,146500,0,400,-56,5323,-303,-12,461,367,2858,435,4598,0,748,0,1743,15555,7550,0,222,212,3806,278,308,0,0,982,1223,0,0,0,0,301,870,0,-197,0,0,147507
1957:Q3,135874,118719,0,386,151,5958,-377,-12,491,367,2849,425,4338,0,747,0,1832,15873,7610,0,376,210,3861,258,329,0,0,996,1260,0,0,0,0,308,870,0,-205,0,0,120002
1957:Q4,135058,118615,0,296,146,5325,-423,-13,527,356,2899,476,4279,0,737,0,1838,16507,7999,0,540,308,3784,288,352,0,0,1011,1298,0,0,0,0,300,841,0,-214,0,0,118551
1958:Q1,149880,133575,0,294,187,5509,-400,-14,565,357,2891,478,3569,0,737,0,2132,16281,7959,0,320,259,3687,311,362,0,0,1028,1322,0,0,0,0,298,956,0,-221,0,0,133600
1958:Q2,167191,150131,0,308,616,5698,-308,-14,601,357,3121,474,3253,0,737,0,2217,17396,8172,0,125,259,4546,393,367,0,0,1043,1335,0,0,0,0,314,1071,0,-229,0,0,149796
1958:Q3,200199,182134,0,335,226,6641,-322,-14,636,357,3172,448,3624,0,727,0,2235,16960,8164,0,246,244,3797,465,370,0,0,1061,1345,0,0,0,0,318,1187,0,-237,0,0,183238
1958:Q4,214159,196032,0,317,312,6373,-358,-15,674,395,3110,477,4181,0,728,0,1933,18469,8784,0,461,240,4336,448,376,0,0,1083,1366,0,0,0,0,320,1300,0,-245,0,0,195690
1959:Q1,221849,202934,0,317,441,7105,-352,-15,704,395,2995,612,3981,0,717,0,2015,19143,9246,0,489,245,4223,591,363,0,0,1112,1410,0,0,0,0,308,1410,0,-254,0,0,202705
1959:Q2,235749,216725,0,317,211,7652,-348,-14,734,396,2945,531,3852,0,715,0,2033,20108,9460,0,452,279,4775,791,346,0,0,1149,1455,0,0,0,0,316,1348,0,-263,0,0,215641
1959:Q3,230305,210102,0,317,270,8453,-391,-14,764,397,2838,481,4133,0,705,0,2250,20795,9487,0,461,319,5044,953,305,0,0,1187,1518,0,0,0,0,342,1451,0,-272,0,0,209511
1959:Q4,251614,231979,0,317,593,7373,-437,-15,798,413,2912,559,4656,0,707,0,1759,19665,10060,0,472,363,3605,440,324,0,0,1220,1570,0,0,0,0,363,1529,0,-281,0,0,231949
1960:Q1,228712,208675,0,317,209,7844,-483,-17,834,413,3092,575,3637,0,696,0,2920,20337,11224,0,463,365,2867,580,330,0,0,1248,1652,0,0,0,0,343,1556,0,-291,0,0,208375
1960:Q2,236525,216657,0,317,730,6832,-403,-19,869,415,3230,563,3672,0,694,0,2968,19971,10542,0,469,535,2880,696,336,0,0,1270,1725,0,0,0,0,360,1459,0,-301,0,0,216554
1960:Q3,209820,190053,0,317,216,7087,-540,-20,897,417,3264,591,3793,0,694,0,3051,20604,10897,0,501,384,3115,629,343,0,0,1294,1818,0,0,0,0,392,1542,0,-311,0,0,189216
1960:Q4,252032,233733,0,317,419,5791,-630,-22,925,431,3301,565,3780,0,695,0,2727,20122,9786,0,523,317,3847,582,357,0,0,1327,1863,0,0,0,0,366,1476,0,-322,0,0,231910
1961:Q1,298440,278344,0,317,262,7051,-677,-24,954,433,3375,651,3784,0,682,0,3288,18623,9990,0,559,321,2414,192,368,0,0,1371,1895,0,0,0,0,370,1476,0,-333,0,0,279817
1961:Q2,298383,278560,0,317,190,6754,-717,-25,983,433,3573,545,3928,0,680,0,3162,21843,10281,0,537,371,5057,258,384,0,0,1427,1942,0,0,0,0,380,1551,0,-345,0,0,276539
1961:Q3,311469,290440,0,317,84,7719,-767,-26,1009,434,3657,529,4226,0,680,0,3167,20323,9927,0,502,354,3596,229,400,0,0,1483,1985,0,0,0,0,384,1820,0,-357,0,0,291145
1961:Q4,324908,304657,0,317,254,7308,-882,-26,1033,483,3658,591,4476,0,677,0,2362,21287,10081,0,508,348,4086,177,418,0,0,1525,2021,0,0,0,0,387,2105,0,-369,0,0,303621
1962:Q1,327140,304818,0,221,137,8728,-904,-28,1050,483,3554,594,4415,0,666,0,3406,21138,10850,0,515,379,3068,174,426,0,0,1558,2135,0,0,0,0,386,2029,0,-382,0,0,306001
1962:Q2,327699,305062,0,214,208,8294,-863,-30,1065,484,3625,645,4970,0,666,0,3359,23374,10760,0,461,365,4997,163,430,0,0,1580,2351,0,0,0,0,384,2278,0,-395,0,0,304325
1962:Q3,329250,305163,0,214,215,9015,-799,-31,1074,485,3681,552,5413,0,654,0,3614,23699,10916,0,420,398,4756,160,436,0,0,1600,2480,0,0,0,0,404,2538,0,-409,0,0,305551
1962:Q4,328392,305316,0,214,344,7786,-808,-31,1082,463,3973,606,5503,0,662,0,3282,23350,10202,0,381,411,4877,325,450,0,0,1628,2555,0,0,0,0,400,2544,0,-423,0,0,305042
1963:Q1,330756,305538,0,214,82,9281,-754,-33,1087,463,3895,680,5482,0,656,0,4165,11012,-705,0,405,394,3509,200,461,0,0,1661,2611,0,0,0,0,382,2532,0,-438,0,0,319745
1963:Q2,332769,305743,0,179,124,9541,-756,-34,1086,464,4152,653,6310,0,657,0,4650,13900,-545,0,380,376,5957,174,472,0,0,1699,2632,0,0,0,0,394,2814,0,-453,0,0,318869
1963:Q3,335770,305952,0,179,67,11399,-741,-34,1084,463,4259,576,6874,0,652,0,5040,13878,-435,0,377,392,5308,194,487,0,0,1738,2670,0,0,0,0,439,3177,0,-469,0,0,321891
1963:Q4,334682,306164,0,179,192,10101,-792,-34,1083,487,4362,628,7161,0,649,0,4502,13565,-1496,0,328,351,5739,335,503,0,0,1774,2785,0,0,0,0,375,3356,0,-485,0,0,321117
1964:Q1,335774,306346,0,179,108,10943,-838,-39,1072,487,4360,657,6921,0,639,0,4939,13954,-1367,0,286,437,5823,344,526,0,0,1808,2972,0,0,0,0,376,3251,0,-502,0,0,321820
1964:Q2,337721,306590,0,120,137,11209,-959,-45,1063,488,4529,730,7482,0,640,0,5737,14665,-1365,0,279,349,5931,434,553,0,0,1840,3255,0,0,0,0,359,3549,0,-519,0,0,323056
1964:Q3,338609,306814,0,120,180,12209,-1118,-46,1054,489,4552,638,7782,0,631,0,5304,15770,-1534,0,293,458,6551,441,578,0,0,1872,3551,0,0,0,0,394,3703,0,-537,0,0,322839
1964:Q4,338717,306979,0,120,875,11269,-1348,-49,1047,519,4655,695,7876,0,625,0,5454,15512,-1939,0,309,359,6355,581,601,0,0,1909,3781,0,0,0,0,387,3725,0,-556,0,0,323205
1965:Q1,341734,307249,0,121,608,12973,-1468,-52,1039,520,4756,759,7998,0,614,0,6617,16103,-1257,0,270,464,5646,884,605,0,0,1951,3955,0,0,0,0,381,3779,0,-575,0,0,325632
1965:Q2,342699,307407,0,246,492,13009,-1334,-55,1032,519,4976,719,7959,0,615,0,7114,18502,-567,0,282,412,6698,1192,597,0,0,2000,4105,0,0,0,0,420,3958,0,-595,0,0,324197
1965:Q3,344391,307679,0,247,396,14264,-1019,-57,1023,518,5039,645,8189,0,608,0,6859,16846,-1813,0,319,446,6294,644,590,0,0,2048,4186,0,0,0,0,434,4314,0,-616,0,0,327545
1965:Q4,343961,307905,0,247,351,14271,-1037,-61,1018,517,5090,844,7668,0,608,0,6540,22274,3124,0,307,451,6694,614,604,0,0,2092,4340,0,0,0,0,442,4243,0,-637,0,0,321688
1966:Q1,346279,308149,0,247,239,16452,-876,-62,1013,516,4780,972,7006,0,598,0,7245,23885,4706,0,309,609,6537,636,623,0,0,1963,4551,0,0,0,0,441,4169,0,-659,0,0,322393
1966:Q2,345379,308352,0,91,336,16021,-847,-62,1011,517,5152,775,6133,0,589,0,7311,24530,4188,0,374,610,7202,1029,652,0,0,1853,4820,0,0,0,0,393,4091,0,-682,0,0,320849
1966:Q3,348862,308404,0,356,261,18345,-863,-63,1004,519,5549,774,5742,0,578,0,8256,25319,4409,0,377,690,7504,974,684,0,0,1734,5132,0,0,0,0,486,4035,0,-706,0,0,323543
1966:Q4,344695,308656,0,656,493,14083,-922,-65,1002,494,5460,752,4451,0,574,0,9061,18819,-811,0,452,650,6460,757,716,0,0,1948,5355,0,0,0,0,351,3671,0,-730,0,0,325877
1967:Q1,347527,308788,0,632,288,16334,-1090,-66,1004,495,5199,753,4034,0,569,0,10587,17565,-2207,0,457,733,6221,299,741,0,0,2585,5550,0,0,0,0,296,3628,0,-738,0,0,329961
1967:Q2,347188,308891,0,839,398,15034,-1098,-67,1009,496,5608,772,4139,0,560,0,10607,18533,-2530,0,498,663,6606,567,768,0,0,2551,5842,0,0,0,0,293,4022,0,-747,0,0,328655
1967:Q3,348661,309229,0,823,411,17232,-1034,-67,1009,497,5890,764,3553,0,548,0,9806,19222,-3230,0,468,848,7630,305,792,0,0,2509,6090,0,0,0,0,419,4146,0,-755,0,0,329439
1967:Q4,349847,312093,0,1019,556,14731,-942,-67,1013,522,6189,813,2429,0,534,0,10957,22142,-965,0,452,671,8420,187,812,0,0,2510,6360,0,0,0,0,392,4067,0,-764,0,0,327706
1968:Q1,353610,310397,0,1203,535,18549,-937,-66,1012,523,6157,838,2920,9,518,0,11952,23582,408,0,471,790,8053,358,844,0,0,2540,6655,0,0,0,0,385,3891,-40,-773,0,0,330028
1968:Q2,353724,310837,0,1359,636,17656,-1138,-65,1012,524,6331,945,3188,18,499,0,11922,21803,-2681,0,464,787,8709,652,845,0,0,2591,6781,0,0,0,0,376,4184,-124,-781,0,0,331921
1968:Q3,358056,311527,0,1199,594,20362,-1137,-65,1008,525,6387,823,3942,31,481,0,12379,20265,-5211,0,400,818,10292,-259,872,0,0,2656,6965,0,0,0,0,339,4356,-173,-790,0,0,337791
1968:Q4,358387,312261,0,1215,893,19512,-1393,-66,1012,549,6644,781,3271,44,474,0,13190,23101,-2996,0,367,906,9220,736,956,0,0,2733,7151,0,0,0,0,405,4686,-264,-799,0,0,335286
1969:Q1,364832,313123,0,1172,539,24938,-2729,-95,1012,550,6598,884,3644,64,468,395,14269,22331,-3256,0,324,843,7191,984,1138,0,0,2854,7382,0,0,0,0,418,5201,-329,-809,390,0,342501
1969:Q2,366392,313901,0,990,826,22203,-2840,-135,1015,552,6868,903,5205,67,446,580,15811,25311,-4046,0,302,776,9543,731,1438,0,0,2979,7590,0,0,0,0,526,6117,-460,-818,633,0,341081
1969:Q3,381005,314736,0,923,626,33098,-2990,-138,1015,553,6872,1104,5405,64,427,964,18346,21764,-4891,0,289,896,6895,679,1710,0,0,3051,7807,0,0,0,0,613,5714,-579,-827,407,0,359241
1969:Q4,375107,315704,0,917,1201,24210,-1465,-141,1025,521,6994,1278,3837,76,417,414,20119,23352,-3059,0,257,776,7163,-41,1806,0,0,3167,7998,0,0,0,0,761,5455,-843,-837,749,0,351755
1970:Q1,379653,304210,7623,317,1026,29514,-3722,-145,1037,523,6876,1476,5804,50,408,208,24448,26177,-2455,0,256,930,7064,607,1919,0,0,3260,8227,0,0,0,0,833,6205,-1133,-846,1310,0,353475
1970:Q2,376354,304383,7763,317,1135,24042,-3404,-149,1053,525,7111,1558,5679,45,398,160,25738,33196,3090,0,258,866,7670,-21,1984,0,0,3347,8631,0,0,0,0,920,6341,-1324,-856,2290,0,343159
1970:Q3,371268,304541,8105,304,1185,25411,-3845,-154,1064,526,7065,1643,5313,53,397,216,19444,24147,-2211,0,229,997,5904,-560,2022,0,0,3431,8715,0,0,0,0,830,6330,-1540,-866,866,0,347121
1970:Q4,367462,304763,8581,304,1672,21894,-3290,-158,1084,537,7154,1799,3147,42,392,1573,17968,25760,-1958,0,217,866,6491,-1407,2062,0,0,3513,8853,0,0,0,0,1528,6621,-1916,-875,1765,0,341702
1971:Q1,372258,304871,9335,314,1172,26220,-4265,-167,1088,539,7128,1699,6634,44,379,1165,16102,31577,61,1000,206,964,9128,-812,1886,0,0,3636,8982,0,0,0,0,1485,7377,-2103,-885,652,0,340680
1971:Q2,368707,304612,9739,311,1128,23398,-5276,-175,1089,540,7383,1657,7473,26,366,1575,14861,35183,138,2000,255,990,11283,-1085,1723,0,0,3785,9241,0,0,0,0,1636,7825,-2418,-896,706,0,333523
1971:Q3,378394,304752,10424,311,933,28481,-4728,-185,1082,542,7454,2046,8963,-233,343,3454,14755,39219,2248,3000,325,971,11059,-821,1956,0,0,3934,9472,0,0,0,0,1861,7877,-2620,-906,863,0,339175
1971:Q4,374647,305222,11476,311,1467,23955,-4423,-196,1083,608,7735,1697,7398,-655,321,3578,15070,47155,8086,4000,308,1051,11843,-780,2133,0,0,4063,9693,0,0,0,0,1681,8359,-2910,-916,544,0,327492
1972:Q1,383014,305384,12396,312,1180,29342,-1980,-203,1086,610,7873,1863,8817,-1121,480,2629,14346,56774,15289,5000,333,880,12253,-238,1958,0,0,4176,10915,0,0,0,0,1719,8616,-3344,-927,144,0,326240
1972:Q2,384932,305834,12681,312,1469,29165,-914,-211,1088,611,8490,1897,9384,-1639,644,2826,13295,64710,17488,6200,335,972,14849,-178,1815,0,0,4275,12936,0,0,0,0,1728,8968,-3861,-937,120,0,320223
1972:Q3,384798,305884,13184,312,1383,31150,-1127,-217,1081,613,8749,2231,9312,-2213,821,2830,10805,66847,17365,7400,290,961,13267,-144,1889,0,0,4371,14998,0,0,0,0,1751,9179,-4103,-948,571,0,317950
1972:Q4,385577,306033,14160,312,1469,30417,843,-223,1084,693,8842,2102,8461,-2743,978,2643,10506,91227,36501,8600,206,1068,14796,502,2143,0,0,4475,16445,0,0,0,0,1362,9734,-4727,-959,1081,0,294351
1973:Q1,392010,307199,15128,312,1571,34779,759,-225,1122,694,9134,2819,9281,-2574,89,3212,8710,116298,55994,10356,208,945,15368,493,2261,0,0,4586,17645,0,0,0,0,1664,9739,-5053,-970,3062,0,275712
1973:Q2,398851,307806,15261,312,1530,37697,971,-228,1162,700,9483,2457,10287,-2557,-151,3401,10720,122095,55636,10817,215,1131,18175,523,2211,0,0,4701,18501,0,0,0,0,1711,10311,-5797,-981,4941,0,276755
1973:Q3,404131,308945,15888,312,1914,40916,968,-242,1181,706,9439,3139,10610,-3253,-2726,4695,11639,115936,50702,11226,235,991,13209,729,2247,0,0,4819,19020,0,0,0,0,2309,10067,-6762,-992,8136,0,288195
1973:Q4,410678,309964,17447,312,2721,37873,1307,-255,1212,817,9618,3513,11874,-3272,-2954,4719,15782,134187,62922,11427,178,1362,18347,592,2221,0,0,4934,20067,0,0,0,0,2349,11197,-7279,-1003,6873,0,276491
1974:Q1,417123,311048,18524,0,1909,42261,957,-256,1315,756,9649,3165,13593,-2684,-3975,4436,16425,127878,59207,11433,118,1023,14498,526,2277,0,0,5071,21015,0,9,0,0,2108,11755,-7639,-1015,7492,0,289245
1974:Q2,416811,310938,19382,0,1976,37157,1078,-258,1423,694,10078,2976,13051,-866,-4267,3893,19556,123061,54872,11258,144,1174,13657,505,2230,0,0,5213,22161,0,2,0,0,1435,11496,-7518,-1026,7458,0,293750
1974:Q3,423127,313087,20985,0,2164,39516,758,-257,1510,633,10227,2814,12406,-240,-5315,1123,23716,124846,64909,11005,176,1161,8736,359,2088,0,0,5370,23590,0,2,0,0,1745,10463,-7190,-1038,3470,0,298280
1974:Q4,408985,313511,23025,1723,2517,24497,690,-255,1607,556,10559,2502,8108,-82,-5515,1641,23901,168859,107737,10776,124,3193,9576,-25,2005,0,0,5551,24697,0,2,0,0,533,8975,-7103,-1050,3868,0,240126
1975:Q1,699406,592506,23806,1542,1774,27977,1506,-260,1629,592,10642,2609,8819,-91,-6939,1405,31889,262626,200396,10510,109,3122,10048,101,2171,0,0,5771,25861,0,0,0,0,462,8360,-5877,-1212,2804,0,436780
1975:Q2,704357,604197,23807,1376,1962,27606,1668,-267,1642,628,11074,3516,4661,-273,-7763,2741,27782,258597,192931,10137,94,2965,8055,643,2352,0,0,6043,28740,0,50,0,0,886,8175,-4846,-1373,3745,0,445760
1975:Q3,723271,613473,24202,1222,1858,37480,2035,-249,1631,664,11305,3281,5673,-365,-5703,3773,22991,266375,185418,9820,92,2807,16934,175,2466,0,0,6302,32945,0,66,0,0,1791,8026,-3680,-1535,4748,0,456896
1975:Q4,707473,604482,26055,1125,2306,34347,1955,-232,1634,701,11875,3589,1957,-457,-5697,2746,21087,273201,189423,9719,52,3201,18802,244,2588,0,0,6486,35450,0,51,0,0,1496,7558,-2819,-1698,2648,0,434272
1976:Q1,743345,632756,25764,1061,2085,37191,2158,-170,1663,736,12070,3479,2587,-260,-2757,3773,21209,274527,186038,9823,11,3120,21182,69,2443,0,0,6686,35497,0,92,0,0,1287,7577,-2535,625,2612,0,468817
1976:Q2,754034,638991,25888,950,1912,39314,1501,-118,1696,788,12770,3168,2951,-252,-2419,4992,21902,281623,197068,10112,114,3048,19900,-244,2321,0,0,6870,33278,0,92,0,0,884,7454,-2259,412,2573,0,472411
1976:Q3,773913,653388,26346,791,2335,45403,1526,-116,1718,840,13112,3583,3054,-326,-2473,5306,19426,289446,203303,10493,165,3088,18508,-48,2432,0,0,7047,35445,0,145,0,0,1084,6967,-1971,358,2430,0,484467
1976:Q4,743576,636396,27301,650,2364,33755,1450,-115,1759,906,13391,3874,1522,-212,-2970,6036,17469,290311,203940,10873,141,2982,16791,-224,2493,0,0,7225,38493,0,24,0,0,1023,6878,-1679,-765,2116,0,453265
1977:Q1,775364,652069,27590,576,1785,38930,1821,-93,1942,958,13721,4169,3403,-174,-2514,6835,24346,300413,203418,11296,145,2882,20222,-457,2525,0,0,7579,43725,0,139,0,0,956,6557,-1567,-235,3228,0,474950
1977:Q2,787096,654123,26631,481,2033,45506,1143,-75,2123,980,14011,4465,2116,-293,-2185,6870,29167,301878,200975,11802,76,2829,23736,-507,2496,0,0,7915,43733,0,149,0,0,1344,6663,-1502,-597,2766,0,485218
1977:Q3,811827,671482,26838,395,2364,50267,1569,-125,2296,1002,14326,4172,3511,-264,-2576,6885,29685,311777,206738,12317,6,2768,23078,-589,2501,0,0,8241,47881,0,236,0,0,1370,7523,-1392,-1199,2298,0,500050
1977:Q4,805979,672108,27248,0,2536,42231,2018,-195,2482,994,14739,4229,2172,-263,-5011,8064,32627,327738,227251,12764,-13,2378,21055,-818,2505,0,0,8557,46992,0,147,0,0,1996,7502,-1247,-3279,1948,0,478241
1978:Q1,844414,696958,28779,0,2124,51660,2466,-197,2562,1016,15095,3974,2987,-273,-3864,8054,33073,353811,241402,13151,-16,2211,23629,-303,2784,232,0,8761,51862,0,337,0,0,2518,7191,-1218,-1026,2296,0,490603
1978:Q2,869727,704138,29376,0,2462,60461,3391,-199,2633,1074,15446,4402,682,-360,-748,6773,40196,344901,229862,13485,33,2340,26246,-26,3182,783,0,8981,50378,0,275,0,0,2421,7608,-1178,-1650,2161,0,524826
1978:Q3,904802,725880,29553,0,2579,67314,4756,-215,2668,1132,15831,4993,5061,-392,-90,6295,39437,363799,234804,13814,108,2358,33983,530,3394,1240,0,9208,53177,0,269,0,0,2624,8982,-1135,-1378,1821,0,541003
1978:Q4,933834,741536,30488,0,3470,67066,4496,-232,2683,1188,16284,5489,8236,-326,154,5698,47604,399397,264061,14186,131,2887,33286,317,3559,1795,0,9486,57146,0,1212,0,0,2442,9860,-1099,-1735,1863,0,534437
1979:Q1,981666,776707,32477,0,2597,73471,5980,-239,2766,1339,16795,5459,8780,-354,-2140,5665,52363,403073,265543,14604,191,2580,32253,337,3949,2146,0,9811,59705,0,483,0,0,2759,9558,-1081,-1739,1974,0,578593
1979:Q2,1004846,789761,32887,0,2810,80371,4022,-246,2831,1490,17387,5852,13003,-451,-2857,2544,55442,411877,267413,15073,229,2748,34047,289,4311,2522,0,10181,61640,0,612,0,0,2300,11171,-1065,-1370,1776,0,592969
1979:Q3,1049658,824529,33693,0,3090,77753,4114,-254,2857,1640,17979,5406,18595,-337,-572,2285,58880,425250,287794,15529,272,3733,23766,394,4566,2977,0,10559,61688,0,770,0,0,2332,13643,-1049,-3400,1676,0,624408
1979:Q4,1071526,847601,37425,0,4112,72249,3635,-262,2828,1778,18454,6575,15145,-460,1259,3949,57238,446844,312261,15908,188,3045,19887,374,4849,3592,0,10911,63710,0,767,0,0,2856,12497,-1036,-4719,1754,0,624683
