1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q2,142192,68923,788,49573,18562,19,5534,7103,3709,2125,354,336,579,56731,47475,7617,1639,121,3761,156514,150415,93415,50097,43318,13601,20080,11669,8103,539,3008,6099,2075,4024,ND
1980:Q3,152308,73222,512,51764,20946,20,5769,8147,4363,2447,353,384,600,60808,50741,8138,1929,125,4217,167943,161088,101243,55491,45752,14716,23436,9111,8894,596,3092,6855,2292,4563,ND
1980:Q4,168997,81074,719,59057,21298,21,6690,8805,4764,2530,389,386,736,67308,57303,7827,2178,117,4982,186873,179317,113839,60398,53441,13749,28429,10313,8649,953,3385,7556,3664,3892,ND
1981:Q1,167542,77702,907,52327,24468,21,5517,9001,4951,2343,447,387,873,69777,58757,8462,2558,92,5432,189714,181304,112537,55529,57008,12950,29742,11956,9291,1000,3828,8410,3844,4566,ND
1981:Q2,189563,97346,1144,57385,38817,23,7374,9677,5414,2371,460,350,1082,69299,57291,8954,3054,80,5764,211886,204823,136962,60889,76073,12487,30408,10224,10248,1115,3379,7063,4288,2775,ND
1981:Q3,201715,101727,1417,62287,38023,22,7471,9816,5500,2431,654,347,884,75397,62780,9190,3427,82,7200,227665,220114,147173,68352,78821,11456,33500,11924,10633,1196,4232,7551,4599,2952,ND
1981:Q4,202982,95171,1316,79162,14693,22,10350,11173,5808,2942,590,315,1518,78463,63672,10875,3916,66,7737,237326,219515,128116,68156,59960,7605,47143,18474,11865,1352,4960,17811,5201,12610,ND
1982:Q1,205368,92717,1393,76806,14518,24,7783,10508,5285,3108,580,287,1248,84935,69434,11246,4255,73,9328,239417,223009,124273,66095,58178,6116,54861,18388,12423,1299,5649,16408,2962,13446,ND
1982:Q2,218783,100060,1312,82539,16209,26,8587,10450,5265,2841,582,269,1493,89987,73843,11493,4651,70,9603,259961,241703,128506,68025,60481,6343,66616,18080,13356,1444,7358,18258,3215,15043,ND
1982:Q3,231987,110304,1547,87318,21439,26,5529,10585,5229,2798,597,265,1696,95561,79324,11361,4876,72,9910,281341,261118,137442,66438,71004,5506,75788,21698,12661,1542,6481,20223,3457,16766,ND
1982:Q4,241649,113118,1663,91240,20215,24,8019,11527,5109,3757,589,265,1807,96793,80159,11640,4994,76,12092,283590,262313,134925,65476,69449,5920,81782,19147,13415,1326,5798,21277,4210,17067,ND
1983:Q1,243380,115680,1827,91212,22641,24,9246,8934,1487,4645,555,265,1982,101078,85098,10955,5025,85,8333,283843,263163,144049,69431,74618,5446,74613,19297,12492,1351,5915,20680,4407,16273,ND
1983:Q2,242211,116615,1241,92081,23293,25,9445,10174,1936,5424,523,150,2141,98293,82241,11078,4974,86,7573,290127,268856,140272,67694,72578,6271,83556,19726,12432,1420,5179,21271,4405,16866,ND
1983:Q3,255941,121990,938,94165,26887,24,6586,10319,1849,5034,617,250,2569,108192,90266,13093,4833,83,8747,306308,285037,148618,68402,80216,5751,88414,20011,14553,1584,6106,21271,4662,16609,ND
1983:Q4,260666,119817,997,92880,25940,27,9752,11067,1743,5390,648,168,3118,111417,92351,13876,5190,77,8509,327384,302788,153603,74346,79257,6252,102558,16948,15652,1545,6230,24596,5339,19257,ND
1984:Q1,272460,130200,900,97307,31993,25,8523,10407,794,5183,603,156,3671,113589,94544,14623,4422,79,9637,326943,302267,151420,68776,82644,6159,98703,21369,16358,1573,6685,24676,5509,19167,ND
1984:Q2,284569,138361,1000,102551,34810,25,7604,11067,854,5068,599,106,4440,117327,96419,16644,4264,79,10106,342416,321961,158821,74120,84701,6349,110182,20098,18510,1763,6238,20455,5669,14786,ND
1984:Q3,295250,140279,1100,100851,38328,29,10035,12133,795,4996,756,171,5415,120318,96118,19793,4407,75,12381,355213,328936,157293,75224,82069,5590,111227,22907,21840,1945,8134,26277,6236,20041,ND
1984:Q4,306145,143696,1300,104347,38049,35,9410,12576,852,4812,597,77,6238,128973,102874,20483,5616,4,11451,364740,339131,159294,77083,82211,5218,120036,21866,22921,1927,7869,25609,6017,19592,ND
1985:Q1,311176,149818,1450,106523,41845,25,8742,13638,887,4807,581,75,7288,127608,102117,20038,5453,69,11276,376598,349054,160913,75038,85875,5494,126071,23006,22505,1991,9074,27544,6182,21362,ND
1985:Q2,311667,146615,1600,103646,41369,25,9222,14594,1164,3992,590,87,8761,131581,105534,20667,5380,74,9556,380444,353153,163178,76633,86545,5747,121172,30128,23159,2062,7707,27291,6266,21025,ND
1985:Q3,327559,152224,1700,106084,44440,34,11785,16773,1269,4424,708,71,10301,135356,108785,21100,5471,85,11302,397848,370556,170544,80447,90097,6900,127141,28604,23012,2261,12094,27292,6856,20436,ND
1985:Q4,341052,153367,2014,109268,42085,0,9729,20525,1178,4773,1079,0,13495,149941,122103,22095,5743,90,7400,404995,374372,183017,103422,79595,7329,117903,34082,24416,2159,5466,30623,7944,22679,ND
1986:Q1,349136,160310,1852,114227,44231,0,9712,20234,820,4148,1583,0,13683,149321,121003,22144,6174,99,9460,415890,382154,194611,115827,78784,6820,115365,32007,24309,2280,6762,33736,8144,25592,ND
1986:Q2,369415,171953,2566,120291,49096,0,12953,24234,1029,5497,2078,0,15630,151399,122777,22035,6587,80,8796,428798,401608,205197,123845,81352,8045,116105,39259,24954,2364,5684,27190,8329,18861,ND
1986:Q3,409125,194603,1965,137297,55341,0,13325,28139,1095,6298,2378,0,18368,161692,130022,24677,6993,85,11281,470980,437618,223676,133423,90253,7660,128555,39771,27909,2510,7537,33362,8885,24477,ND
1986:Q4,462845,227157,2606,163828,60723,0,16560,30821,1026,6876,2589,0,20330,177485,145033,23777,8675,97,10725,527854,491677,261600,161321,100279,8253,145700,39504,27240,2533,6847,36177,9327,26850,ND
1987:Q1,460763,217796,2234,156088,59474,0,17100,33736,1698,8194,2584,0,21260,180019,147367,24291,8361,105,12007,521570,484730,253217,152414,100803,7474,143731,41723,27218,2789,8578,36840,9470,27370,ND
1987:Q2,493705,245144,2796,178404,63944,0,12451,35083,1213,7169,2917,0,23784,189443,150152,29514,9777,110,11474,556921,516978,264828,156403,108425,7568,155756,45487,32669,2679,7991,39943,9014,30929,ND
1987:Q3,509994,250021,2701,180287,67033,0,15111,35677,1344,7495,3540,0,23298,194886,153211,30440,11235,101,14198,581778,539481,278292,167409,110883,7936,166360,41244,32394,3182,10073,42297,9442,32855,ND
1987:Q4,542978,268431,2190,198210,68031,0,17857,37041,2216,6493,3832,0,24500,205779,161609,30249,13921,7,13863,614530,570155,304113,193144,110969,7647,173772,37354,33830,3242,10197,44375,10302,34073,ND
1988:Q1,544008,268760,2130,201204,65426,0,14680,37801,1616,7502,3983,0,24700,205478,160243,29276,15959,6,17283,616085,565953,296763,189144,107619,8175,163642,48277,32744,3301,13051,50132,11411,38721,ND
1988:Q2,573283,284912,1290,214897,68725,0,16202,38116,1489,7390,4281,0,24956,217140,169108,30169,17863,14,16899,649033,594449,313942,203261,110681,8979,166264,55828,33269,3336,12831,54584,11638,42946,ND
1988:Q3,594211,305847,1361,229180,75306,0,14531,37704,1441,7328,4599,0,24336,218175,168982,29238,19955,14,17940,667181,610085,326722,206435,120287,8715,174027,50439,32532,3382,14268,57096,11493,45603,ND
1988:Q4,609509,304028,1074,230437,72517,0,19469,37247,1749,6610,4922,0,23966,230121,177070,30988,22063,6,18638,693658,634001,335049,218474,116575,8662,190280,47320,34360,3666,14664,59657,12786,46871,ND
1989:Q1,625428,323419,1020,248772,73627,0,13672,36472,1812,6196,5597,0,22867,230442,179585,27244,23613,7,21416,706389,642543,338205,221734,116471,8444,199292,44935,30500,4359,16808,63846,13088,50758,ND
1989:Q2,616766,313294,1383,231808,80103,0,13628,36957,2014,5790,5978,0,23175,231989,176565,29870,25554,8,20890,700841,638384,325185,202186,122999,8531,195525,54492,33087,4423,17141,62457,13099,49358,ND
1989:Q3,657809,334989,917,244252,89820,0,20070,38706,2339,5816,5185,0,25366,239402,179656,31829,27917,8,24634,721790,660959,344715,210575,134140,9250,196647,50694,34250,4411,20992,60831,13679,47152,ND
1989:Q4,680277,345143,1035,255270,88838,0,20718,41019,2111,6432,5222,0,27254,250726,186493,34044,30189,8,22663,755471,689166,355932,220065,135867,8389,212932,52819,35386,4450,19258,66305,16823,49482,ND
1990:Q1,663258,332267,1371,247086,83810,0,18330,45640,2158,8933,5902,0,28647,243854,178346,29747,35761,8,23159,730997,666969,339972,210927,129045,8993,196079,64939,33173,4569,19244,64028,17378,46650,ND
1990:Q2,682861,342454,1033,264209,77212,0,19589,48258,3179,9240,6194,0,29645,250501,182722,29234,38545,9,22050,749594,687331,342102,213534,128568,8595,194216,85365,32955,4743,19355,62263,18013,44250,ND
1990:Q3,691029,344037,1318,258107,84612,0,21561,50792,3045,10468,6541,0,30738,249054,180884,26844,41326,8,25577,756878,688594,348502,226780,121722,9212,193836,77421,32129,4712,22782,68284,18201,50083,ND
1990:Q4,717804,353170,1210,262389,89571,0,17956,56387,4133,11424,7153,0,33677,265006,191169,28303,45534,8,25277,776119,713121,360942,227169,133773,8744,214095,68464,34501,4308,22067,62998,15358,47640,ND
1991:Q1,724206,352346,525,264007,87814,0,14998,59504,3317,14770,7942,0,33475,267210,195098,22983,49129,4,30144,771614,708934,346201,225973,120228,8285,227691,68480,28106,4166,26005,62680,15948,46732,ND
1991:Q2,739961,360417,424,272726,87267,0,22177,57073,3151,12523,8660,0,32739,273566,198016,23852,51698,4,26724,767238,709006,335327,221536,113791,8047,223579,86138,28010,4354,23551,58232,15598,42634,ND
1991:Q3,761287,360072,832,271180,88060,0,25521,60526,2621,14412,9000,0,34493,284065,207878,23641,52546,12,31091,799232,738771,350425,232995,117430,8561,242454,81100,26181,4209,25841,60461,15991,44470,ND
1991:Q4,811869,385110,943,288168,95999,0,26568,72504,3085,20843,11151,0,37425,297387,220393,22695,54299,27,30273,852090,778987,376624,252006,124618,8946,255028,81558,24906,5306,26619,73103,25870,47233,ND
1992:Q1,795995,380260,791,289241,90228,0,24524,70402,4239,18662,11720,0,35781,289949,216283,19458,54208,11,30849,823883,749715,360308,246118,114190,8037,247922,79390,23137,5308,25613,74168,26480,47688,ND
1992:Q2,815648,383338,490,286074,96774,0,28127,77409,4463,23598,13532,0,35816,295528,221437,19700,54391,11,31235,849589,771229,359242,243637,115605,8109,251796,98048,22045,5473,26516,78360,26812,51548,ND
1992:Q3,833143,386795,1227,297396,88172,0,37332,79202,3166,25342,13759,0,36935,292755,221124,18114,53517,12,37047,853710,774938,374162,267029,107133,8399,256101,79361,20142,5396,31377,78772,27066,51706,ND
1992:Q4,837705,387021,652,288604,97765,0,37152,83149,3287,29591,14084,0,36187,296913,226183,19125,51605,3,33467,855460,781543,375952,257933,118019,8320,270553,73517,21155,4523,27523,73917,22813,51104,ND
1993:Q1,802059,360260,1174,269081,90005,0,35366,88188,2074,31813,17036,0,37265,283095,215214,17646,50235,3,35147,812661,747879,362212,255329,106883,8340,256343,68586,19304,4656,28438,64782,22783,41999,ND
