1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2004:Q3,1477973,766706,1052,704245,61409,0,173564,255897,0,34385,50170,0,171342,249615,233380,629,15606,0,32191,1700811,1427502,541761,447750,94011,8755,507934,243214,651,17369,107818,273309,122249,151060,516689
2004:Q4,1516654,822951,713,757651,64587,0,130411,267798,0,27725,51839,0,188234,264692,247116,710,16866,0,30802,1786570,1458113,595792,497072,98720,8722,513670,210416,736,21350,107427,328457,160710,167747,522392
2005:Q1,1536259,771855,691,712674,58490,0,144472,306557,0,32173,50923,0,223461,283128,264698,619,17811,0,30247,1790286,1455492,563728,457634,106094,11295,532168,204198,641,21829,121633,334794,165664,169130,543463
2005:Q2,1630393,813779,1141,754377,58261,0,162900,324544,0,27352,57916,0,239276,295711,276500,745,18466,0,33459,1876230,1522168,600447,512392,88055,8318,554039,218277,759,20309,120019,354062,169306,184756,562357
2005:Q3,1769500,905557,890,843534,61133,0,167998,347425,0,27529,51132,0,268764,312803,290411,768,21624,0,35717,2021219,1662404,670960,569642,101318,8833,585564,231958,780,21434,142875,358815,169035,189780,594397
2005:Q4,1818139,929621,895,872792,55934,0,169201,346307,0,27843,50944,0,267520,338784,317175,761,20848,0,34226,2043551,1693707,700531,604883,95648,9264,590957,252480,770,21677,118028,349844,161063,188781,600221
2006:Q1,1906184,981833,926,930672,50235,0,176567,344870,0,24043,44290,0,276537,364659,342402,738,21519,0,38255,2167357,1784506,731663,642933,88730,8939,647792,239707,756,22536,133113,382851,169947,212904,656731
2006:Q2,1947135,968923,906,918668,49349,0,192637,365924,0,26992,51678,0,287254,379155,355289,701,23165,0,40496,2181483,1804657,705655,619649,86006,9291,661404,246473,717,22873,158244,376826,161846,214980,670695
2006:Q3,2055912,1031035,668,979111,51256,0,208261,369477,0,29877,51905,0,287695,405394,381424,664,23306,0,41745,2310302,1929111,740569,639558,101011,8259,723773,288228,700,23688,143894,381191,169387,211804,732032
2006:Q4,2185841,1122157,604,1066909,54644,0,228440,377669,0,26795,55099,0,295775,420004,394633,446,24925,0,37571,2403330,2032218,806509,704096,102413,9260,745623,309811,491,23857,136667,371112,173775,197337,754883
2007:Q1,2335900,1216556,739,1165799,50018,0,229605,404308,0,31250,54393,0,318665,444169,416180,320,27669,0,41262,2562050,2166299,819958,711261,108697,10452,838288,320046,336,21772,155447,395751,164666,231085,848740
2007:Q2,2409035,1228087,996,1175565,51526,0,243771,432220,0,23261,56526,0,352433,460215,429833,392,29990,0,44742,2626341,2222352,815977,719145,96832,12802,881089,329344,411,20757,161972,403989,163252,240737,893891
2007:Q3,2515036,1251948,787,1195644,55517,0,253065,444584,0,30131,58065,0,356388,512406,476910,277,35219,0,53033,2698782,2308781,843483,751444,92039,9787,972312,295731,290,21214,165964,390001,164715,225286,982099
2007:Q4,2645241,1351218,978,1298421,51819,0,245611,460671,0,30403,57135,0,373133,541821,502335,493,38993,0,45920,2730561,2371135,869911,775679,94232,11829,1021689,288352,511,17349,161494,359426,118424,241002,1033518
2008:Q1,2716310,1414273,1115,1357137,56021,0,204552,480638,0,37557,54914,0,388167,555169,514968,348,39853,1,61677,2787115,2443016,849470,761397,88073,14888,1073581,309096,369,17402,178210,344099,103668,240431,1088469
2008:Q2,2609712,1398263,690,1338575,58998,0,166198,453571,0,35024,54621,0,363926,548963,507605,311,41047,1,42716,2672244,2342054,799056,715634,83422,14109,1091308,268010,332,17035,152204,330190,92910,237280,1105417
2008:Q3,2570416,1346202,34090,1248848,63264,0,165386,436053,0,30819,45397,0,359837,569089,527368,0,41721,0,53686,2531201,2264950,799416,725457,73959,12341,1045319,230100,0,14268,163506,266251,73642,192609,1057660
2008:Q4,2601771,1396207,238954,1104562,52691,0,68081,491473,0,35508,50596,0,405369,597051,552888,0,44163,0,48959,2506437,2174633,908220,831881,76339,13538,901739,131673,0,13402,206061,331804,55171,276633,915277
2009:Q1,2514290,1361429,213623,1104421,43385,0,92945,441986,0,41281,45133,0,355572,567951,523716,0,44235,0,49979,2404994,2080475,840981,774448,66533,13786,861581,170788,0,14767,178572,324519,55185,269334,875367
2009:Q2,2448695,1400907,145466,1214079,41362,0,88623,378855,0,33226,38677,0,306952,530798,487692,0,43106,0,49512,2362431,2069866,768789,697232,71557,14976,914044,216105,0,15893,140059,292565,68108,224457,929020
2009:Q3,2501958,1509886,229403,1241560,38923,0,74723,382340,0,55258,34507,0,292575,493231,452721,0,40510,0,41778,2501743,2214365,846816,782516,64300,14829,974615,212742,0,18001,147362,287378,87459,199919,989444
2009:Q4,2465958,1550612,284089,1232624,33899,0,68175,336341,0,57468,31296,0,247577,466318,428510,0,37808,0,44512,2582293,2273443,866981,799944,67037,16126,1054127,195196,0,20260,120753,308850,105764,203086,1070253
2010:Q1,2476283,1561627,331433,1198604,31590,0,73649,328581,0,58044,30757,0,239780,468220,430344,0,37876,0,44206,2669126,2365664,902376,827009,75367,16371,994737,222046,74280,21493,134361,303462,114279,189183,1011108
2010:Q2,2410913,1498334,299051,1167689,31594,0,81954,341842,0,54654,30005,0,257183,445208,408999,0,36209,0,43575,2557577,2305230,874953,796521,78432,16429,921669,245035,78180,21743,147221,252347,101945,150402,938098
2010:Q3,2671605,1618195,315035,1269595,33565,0,102852,465469,0,67534,29504,0,368431,442195,406884,0,35311,0,42894,2762573,2471014,939147,857203,81944,18537,995312,258088,79569,21883,158478,291559,114493,177066,1013849
2010:Q4,2541905,1648799,350774,1264965,33060,0,88440,325623,0,60943,26519,0,238161,449800,414446,0,35354,50,29193,2749668,2452208,935731,865820,69911,21858,1013411,250010,88172,21264,121762,297460,125882,171578,1035269
2011:Q1,2823004,1906619,640847,1230782,34990,0,90221,321928,0,66145,31421,0,224362,461494,427659,0,33835,44,42698,3074768,2735110,1173713,1095977,77736,20747,1046240,252430,95954,23703,122323,339658,150712,188946,1066987
2011:Q2,2788750,1855410,677510,1143158,34742,0,90366,326830,0,63637,30568,0,232625,468221,435194,0,33027,0,47923,3052902,2718306,1130826,1069869,60957,23200,1074931,242825,86083,25428,135013,334596,161175,173421,1098131
2011:Q3,2797350,1788428,762469,993079,32880,0,124034,349000,0,58148,32184,0,258668,490946,457279,0,33667,3,44939,2952451,2660129,1148407,1087708,60699,38212,921525,297423,61305,28849,164408,292322,152187,140135,959737
2011:Q4,2767324,1779946,710971,1040803,28172,0,120110,327778,0,60481,30566,0,236731,495268,462507,0,32761,3,44219,2979580,2666422,1196414,1145588,50826,45590,863527,304400,59502,31324,165665,313158,175314,137844,909117
2012:Q1,2721818,1705673,679144,997510,29019,26,152431,320501,0,71572,29040,0,219889,493274,461597,0,31677,3,49910,2982730,2633003,1158954,1111286,47668,46683,847910,326731,66481,29972,156272,349727,195458,154269,894593
2012:Q2,2703066,1671003,687782,954247,28974,40,173212,322903,0,60925,32266,0,229712,490317,458939,0,31378,3,45588,2940193,2614265,1161716,1112643,49073,51931,828385,328649,60982,31477,151125,325928,197411,128517,880316
2012:Q3,2771548,1699506,670556,996583,32367,22,182785,349256,0,77911,30407,0,240938,485688,454557,0,31131,3,54288,2999823,2665224,1202639,1099621,103018,57485,826319,314915,66035,33204,164627,334599,216658,117941,883804
2012:Q4,2728446,1677348,638754,1007243,31351,32,178272,340650,0,76601,32099,0,231950,488222,457407,0,30815,3,43919,2999408,2650713,1156613,1056299,100314,61794,863817,325022,68694,32592,142181,348695,222674,126021,925611
2013:Q1,2795171,1749660,741290,981712,26658,24,178741,320706,0,79539,27730,0,213437,493199,463581,0,29618,3,52838,3101464,2712800,1189169,1069800,119369,71772,879930,323555,74354,32872,141148,388664,245729,142935,951702
2013:Q2,2970969,1937549,959598,946516,31435,26,181074,298397,0,68763,26751,0,202883,486608,456769,0,29839,3,67312,3269527,2877292,1377900,1265260,112640,72432,887077,310031,63130,32654,134068,392235,250143,142092,959509
2013:Q3,3000022,1933540,963518,923389,46633,27,199268,304160,0,70812,26679,0,206669,499439,468802,0,30637,3,63585,3254012,2873538,1283500,1164163,119337,86949,957987,331138,58770,32649,122545,380474,261785,118689,1044935
2013:Q4,3027547,1976291,948046,1003482,24763,27,177081,295327,0,68553,25891,0,200883,513797,483244,0,30553,3,65021,3304103,2893068,1317289,1200434,116855,92514,959836,312733,66899,32693,111104,411035,287534,123501,1052350
2014:Q1,3190988,2088340,1071029,986850,30461,25,200267,292671,0,67722,22977,0,201972,538882,505831,0,33051,3,70800,3437748,3030313,1346572,1222673,123899,109858,1008948,356505,66162,32392,109876,407435,283563,123872,1118807
2014:Q2,3243246,2104536,1068602,1000140,35794,55,228187,289396,0,66959,21383,0,201054,549474,514975,0,34499,3,71595,3488478,3083103,1371477,1251062,120415,117083,1021371,366496,67463,31753,107460,405375,284554,120821,1138455
2014:Q3,3274474,2145795,1087776,1028820,29199,31,218745,278733,0,61707,20888,0,196138,557409,521762,0,35647,3,73758,3490544,3093741,1274999,1220181,54818,122886,1104961,375367,65716,32471,117341,396803,268954,127849,1227846
2014:Q4,3077944,1925566,888773,1009153,27640,49,218131,271862,0,57799,20915,0,193148,591655,554067,0,37588,3,70678,3274619,2898564,1129137,1076073,53064,137556,1056134,371282,58082,31272,115101,376055,272839,103216,1193691
2015:Q1,3046376,1885441,872319,989936,23186,9,199793,267536,0,56965,19718,0,190853,617791,580362,0,37429,3,75803,3238739,2881277,1090428,1035754,54674,149197,1050899,369942,60827,30558,129426,357462,261222,96240,1200096
2015:Q2,3002708,1832728,886709,921965,24054,8,210534,258140,0,58466,23667,0,176007,631250,591088,0,40162,3,70045,3209508,2842478,1088140,1034694,53446,160928,1014640,374806,67945,30936,105083,367030,257901,109129,1175568
2015:Q3,2955680,1781806,871149,888375,22282,8,198476,264525,0,55855,21316,0,187354,649657,603810,0,45847,3,61205,3149397,2803522,1080253,1031925,48328,152811,995013,375371,57224,30444,112406,345875,237514,108361,1147824
2015:Q4,2824948,1614846,690349,901486,23011,8,218513,266895,0,70949,23445,0,172501,672375,621749,0,50626,3,52308,3047415,2690336,992181,944640,47541,148195,938387,406622,66063,30585,108303,357079,251694,105385,1086583
2016:Q1,2892872,1644733,749238,873147,22348,8,205821,288153,0,80296,23535,0,184322,690091,634422,0,55669,3,64063,3101887,2719711,962715,909735,52980,171887,945150,407908,74710,29766,127575,382176,255068,127108,1117036
2016:Q2,2973171,1676878,766316,888343,22219,8,203392,312230,0,90299,23292,0,198639,710001,649504,0,60497,3,70659,3151257,2773939,1019026,963454,55572,192819,886532,429145,74262,30901,141254,377318,262418,114900,1079351
2016:Q3,2792778,1513139,602298,885531,25310,7,204751,298594,0,99043,24849,0,174702,712278,646592,0,65686,0,64009,2960962,2580473,947613,891583,56030,172780,806929,440754,66658,32585,113154,380489,274588,105901,979709
2016:Q4,2748583,1518476,567797,923789,26890,7,193073,273076,0,94049,21097,0,157930,700982,632915,0,68067,0,62969,2975338,2588181,966045,912141,53904,152692,795910,473342,69370,33528,97294,387157,287382,99775,948601
2017:Q1,2911386,1696631,728894,933334,34403,7,197113,263011,0,88429,21850,0,152732,699454,630147,0,69307,0,55170,3140051,2729488,1022125,962481,59644,171605,866417,474734,65125,33598,95884,410563,300431,110132,1038022
2017:Q2,2921290,1678089,704630,940438,33021,6,209985,267276,0,91364,22923,0,152989,700159,626462,0,73697,0,65775,3173142,2776777,1009420,950259,59161,178248,882651,507983,65710,33266,99499,396365,307233,89132,1060899
2017:Q3,3024553,1746719,782464,933791,30464,6,240249,259819,0,84293,21316,0,154210,705217,631296,0,73921,0,72543,3253761,2861124,1053090,998826,54264,174091,886339,538483,74562,32116,102443,392637,311144,81493,1060430
2017:Q4,3031781,1656917,710063,917853,29001,6,268128,303276,0,97401,45697,0,160178,706831,629772,0,77059,0,96623,3244591,2841057,1076479,1025552,50927,185023,821761,552501,62733,31422,111138,403534,323828,79706,1006784
2018:Q1,3034112,1679703,777012,872413,30278,6,264410,292941,0,97045,43666,0,152230,700498,622318,0,78180,0,96554,3295821,2851767,1086797,1037083,49714,179322,847574,526299,67437,30237,114101,444054,319743,124311,1026896
2018:Q2,2962350,1562043,731847,801317,28879,6,290473,300221,0,107764,43180,0,149277,710229,634273,0,75956,0,99378,3227677,2754716,1001031,954204,46827,179879,877916,502923,60441,28840,103686,472961,336620,136341,1057794
2018:Q3,2873868,1476214,659522,786447,30245,6,305206,295170,0,113414,34491,0,147265,707019,631872,0,75147,0,90253,3170596,2685575,980334,932856,47478,189667,840938,486479,52852,28539,106766,485021,359929,125092,1030605
2018:Q4,2890214,1437369,598617,811952,26800,6,319005,318130,0,125581,42864,0,149685,739478,661869,0,77609,0,76226,3138183,2703667,1029894,990433,39461,177784,819759,503611,50078,27763,94778,434516,311438,123078,997543
2019:Q1,2959832,1438064,577329,832750,27985,6,364806,312943,0,128036,41638,0,143269,750764,672923,0,77841,0,93249,3224899,2741282,1009464,968339,41125,190626,867560,488348,48637,26223,110424,483617,345116,138501,1058186
2019:Q2,2960481,1396376,523812,844723,27841,6,381661,325558,0,129624,45540,0,150394,761952,683745,0,78207,0,94928,3205857,2736406,952072,914386,37686,197232,881054,510751,52700,25267,117330,469451,347089,122362,1078287
2019:Q3,2952825,1368871,505658,835891,27322,6,402901,334431,0,132339,52069,0,150023,760733,680006,0,80727,0,85883,3218170,2759127,976140,943754,32386,193870,859528,526506,67314,24235,111534,459043,340299,118744,1053397
2019:Q4,3003391,1463885,554124,883342,26419,6,379020,308972,0,121077,53221,0,134674,767786,687390,0,80396,0,83722,3333510,2853861,1022389,991612,30777,199389,908800,550037,71070,23275,78901,479649,360114,119535,1108189
2020:Q1,3461358,1761819,873843,860369,27607,6,327176,340165,0,116448,59366,0,164351,926261,843666,0,82595,0,105931,3697975,3290900,1355982,1321572,34410,251431,859280,597150,88004,22377,116676,407075,284700,122375,1110712
2020:Q2,3141914,1558657,644637,888932,25088,6,302198,334397,0,117089,59654,0,157654,859678,777686,0,81992,0,86978,3485516,3035204,1157504,1123366,34138,256110,917450,498169,75098,21534,109339,450312,338858,111454,1173560
2020:Q3,3065402,1530529,649579,854717,26233,7,336146,319399,0,108981,56075,0,154343,797505,716003,0,81502,0,81816,3426323,2955671,1074479,1044859,29620,265790,883780,540903,66868,21536,102315,470652,369632,101020,1149570
2020:Q4,2975484,1475268,602450,849206,23612,6,323660,313517,0,99845,60688,0,152984,785437,704474,0,80963,0,77596,3411204,2901678,1061551,1030430,31121,256339,858024,544963,65251,20253,95297,509526,417572,91954,1114363
2021:Q1,3161331,1707122,811037,868133,27952,6,307718,294742,0,86238,62195,0,146309,768572,688216,0,80356,0,83171,3592238,3025858,1083379,1047937,35442,306782,893084,557480,66014,20099,99020,566380,432133,134247,1199866
2021:Q2,3106616,1680911,799127,856466,25318,6,276178,289350,0,83821,58563,0,146966,767044,685658,0,81386,0,93127,3486619,2929844,1030090,996996,33094,296099,885799,541986,58666,17541,99663,556775,439979,116796,1181898
2021:Q3,3259359,1787923,966596,799206,22121,6,299391,289519,0,85544,59333,0,144642,796511,712760,0,83751,0,86009,3598367,3036586,1127726,1090898,36828,304928,866820,568387,52415,17647,98663,561781,435994,125787,1171748
2021:Q4,3186285,1677487,830229,824702,22556,70,275875,286056,0,86906,53546,0,145604,869860,778807,0,91053,0,76937,3561538,2981092,1136253,1103002,33251,282046,862178,527450,53747,17222,102196,580446,471915,108531,1144225
2022:Q1,3390709,1845676,1034044,790284,21348,6,282160,280776,0,89394,49307,0,142075,897286,802408,0,94878,0,84805,3746062,3178176,1212833,1173706,39127,307546,907453,544470,77313,15669,112892,567886,435690,132196,1214999
2022:Q2,3428960,1805060,978835,803130,23095,5,289438,295476,0,95983,52564,0,146929,939993,840299,0,99694,0,98988,3714433,3256103,1252038,1205390,46648,326943,934469,491177,96175,15034,140267,458330,352777,105553,1261412
2022:Q3,3539215,1850948,1032125,793895,24928,5,301879,304358,0,92545,52055,0,159758,967500,864402,0,103098,0,114525,3779342,3337075,1322659,1273007,49652,310635,945948,475764,97654,16052,168363,442267,325679,116588,1256583
2022:Q4,3518170,1772972,958972,792406,21594,5,265273,297796,0,89538,48116,0,160142,1044061,936581,0,107480,0,138063,3835858,3377721,1365738,1332264,33474,269752,966322,464154,106704,15703,189348,458137,348728,109409,1236074
2023:Q1,3662659,1899105,1123515,751430,24160,4,336595,280415,0,92314,42349,0,145752,1042560,931852,0,110708,0,103980,3953076,3455008,1475408,1437141,38267,280185,925506,510074,107180,16005,140650,498068,380945,117123,1205691
2023:Q2,3685246,1918888,1077748,814121,27019,5,349732,289987,0,98823,45338,0,145826,1021057,907440,0,113617,0,105577,4053564,3517762,1445154,1406690,38464,287958,935355,558867,117964,16316,156148,535802,421628,114174,1223313
2023:Q3,3731601,1965066,1063051,874702,27313,5,333792,275701,0,89991,42747,0,142963,1038092,926384,0,111708,0,118945,4064098,3518536,1436137,1397714,38423,302945,921324,553203,120707,16091,168129,545562,408084,137478,1224269
2023:Q4,3717402,1924146,1016447,887017,20682,4,335203,271544,0,93542,43012,0,134990,1077061,965153,0,111908,0,109444,4158797,3580680,1500437,1463392,37045,279688,928009,551493,147995,15999,157059,578117,462499,115618,1207697
2024:Q1,3837444,1996535,1091493,880980,24062,5,365539,283883,0,100634,42829,0,140420,1081108,967757,0,113351,0,110374,4318673,3681557,1503772,1466905,36867,327908,944019,573184,153447,16497,162730,637116,510643,126473,1271927
2024:Q2,3807265,1938261,1039566,875087,23608,4,364313,291562,0,108461,43578,0,139523,1099134,982857,0,116277,0,113991,4320806,3676619,1510998,1474682,36316,313371,930252,586110,159220,17509,159159,644187,529148,115039,1243623
2024:Q3,3670327,1808680,980747,805213,22720,5,365808,297314,0,111281,49272,0,136761,1101785,987086,0,114699,0,96735,4199718,3516606,1456390,1418851,37539,337660,940877,456819,168569,17402,138889,683112,564645,118467,1278537
2024:Q4,3622574,1727273,907412,800284,19577,4,360645,298549,0,100338,49283,0,148928,1144635,1030305,0,114330,0,91468,4193960,3519291,1471543,1431736,39807,319061,970409,436398,174604,17327,129949,674669,575525,99144,1289470
2025:Q1,3928709,1936981,1131181,783301,22499,4,432864,295112,0,108214,51470,0,135428,1149650,1037245,0,112405,0,114098,4405187,3732320,1586437,1540569,45868,370268,972957,470359,165193,17120,149986,672867,549636,123231,1343225
