1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,28267,28267,0,0,28267,6757,0,0,625,50,16872,0,28,225,3497,16,11,0,0,0,186,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,33422,33422,0,0,33422,7274,0,0,710,100,19821,0,54,302,4943,25,16,0,0,0,177,0,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q3,72336,72336,0,0,72336,8452,0,0,2689,471,44821,0,119,416,14483,100,122,0,0,0,663,0,ND,ND,ND,ND,ND,ND
1954:Q4,75356,75356,0,0,75356,8523,0,0,2770,485,46938,0,120,407,15153,107,131,0,0,0,722,0,ND,ND,ND,ND,ND,ND
1955:Q1,78237,78237,0,0,78237,8572,0,0,2860,496,48892,0,124,505,15723,116,140,0,0,0,809,0,ND,ND,ND,ND,ND,ND
1955:Q2,81697,81697,0,0,81697,8621,0,0,2919,504,51484,0,131,543,16253,125,150,9,0,0,958,0,ND,ND,ND,ND,ND,ND
1955:Q3,85032,85032,0,0,85032,8578,0,0,2929,512,54061,0,138,526,16790,136,161,30,0,0,1171,0,ND,ND,ND,ND,ND,ND
1955:Q4,87936,87936,0,0,87936,8652,0,0,2929,523,55915,0,144,524,17661,148,170,86,0,0,1184,0,ND,ND,ND,ND,ND,ND
1956:Q1,90356,90356,0,0,90356,8785,0,0,2914,536,57491,0,148,522,18351,161,180,156,0,0,1112,0,ND,ND,ND,ND,ND,ND
1956:Q2,93327,93327,0,0,93327,8865,0,0,2902,548,59555,0,151,649,18950,176,189,233,0,0,1109,0,ND,ND,ND,ND,ND,ND
1956:Q3,96174,96174,0,0,96174,8847,0,0,2889,565,61693,0,153,596,19510,192,200,352,0,0,1177,0,ND,ND,ND,ND,ND,ND
1956:Q4,98745,98745,0,0,98745,8931,0,0,2885,594,63285,0,155,593,20130,208,213,649,0,0,1102,0,ND,ND,ND,ND,ND,ND
1957:Q1,100851,100851,0,0,100851,9166,0,0,2894,633,64303,0,156,678,20615,224,230,1031,0,0,921,0,ND,ND,ND,ND,ND,ND
