date,FU574090045.Q,FU573020043.Q,FU573030043.Q,FU573034043.Q,FU572051043.Q,FU574022045.Q,FU573069143.Q,FU573061143.Q,FU573061743.Q,FU573063043.Q,FU573065043.Q,FU573064143.Q,FU573064243.Q,FU573090045.Q,FU573095405.Q,FU573074043.Q,FU573073005.Q,FU573093043.Q,FU574190043.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1382,20,0,0,0,197,0,37,0,160,22,0,0,1143,0,0,1179,-36,1383
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1345,30,0,0,0,198,0,38,0,160,20,0,0,1097,0,0,1017,80,1344
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1192,30,0,0,0,197,0,37,0,160,20,0,0,945,0,0,865,80,1192
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1123,43,0,0,0,235,0,75,0,160,20,0,0,825,0,0,771,54,1123
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,885,60,0,0,0,216,0,34,0,182,20,0,0,589,0,0,844,-255,886
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,4389,65,0,0,0,599,0,75,0,524,18,0,0,3707,0,0,3695,12,4390
1952:Q1,1072,1,195,0,83,192,0,31,0,161,6,90,0,505,0,139,301,65,1072
1952:Q2,1061,-9,7,0,3,195,0,-3,0,198,7,94,0,764,0,6,747,11,1061
1952:Q3,1051,-9,8,0,4,222,0,-11,0,233,8,98,0,720,0,6,704,10,1051
1952:Q4,1041,-2,8,0,3,268,0,8,0,260,8,101,0,655,0,9,640,6,1041
1953:Q1,1166,9,8,0,1,278,0,26,0,252,10,102,0,758,0,7,747,4,1166
1953:Q2,1210,18,9,0,2,270,0,40,0,230,11,104,0,796,0,8,788,0,1210
1953:Q3,1254,19,9,0,0,247,0,40,0,207,11,110,0,858,0,7,851,0,1254
1953:Q4,1298,10,9,0,1,217,0,12,14,191,11,120,0,930,0,9,921,0,1298
1954:Q1,1074,2,10,0,2,221,0,12,-1,210,11,131,0,697,0,8,687,2,1074
1954:Q2,1011,-5,10,0,2,234,0,-6,0,240,10,142,0,618,0,6,610,2,1011
1954:Q3,948,-5,11,0,2,266,0,2,-6,270,11,147,0,516,0,8,504,4,948
1954:Q4,885,-1,11,0,3,308,0,21,-1,288,14,146,0,404,0,11,386,7,885
1955:Q1,957,10,11,0,5,296,0,45,1,250,17,143,0,475,0,13,449,13,958
1955:Q2,949,18,12,0,7,285,0,78,2,205,19,141,0,467,0,22,431,14,950
1955:Q3,940,19,12,0,7,236,0,73,1,162,22,146,0,498,0,21,459,18,941
1955:Q4,931,11,13,0,7,171,0,27,5,139,25,161,0,543,0,15,507,21,932
1956:Q1,1042,4,13,0,8,197,0,-17,13,201,28,173,0,619,0,16,581,22,1043
1956:Q2,1081,-2,13,0,10,242,0,-41,0,283,32,183,0,603,0,6,567,30,1082
1956:Q3,1119,-3,15,0,8,319,0,-58,6,371,34,194,0,552,0,7,516,29,1120
1956:Q4,1158,1,15,0,8,396,0,-50,3,443,34,203,0,501,0,15,466,20,1159
1957:Q1,1453,9,15,0,6,397,0,-55,14,438,33,212,0,781,0,9,754,18,1453
