date,FU796902505.A,FU796330081.A,FU796902605.A,FU796025005.A,FU796020001.A,FU796401001.A,FU796240101.A,FU796402101.A,FU796140005.A,FU796402101.A,FU796150105.A,FU796130101.A,FU796121101.A,FU793092281.A,FU796150005.A,FU796130001.A,FU796120005.A,FU796121001.A,FU796122001.A,FU793192281.A,FU796112001.A,FU796140005.A,FU796220001.A,FU796403005.A,FU796012095.A,FU796012095.A,FU796006385.A,FU796012095.A,FU795440005.A,FU795015085.A,FU795013005.A,FU796330081.A,FU795000995.A,FU795000995.A,FU794090005.A,FU794000005.A,FU794022005.A,FU793069175.A,FU793061105.A,FU793061705.A,FU793062005.A,FU793063005.A,FU794035005.A,FU794041005.A,FU794042005.A,FU793081005.A,FU793064105.A,FU793064205.A,FU793034005.A,FU793092405.A,FU793092105.A,FU713164003.A,FU793094605.A,FU793052005.A,FU793096005.A,FU794194005.A,FU794100005.A,FU794122005.A,FU423161705.A,FU793163005.A,FU793169175.A,FU794135005.A,FU794141005.A,FU793192305.A,FU793181005.A,FU634090005.A,FU793164105.A,FU653164205.A,FU403192405.A,FU793192105.A,FU662090003.A,FU793194605.A,FU713164005.A,FU503194205.A,FU583152005.A,FU793196005.A,FU795000005.A,FV798090185.A,FV795013865.A,FV798090085.A,FU797005045.A,FR795013865.A,FR795013665.A,FR795013265.A,FR795013765.A,FR794090005.A,FR794000005.A,FR794022005.A,FR794035005.A,FR793064105.A,FR793064205.A,FR793092105.A,FR793052005.A,FR793096005.A,FR794194005.A,FR793192305.A,FR793164105.A,FR653164205.A,FR793192105.A,FR662090003.A,FR793194605.A,FR583152005.A,FR793196005.A,FR792090095.A,FC792090095.A,FL792000095.A,LM795013865.A,LM795013665.A,LM795013265.A,LM795013765.A,FL794090005.A,FL794000005.A,FL794022005.A,FL793069175.A,FL793061105.A,FL793061705.A,FL793062005.A,FL793063005.A,FL794035005.A,FL794041005.A,FL794042005.A,FL793081005.A,LM793064105.A,LM793064205.A,FL793034005.A,FL793092405.A,LM793092105.A,FL713164003.A,FL793094605.A,FL793052005.A,FL793096005.A,FL792100005.A,FL794194005.A,FL794100005.A,FL794122005.A,FL423161705.A,FL793163005.A,FL793169175.A,FL794135005.A,FL794141005.A,FL793192305.A,FL793181005.A,FL634090005.A,LM793164105.A,LM653164205.A,FL403192405.A,LM793192105.A,LM662090003.A,FL793194605.A,FL713164005.A,FL503194205.A,FL583152005.A,FL793196005.A,FL792090095.A
1990,345363,55143,290220,209429,176956,32473,23430,57361,44602,57361,1174075,1117313,52180,4582,1186834,1064147,122598,102471,20127,89,0,44602,23363,9436,11797,11797,11797,11797,0,33477,87860,55143,-21679,-21679,777713,-23801,365605,30681,102949,138533,19739,73703,208797,26587,182211,54267,20050,10636,17289,-2281,-2670,180,11063,159237,13608,765946,70764,227824,167461,51770,8593,-48021,-47004,-1017,115696,71261,4443,42854,-2531,-10310,-1264,11063,180,0,402454,-2772,11767,-5966,1213,-40625,-33446,10073,7150,2848,74,-61629,-2521,-3362,2305,-81122,-2474,-18211,37465,6290,-163903,0,-103327,-31146,-9443,0,0,-19355,-632,112346,118177,17312233,581721,327267,224199,30255,16730512,968169,4609335,581366,1112297,1147409,485061,1283202,6655566,3286679,3368887,1835358,1274562,117546,46307,11104,83692,2423,299724,1923391,738693,17312233,16710623,4586646,2401518,1413555,570282,417681,1017891,1005314,12577,1780454,501268,376718,603053,13679,-20935,4524,299724,2423,0,6032832,891281,601610
1991,361645,59173,302472,219212,184416,34796,24767,58494,64107,58494,1124742,1065798,54809,4135,1119129,992443,126765,107119,19646,-79,0,64107,29215,7854,27037,27037,25753,27037,1284,22174,80556,59173,3579,3579,940117,38314,437681,-50426,220891,105032,37761,124423,129621,3683,125938,107219,52768,24050,8951,-904,1413,229,20712,145185,82098,950011,58160,183247,145837,57251,-19841,22775,20437,2338,244045,41173,28769,130515,-705,22196,1156,20712,229,0,402331,39452,-9894,-17445,0,-3972,13473,-631,572,-81,-1121,246944,-1877,29691,-3,377770,32343,11003,-182409,-19574,398931,2,162893,117176,19375,0,0,109959,-10474,-152618,-144310,18557213,603264,338512,230155,34597,17953949,1004605,5073107,530940,1329683,1269997,526444,1416043,6784425,3286027,3498398,2363771,1705100,173939,55258,10200,96108,2652,320514,1922465,805576,18557213,18099913,4644806,2583609,1559392,626377,397840,1040668,1025751,14917,2324099,542441,568380,850744,12974,20714,5680,320514,2652,0,6585314,921416,457300
1992,402767,61104,341663,246247,206469,39778,25373,70043,84954,70043,1040698,975705,60793,4201,1025787,905313,120689,105000,15689,-215,0,84954,37485,3516,43951,43951,26591,43951,17360,20284,80591,61104,6307,6307,1123649,-38251,495480,4037,163178,116358,64538,147369,265892,135601,130291,185351,81410,40889,6172,-98,2639,402,53937,171519,43658,1146460,-34125,234210,156264,83529,-5583,136225,137214,-989,315219,3753,41039,202088,-172,13963,209,53937,402,0,430164,64767,-22811,-35786,-252,-6416,29118,4940,7670,-1420,-1310,84202,-3148,-2487,-753,135744,13050,1905,-63712,3602,196890,203,129023,43510,-8499,0,0,34111,-1458,-107748,-116943,19989426,628236,355144,234365,38727,19361190,997830,5572400,534977,1490128,1390427,593993,1562876,7047734,3418972,3628763,2737251,1959684,227878,61430,10102,100652,3054,374451,2183739,822235,19989426,19649069,4636340,2833397,1715656,716206,401535,1178096,1163965,14131,2794074,546194,738442,1096342,12802,16900,5889,374451,3054,0,7207738,999424,340357
1993,428908,64383,364526,259964,216681,43283,26451,78111,69792,78111,1030223,956534,66741,6948,1038542,900519,138171,118670,19501,-149,0,69792,47006,2478,20305,20305,18256,20305,2049,24797,88357,64383,-6540,-6540,1532215,-63753,658303,-17173,135006,199425,104356,236690,357597,196443,161154,371390,215995,68705,14247,1348,21352,347,49396,126531,82147,1479189,15833,284528,165280,126270,-7022,201977,192434,9543,409779,19125,36581,280163,1645,21445,1077,49396,347,0,470662,96408,53026,55958,-98,-3511,-59567,10327,12800,-2166,-308,233490,62,13477,352,253738,27948,39113,-100153,-1048,320318,1,112642,128139,14689,0,0,71664,-6817,-76501,-2287,21792234,663261,374634,246241,42386,21128973,934140,6250259,523883,1628934,1594936,696821,1805685,7415221,3611205,3804016,3429440,2429417,324531,75677,11450,161117,3401,423847,2210690,889223,21792234,21454164,4652173,3123294,1880937,842476,399881,1380075,1356400,23675,3453955,565319,887665,1504644,14447,47666,6966,423847,3401,0,7754148,1090520,338070
1994,445201,68449,376752,265856,220895,44961,27543,83354,64707,83354,1117850,1034859,76368,6623,1136497,978939,157366,138783,18583,192,0,64707,40315,-2207,26595,26595,14427,26595,12168,28513,96092,68449,-14086,-14086,1280938,1720,239254,25741,-28929,148945,-7093,100590,480970,309714,171256,279978,153948,93723,-4871,1645,1215,282,34036,129783,149233,1298089,54415,455083,292154,128977,33952,45217,48148,-2931,193109,45686,-4865,114297,1826,2945,-1098,34036,282,0,445597,104669,-17151,-87163,-165,-83932,3066,16038,17054,-545,-472,-94372,-150,-87602,323,-12250,5776,-27127,-12956,39614,-116935,-2307,-23646,-74621,-27266,0,0,-2571,13476,38601,-34135,23071283,707646,399668,263243,44735,22363637,935710,6409635,557347,1582752,1717516,671738,1880282,7896978,3923513,3973465,3675817,2571115,424030,70806,13095,135205,3683,457883,2337427,1108070,23071283,22767347,4706588,3586458,2173449,971453,441556,1422985,1404548,18437,3513808,611005,859154,1544320,16273,15622,5868,457883,3683,0,8208652,1328857,303935
1995,490855,73008,417847,279886,233583,46303,29389,108573,85643,108573,1303859,1208808,86470,8581,1326789,1138356,188290,159219,29071,143,0,85643,54126,7077,24435,24435,22505,24435,1930,26133,98199,73008,-3628,-3628,1796376,20407,527114,36978,38731,203908,46819,200678,724975,523139,201837,247206,44849,103935,25210,2038,8333,283,62558,209127,67546,1752620,128237,427700,204289,180720,42691,241496,238414,3082,374942,142013,-1763,168843,1983,-112,1137,62558,283,0,445347,134898,43756,16955,-39,-30390,-47384,7218,9322,-2173,69,671906,-4872,78236,-79,833654,148987,13841,-362331,-35529,1048149,0,383346,345112,42277,0,0,297944,-20530,-369026,-329565,25606765,740958,416456,279024,45478,24865807,951244,7004579,596946,1638061,1943051,729811,2096710,8637682,4463680,4174002,4919505,3449618,676952,96016,15133,157379,3966,520441,2214474,1138324,25606765,25632395,4834824,4017088,2377738,1152482,486868,1664480,1642961,21519,4657573,753018,1240737,2058275,18256,55875,7005,520441,3966,0,8983583,1474846,-25630
1996,547669,75729,471940,304074,257183,46891,30969,136898,85341,136898,1342292,1231691,102075,8526,1393849,1167614,225897,187987,37910,338,0,85341,58458,7024,19853,19853,19853,19853,0,34816,109515,75729,-14963,-14963,1903034,77375,399920,56154,-53341,131992,42758,222358,673490,389859,283631,391926,153746,96158,31465,1407,13654,636,94860,207634,152689,1945177,198584,475273,231413,151632,92228,171260,169486,1774,516456,148789,-28109,285087,1450,12911,832,94860,636,0,422774,160830,-42143,-19548,0,7632,27180,1229,10613,-8419,-965,563989,3566,-10416,-1612,686073,116270,20757,-279231,28582,951624,1,426779,280632,19601,0,0,210960,13652,-386407,-386101,28279739,777003,437925,293019,46059,27502736,1032202,7368218,653100,1550466,2073858,763593,2327201,9309904,4838924,4470980,6200517,4294423,949380,128481,16540,191790,4602,615301,2234810,1357085,28279739,28691470,5033176,4492361,2609151,1304114,579096,1835741,1812447,23294,5913066,901807,1651432,2623994,19706,88387,7837,615301,4602,0,9772266,1644859,-411731
1997,618993,79215,539777,333746,284022,49724,33170,172862,93845,172862,1455932,1332357,114076,9499,1534950,1280859,253227,210856,42371,864,0,93845,63403,-3395,33825,33825,33825,33825,0,38090,116143,79215,-4264,-4264,2527812,142343,668593,144897,56249,153810,44907,268730,794576,500731,293844,355194,76930,128264,35849,1762,19658,831,91900,222816,344290,2482928,342834,497970,213654,117665,166651,321570,313063,8507,531220,157078,-51454,330452,1762,-2423,3074,91900,831,0,482806,306528,44883,55686,0,6539,-49147,5278,19444,-13362,-804,934263,1524,56831,-2286,1064166,225795,16497,-400551,-27714,1650335,-222,757380,454869,69238,0,0,393448,-24378,-710794,-621282,31787697,820370,471566,301631,47173,30967327,1182479,8097904,790342,1580799,2252508,834448,2639808,10101674,5336851,4764823,7866503,5430770,1312522,164330,18302,227945,5433,707201,2048920,1669847,31787697,32820710,5376011,4970223,2822805,1401677,745741,2158290,2126711,31579,7745458,1058885,2357358,3409315,21468,174887,10911,707201,5433,0,10641583,1929146,-1033013
1998,694959,85036,609923,375328,319715,55613,33615,200980,94046,200980,1560271,1430355,122114,7802,1667204,1395785,271230,225441,45789,189,0,94046,63137,19327,11574,11574,11574,11574,0,56276,139942,85036,-44702,-44702,2742027,60650,840626,140862,-90924,338905,88156,363628,936981,445388,491593,423551,129930,130838,27196,3988,9852,519,121228,242074,238144,2742189,262533,873223,471589,240651,160983,148098,143750,4348,735358,292793,-15076,301837,4053,29658,346,121228,519,0,557843,165134,-162,121837,0,77297,-44540,6939,21864,-14443,-482,922454,125,31067,1834,990250,185355,44475,-349365,18714,1065253,2,214649,462379,74708,0,0,318237,-4722,-135860,-2450,35610141,883585,505625,324372,53588,34726556,1243255,8969597,931204,1494093,2589388,925894,3029018,11040443,5784031,5256412,9510134,6550950,1628715,191526,22290,282272,5952,828429,2036258,1926870,35610141,36645604,5638544,5843446,3294394,1642328,906724,2306390,2270461,35929,9232552,1351678,2556931,4173531,25521,279253,11257,828429,5952,0,11614545,2010127,-1035463
1999,731349,95257,636092,399180,341678,57502,35811,201102,104135,201102,1652864,1513270,129135,10459,1749831,1453932,295107,238137,56970,792,0,104135,60922,9134,34053,34053,32325,34053,1728,60182,153811,95257,-27857,-27857,2959019,128845,1000023,209745,-16273,433612,39365,333574,1191573,597062,594511,313809,18485,121065,50978,6070,18597,480,98134,256028,68742,3013952,406943,922392,593347,152822,176223,249229,238266,10963,695548,261468,-7595,239752,6062,94730,2517,98134,480,0,443304,296535,-54933,-36776,-44,-9656,27076,10746,20254,-9803,294,1275547,-1717,-189546,-376,1442101,409454,6502,-450703,59832,1464595,1,35309,819911,54600,0,0,479399,75375,-178302,-182753,40240727,954468,537117,353039,64312,39286259,1370803,9794575,1140949,1462529,2992920,921821,3276356,12233144,6380840,5852304,11685119,8014551,2159338,242504,28360,307371,6432,926563,2135408,2067210,40240727,41458943,6045487,6768138,3887741,1797450,1082947,2556120,2509227,46893,10841320,1613146,2588045,5233194,31583,428583,13774,926563,6432,0,12856627,2391251,-1218216
2000,812577,106474,706103,440636,378780,61856,36796,228671,105322,228671,1922919,1779653,129902,13363,2046268,1722963,323440,262227,61213,-136,0,105322,68363,27865,9080,9080,9080,9080,0,52240,156835,106474,-43160,-43160,3079654,76213,444363,176271,-60417,245010,12093,71407,1079206,521539,557666,759666,367966,218440,27461,2177,22464,565,120593,235946,484260,3119456,286257,717158,434877,150555,131726,400786,395041,5745,742586,232102,25039,295151,2229,66072,835,120593,565,0,496700,475969,-39802,18736,0,15378,-3358,12353,18318,-6340,374,-619130,2,20824,-1408,-606616,-114837,-34557,161677,-44215,-296991,0,417721,-408959,-100081,0,0,-169074,-36598,-309787,-281970,42859929,1019061,566307,376778,75976,41840868,1466428,10298749,1317220,1383984,3261353,952063,3384129,13336113,6926141,6409972,11688775,7775901,2262941,269965,30537,295278,6997,1047156,2580760,2470044,42859929,44360116,6331744,7486340,4319662,1952005,1214673,2965906,2913268,52638,11492587,1845248,3030805,5119386,33812,394574,14609,1047156,6997,0,13237862,2845676,-1500187
2001,823921,112757,711164,445265,374725,70540,34693,231207,163046,231207,1881669,1742644,127966,11059,1949830,1652030,302963,244608,58355,-5163,0,163046,63937,30623,68479,68479,60742,68479,7737,40699,151401,112757,20043,20043,3543075,262352,991371,-86123,21436,678174,70162,307722,1011341,336059,675282,647717,392407,106709,54596,2752,16957,376,73920,268594,361700,3495800,548067,859538,642687,221409,-4558,289293,281584,7709,761500,440062,29753,191495,3276,17995,4623,73920,376,0,629667,407735,47276,110523,-3769,87059,-27233,2644,17588,-12359,-2585,-1117472,17,68893,-1939,-1018697,-350608,-58266,246963,-3835,-1306197,0,-189651,-621278,-72552,0,0,-428557,5841,191369,362633,45503991,1058635,593573,382764,82298,44445356,1728798,11296354,1162431,1416847,3960184,1022944,3733948,14346278,7261494,7084784,10902435,7149184,2021055,324561,33289,253969,7373,1113004,3227098,2944392,45503991,46641544,6911308,8401762,4962349,2289621,1149792,3255199,3194852,60347,11324218,2285310,2832591,4689603,37088,340017,19232,1113004,7373,0,13567813,3181243,-1137553
2002,822451,115314,707136,443298,370684,72614,37369,226469,193992,226469,1625183,1480800,130593,13790,1657661,1347666,309456,255317,54139,539,0,193992,69598,10583,113810,113810,113810,113810,0,29075,144387,115314,84735,84735,2634057,25290,728931,-136846,173783,495576,67007,129411,1101239,189841,911398,414704,158562,124813,7629,1898,17570,1007,103225,290557,73336,2607831,382275,857178,546652,391462,-80936,221367,226180,-4813,340890,-20235,58114,182995,1992,14429,-637,103225,1007,0,622029,184092,26226,30681,0,89190,58509,4209,16409,-9236,-2965,-1111894,19,177969,2044,-1379963,-269601,-28165,366101,19702,-1576111,-1281,-337728,-754516,-99126,0,0,-388002,4542,468425,612916,47026679,1091918,612107,393019,86792,45934761,1764357,12208232,1023593,1609080,4496277,1111134,3968148,15405335,7409157,7996178,9575763,5884136,1856267,332190,35187,243374,8380,1216229,3883643,3097431,47026679,47551316,7293583,9258940,5509001,2681083,1068856,3475286,3421033,54253,10470091,2265075,2549330,4118082,39080,255320,18595,1216229,8380,0,13800905,3252511,-524637
2003,855063,120243,734820,459762,390160,69602,39563,235495,202383,235495,1560192,1397855,142209,20128,1593305,1269714,320314,270282,50032,3277,0,202383,87271,-10203,125312,125312,125312,125312,0,23013,143257,120243,102299,102299,3788902,75218,1218695,-92375,85128,557008,91099,577835,1166670,185239,981431,196250,45769,80759,-38347,2515,22740,467,82347,494445,637623,3626591,526653,1039020,586245,497598,-44823,293486,296126,-2640,238936,-225054,68246,282752,3203,26494,481,82347,467,0,779033,749463,162310,47313,0,-12698,-60011,4130,14736,-7573,-3032,1706028,1763,24674,1034,1874963,422514,105204,-689440,-34683,2308206,-154,701269,961263,70892,0,0,589740,-14804,-598048,-425423,52319168,1119061,627289,401483,90289,51200107,1841338,13276301,920757,1604823,4857746,1221591,4671384,16601317,7614640,8986677,12174694,7804868,2359540,293843,37702,371318,8847,1298576,3647608,3658850,52319168,53269228,7813836,10173237,5944522,3112682,1116033,3768618,3717159,51459,12442451,2040021,3318845,5362097,42283,352706,19076,1298576,8847,0,15130766,3940320,-950060
2004,886636,127299,759337,497689,422462,75227,43911,217737,222849,217737,1796030,1588298,179433,28299,1790919,1404125,377178,329897,47281,9616,0,222849,99278,-6943,130514,130514,114332,130514,16182,37193,164492,127299,77139,77139,4434746,237276,507471,55450,5936,-159176,61267,543995,1939028,701163,1237865,790396,377422,139629,-34254,2390,39328,3067,262814,223313,737263,4291789,746193,804535,115766,591409,97360,589499,585162,4337,581930,-138321,118131,288143,2505,45857,-266,262814,3067,0,784081,785551,142957,65270,-1664,1116,-65818,53452,55007,2526,-4081,908992,-928,34869,-1196,987939,202658,76999,-313582,-77768,1124325,-543,286518,543861,31773,0,0,269955,-7239,-161881,17721,58054131,1208042,684181,428558,95303,56846089,2077686,13850639,988043,1606633,4714564,1297147,5244252,18553998,8315871,10238127,14232686,9170229,2701827,259589,40092,487645,11914,1561390,3832734,4298346,58054131,58986470,8585460,10992620,6060288,3718939,1213393,4357574,4302321,55253,13886533,1901700,3723494,6194101,44788,430336,18810,1561390,11914,0,16459082,4705201,-932339
2005,989748,135159,854589,534590,448884,85706,47071,272929,229075,272929,2210049,1979593,229008,1447,2253902,1826613,419014,371405,47609,8275,0,229075,117207,-22737,134600,134600,106876,134600,27724,34105,169265,135159,72771,72771,4128378,132073,555787,175336,72322,-169528,105771,371886,2127347,707042,1420305,484737,188977,82265,46774,1951,13206,1622,149942,459892,368543,3866679,744793,1054946,80424,720816,253706,529615,529893,-278,644593,125121,65661,286040,1909,14143,155,149942,1622,0,738059,154673,261699,176541,-1677,-10710,-188928,56696,64816,-5517,-2603,652168,-3418,-132483,1596,685010,335778,43155,-256195,-21276,886480,2699,193079,384412,-9971,0,0,316487,-226,-177616,105801,62849096,1297166,751345,446974,98847,61551930,2206341,14269005,1165104,1672907,4513263,1401688,5516043,20669966,9009682,11660284,15781366,10044216,3119870,306363,42043,544006,13536,1711332,4072202,4553050,62849096,63675634,9330253,11993065,6140712,4385254,1467099,4889888,4832214,57674,15098646,2026821,3982234,6864553,46697,434508,18965,1711332,13536,0,17544696,4819086,-826538
2006,1095144,142043,953102,579181,490232,88949,49777,324144,247574,324144,2804479,2506423,261581,36475,2881049,2391502,476720,426730,49990,12827,0,247574,134066,-20977,134485,134485,134485,134485,0,33888,175932,142043,100598,100598,5077891,278006,1102834,208104,45808,192678,118050,538194,2164707,740721,1423986,507485,150348,97509,29219,-42,28423,1789,200239,329710,695150,4915735,829066,1354472,328218,750339,275915,599745,584126,15619,956744,311630,62340,346153,181,36400,-1988,200239,1789,0,667381,508327,162156,16498,0,-45061,-61559,55430,57606,-724,-1452,1440002,662,-133825,1587,1464979,385525,98485,-393607,16196,1980480,656,601539,848998,52802,0,0,480630,-4145,-485049,-334066,69304403,1386483,813309,471001,102173,67917920,2458008,15172895,1368618,1717954,4574263,1525418,5986642,22758563,9678240,13080323,17791172,11194499,3622904,335582,42001,693982,15325,1886879,4241500,5495782,69304403,70465007,10159319,13315238,6468930,5106320,1739988,5490289,5416340,73949,17533487,2338451,4622939,8059704,46878,546334,16977,1886879,15325,0,18711247,5255427,-1160604
2007,1024840,149568,875272,617429,526363,91066,51421,206422,154448,206422,3275813,2911261,322669,41883,3327787,2759876,557858,517212,40646,10053,0,154448,114162,10037,30252,30252,30252,30252,0,48519,198084,149568,-18267,-18267,5686100,552837,990785,-112923,58820,219815,206772,618301,2666168,1545645,1120523,798460,326525,75888,80721,8252,107061,3125,196888,301448,376403,5581803,862699,1511763,905680,785153,-179070,799286,808480,-9194,1494193,747309,138573,376098,9093,17854,5253,196888,3125,0,675922,237940,104297,199128,0,76564,-122564,17614,29935,-9428,-2893,852223,943,-4845,4488,701084,218119,84974,-181186,28647,37008,4219,-622065,478606,-36650,0,0,244769,-31871,832829,1062209,76062241,1452616,852940,489538,110138,74609625,3011787,16163836,1259262,1798199,4846741,1686667,6572967,25386871,11213675,14173196,19610541,12222108,3916911,416303,50253,902749,18450,2083767,4432676,6003915,76062241,76160636,11022018,14937646,7374610,6002118,1560918,6293794,6224820,68974,18785375,3085760,4139313,8914408,55971,465476,22230,2083767,18450,0,19727252,5394551,-98395
2008,800954,156505,644449,612139,517209,94930,51040,-18731,26987,-18731,2916509,2532092,338678,45739,2870792,2332160,530668,508361,22307,7964,0,26987,48713,48810,-70535,-70535,-10052,-70535,-60483,24491,180995,156505,-34543,-34543,2634439,1986796,376875,-94708,222426,696936,82998,-530777,525751,304730,221021,640430,399873,50848,90455,-5271,70178,2626,31721,239896,-1135309,2727446,2396005,361731,768741,-223468,-183542,-664074,-655125,-8949,1445321,746477,598016,-57924,-4204,129054,-445,31721,2626,0,647680,-1459217,-93007,44158,-599,103221,58464,46424,49375,-735,-2217,-5659469,-194,-525039,5219,-5104435,-1364885,-454900,1440454,344312,-7081864,2510,-2156838,-3068083,-205022,0,0,-1679583,25152,1468818,1502924,73066722,1522931,910879,493476,118576,71543791,5033389,16001459,1165991,2085823,5602657,1658872,5488116,25781007,11519501,14261506,13358223,7517546,2602874,506758,44982,549499,21076,2115488,6165976,5203738,73066722,71662193,13418023,15218573,8143351,5698178,1377044,5632230,5569695,62535,14667215,3832237,2580161,5788401,51767,256300,21785,2115488,21076,0,18730998,3995154,1404529
2009,972163,157958,814205,547984,465308,82676,58375,207846,286118,207846,2283106,1958575,275723,48808,2204834,1701673,498720,424512,74208,4441,0,286118,42497,37667,205955,205955,327876,205955,-121921,-10297,147661,157958,338173,338173,-1096371,-636607,803799,-352600,441670,633400,2868,78461,-1874006,-1836335,-37671,246124,48402,95955,-46662,0,29081,4564,114784,564527,-200209,-778207,36313,-975606,-60053,-462011,-453542,-1193863,-1207285,13422,592512,-516344,420767,533453,0,31646,1250,117176,4564,0,702877,59560,-318164,-521129,0,135208,656337,-55076,-43378,-5847,-5851,2820426,620,516030,-1244,2189703,662768,171180,-634111,-84520,2234870,-815,-114318,1474875,55648,0,-604,792559,27525,530480,337227,74595842,1457558,867018,464233,126307,73138284,4436468,17390988,813282,2453601,6271045,1754225,6098835,23617108,9629356,13987752,16176389,9705651,3361597,460096,44982,811644,25640,1766779,6025632,5491700,74595842,72854086,13454320,14108178,8083298,5101378,923502,4437552,4362410,75142,16543035,3315893,3173062,7796729,51767,388342,23035,1768567,25640,0,20166342,4144659,1741756
2010,1010132,156443,853689,573340,485459,87881,58713,221636,356478,221636,2191411,1816988,308855,65568,2056568,1517441,528385,441235,87150,10742,0,356478,68484,28570,259427,259427,300908,259427,-41481,-2971,153471,156443,303879,303879,397020,-168751,746976,-47753,540147,46800,17543,190239,-361970,-53393,-308577,171374,140926,70090,-32865,-3247,6027,884,-10441,320108,-310717,597026,303032,-465122,-39534,-303564,-122024,18334,7790,10544,146479,-526881,238491,395761,-2746,37339,6162,-2531,884,0,720463,-126160,-200006,-555721,-2097,-49738,503886,-3590,225,-331,-3483,1577110,171,232329,1048,1308716,369435,36827,-411221,39805,1703711,1615,348344,837359,42382,0,-2020,487733,-11702,-130191,-385003,76509126,1448900,857643,462528,128729,75060226,4433211,17766484,689832,3042999,5923873,1794042,6315738,23112782,9717524,13395258,18214121,11155122,3801122,522042,41735,916910,26524,1750666,6395471,5138158,76509126,75152373,13753226,13272476,7581337,4889661,801478,4469417,4382116,87301,18186180,3034465,3759793,9029849,49021,498987,29197,1758344,26524,0,21837291,3633783,1356753
2011,1009307,160953,848354,606487,513242,93245,54871,186997,293161,186997,2164433,1780702,318938,64793,2058269,1495439,547929,491191,56738,14901,0,293161,71545,28141,193476,193476,225870,193476,-32394,7118,168069,160953,218752,218752,1896000,432653,712709,-81975,891839,-19144,-36953,-41059,91012,272199,-181187,52697,30886,-37626,19978,-6193,15734,375,29543,358271,248659,1904396,1293995,-408057,-22129,-286250,-99678,137638,122112,15526,318239,-92575,159729,200616,-5942,27242,-1751,30545,375,0,703167,-140586,-8397,-378648,0,-151500,227148,33414,30867,4467,-1920,-261884,2349,390483,-4861,-529170,-119979,-133467,41869,90892,-984543,-2730,-532504,-289068,-19563,0,1754,-98484,-43948,756073,603294,78053567,1489432,876609,474836,137987,76564135,4875370,18875283,608013,4022396,5984928,1847739,6412207,23046415,9986355,13060060,17489760,10655668,3644142,541283,35542,767069,26899,1819157,6830466,5446842,78053567,76093519,15047221,12790957,7559208,4529949,701800,4598943,4498846,100097,17740372,2941890,3386840,8941397,43079,543230,27446,1829591,26899,0,22462689,3453337,1960047
2012,1139925,167836,972089,630088,536780,93308,56701,285301,255250,285301,2104833,1690450,359141,55242,2134884,1463847,654411,584644,69767,16626,0,255250,88785,-27616,194079,194079,184483,194079,9596,25354,193189,167836,159129,159129,1932363,-217702,1019570,15737,358462,185710,104439,355222,595267,665040,-69773,290371,64922,-16436,4652,-2007,18654,461,220125,297520,-52664,2138825,495866,-218898,-23792,-121826,-73280,236933,239574,-2641,857442,54702,170363,386529,-1830,23470,10440,213307,461,0,582048,185434,-206462,-272409,-1767,94950,365592,5364,11771,-939,-5469,1883797,-964,259095,5538,1508048,425849,60017,-427516,53730,2045057,-5714,443133,1035582,40580,0,-98,560878,-29305,-155896,-243822,82633489,1518382,877747,491546,149089,81115107,4691822,20602618,609381,4613753,6330880,1988346,7060259,23444386,10595175,12849211,20042892,12228638,4053555,545935,33535,859008,27360,2294861,6683770,5649620,82633489,80917264,15515310,12509425,7535416,4345489,628520,4829045,4737303,91742,20553434,2996592,4175412,10363508,41249,613048,37886,2298379,27360,0,23597403,3912647,1716226
2013,1104667,176477,928190,641324,545423,95901,56388,230479,149770,230479,2059758,1586375,414307,59076,2140466,1350935,773964,723103,50861,15567,0,149770,98462,-18060,69367,69367,69367,69367,0,17921,194398,176477,51446,51446,2995215,750693,1299459,27773,500931,400236,-24796,395315,186756,107608,79148,259328,-11649,128863,78667,-160,34899,147,28561,492677,6301,2776899,1710872,39474,238322,-160431,-38417,-214303,-207771,-6532,628118,50690,166308,346893,474,35655,2908,25043,147,0,595081,17657,218316,149660,0,-17210,-166870,24325,26153,-1614,-214,2289616,-2039,-1004822,1670,3236472,683423,106936,-772468,40445,3953598,-44,1232831,1622611,122317,0,0,983855,-7972,-1639658,-1420631,88805401,1560628,891284,512024,157320,87244773,5440148,20858025,641840,4817855,6447483,1892813,7058034,23529751,10693212,12836539,24323796,15453461,4865841,624602,33375,943151,27507,2375859,7481199,5611855,88805401,88509806,17226182,12487993,7773738,4124152,590103,4614698,4529532,85166,24113861,3047282,5517392,12333012,41723,730292,40794,2375859,27507,0,26274385,3792687,295595
