date,FL892150005.Q,FL712151003.Q,FL762150005.Q,FL762152005.Q,FL762151005.Q,FL752150005.Q,FL752152005.Q,FL752151005.Q,FL472150053.Q,FL512151003.Q,FL542151073.Q,FL402150005.Q,FL642151073.Q,FL662151003.Q,FL732151003.Q,FL262151005.Q,FL892050005.Q,FL102051003.Q,FL313011545.Q,FL212051003.Q,FL712051005.Q,FL762050005.Q,FL762052005.Q,FL762051005.Q,FL752050005.Q,FL752052005.Q,FL752051005.Q,FL472050053.Q,FL472052053.Q,FL472051055.Q,FL512051005.Q,FL542051075.Q,FL572051005.Q,FL222051043.Q,FL632051000.Q,FL652051003.Q,FL402050005.Q,FL402052033.Q,FL662051003.Q,FL732051003.Q,FL502051005.Q,FL262051005.Q,FL902050005.Q,FL072052006.Q,FL712151103.Q,FL632051103.Q,FL792051115.Q
1997:Q3,1653525,0,399820,ND,ND,100983,ND,ND,1586,0,0,0,20152,1098341,584,32059,1687655,4004,16030,154942,29948,190205,ND,ND,59102,ND,ND,6941,2053,4888,0,0,27468,32148,126978,23623,102582,0,814683,686,0,98316,-34129,5.54,0,0,0
1997:Q4,1651560,0,417882,ND,ND,114423,ND,ND,1318,0,0,0,24905,1060896,1327,30809,1647133,4562,15405,153772,39245,188971,ND,ND,72344,ND,ND,6393,2277,4116,0,0,28537,28616,128900,24497,90378,0,773165,1526,0,90823,4427,5.5,0,0,0
1998:Q1,1768143,0,435553,ND,ND,128227,ND,ND,1234,0,0,0,29989,1141532,1388,30220,1756641,3717,15110,162568,23406,216769,ND,ND,65103,ND,ND,14278,3256,11022,0,0,28934,36927,138677,23125,86711,0,828640,469,0,112207,11502,5.49,0,0,0
1998:Q2,1761679,0,399419,ND,ND,142392,ND,ND,563,0,0,0,28103,1154988,5046,31168,1773296,2491,15584,156771,36130,205788,ND,ND,78040,ND,ND,13057,2647,10410,0,0,29310,35839,146448,25921,80024,0,838291,4416,0,105186,-11617,5.56,0,0,0
1998:Q3,1804637,0,430805,ND,ND,163371,ND,ND,289,0,0,0,24855,1147679,4756,32882,1764455,3252,16441,155039,30675,230907,ND,ND,94582,ND,ND,9311,1544,7767,0,0,29583,38309,165068,27795,79108,0,793020,329,0,91036,40182,5.51,0,0,0
1998:Q4,1642440,0,472419,ND,ND,126988,ND,ND,301,0,0,0,15133,985457,6141,36001,1639273,4208,18001,162225,48377,247279,ND,ND,79432,ND,ND,9808,4988,4820,0,0,29690,37532,141711,24858,77007,0,681271,5882,0,71993,3167,4.68,0,0,0
1999:Q1,1676603,0,479605,ND,ND,135878,ND,ND,750,0,0,0,16138,1009463,4372,30397,1627748,4775,15199,161710,33535,219950,ND,ND,78993,ND,ND,12496,6286,6210,0,0,30857,41037,140678,26040,70429,0,701566,4158,0,86326,48856,4.81,0,0,0
1999:Q2,1661016,0,491025,ND,ND,134250,ND,ND,1105,0,0,0,16323,984322,4529,29462,1614071,3434,14731,160267,29010,220289,ND,ND,76080,ND,ND,11038,5913,5125,0,0,31023,40909,142795,27498,68251,0,701006,4482,0,83258,46944,4.76,0,0,0
1999:Q3,1661450,0,478436,ND,ND,125953,ND,ND,705,0,0,0,15765,1003400,5086,32105,1613921,6089,16053,158646,38116,196117,ND,ND,71830,ND,ND,7667,3197,4470,0,0,31434,39259,141824,26902,69738,0,722563,5320,0,82364,47529,5.22,0,0,0
1999:Q4,1700076,0,500697,ND,ND,106181,ND,ND,1275,0,0,0,14875,1037512,7354,32182,1761343,5793,16091,159689,156731,199150,ND,ND,64236,ND,ND,11062,6107,4955,32,1,31634,40375,143975,29287,89730,0,726688,6926,0,79943,-61267,5.3,0,0,0
2000:Q1,1786254,0,532997,ND,ND,119386,ND,ND,302,0,0,0,12573,1084020,5441,31535,1705370,7995,15768,157927,39513,218279,ND,ND,84121,ND,ND,11950,9217,2733,35,2,30689,45400,162665,30244,90592,0,728626,4805,863,75897,80884,5.85,0,0,0
2000:Q2,1828835,0,531581,ND,ND,139890,ND,ND,1735,0,0,0,12261,1106944,5387,31037,1728770,5943,15519,154763,42449,203123,ND,ND,92410,ND,ND,5143,4030,1113,37,2,29423,45179,174297,35474,80851,0,751544,4286,863,87465,100064,6.53,0,0,0
2000:Q3,1862764,0,521254,ND,ND,153516,ND,ND,877,0,0,0,12828,1137896,5184,31209,1719928,5763,15605,152566,32925,195546,ND,ND,105206,ND,ND,9037,7217,1820,39,2,28061,41857,179165,37436,83691,0,735560,4192,863,92415,142835,6.52,0,0,0
2000:Q4,1940854,0,520460,ND,ND,176198,ND,ND,392,0,0,0,12361,1194357,5848,31238,1852735,4204,15619,148993,58994,241781,ND,ND,111206,ND,ND,4232,2869,1363,41,2,26532,39836,187441,36499,80584,55263,798457,6022,959,91333,88119,6.4,0,0,0
2001:Q1,2180987,0,540498,ND,ND,189893,ND,ND,1056,765,2720,104,13589,1263615,5644,163103,2011638,3349,14510,145825,36505,273627,ND,ND,126383,ND,ND,16207,7442,8765,2121,1567,21600,36015,214649,30272,100072,63633,853403,5091,959,129483,169348,5.31,0,0,0
2001:Q2,2198368,0,538305,ND,ND,161106,ND,ND,691,707,2458,230,15661,1314999,5743,158468,1999334,3196,14388,144502,37638,271118,ND,ND,95582,ND,ND,13991,5267,8724,2409,3279,20325,38694,218307,28019,92994,48957,882604,5071,959,126259,199034,3.97,0,0,0
2001:Q3,2247333,0,556923,ND,ND,148941,ND,ND,65,350,2898,254,18187,1370856,6121,142738,2033959,3496,15298,139540,63178,300244,ND,ND,86357,ND,ND,13377,4797,8580,1495,1837,19021,36372,228886,27387,91413,54870,888072,5266,959,111762,213373,3.07,0,0,0
2001:Q4,2266971,0,544232,ND,ND,161754,ND,ND,1634,1655,1311,800,21552,1362191,4882,166960,2100960,3980,14491,137673,64741,279383,ND,ND,98864,ND,ND,8209,3098,5111,1795,1402,17674,33951,239318,25828,105467,48394,909954,6165,995,151071,166011,1.82,0,0,0
2002:Q1,2292769,0,548930,ND,ND,129816,ND,ND,308,1195,16287,2290,27694,1409490,4917,151842,2091908,2673,14322,133307,43822,284334,ND,ND,84293,ND,ND,14191,5724,8467,2707,7133,18624,32430,243606,29615,94032,53735,949294,3981,995,132550,200861,1.73,0,0,0
