1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1977:Q2,8950,497,1319,-1539,2171,-375,37,2508,-3796,5482,10411,-5595,3912,1683
1977:Q3,-9182,-911,-2947,2338,-5620,218,33,-5871,-12691,244,14397,-3992,4037,-45
1977:Q4,2548,-1106,-3828,-3039,13558,719,34,12805,24507,-1344,-23244,-2956,3107,-151
1978:Q1,-5271,-226,4851,12937,-9823,-588,29,-9264,-22727,-1184,12096,-1195,2650,-1455
1978:Q2,21086,1760,-1473,-1835,3548,310,15,3223,-11966,5312,33415,-7674,5956,1718
1978:Q3,-12450,376,-795,3254,-6836,-19,-31,-6786,-19967,746,15887,-5115,4966,150
1978:Q4,6226,-437,-2824,-14488,-278,-12621,-55,12398,30260,-2019,6218,-10206,9754,451
1979:Q1,11469,-814,-1296,14097,-7971,1289,-52,-9207,-25826,-1242,41811,-7290,8408,-1118
1979:Q2,5274,-1051,-513,84,1242,-1416,-29,2687,-6913,7903,17222,-12700,10579,2121
1979:Q3,-98,5598,-2769,-5060,-6084,422,-11,-6494,-12522,2094,30433,-11789,11633,156
1979:Q4,9618,-823,814,-20487,14078,1024,12,13042,33025,-1312,-1528,-14148,14379,-230
1980:Q1,12458,1779,-293,12646,-9813,-1182,16,-8647,-28881,-1716,56338,-17601,18737,-1136
1980:Q2,9930,1821,-3669,-2485,2855,-498,5,3347,-10050,11099,25791,-15432,13378,2054
1980:Q3,-23585,-4801,-2383,-1437,-8287,-1150,7,-7144,-9821,1962,5458,-4276,4517,-241
1980:Q4,3589,1493,-1651,-10695,16451,1738,11,14702,25740,-3944,-15827,-7979,7640,338
1981:Q1,4140,2517,-683,28052,-9282,-3923,11,-5370,-20052,-3045,21631,-14999,17098,-2098
1981:Q2,-16940,-4740,1178,-2150,9528,9320,6,202,-9471,11723,-11724,-11284,8798,2486
1981:Q3,-23588,-6919,-1509,-6502,-10845,-3724,3,-7124,-17381,2733,20904,-4069,3590,479
1981:Q4,-20990,-2384,-1415,211,14451,-1917,2,16366,33660,-3842,-53148,-8523,8222,301
1982:Q1,21135,1635,187,15761,-5852,-324,3,-5531,-19380,339,29127,-683,1761,-1079
1982:Q2,9419,-4794,3330,-10713,923,1462,6,-545,-2440,7500,19367,-3753,641,3113
1982:Q3,-15401,123,1267,-2514,-5445,-773,-11,-4661,-6618,519,-4587,1854,-1749,-105
1982:Q4,1203,-9,-1554,7580,8895,-16,29,8882,40538,-741,-46247,-7259,7996,-737
1983:Q1,-14721,3256,-9142,-11749,-4470,235,27,-4732,-29032,52,43985,-7622,9475,-1852
1983:Q2,-23700,-1723,4767,-7373,53,157,16,-120,-16733,400,12434,-15524,12577,2947
1983:Q3,-20676,-264,5423,2052,-3094,-250,16,-2860,-32041,1408,21247,-15407,15377,30
1983:Q4,13294,-1447,-16823,5866,11719,1441,3,10275,31047,-5308,7792,-19553,19423,130
1984:Q1,22932,-538,9428,762,-6105,-445,9,-5669,-28245,-5892,68185,-14664,16363,-1699
1984:Q2,-24059,-1097,1869,-8706,2701,-334,14,3021,-11946,6420,-574,-12726,9023,3703
1984:Q3,-24716,1783,4505,10110,-5567,1033,8,-6607,-23458,4077,-10824,-5342,5453,-112
1984:Q4,-51921,-636,3370,-14939,7581,212,7,7362,34044,436,-71753,-10024,10579,-556
1985:Q1,-1251,1104,-864,-17629,-2828,444,7,-3279,-33468,-3299,66874,-11142,12811,-1670
1985:Q2,4335,-1137,-816,-12256,883,246,8,629,-2316,7696,27782,-15501,10635,4866
1985:Q3,50438,7238,-1292,-3460,-2791,-172,8,-2627,-10361,1593,68688,-9178,9762,-584
1985:Q4,-23902,-852,-5061,2422,6837,813,8,6016,51753,-2637,-56685,-19679,20867,-1188
1986:Q1,-30592,7248,-10389,16228,-8002,-1191,8,-6819,-19060,-5095,2719,-14242,15180,-938
1986:Q2,-38007,964,-4002,-2438,1494,743,7,744,-20772,9483,2517,-25253,19437,5816
1986:Q3,-31502,7876,3259,-8520,-8797,-55,7,-8749,-9277,2073,-44,-18073,19041,-968
1986:Q4,-90989,4501,-4064,298,5778,-110,6,5882,55395,-601,-128566,-23730,26188,-2458
1987:Q1,-33811,-4456,6999,-1483,-9064,-545,6,-8525,-24570,-1543,16403,-16097,17732,-1635
1987:Q2,-53830,8211,-3492,-14685,4085,1456,5,2624,-19426,7507,-20493,-15536,9577,5959
1987:Q3,-48849,-599,9191,2870,-6013,337,5,-6354,-8974,4172,-50924,1428,-144,-1284
1987:Q4,-13769,11616,-9520,-7872,11409,-1265,4,12669,41941,-713,-45704,-14926,16441,-1515
1988:Q1,-12493,-5851,-1184,7269,-3537,1450,0,-4986,-27373,-6409,22927,1665,558,-2222
1988:Q2,-22908,-1093,2851,-1784,445,-1702,0,2147,-30319,11316,1561,-5884,-1246,7130
1988:Q3,-32405,616,1241,-5129,-4852,-626,0,-4226,-16546,35,-14698,6928,-5918,-1011
1988:Q4,-69221,3728,-3401,-6840,10412,2510,0,7902,38735,-997,-103652,-7206,9429,-2223
1989:Q1,21319,12306,6045,8650,-7579,-567,0,-7012,-24993,-8384,40914,-5639,7194,-1555
1989:Q2,4930,14908,-7934,2237,7017,2731,0,4286,-19990,15077,15619,-22005,14247,7758
1989:Q3,38621,4067,510,-2538,-1403,6039,0,-7442,-6866,-165,57263,-12247,13835,-1588
1989:Q4,11622,11232,-5947,-7526,8183,200,0,7983,45157,-6026,-3807,-29644,32552,-2908
1990:Q1,-87128,-7373,4052,-13245,-935,2106,0,-3041,-23972,-3504,-14648,-27504,29961,-2458
1990:Q2,16203,12466,356,1425,4766,-97,0,4863,-30077,12023,44423,-29179,21060,8119
1990:Q3,-60215,11951,-1922,-22304,-2394,1787,0,-4181,-16069,4170,-16704,-16943,18178,-1235
1990:Q4,-39701,8664,-6219,-3772,10367,-451,0,10817,61108,-2827,-83325,-23697,26156,-2460
1991:Q1,-11215,-7942,6563,-27187,-10071,-7814,0,-2257,-16328,-12132,68537,-12655,15171,-2516
1991:Q2,-41334,-5230,4080,6005,7067,3798,0,3269,-14100,5312,-15203,-29265,19968,9298
1991:Q3,41369,25,5364,882,4097,7938,0,-3841,2178,7664,36913,-15755,17374,-1620
1991:Q4,56667,-14348,-3821,-3214,-9660,-17016,0,7356,70947,-4180,58029,-37086,40198,-3112
