1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q2,-74569,96316,9801,95685,-328,-804,0,476,5086,38147,-345167,25891,-41189,15298
2006:Q3,84458,31152,18350,117870,1033,1516,0,-483,37687,25541,-214046,66872,-51773,-15099
2006:Q4,-159043,-16155,-23755,15587,-2211,-3050,0,839,160409,-15666,-284487,7235,-5032,-2202
2007:Q1,9349,43282,-1449,48972,-353,985,0,-1337,-58628,-53822,-64139,95486,-102597,7112
2007:Q2,197820,118271,-3875,11421,-1521,-1922,0,401,-30885,25105,64986,14318,-29672,15355
2007:Q3,-234993,45592,9831,-53895,144,339,0,-195,-28173,4964,-198733,-14723,30793,-16069
2007:Q4,-625471,-6989,1089,-231218,2754,1763,0,991,61720,-4372,-336363,-112091,113773,-1681
2008:Q1,63062,-61079,-36218,140770,726,932,0,-206,-53250,-18393,113618,-23111,15706,7405
2008:Q2,-98901,-117745,8393,-172373,-3339,-3006,0,-333,-16658,20124,243042,-60344,44705,15640
2008:Q3,3665,-76962,-14181,31389,87,1062,0,-975,20032,12132,46937,-15769,32021,-16253
2008:Q4,-242526,-82045,17670,-242447,-3010,-2240,0,-770,66697,-47483,144896,-96805,98768,-1963
2009:Q1,108550,-3897,25506,-19920,-82,477,0,-558,-34645,-25598,154369,12816,-17380,4564
2009:Q2,335907,18121,29558,244474,-159,202,0,-360,-15445,8680,100685,-50007,35258,14749
2009:Q3,440324,26066,-2881,65000,-1302,-154,0,-1148,54141,14868,336792,-52360,69092,-16732
2009:Q4,-257380,-99789,6479,-67550,846,218,0,628,113540,-25834,-77944,-107128,104750,2378
2010:Q1,35598,-52562,-5902,48337,-488,254,0,-741,-55392,-41179,83609,59174,-59276,102
2010:Q2,67736,49181,-1921,13403,-938,-1258,0,320,-35897,46493,36319,-38903,23558,15345
2010:Q3,132265,21257,8079,-42889,466,201,0,265,17672,21508,113219,-7047,22179,-15132
2010:Q4,-93142,19645,46201,40134,512,809,0,-297,28318,8879,-149242,-87589,82981,4608
2011:Q1,-8918,39839,15814,37102,-373,-482,0,109,-72683,-25675,-78604,75662,-77678,2016
2011:Q2,-32938,-86638,-17625,43945,465,289,0,176,-27766,35110,23206,-3635,-10188,13823
2011:Q3,-393896,20356,15159,-15677,-714,-1184,0,470,14710,23890,-447862,-3758,13979,-10220
2011:Q4,396874,-65315,-25262,16412,1451,1261,0,190,37587,-19129,499518,-48388,49597,-1209
2012:Q1,374060,3015,-5925,111706,780,450,0,330,-11354,-15379,187462,103754,-111438,7684
2012:Q2,-167138,-65678,-26642,-4129,1032,960,0,72,-13498,20580,-132814,54011,-67195,13185
2012:Q3,365226,14667,47408,-72863,-578,-670,0,92,19688,17931,345552,-6580,22583,-16003
2012:Q4,127964,-16927,-10781,-3816,778,-113,0,891,53809,-19647,126719,-2171,2403,-232
2013:Q1,47814,-8405,38408,-20367,-1163,429,0,-1591,-95980,-35702,72502,98521,-105882,7362
2013:Q2,5625,71239,-24755,-2672,707,-30,0,737,-83656,900,15159,28704,-44594,15890
2013:Q3,34897,-19662,-8991,-17025,140,-353,0,493,19607,1002,81300,-21474,38243,-16769
2013:Q4,-198212,-48739,32660,-45172,-403,423,0,-825,12416,-21419,-46440,-81115,82443,-1328
2014:Q1,-151997,25591,1233,33415,874,182,0,692,-26100,-22351,-266089,101430,-110501,9070
2014:Q2,38217,-64580,-16619,-34393,541,337,0,204,-47207,25321,136511,38644,-56087,17443
2014:Q3,92031,40203,4039,-14866,-844,239,0,-1083,81874,33886,-72629,20369,-1540,-18828
2014:Q4,62324,-97800,-19741,-69610,751,826,0,-75,38594,-177,235058,-24751,27188,-2437
2015:Q1,-70209,18072,8635,97421,-26,-93,0,67,1145,-36903,-294114,135561,-142539,6979
2015:Q2,-247121,-83203,-9224,-3360,-316,-404,0,88,-34140,16348,-150206,16979,-33471,16492
2015:Q3,-123729,-39737,2353,-3405,-397,249,0,-646,33527,11267,-118655,-8682,29975,-21292
2015:Q4,1946,-71179,-2012,21003,-1,-252,0,251,28534,-21804,103533,-56129,53040,3088
2016:Q1,-35944,40784,-679,47890,-502,-283,0,-219,-14615,-32830,-192781,116789,-119930,3141
2016:Q2,-41334,-44200,-7474,-31341,43,-176,0,219,-53219,8268,117226,-30637,10666,19971
2016:Q3,-80577,-20907,10505,-147127,815,557,0,258,73812,10221,39759,-47656,58687,-11031
2016:Q4,272557,-33999,74,106209,72,-286,0,358,30438,-15821,282515,-96931,103481,-6550
2017:Q1,-43517,95542,5346,-76914,-721,-196,0,-525,-53146,-29453,-124949,140778,-155108,14329
2017:Q2,-113168,45525,-10536,-53452,242,-8,0,250,-51726,56504,-64505,-35220,15813,19407
2017:Q3,-133542,-21610,-2441,-57313,-418,-400,0,-18,-10146,21840,-4443,-59011,80794,-21782
2017:Q4,-587974,1130,5132,-43345,804,217,0,588,20224,23722,-475967,-119674,126402,-6728
2018:Q1,-110889,50883,8269,-133244,-442,612,0,-1054,-69900,-51338,-2264,87147,-101073,13926
2018:Q2,57377,4552,-10972,92,-222,-927,0,704,-58513,2692,164816,-45068,24905,20163
2018:Q3,323920,88139,-6648,-23102,146,19,0,127,-4384,1723,299448,-31402,54808,-23406
2018:Q4,-222806,30867,-6454,-55782,-108,-175,0,67,50965,5618,-168443,-79469,84798,-5328
2019:Q1,-29687,-6775,8514,-54614,49,247,0,-198,-88217,-14786,-27335,153477,-166119,12642
2019:Q2,-309197,-34307,-14546,-16254,323,20,0,303,-78415,8586,-144001,-30582,9089,21493
