1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,6491,6491,6491,9310,10006,-696,-2819,171,-128,0,0,0,0,0,64,0,64,3,61,172,172,0,0,2991,1644,1382,-132,278,1236,2,260,0,0,1347,-1,1348
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,7039,7039,7039,11812,11602,210,-4773,1628,229,0,0,0,0,0,181,0,181,3,1096,119,119,0,0,6401,4371,3106,910,364,1832,8,1258,0,0,2029,2,2027
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,8007,8007,8007,12541,11117,1424,-4534,707,506,0,0,0,0,0,109,0,109,5,-117,204,204,0,0,5240,3621,3293,814,454,2025,4,325,0,0,1619,2,1617
1952:Q1,2079,2079,2079,2963,2679,285,-885,1649,13,0,0,0,0,0,842,0,842,1,728,65,65,0,0,2533,1177,527,40,127,360,0,649,0,0,1357,1,1356
1952:Q2,2096,2096,2096,3076,2659,417,-981,-61,-159,0,0,0,0,0,186,0,186,2,-163,73,73,0,0,920,1225,1139,333,118,688,1,85,0,0,-305,0,-305
1952:Q3,2113,2113,2113,2993,2409,584,-880,345,-202,0,0,0,0,0,65,0,65,1,406,75,75,0,0,1225,755,562,27,16,519,0,193,0,0,471,1,470
1952:Q4,2131,2131,2131,2833,2661,172,-702,164,-121,0,0,0,0,0,321,0,321,1,-107,70,70,0,0,866,-71,276,-21,31,266,-1,-346,0,0,937,2,935
1953:Q1,2152,2152,2152,3020,2793,228,-869,815,-84,0,0,0,0,0,-221,0,-221,2,1053,65,65,0,0,1684,1327,163,-119,122,160,1,1163,0,0,357,0,357
1953:Q2,2171,2171,2171,2740,2854,-114,-569,-46,-73,0,0,0,0,0,111,0,111,0,-148,64,64,0,0,523,951,853,169,49,635,0,98,0,0,-427,1,-428
1953:Q3,2189,2189,2189,3118,2930,188,-929,125,-41,0,0,0,0,0,-8,0,-8,3,107,64,64,0,0,1054,836,534,136,5,393,0,302,0,0,218,2,216
1953:Q4,2205,2205,2205,3369,2902,468,-1164,-303,2,0,0,0,0,0,246,0,246,2,-617,64,64,0,0,861,-1827,-630,-696,-81,147,0,-1197,0,0,2688,2,2686
1954:Q1,2219,2219,2219,2872,2701,172,-653,680,59,0,0,0,0,0,-309,0,-309,1,864,65,65,0,0,1333,1805,445,87,179,179,0,1360,0,0,-472,1,-473
