1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q1,47828,1120,10815,12052,6081,2079,0,1714,2178,16401,46,1673,1131,4590,5616,0,-1026,52314,43275,16863,0,17667,15761,1906,204,1120,96,7325,5055,6134,-3864,9039,831,784,1858,5566,0,5055,0,2029,0,0,0,0,3026
1978:Q2,51584,1102,11882,11906,5383,2672,0,1972,1879,18950,45,2024,1106,4569,6219,0,-1650,56030,46896,16352,0,20538,16940,3598,206,1140,157,8503,5859,3392,-748,9134,1011,794,1937,5392,0,5941,0,2385,0,0,0,0,3556
1978:Q3,54589,1299,13175,10588,4166,2941,0,1585,1896,20731,44,2282,1082,5388,6766,0,-1378,59291,49674,16480,0,21999,16933,5066,207,1160,235,9593,6249,3434,-90,9617,1231,794,2082,5510,0,6420,0,2577,0,0,0,0,3843
1978:Q4,54369,1225,16130,11850,5804,2681,0,1877,1488,17145,43,1918,1058,5000,6735,0,-1735,59008,49505,11434,0,26971,15824,11147,203,1190,187,9520,5719,3647,154,9503,946,782,1973,5802,0,7161,0,2875,0,0,0,0,4286
1979:Q1,53450,1374,16338,12120,4960,3829,0,1755,1576,16326,42,2092,1035,4123,5862,0,-1739,58495,48468,20415,0,18037,13763,4274,187,1240,186,8403,5307,5236,-2140,10027,1153,718,2065,6091,0,7138,0,2865,0,0,0,0,4273
1979:Q2,68706,1526,20791,18626,8025,6628,0,1904,2069,18958,41,2237,1012,5515,6885,0,-1370,74215,63500,29170,0,22825,16174,6651,204,1270,185,9846,6281,6422,-2857,10715,1177,785,2315,6438,0,7736,0,3106,0,0,0,0,4630
1979:Q3,70501,1936,22972,17078,7861,5402,0,1888,1927,20249,40,2487,990,4749,8149,0,-3400,76323,65112,28184,0,23513,15037,8476,221,1300,206,11688,7372,4888,-572,11211,1349,852,2495,6515,0,11616,0,4663,0,0,0,0,6953
1979:Q4,67470,2205,26640,13019,7169,2050,0,2184,1616,17458,39,2566,969,4574,9293,0,-4719,73375,62010,18301,0,29204,14805,14399,265,1340,208,12692,8147,3286,1259,11365,1284,1019,2694,6368,0,15158,0,6085,0,0,0,0,9073
1980:Q1,63046,2647,19397,11968,6144,2018,2358,1108,340,18735,38,164,948,9149,7451,0,1698,68098,57485,22387,0,21863,13122,8741,274,1400,239,11322,6731,5458,-867,10613,1179,1055,1594,6785,0,7722,0,3100,0,0,763,1902,1957
1980:Q2,76056,2711,24212,17208,7913,2744,3161,1738,1652,18620,37,-203,927,12544,10519,0,2025,90147,69669,27756,0,25235,13170,12065,283,1500,373,14522,9746,5154,-378,20478,1750,1088,2036,6929,8675,10094,0,4052,0,0,997,2486,2559
1980:Q3,77261,2905,22023,15695,6655,3183,3277,1718,862,19972,37,278,906,15445,12662,0,2783,92584,70680,24543,0,27258,11162,16096,349,1600,497,16433,10869,5520,44,21904,2446,1343,2022,7238,8855,10015,0,4020,0,0,989,2467,2539
1980:Q4,91220,2997,32911,16926,6750,2659,5017,2509,-9,24737,36,-1844,886,14571,14081,0,490,106610,84063,25859,0,35486,13265,22221,183,1700,483,20352,12951,7261,140,22547,2950,703,2172,8091,8631,20753,0,8331,0,0,2050,5112,5260
1981:Q1,90687,2950,25376,24545,6799,8989,5906,1696,1155,21807,35,352,867,14755,12450,0,2305,105888,83280,37416,0,26134,11508,14626,169,1800,419,17342,11653,9327,-3638,22608,3061,652,2351,7022,9522,10964,0,4401,0,0,1083,2701,2779
1981:Q2,95747,2720,29665,23576,10730,4633,4672,2066,1475,22179,34,20,848,16705,14660,0,2045,112889,87950,37518,0,27809,14746,13063,181,1900,374,20168,13620,13238,-6690,24939,2450,694,2489,7714,11592,13657,0,5482,0,0,1349,3364,3462
1981:Q3,93257,3139,34394,20680,8031,5025,4886,1766,972,21068,34,-503,829,13616,12168,0,1448,113921,85719,38516,0,26150,13861,12289,193,2000,334,18526,11592,19437,-12503,28202,2230,741,2259,8655,14317,13280,0,5331,0,0,1312,3271,3366
1981:Q4,121345,2844,47727,31008,11572,7749,7257,3004,1426,23023,33,-1483,811,17382,15944,0,1438,132045,113044,53977,0,34379,16020,18359,221,2100,324,22043,13860,19954,-11771,19001,2608,851,2191,9148,4203,20128,0,8080,0,0,1989,4958,5101
1982:Q1,102549,3398,34832,27902,9425,8301,6074,1873,2229,19250,56,-415,850,16676,13765,0,2911,113688,94431,48778,0,24932,10828,14104,181,2200,263,18077,11788,23906,-17617,19257,2142,411,2192,10030,4482,12848,0,5158,0,0,1269,3165,3256
1982:Q2,109250,3275,41500,27119,13009,4124,5043,2431,2512,19099,37,-796,985,18031,16072,0,1959,122206,101037,49209,0,28978,11805,17173,232,2300,263,20055,13004,31205,-24154,21169,1944,518,2287,11405,5015,16521,0,6632,0,0,1632,4070,4187
1982:Q3,129048,4557,50153,29703,14399,3375,5941,3108,2880,20798,13,-2605,821,25608,24562,0,1046,142402,120220,57871,0,30829,13275,17554,299,2450,406,28365,20878,22750,-15263,22182,2501,672,2532,10888,5589,23903,0,9596,0,0,2362,5888,6057
1982:Q4,149990,4504,43738,51275,16447,15132,12138,4628,2930,25791,-2,-2516,645,26555,25257,0,1298,164647,139820,74247,0,37888,14575,23313,298,2600,643,24144,22977,21718,-20551,24827,3803,945,2994,11396,5689,30190,0,12119,0,0,2983,7437,7651
1983:Q1,141833,3952,49007,32585,8315,10378,9194,3319,1379,26743,-16,-1518,714,30366,26270,0,4096,158348,130918,63669,46,31707,13760,17947,324,2692,649,31831,22267,24502,-14938,27430,5179,1056,3171,12436,5588,26864,0,10784,0,0,2654,6617,6809
1983:Q2,155530,4013,53224,33623,8954,8038,8567,3821,4243,32758,-25,231,760,30946,28130,0,2816,173389,143811,66287,74,36396,17540,18856,352,3221,520,36961,24799,24742,-12580,29578,6394,1090,3402,12704,5988,29196,0,11720,0,0,2885,7192,7399
1983:Q3,174432,3421,62693,40717,10208,12414,10855,3614,3626,33781,-30,-261,826,33285,31095,0,2190,190816,162414,84353,122,35228,15455,19773,385,3083,494,38749,28679,25259,-15189,28402,4737,1132,3408,13070,6055,31386,0,12600,0,0,3101,7731,7954
1983:Q4,193504,3641,78562,44999,11598,11166,11668,6472,4095,34177,-26,413,638,31100,29674,0,1426,211406,180847,95150,377,41033,18460,22573,393,5086,486,38322,24479,26265,-12422,30559,5040,1358,3642,13827,6692,38938,0,15631,0,0,3847,9592,9868
1984:Q1,186401,3726,81202,40604,10641,10730,11953,3696,3584,31723,-25,-2279,451,30999,30092,0,907,204933,173622,96334,128,36500,17688,18812,440,4027,410,35783,24340,29422,-17979,31311,3740,1541,3686,14883,7461,42243,0,16958,0,0,4174,10406,10705
1984:Q2,195440,3525,93633,33428,11596,5693,9025,3370,3744,32657,-42,-1580,620,33199,30342,0,2857,213305,182843,101931,337,36398,17641,18757,504,4133,266,39274,27017,32770,-20513,30462,3330,1621,3322,16297,5892,37484,0,15048,0,0,3703,9233,9500
