1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1992:Q1,4221022,279691,28567,114190,136934,29338,35309,179620,981990,7033,258440,471200,276855,0,97625,0,96720,102468,142849,31068,0,26604,0,85177,2530789,612844,12251,1509201,396493,1267,7262,31816,12850,4457,0,126632,4179683,3951627,206545,512,52,78274,127707,676366,2494624,272332,44824,12480,32344,84265,24758,147913,28069,119844,228056,10801,217255,0,ND
1992:Q2,4192697,278346,22093,115605,140648,29693,34861,166037,995034,6090,265738,483400,274749,0,105592,0,103059,100617,139189,30123,0,23884,0,85182,2501082,604690,11715,1490564,394113,1326,7241,32246,12693,3990,0,130147,4151833,3912885,203045,-166,1359,81711,120141,702599,2445645,254479,46197,11935,34262,84906,25255,150759,29544,121215,238948,11751,227197,0,ND
1992:Q3,4186928,249853,26331,107133,116389,30194,35858,169479,1024336,6452,282488,491167,272540,0,119487,0,99140,100771,143458,29998,0,23481,0,89979,2492972,599436,12590,1486172,394774,1318,6757,32778,13056,4353,0,125974,4147063,3900736,182412,-227,609,76304,105725,721695,2407214,274526,49073,12776,36297,87533,26709,151574,30640,120934,246327,12206,234121,0,ND
1992:Q4,4221233,276393,31320,118019,127054,31870,30773,176546,1045589,6487,288325,503167,276202,0,122709,0,104256,99082,148528,30241,0,21624,0,96663,2477061,593340,12550,1470913,400258,1635,7598,34215,13112,3356,0,123086,4177826,3922041,180252,3253,675,76473,99851,784151,2366882,278342,51753,12756,38997,86501,25590,148569,34605,113964,255785,14827,240958,0,ND
1993:Q1,4190869,257218,33273,106883,117062,30561,28736,166831,1076164,7145,299375,518794,283799,0,129455,0,105540,97535,153315,32417,0,21562,0,99336,2451386,584873,11216,1459623,395674,1781,7988,34507,13434,3742,0,118521,4142472,3873624,182422,337,753,75265,106067,740062,2333783,297855,50591,11355,39236,91535,25592,151784,32916,118868,268848,19030,249818,0,ND
1993:Q2,4228162,254684,26786,110552,117346,32210,24871,160745,1082655,5356,295746,529694,289409,0,136421,0,103864,98355,153504,30544,0,20842,0,102118,2485177,595494,10502,1475173,404008,2107,8121,34562,13844,3367,0,125819,4181724,3903952,184869,221,1534,78034,105080,787521,2301725,288355,51788,10723,41065,98161,23357,168176,33162,135014,277772,19118,258654,0,ND
1993:Q3,4271171,252586,28338,106736,117512,31735,22755,161759,1102879,5135,301069,537990,291514,0,137451,0,109025,100938,157747,29849,0,21905,0,105993,2508775,597035,10494,1484688,416558,1980,9188,35482,14393,3751,0,125888,4220619,3932755,185293,947,2918,76097,105332,802828,2281417,310167,51578,10622,40956,104549,26529,170393,34264,136129,287864,22737,265127,0,ND
1993:Q4,4336959,265159,33831,114048,117280,32671,23745,165194,1110852,5180,303227,543577,296697,0,133808,0,113072,101039,157829,34957,0,19814,0,103058,2557430,605639,10142,1508090,433559,2756,10073,46823,14755,3889,0,103612,4279256,3981401,185616,909,94,76893,107720,862283,2264987,306536,51309,10226,41083,108426,27224,175020,32806,142214,297855,22532,275323,0,ND
1994:Q1,4439281,258902,34953,113471,110478,31439,21916,162950,1137064,4271,323323,543499,300997,0,132125,0,110377,101453,164518,37168,0,20799,0,106551,2546456,609040,10574,1491899,434943,3415,8758,46945,14972,2988,0,203475,4473684,4174384,193624,444,463,73482,119235,833900,2267205,324118,51525,10657,40868,105828,28929,369256,33960,335296,299300,22210,277090,0,ND
1994:Q2,4499320,256289,32473,111428,112388,34426,18205,153490,1125799,3876,310057,548059,307397,0,127363,0,113299,101107,162700,36545,0,20644,0,105511,2595033,621611,10350,1511516,451556,3451,7758,47822,15677,2330,0,239039,4535991,4227752,215606,866,701,77341,136698,828611,2246869,334657,51155,10403,40752,113241,25535,412078,33059,379019,308239,25609,282630,0,ND
1994:Q3,4508269,252491,29289,115371,107831,31155,15410,150935,1114984,3479,294341,558290,317171,0,123827,0,117292,100335,158539,33778,0,21308,0,103453,2649483,628955,10773,1536775,472980,3557,7425,48560,16118,2036,0,216116,4523679,4208704,223186,188,504,83349,139146,800467,2242325,350221,52465,10800,41665,121325,28014,390700,33571,357129,314975,25402,289573,0,ND
1994:Q4,4570981,252396,29691,117990,104715,38129,15994,157946,1090161,3725,275149,558006,316023,0,119396,0,122587,98983,154298,32780,0,21491,0,100027,2718740,643926,9895,1567674,497245,2740,6806,47705,16588,2007,0,221769,4585928,4269838,249437,-716,223,83855,166075,822168,2243186,362271,53628,9958,43670,130485,26613,382051,35402,346649,316090,24924,291166,0,ND
1995:Q1,4601104,249396,29454,111518,108424,31291,14796,165560,1077511,3464,269193,559120,313651,0,116474,0,128995,96766,148968,30526,0,21641,0,96801,2769464,666072,11438,1594746,497208,2753,6942,47928,17095,2125,0,216242,4624889,4296976,250635,57,84,79846,170647,772351,2283999,371397,55197,11456,43741,124435,31083,407880,36568,371312,327913,25158,302755,0,ND
1995:Q2,4649750,246555,24038,117398,105119,33596,17927,177812,1065890,4128,248290,566567,311639,0,113937,0,140991,95848,151057,33155,0,22573,0,95329,2836724,693647,11690,1621309,510078,2781,7871,48554,17587,2447,0,192006,4651027,4311201,249129,292,217,84348,164273,797003,2319636,377891,56801,11655,45146,124758,29993,355989,37276,318713,339826,27872,311954,0,ND
1995:Q3,4683702,230412,22828,113048,94536,33072,16922,169328,1078750,4122,242995,583918,321995,0,109349,0,152574,94689,153026,32188,0,23611,0,97227,2888294,704455,12512,1645713,525614,2813,9716,49191,18354,2580,0,184270,4689322,4335186,231466,73,421,79955,151017,758483,2361265,392926,59175,12494,46681,125970,34923,370978,38733,332245,354136,32188,321948,0,ND
1995:Q4,4708559,214626,28557,94971,91098,40562,19254,197026,1059570,4098,226018,586032,329925,0,101036,0,155071,94676,148746,29200,0,24943,0,94603,2918874,718022,12270,1646148,542434,2484,10338,55768,18863,2323,0,168872,4734044,4372040,204248,107,135,55967,148039,774238,2398728,378621,58607,12283,46324,134074,37163,386360,43107,343253,362004,36915,325089,0,ND
1996:Q1,4711469,209861,24173,93041,92647,34386,17505,185889,1062996,4301,227164,587285,339715,0,97320,0,150250,94239,150007,29136,0,25875,0,94996,2938127,731371,12807,1662470,531479,2389,11506,56836,19061,2463,0,170450,4728682,4360775,188046,28,43,56942,131032,722707,2468932,372565,60863,12844,48019,132085,37441,378137,42196,335941,367907,38008,329899,0,ND
