date,FU174090005.Q,FU173020005.Q,FU173030005.Q,FU153030505.Q,FU173034005.Q,FU174022005.Q,FU173061105.Q,FU153061705.Q,FU173062005.Q,FU153063005.Q,FU174023005.Q,FU153064105.Q,FU153064205.Q,FU163070005.Q,FU153040005.Q,FU153050005.Q,FU173099005.Q,FU175050005.Q,FU175012005.Q,FU175013005.Q,FU155111003.Q,FU155420003.Q,FU115020005.Q,FU176300005.Q,FU176320005.Q,FU176330005.Q,FU156300103.Q,FU172010005.Q,FU175012865.Q,FU175013865.Q,FU155111005.Q,FU155420003.Q,FU115020005.Q,FU174190005.Q,FU173165105.Q,FU173165205.Q,FU153166000.Q,FU173169005.Q,FU173199005.Q,FU175440005.Q,FU176007025.Q,FU155111005.Q,FU313154015.Q,FU156600075.Q,FU176007005.Q,FU156007015.Q,FU176007085.Q,FU156012005.Q,FU176007026.Q,FU176007006.Q,FU156007016.Q,FU176007086.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,25035,5806,6338,365,0,-3570,-2606,32,-52,-944,2867,900,185,0,3800,6705,1639,29199,7909,5308,15862,0,120,16931,3072,3125,10727,12268,4837,2183,5135,0,120,10221,4394,990,2977,-582,2442,878,27960,5135,1320,0,21505,19552,1953,165324,16.911959815228577,13.007505531519016,11.826474075149404,1.1810314563696107
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,17199,45,3479,144,0,-2259,-2147,55,641,-808,3483,991,163,0,3150,7057,946,38521,12137,7628,20447,0,-1691,20557,3870,4015,12663,17964,8267,3613,7784,0,-1691,11783,5167,822,3521,446,1827,996,24376,7784,1116,0,15476,11021,4455,174691,13.953672834140196,8.858962746041783,6.308853919205911,2.5501088268358707
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,13430,-2868,2201,-81,0,-687,-849,-53,171,44,2914,833,148,0,2843,7357,770,50588,15708,9174,22947,0,2759,24631,4399,4863,15359,25957,11309,4311,7588,0,2759,11090,5155,1190,3034,428,1283,1068,29364,7588,641,0,21135,17191,3944,194291,15.113525988586701,10.878126510484268,8.848068104029522,2.030058406454745
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,13651,-1907,2594,-140,0,-1402,-24,-66,-905,-407,2300,530,275,0,2751,7904,746,48255,14741,9034,25176,0,-696,26753,4647,5455,16640,21502,10094,3579,8536,0,-696,9595,3984,1481,3042,841,247,915,26473,8536,592,0,17345,13623,3722,194338,13.622080771037004,8.925109514772146,7.009951733577581,1.9151577811945646
