1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q4,206,10,196,0,206,64,0,0,-1,0,78,0,0,57,2,3,0,0,0,3,0
1953:Q1,106,5,101,0,106,53,0,0,22,0,24,0,0,17,3,4,0,0,0,-17,0
1953:Q2,179,9,170,0,179,52,0,0,24,0,73,0,0,15,3,4,0,0,0,8,0
1953:Q3,168,8,160,0,168,46,0,0,39,0,51,0,0,12,3,3,0,0,0,14,0
1953:Q4,187,9,178,0,187,77,0,0,25,0,52,0,0,31,3,5,0,0,0,-6,0
1954:Q1,53,3,50,0,53,63,0,0,-26,0,1,0,0,6,3,4,0,0,0,2,0
1954:Q2,138,7,131,0,138,69,0,0,25,0,27,0,0,7,2,5,0,0,0,3,0
1954:Q3,140,7,133,0,140,55,0,0,68,0,-9,0,0,9,3,5,0,0,0,9,0
1954:Q4,213,11,202,0,213,98,0,0,17,0,64,0,0,19,4,5,0,0,0,6,0
1955:Q1,117,6,111,0,117,88,0,0,27,0,-49,0,0,32,4,5,0,0,0,10,0
1955:Q2,207,10,197,0,207,83,0,0,30,0,48,0,0,20,5,5,0,0,0,16,0
1955:Q3,190,10,181,0,190,81,0,0,12,0,38,0,0,24,5,5,0,0,0,25,0
1955:Q4,311,16,295,0,311,115,0,0,46,0,66,0,0,72,7,5,0,0,0,0,0
1956:Q1,167,8,159,0,167,94,0,0,15,0,27,0,0,27,8,6,1,0,0,-11,0
1956:Q2,170,9,162,0,170,112,0,0,15,0,11,0,0,24,8,4,0,0,0,-4,0
1956:Q3,145,7,138,0,145,100,0,0,4,0,14,0,0,7,9,6,-1,0,0,6,0
1956:Q4,92,5,87,0,92,82,0,0,9,0,-9,0,0,5,9,7,0,0,0,-11,0
1957:Q1,21,1,20,0,21,76,0,0,18,0,-29,0,0,-37,8,9,0,0,0,-24,0
1957:Q2,97,5,92,0,97,97,0,0,6,0,14,0,0,-29,8,11,0,0,0,-10,0
1957:Q3,197,7,142,48,197,156,0,0,2,0,21,0,0,-2,9,12,0,0,0,-1,0
1957:Q4,232,9,175,48,232,143,0,0,17,0,49,0,0,4,9,13,0,0,0,-3,0
1958:Q1,414,14,274,126,414,253,0,0,16,1,110,0,0,-1,10,14,0,0,0,11,0
1958:Q2,492,18,349,125,492,301,0,0,15,2,140,0,0,-1,10,14,0,0,0,11,0
1958:Q3,503,21,390,92,503,266,0,0,13,2,185,0,0,-1,11,16,0,0,0,11,0
1958:Q4,545,23,429,93,545,249,0,0,90,1,164,0,0,-1,13,18,0,0,0,11,0
1959:Q1,567,26,492,49,567,220,0,0,95,1,142,0,0,64,15,18,0,0,0,12,0
1959:Q2,547,25,471,51,547,253,0,0,79,1,142,0,0,45,16,17,0,0,0,-6,0
1959:Q3,533,21,405,107,533,270,0,0,74,1,149,0,0,-8,17,20,0,0,0,10,0
1959:Q4,488,19,361,108,488,258,0,0,53,3,105,0,0,18,18,25,0,0,0,8,0
1960:Q1,499,20,379,100,499,242,0,0,35,2,88,0,0,75,21,32,0,0,0,4,0
1960:Q2,503,20,381,102,503,211,0,0,32,1,167,0,0,43,22,37,0,0,0,-10,0
1960:Q3,591,25,466,101,591,224,0,0,25,3,212,0,0,56,22,39,1,0,0,9,0
1960:Q4,493,20,371,102,493,205,0,0,28,8,175,0,0,25,20,37,1,0,0,-6,0
1961:Q1,638,29,555,54,638,213,0,0,15,11,238,0,0,103,20,37,0,0,0,1,0
1961:Q2,519,23,442,54,519,165,0,0,20,15,228,0,0,31,16,37,0,0,0,7,0
1961:Q3,847,40,751,57,847,236,0,0,28,18,401,0,0,80,18,37,0,0,0,29,0
1961:Q4,832,39,736,57,832,284,0,0,20,21,252,0,0,171,20,34,0,0,0,30,0
1962:Q1,596,26,490,80,596,41,0,0,2,24,427,0,0,56,21,30,1,0,0,-6,0
1962:Q2,719,32,606,81,719,95,0,0,37,27,412,0,0,70,21,27,5,0,0,25,0
1962:Q3,832,39,745,48,832,90,0,0,-8,31,555,0,0,86,23,27,0,0,0,28,0
1962:Q4,963,46,866,51,963,81,0,0,0,36,499,0,0,286,24,29,4,0,0,4,0
1963:Q1,650,31,594,25,650,27,0,0,-33,41,479,0,0,84,23,29,0,0,0,0,0
1963:Q2,820,40,753,27,820,-1,0,0,-15,46,575,0,0,134,22,29,0,0,0,30,0
1963:Q3,792,39,749,4,792,-57,0,0,-33,49,585,0,0,158,23,30,-1,1,0,37,0
1963:Q4,1030,51,973,6,1030,-5,0,0,-2,49,681,0,0,219,30,34,1,0,0,23,0
1964:Q1,912,46,869,-3,912,-27,0,0,9,51,405,0,0,406,40,35,-1,0,0,-6,0
1964:Q2,1159,58,1107,-6,1159,-36,0,0,21,55,562,0,0,439,44,37,0,0,0,37,0
1964:Q3,1218,60,1140,18,1218,17,0,0,-19,54,594,0,0,468,41,40,0,1,0,22,0
1964:Q4,1265,62,1182,21,1265,11,0,0,-24,51,549,0,0,580,42,47,0,0,0,9,0
1965:Q1,806,39,743,24,806,-94,0,0,-36,48,416,0,0,371,41,51,0,0,0,9,0
1965:Q2,916,45,846,26,916,-126,0,0,-47,47,520,0,0,374,72,55,0,0,0,21,0
1965:Q3,943,48,910,-15,943,-159,0,0,20,44,544,0,0,357,36,59,0,1,0,41,0
1965:Q4,970,49,937,-16,970,-122,0,0,61,41,435,0,0,473,26,60,-1,1,0,-4,0
1966:Q1,974,49,940,-15,974,-19,0,0,130,35,379,0,0,353,37,64,0,0,0,-5,0
1966:Q2,888,45,858,-15,888,13,0,0,84,30,299,0,0,377,24,69,0,-1,0,-7,0
1966:Q3,633,32,616,-15,633,-43,0,0,48,28,127,0,0,377,35,66,0,1,0,-6,0
1966:Q4,567,29,555,-17,567,-21,0,0,40,31,70,0,0,371,58,57,0,0,0,-39,0
1967:Q1,693,35,671,-13,693,-49,0,0,62,32,202,0,0,365,25,57,-1,1,0,-1,0
1967:Q2,833,42,806,-15,833,-31,0,0,22,32,382,0,0,329,-3,56,0,0,0,46,0
1967:Q3,947,48,916,-17,947,-8,0,0,46,33,489,0,0,318,25,27,0,2,0,15,0
1967:Q4,1067,54,1031,-18,1067,45,0,0,85,35,454,0,0,416,8,28,0,2,0,-6,0
1968:Q1,662,47,633,-18,662,5,0,0,93,37,338,0,0,157,2,47,2,1,0,-20,0
1968:Q2,765,52,731,-18,765,-89,11,0,81,39,436,0,0,206,-12,39,0,2,0,33,19
1968:Q3,899,73,840,-14,899,63,4,0,69,41,434,0,0,245,6,2,3,3,0,20,9
1968:Q4,1110,69,1057,-16,1110,-65,12,0,100,44,495,0,0,429,0,30,2,3,0,40,20
1969:Q1,945,100,864,-19,945,61,27,0,63,38,472,0,0,207,4,22,2,4,0,-2,47
1969:Q2,1156,62,1119,-25,1156,-67,23,0,170,50,614,0,0,237,-1,29,2,4,0,52,43
1969:Q3,1160,63,1109,-12,1160,-88,32,0,192,111,496,0,0,315,21,25,8,4,0,-13,57
1969:Q4,1664,101,1588,-25,1664,-315,68,0,256,187,478,0,0,722,30,35,3,5,0,74,121
1970:Q1,2192,111,2098,-17,2192,840,99,0,113,233,364,0,0,324,8,25,22,5,0,-15,174
1970:Q2,1587,86,1525,-24,1587,28,45,0,91,79,569,0,0,405,0,37,97,5,0,150,81
1970:Q3,2114,131,2009,-26,2114,287,48,0,149,108,693,0,0,392,-24,10,96,8,0,263,84
1970:Q4,2161,116,2053,-8,2161,-14,88,0,153,152,760,0,0,613,15,10,75,7,0,145,157
1971:Q1,2183,122,2075,-14,2183,-302,49,75,143,223,1227,0,0,209,-44,159,114,9,0,233,88
1971:Q2,2740,149,2612,-21,2740,-283,76,75,86,97,1925,0,0,93,-131,136,150,10,0,370,136
1971:Q3,2347,124,2241,-18,2347,-379,92,75,57,205,1392,0,0,202,-31,53,223,9,0,286,163
1971:Q4,2451,139,2332,-19,2451,-665,110,75,113,191,1685,0,0,274,-107,-62,332,26,0,284,195
1972:Q1,2586,148,2463,-25,2586,-34,222,75,62,233,1224,0,0,90,-179,-7,260,32,0,214,394
1972:Q2,3366,235,3149,-18,3366,178,143,75,74,229,1961,0,0,11,-111,-14,193,66,0,306,255
1972:Q3,2788,177,2632,-21,2788,38,129,75,52,266,1637,0,0,127,-47,14,276,68,0,-77,230
1972:Q4,4042,239,3825,-22,4042,97,241,75,94,250,1738,0,0,372,-8,-44,250,112,0,438,427
1973:Q1,1817,132,1707,-22,1817,-238,102,37,-17,154,1173,0,0,12,-50,-96,255,110,0,192,183
1973:Q2,3364,215,3167,-18,3364,-207,349,22,36,155,1231,0,0,247,-4,6,574,44,0,291,620
1973:Q3,3170,161,3025,-16,3170,-209,237,-11,142,270,1186,0,0,321,-25,24,533,52,0,230,420
1973:Q4,2064,115,1964,-15,2064,-293,169,-39,137,338,725,0,0,524,-18,-6,482,18,0,-274,301
1974:Q1,2164,131,2053,-20,2164,33,125,-6,62,232,499,0,0,229,13,20,561,16,0,157,223
1974:Q2,1866,97,1791,-22,1866,-3,-8,-10,85,276,926,0,0,255,8,-14,584,16,0,-235,-14
1974:Q3,1712,96,1647,-31,1712,-15,-75,-16,253,333,618,0,0,274,6,34,574,89,0,-229,-134
1974:Q4,1133,66,1100,-33,1133,-48,17,-25,315,511,270,0,0,416,3,47,487,38,0,-929,31
1975:Q1,-82,-4,-74,-4,-82,563,-551,-50,325,166,-163,0,0,175,62,-15,219,120,0,-206,-727
1975:Q2,149,1,190,-42,149,202,-284,-38,390,299,427,0,0,-36,2,11,40,-43,0,-134,-687
1975:Q3,80,-9,106,-17,80,407,-348,-8,284,171,372,0,0,-61,-10,0,-21,237,0,-201,-742
1975:Q4,-135,-5,-103,-27,-135,101,-255,16,213,112,255,0,0,-74,-10,156,3,86,0,-225,-513
1976:Q1,1441,93,1370,-22,1441,-148,300,23,71,-138,1357,0,0,-64,-5,-12,-135,271,0,104,-183
1976:Q2,1438,114,1346,-22,1438,-325,254,38,-89,105,1999,0,0,-198,23,17,4,23,0,-236,-177
1976:Q3,1302,101,1233,-32,1302,-209,225,74,352,163,942,0,0,-133,5,-51,5,89,0,9,-169
1976:Q4,986,117,884,-15,986,-210,153,108,-113,180,1129,0,0,-56,-3,15,66,101,0,-222,-162
1977:Q1,1247,57,1223,-33,1247,-168,366,43,40,106,909,0,0,-245,27,-13,1,265,0,-14,-70
1977:Q2,2604,102,2532,-30,2604,-272,422,55,67,1,2050,0,0,-26,26,-28,121,63,0,194,-69
1977:Q3,2089,87,2027,-25,2089,-94,365,86,-28,119,1705,0,0,-56,-4,-289,56,225,0,71,-67
1977:Q4,2444,116,2353,-25,2444,-123,371,115,218,62,1418,0,0,-28,-24,180,-125,372,0,76,-68
1978:Q1,2522,26,2520,-24,2522,-230,415,120,348,84,1691,0,0,-175,3,35,-33,301,0,-12,-25
1978:Q2,3445,222,3250,-27,3445,-32,491,128,67,197,1952,0,0,40,-2,231,-194,584,0,7,-24
1978:Q3,2409,174,2261,-26,2409,-64,380,149,406,-119,1147,0,0,54,-14,55,70,267,0,109,-31
1978:Q4,2447,174,2293,-20,2447,-149,384,170,121,226,593,0,0,258,-50,239,149,361,0,162,-17
1979:Q1,2451,143,2334,-26,2451,-96,418,160,210,214,1007,0,0,64,-8,153,65,250,0,15,-1
1979:Q2,2268,110,2199,-41,2268,-139,465,147,97,319,852,0,0,12,-8,160,-48,333,0,78,0
1979:Q3,2493,114,2404,-25,2493,-52,443,116,188,301,660,0,0,-12,52,202,110,288,0,198,-1
1979:Q4,2631,128,2529,-26,2631,-159,510,90,622,542,469,0,0,151,-2,52,61,339,0,-43,-1
1980:Q1,1979,97,1903,-21,1979,-83,612,-52,435,263,488,0,0,50,-61,225,36,79,0,0,-13
1980:Q2,1381,67,1346,-32,1381,-17,193,-8,806,383,-159,0,0,27,-27,54,-62,221,0,-17,-13
1980:Q3,1810,88,1751,-29,1810,-156,125,104,167,444,610,0,0,46,-76,161,86,214,0,99,-14
1980:Q4,2308,114,2217,-22,2308,-85,86,195,450,366,719,0,0,176,-44,72,101,144,0,141,-13
1981:Q1,1422,73,1379,-30,1422,-88,-134,325,436,133,599,0,0,13,-12,134,-20,135,0,-91,-8
1981:Q2,1004,53,978,-27,1004,-111,-208,357,397,383,-85,0,0,-32,8,213,-19,90,0,19,-8
1981:Q3,1087,58,1057,-28,1087,-98,-276,438,-388,396,442,0,0,-54,-2,412,12,173,0,41,-9
1981:Q4,1278,69,1233,-24,1278,-270,-660,505,513,337,417,0,0,-158,-6,163,-54,457,0,42,-8
1982:Q1,1263,71,1218,-26,1263,135,-404,317,-95,372,608,0,0,-74,0,352,-23,39,0,18,18
1982:Q2,1054,65,1021,-32,1054,949,-1145,295,322,202,389,0,0,-209,-23,10,-25,108,0,163,18
1982:Q3,704,49,685,-30,704,-50,-247,238,-849,375,912,0,0,-23,-9,201,-38,105,0,71,18
1982:Q4,2422,130,2323,-31,2422,84,182,196,314,403,1092,0,0,-121,178,76,-35,109,0,-74,18
1983:Q1,1032,57,990,-15,1032,472,-437,164,-322,298,423,0,0,8,35,157,-10,293,0,-56,7
1983:Q2,3741,192,3581,-32,3741,1085,-302,205,38,597,1729,0,0,-86,35,118,38,273,0,5,6
1983:Q3,5023,253,4784,-14,5023,1110,-540,303,-189,622,3322,0,0,79,-19,50,-96,451,0,-77,7
1983:Q4,5445,272,5193,-20,5445,1003,-908,385,126,879,3425,0,0,250,-8,263,-9,214,0,-180,5
1984:Q1,6043,332,5748,-37,6043,1,181,547,-485,966,4208,0,0,-46,257,28,52,133,0,133,68
1984:Q2,8004,446,7582,-24,8004,-44,287,533,-6,1408,4828,0,0,-77,-24,19,454,488,0,74,64
1984:Q3,5417,315,5130,-28,5417,-135,74,496,-376,1199,3696,0,0,-215,49,11,124,427,0,0,67
1984:Q4,5771,309,5473,-11,5771,-203,206,471,273,928,3607,0,0,169,35,11,229,17,0,-26,54
1985:Q1,5401,274,5152,-25,5401,225,-346,307,-239,513,3200,0,0,65,372,-23,242,903,0,158,24
1985:Q2,6474,329,6165,-20,6474,-46,-26,253,222,631,4259,0,0,58,157,27,525,347,0,32,35
1985:Q3,5674,289,5398,-13,5674,46,67,118,-79,804,4005,0,0,13,-9,-15,534,158,0,-5,37
1985:Q4,10951,554,10408,-11,10951,169,264,13,119,1232,6100,0,0,820,1114,-8,646,72,0,240,170
1986:Q1,7059,398,6673,-11,7059,-96,-70,186,196,1967,3834,0,0,138,-513,38,-585,1993,0,-73,44
1986:Q2,7888,470,7427,-9,7888,276,309,209,66,1738,2332,0,0,209,644,-10,1267,112,0,677,59
1986:Q3,7976,395,7593,-12,7976,80,92,267,197,1447,3377,0,0,561,216,3,301,1053,0,362,20
1986:Q4,10556,498,10062,-4,10556,736,667,316,492,1875,5350,0,0,150,-13,-12,-709,1709,165,-48,-122
1987:Q1,3509,206,3312,-9,3509,-1827,2100,-197,-30,3203,737,0,0,-18,-1034,-150,-531,1839,9,-638,46
1987:Q2,4749,239,4512,-2,4749,-450,741,-311,86,3144,-465,0,0,729,-139,-14,276,1150,19,-12,-5
1987:Q3,4452,235,4220,-3,4452,239,-288,-288,47,515,2791,0,0,305,159,-78,-123,1004,190,-97,76
1987:Q4,4532,289,4244,-1,4532,0,-418,-133,266,133,2915,0,0,945,-82,-114,72,520,146,188,94
1988:Q1,11983,595,11388,0,11983,0,1588,4280,96,209,3339,0,0,209,270,-57,171,1350,253,217,58
1988:Q2,-2328,-110,-2219,1,-2328,0,2477,-8561,-236,201,1595,0,0,530,429,-31,313,798,9,140,8
1988:Q3,3345,159,3188,-2,3345,0,-6622,6462,256,215,45,0,0,571,257,-40,247,1509,55,286,104
1988:Q4,5314,362,4956,-4,5314,0,-366,348,218,468,1557,0,0,878,136,-44,372,1572,121,-106,160
1989:Q1,3312,182,3131,-1,3312,0,2249,-2243,326,360,720,0,0,448,-3,-37,315,1452,-33,-191,-51
1989:Q2,5171,266,4906,-1,5171,0,213,-310,235,239,1337,0,0,553,698,-60,491,1574,-15,229,-13
1989:Q3,833,84,751,-1,833,0,-403,-333,-336,59,-414,0,0,588,184,-93,541,925,35,110,-30
1989:Q4,1194,103,1091,0,1194,0,-78,-314,227,557,-1678,0,0,787,431,-73,1154,133,-1,17,32
1990:Q1,1937,140,1796,1,1937,0,1998,953,1704,338,-3271,0,0,675,-2830,-107,75,1099,39,1278,-14
1990:Q2,-5963,-255,-5705,-3,-5963,0,-3407,-41,2763,277,-6143,0,0,493,44,-2,-17,335,-33,-226,-6
1990:Q3,2339,193,2147,-1,2339,0,-38,-57,5210,136,-3583,0,0,87,22,-65,606,-191,-45,262,-5
1990:Q4,563,71,492,0,563,0,-350,-75,969,262,-3488,0,0,921,14,-9,526,1795,-46,152,-107
1991:Q1,1554,101,1453,1,1554,0,-368,-111,4412,393,-1603,0,0,536,-76,-30,-108,-1779,83,295,-90
1991:Q2,1263,90,1174,-1,1263,0,87,-142,3695,88,-2777,0,0,530,-100,-68,277,233,-28,-532,0
1991:Q3,-7534,-345,-7189,0,-7534,0,-1012,-212,-169,339,-6320,0,0,-31,-69,-78,101,-1250,1215,-48,0
1991:Q4,1464,144,1320,0,1464,0,209,-91,1007,146,-1706,0,0,-607,-89,-52,709,170,1642,127,0
1992:Q1,-177,62,-239,0,-177,0,-123,6,1759,120,-2684,0,0,-247,-49,-165,504,-471,1138,66,-30
1992:Q2,-3849,-185,-3661,-2,-3849,0,-34,-14,-2865,332,-1708,0,0,-427,-58,-204,256,-631,1453,-30,81
1992:Q3,-3495,-139,-3356,0,-3495,0,-66,2,-1915,69,-602,0,0,-635,-33,-187,326,-591,-76,323,-110
1992:Q4,-5662,-212,-5450,0,-5662,0,60,-39,-1211,189,-4013,0,0,-822,-44,-127,544,-579,282,30,67
1993:Q1,-2101,9,-2110,0,-2101,0,-71,-551,-1509,144,297,0,0,-136,6,-130,332,-628,206,-18,-43
1993:Q2,-2831,-30,-2801,0,-2831,0,41,-172,-1323,202,-1615,0,0,-272,-16,57,218,-651,762,10,-73
1993:Q3,-1280,444,-1723,-1,-1280,0,73,-120,-1014,145,-287,0,0,-534,24,-32,514,-223,275,-85,-17
1993:Q4,1654,534,1121,-1,1654,0,-74,-259,-661,-16,15,0,0,1298,-17,36,625,129,553,72,-47
1994:Q1,-126,804,-930,0,-126,0,272,-339,-1268,173,401,0,0,1,28,44,446,-149,107,-9,167
1994:Q2,1187,1082,104,0,1187,0,110,600,-130,160,-1154,0,0,643,51,20,200,-16,593,40,69
1994:Q3,-120,984,-1104,0,-120,0,40,85,304,255,-630,0,0,-483,50,79,82,-243,256,89,-4
1994:Q4,-190,396,-585,0,-190,0,31,301,-1635,355,-592,0,0,149,166,49,131,393,491,52,-80
1995:Q1,-580,248,-828,0,-580,0,-271,-258,-300,270,-56,0,0,-3,-1,51,243,-234,-40,150,-131
1995:Q2,2250,761,1490,0,2250,0,-226,-117,-1377,296,1507,0,0,66,-1,61,-43,1649,342,142,-50
1995:Q3,1175,429,746,0,1175,0,-230,-187,-1117,109,574,0,0,336,-2,55,161,820,348,365,-57
1995:Q4,3618,643,2975,0,3618,0,-268,-119,-702,211,-562,0,0,603,-1,57,178,2215,1454,685,-133
1996:Q1,871,506,365,0,871,0,332,-132,-1046,251,-229,0,0,441,-1,59,173,910,252,73,-212
1996:Q2,3247,810,2438,-1,3247,0,-14,-186,-11,229,690,0,0,454,-1,58,-405,1135,649,764,-115
1996:Q3,2405,892,1514,-1,2405,0,82,-63,-746,433,1498,0,0,-864,-1,60,-243,1767,957,-454,-21
1996:Q4,5809,1002,4809,-2,5809,0,157,-71,-686,924,191,0,0,2006,5,62,-289,1794,1939,-338,115
1997:Q1,244,1381,-1135,-2,244,0,178,-232,-717,-2,83,0,0,-761,7,62,-372,1250,-37,779,6
1997:Q2,4111,1543,2568,0,4111,0,257,-90,-81,199,952,0,68,630,8,62,-538,1418,1127,-92,191
1997:Q3,2296,667,1629,0,2296,0,214,-126,122,141,309,0,84,308,9,63,-300,1205,598,-445,114
1997:Q4,5477,1935,3542,0,5477,0,298,-97,36,360,575,0,36,-612,-53,62,-277,1422,2904,560,263
1998:Q1,6649,1083,5566,0,6649,0,-50,661,-7,220,1931,0,35,-13,-12,243,-776,1201,3531,-363,48
1998:Q2,7419,2009,5410,0,7419,0,-53,661,-24,309,268,0,91,262,-11,563,-213,1398,4013,112,43
1998:Q3,8588,3697,4891,0,8588,0,-21,662,-142,2446,-1154,0,56,-39,-10,229,186,4187,2037,48,103
1998:Q4,13441,3196,10245,0,13441,0,-169,661,-27,2929,1342,0,47,1286,-79,255,763,3675,3206,-288,-160
1999:Q1,9534,2137,7397,0,9534,0,-80,-207,-8,462,3338,0,40,-527,60,107,974,2381,2977,86,-69
1999:Q2,6577,-683,7260,0,6577,0,-77,-208,46,181,731,0,109,307,60,329,1544,2086,1657,-125,-63
1999:Q3,10723,1309,9414,0,10723,0,-79,-207,19,146,5692,0,102,205,60,-32,1170,2092,1572,47,-64
1999:Q4,13947,1350,12597,0,13947,0,39,-207,-19,1087,5502,0,54,873,61,513,634,2664,2320,30,396
2000:Q1,6834,1122,5712,0,6834,0,-9,-57,77,161,3475,0,61,-200,7,-398,1252,1624,987,52,-198
2000:Q2,8525,1047,7478,0,8525,0,-2,-57,63,-308,4508,0,106,495,2,161,559,1927,1136,-17,-48
2000:Q3,5396,876,4520,0,5396,0,-57,-58,60,56,2265,0,77,325,8,-817,755,1953,756,144,-71
2000:Q4,8813,1496,7317,0,8813,0,-43,-57,130,-417,1819,0,40,196,0,99,1888,3007,2537,-167,-219
2001:Q1,4821,551,4270,0,4821,0,-128,295,-610,-254,3618,0,40,-118,-251,-43,1812,3275,-2848,-102,135
2001:Q2,11425,791,10634,0,11425,0,108,294,49,468,1031,0,98,288,203,-371,2018,4798,2553,-41,-71
2001:Q3,9513,-219,9732,0,9513,0,52,294,243,-886,4641,0,165,-14,190,141,1851,3246,-308,-67,-35
2001:Q4,16198,2474,13724,0,16198,0,-168,294,129,331,1063,0,46,1800,160,41,2546,4302,6040,-269,-117
2002:Q1,6330,1128,5203,0,6330,0,13,-55,69,-621,2419,0,103,75,143,-10,1833,2858,440,-855,-82
2002:Q2,10442,463,9979,0,10442,0,43,-55,98,-658,4870,0,107,138,119,241,1519,2160,2024,-200,36
2002:Q3,7172,886,6286,0,7172,0,-23,-55,-503,-933,2849,0,79,80,112,201,2042,1843,1609,-115,-14
2002:Q4,16705,1252,15453,0,16705,0,-187,-55,854,1,3241,0,72,934,86,122,3112,6068,2551,-202,108
2003:Q1,10641,315,10326,0,10641,0,7,10,-38,-27,3688,0,-11,140,72,-490,3145,3679,611,-85,-60
2003:Q2,17218,1216,16002,0,17218,0,29,11,178,31,6179,0,114,711,39,770,3667,3620,1837,-5,37
2003:Q3,18590,798,17792,0,18590,0,3,10,7,903,4793,0,164,536,68,632,1264,7655,2553,-8,10
2003:Q4,22738,1637,21101,0,22738,0,45,10,92,918,4973,0,125,462,76,-2172,4073,11520,2310,105,201
2004:Q1,10213,1954,8259,0,10213,0,-52,398,232,933,6435,0,71,100,34,-906,3630,-4542,3878,-52,54
2004:Q2,17603,1860,15743,0,17603,0,68,399,75,949,5553,0,226,254,-8,934,3696,3122,2236,-19,118
2004:Q3,11514,1167,10347,0,11514,0,-8,398,-73,964,5908,0,138,543,16,-893,4037,-926,1440,42,-72
2004:Q4,13374,1234,12140,0,13374,0,-19,398,216,979,5926,0,137,1031,-37,-163,2891,-657,2721,-110,61
2005:Q1,9129,434,8695,0,9129,0,-28,468,176,-397,6201,0,95,199,-17,-705,2346,-1249,1983,-20,77
2005:Q2,15164,644,14520,0,15164,0,28,468,-170,-394,10795,0,174,494,-3,-70,1386,-1264,3811,-24,-67
2005:Q3,10251,1121,9130,0,10251,0,112,468,-112,-392,8006,0,179,356,-4,-622,1990,-1131,1338,-5,68
