1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6852,509,170,101,2115,3957,6852,5504,0,3356,33,2115,1071,78,19,227,11,0,736,0,0,0,0,277,6852,1543,-93,922,0,5,709,5234,2879,-336,131,-44,10,572,257,755,0,699,0,64,40,0,55,0,0,0,-219,0,371,75
1952:Q1,2022,281,-1367,-149,2246,1011,2022,1982,0,1140,-1404,2246,1,-26,-6,-114,2,0,145,0,0,0,0,39,2022,2016,2469,-762,0,9,300,103,-1376,79,55,1,2,242,545,243,0,241,0,39,13,0,137,0,0,0,-310,0,192,-97
1952:Q2,3798,118,-329,-56,2464,1601,3798,3426,0,1446,-484,2464,323,-34,-9,97,2,0,267,0,0,0,0,49,3798,1561,2164,-1270,0,-10,677,2127,278,253,61,7,1,134,288,243,0,177,0,9,16,0,-69,0,0,0,825,0,-96,110
1952:Q3,5713,209,2832,441,1215,1016,5713,5564,0,1169,3180,1215,232,31,8,90,3,0,100,0,0,0,0,-83,5713,2272,1671,452,0,-2,151,3043,709,1365,-82,8,1,295,837,277,0,340,0,6,16,0,-13,0,0,0,-865,0,149,398
1952:Q4,5849,-190,3756,202,962,1119,5849,5955,0,1012,3981,962,-128,31,7,-26,3,0,-143,0,0,0,0,22,5849,1356,414,648,0,0,294,4662,819,1641,50,5,3,252,657,336,0,198,0,23,15,0,12,0,0,0,652,0,-1,-169
1953:Q1,-468,194,-3428,-2,1564,1204,-468,-963,0,799,-3326,1564,444,-30,-7,-106,2,0,585,0,0,0,0,51,-468,906,39,586,0,52,229,-1495,-765,-2208,-40,2,1,296,717,348,0,274,0,3,15,0,200,0,0,0,-572,0,234,121
1953:Q2,2363,-192,390,-430,1158,1437,2363,2043,0,940,-55,1158,445,-22,-6,14,1,0,458,0,0,0,0,-125,2363,2292,3837,-1660,0,-34,149,-160,877,-2275,27,0,1,221,564,342,0,371,0,-22,15,0,-121,0,0,0,-93,0,-67,231
1953:Q3,9214,328,6437,261,1416,772,9214,8575,0,580,6579,1416,684,70,18,117,2,0,477,0,0,0,0,-45,9214,2369,319,1886,0,-19,183,6546,489,4072,-9,-1,1,302,491,312,0,359,0,4,15,0,18,0,0,0,319,0,174,299
1953:Q4,6228,48,1796,1802,1217,1365,6228,6108,0,1267,3624,1217,113,47,12,-28,2,0,80,0,0,0,0,7,6228,639,-683,982,0,-1,341,5566,682,2938,58,-1,3,305,656,272,0,223,0,23,15,0,-3,0,0,0,468,0,-73,23
1954:Q1,-1341,355,-4614,431,1504,983,-1341,-1552,0,900,-3956,1504,40,6,1,-228,1,0,260,0,0,0,0,171,-1341,-748,339,-1287,0,18,182,-838,-1085,-1386,-29,3,2,191,695,277,0,384,0,48,15,0,312,0,0,0,-389,0,124,245
1954:Q2,1017,-140,-285,-812,1350,904,1017,1050,0,894,-1194,1350,30,7,2,96,1,0,-76,0,0,0,0,-63,1017,-3466,-570,-3028,0,-10,142,4618,505,2379,-1,7,2,224,416,292,0,407,0,13,14,0,-29,0,0,0,519,0,-130,-135
1954:Q3,4367,76,3130,-1332,1510,983,4367,4550,0,1375,1665,1510,-85,16,4,125,8,0,-238,0,0,0,0,-98,4367,677,-1081,1529,0,-2,231,3342,-791,2880,-12,7,2,266,386,333,0,301,0,40,14,0,24,0,0,0,-112,0,4,348
1954:Q4,6861,-11,3487,1781,1287,317,6861,7070,0,495,5288,1287,-149,214,53,-28,8,0,-396,0,0,0,0,-60,6861,1042,-285,1123,0,-5,209,5657,942,3495,82,0,2,270,395,386,0,306,0,23,17,0,-47,0,0,0,9,0,-223,162
