date,FL883120005.Q,FL313125003.Q,FL713120005.Q,FL713123005.Q,FL713124005.Q,FL713129005.Q,FL713122605.Q,FL713125005.Q,FL703025005.Q,FL763127005.Q,FL763123005.Q,FL763128000.Q,FL763122605.Q,FL763129205.Q,FL753127005.Q,FL753122603.Q,FL753129205.Q,FL743127003.Q,FL473127003.Q,FL883120005.Q,FL153020005.Q,FL143020005.Q,FL103020005.Q,FL113020005.Q,FL313020005.Q,FL213020005.Q,FL793020005.Q,FL713012003.Q,FL763025000.Q,FL753025003.Q,FL513020005.Q,FL543020005.Q,FL573020005.Q,FL343020033.Q,FL223020043.Q,FL403020005.Q,FL613020003.Q,FL643020073.Q,FL663020003.Q,FL503020005.Q,FL263020005.Q,FL263027003.Q,FL263025003.Q,FL903020005.Q
1945:Q4,135556,4183,28800,3264,0,0,1204,22463,1869,101444,24510,5284,1389,70261,215,84,131,914,0,135556,55449,35948,18959,16989,26937,3784,4531,0,1869,0,661,780,81,0,69,91,479,0,501,0,2677,2677,0,6230
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,121156,4406,28017,2665,0,0,806,22500,2046,87683,2989,6159,1416,77119,152,58,94,898,0,121156,60651,37095,19502,17593,4214,4659,5144,0,2046,0,850,774,101,0,77,93,473,0,730,0,2280,2280,0,7113
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,122431,4406,27100,2206,0,0,432,22246,2216,89926,1343,6900,1224,80459,138,62,76,861,0,122431,60519,39204,21434,17770,3662,5400,5629,0,2216,0,1032,1020,131,0,85,90,426,0,629,0,1718,1718,0,6299
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,121611,4433,26898,2448,0,0,659,21813,1978,89377,2338,7399,1502,78138,111,38,73,792,0,121611,58145,39137,21861,17276,4847,5899,5411,0,1978,0,1074,915,161,0,91,77,557,0,558,0,2199,2199,0,5973
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,121644,4442,26098,2133,0,0,807,21143,2015,90165,3071,7645,1124,78325,164,57,107,775,0,121644,56366,40051,22903,17148,5186,6145,5567,0,2015,0,1137,908,204,0,101,71,641,0,490,0,1988,1988,0,6341
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,127095,4480,25869,1961,0,0,647,21087,2174,95691,2806,8114,1314,83457,233,74,159,822,0,127095,58927,41599,24222,17377,4948,6614,6257,0,2174,0,1202,1005,264,0,119,91,767,0,635,0,2035,2035,0,6715
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,134846,4553,26704,1517,0,0,534,21956,2697,102435,3359,8528,1067,89481,308,99,209,846,0,134846,63356,43742,25859,17883,5067,7028,7036,0,2697,0,1238,1085,329,0,138,89,855,0,605,0,1700,1700,0,6917
1952:Q1,132948,4575,25591,1289,0,0,548,21334,2420,101580,5560,8843,1034,86143,348,113,235,854,0,132948,62460,42407,24511,17896,8275,7343,6695,0,2420,0,1251,1015,330,0,143,79,860,0,597,0,1695,1695,0,4073
1952:Q2,134517,4598,26598,1616,0,0,554,22032,2396,102076,5837,8822,1140,86277,382,124,258,863,0,134517,60709,43586,25850,17736,8305,7322,6753,0,2396,0,1270,1077,321,0,148,89,866,0,586,0,1818,1818,0,6024
1952:Q3,136548,4625,26900,1538,0,0,740,22092,2530,103807,6180,8385,1452,87790,344,110,234,872,0,136548,63520,43932,26398,17534,8420,6871,6877,0,2530,0,1293,1065,312,0,153,81,872,0,571,0,2302,2302,0,4626
1952:Q4,141431,4656,27996,1659,0,0,560,23024,2753,107542,4941,8910,1275,92416,360,115,245,877,0,141431,65498,44054,26641,17413,7438,7351,7210,0,2753,0,1320,1146,310,0,158,96,878,0,549,0,1950,1950,0,7930
1953:Q1,137031,4670,26756,1313,0,0,513,22380,2550,104072,5530,8996,1156,88390,654,112,542,879,0,137031,66253,40918,23589,17329,8240,7390,6878,0,2550,0,1343,990,319,0,164,100,882,0,530,0,1781,1781,0,5571
1953:Q2,135121,4698,27350,1391,0,0,532,22837,2590,101818,3634,9350,1088,87746,377,114,263,878,0,135121,63017,42965,25710,17255,6017,7695,6904,0,2590,0,1361,948,337,0,173,98,887,0,510,0,1734,1734,0,6789
1953:Q3,138755,4716,28001,1925,0,0,517,22909,2650,104799,5870,8832,1049,89048,361,113,248,878,0,138755,65644,43080,25865,17215,8770,7121,7085,0,2650,0,1372,1030,356,0,182,111,892,0,492,0,1679,1679,0,5376
1953:Q4,141222,4738,27580,1107,0,0,430,23531,2512,107644,4146,9546,948,93004,381,120,261,879,0,141222,66782,43767,26550,17217,5906,7766,7168,0,2512,0,1375,1215,366,0,189,139,897,0,475,0,1498,1498,0,8335
1954:Q1,136326,4779,26964,1541,0,0,495,22298,2630,103309,5060,9945,894,87410,388,119,269,886,0,136326,65213,40982,23706,17276,7772,8106,7090,0,2630,0,1371,1060,368,0,193,86,906,0,476,0,1508,1508,0,5655
1954:Q2,138526,4803,27358,1686,0,0,553,22459,2660,105064,5591,9924,945,88604,405,124,281,896,0,138526,64229,42754,25354,17400,8223,8059,7177,0,2660,0,1360,1101,363,0,195,91,915,0,492,0,1622,1622,0,6462
