1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q1,679811,1623,10104,0,1321,190729,1321,54561,40192,2151,92504,14726,88715,0,372593,372119,474,681851
1984:Q2,693892,1790,11093,0,1657,201352,1657,59177,38801,2264,99453,14935,87637,0,375428,374989,439,696100
1984:Q3,707975,2003,12727,0,2040,209169,2040,64331,39492,2068,101238,14961,96406,0,370669,370247,422,710349
1984:Q4,722053,1999,11960,0,2500,217912,2500,67914,43308,1534,102656,15255,96514,0,375913,375544,369,724598
1985:Q1,737687,2339,14085,0,3039,217234,3039,73822,43495,1550,95328,15319,105957,0,379714,379328,386,740441
1985:Q2,753333,2886,14614,0,3656,222794,3656,77190,40841,1278,99829,15345,111742,0,382296,381892,404,756284
1985:Q3,768973,2496,14149,0,4320,231312,4320,79910,41556,1225,104301,15321,105134,0,396241,395801,440,772126
1985:Q4,784608,2351,13327,1427,5000,237054,5000,85383,38124,1128,107419,15309,120071,6773,383296,382806,490,787969
1986:Q1,802953,2300,14072,1494,5714,243096,5714,95028,34901,938,106515,15400,135544,7353,377980,377391,589,806535
1986:Q2,821311,2200,14183,1480,6480,250530,6480,98507,36024,1196,108323,15197,147760,6799,376682,376002,680,825102
1986:Q3,839682,2499,11595,1587,7355,263318,7355,104604,37905,1035,112419,15364,140408,5803,391753,391082,671,843668
1986:Q4,858050,3082,9891,1725,8270,281535,8270,115329,38147,709,119080,15550,150215,5545,382237,381535,702,862234
1987:Q1,875073,3709,7403,1757,9211,293098,9211,122815,39917,553,120602,15333,184755,7522,352285,351515,770,879560
1987:Q2,892087,4301,5753,1885,10170,299182,10170,129503,41311,606,117592,15228,196669,9277,349622,348857,765,896886
1987:Q3,909149,4712,5019,1937,10929,303473,10929,135414,42927,647,113556,15408,210476,10894,346301,345682,619,914213
1987:Q4,926200,4844,5216,2015,11272,313435,11272,138866,42961,808,119528,15331,170087,9098,394902,394331,571,931539
1988:Q1,944491,4852,5761,2112,11247,317490,11247,143570,40327,667,121679,15448,188043,9065,390473,389946,527,950132
1988:Q2,962773,5095,5865,2270,10900,325603,10900,142940,39568,742,131453,15637,196898,8870,391635,391152,483,968726
1988:Q3,981118,4736,6488,2326,10468,330853,10468,148740,39557,622,131466,15586,204078,7832,398751,398239,512,987320
1988:Q4,999459,4410,7116,2329,10183,334934,10183,150659,35347,533,138212,15603,212634,7448,404802,402685,2117,1005913
1989:Q1,1045765,3685,8123,2428,10320,345503,10320,151057,37920,467,145739,15132,225318,7371,427885,425152,2733,1052601
1989:Q2,1092066,3593,8418,2599,10353,356190,10353,151664,43928,403,149842,15118,251759,7614,436422,432503,3919,1099288
1989:Q3,1138382,3298,8850,2610,10526,361431,10526,153198,47393,336,149978,15295,270927,8029,457416,452216,5200,1145976
1989:Q4,1184698,3171,9060,2791,9703,366167,9703,152396,51203,268,152597,15299,277832,7780,492895,486626,6269,1192664
1990:Q1,1217080,3790,8479,2929,9969,382642,9969,162764,54214,479,155216,15181,267614,7257,519219,512610,6609,1225877
1990:Q2,1249224,4318,7953,2813,11410,389877,11410,168301,56085,486,153595,15243,282130,8380,527100,519271,7829,1259090
1990:Q3,1281486,4716,7802,2738,11820,392299,11820,170147,61255,245,148832,15311,250979,6961,588860,581235,7625,1292302
1990:Q4,1313589,4974,7701,2791,12233,385928,12233,168235,62851,473,142136,16061,284569,7772,591560,583729,7831,1325515
1991:Q1,1348571,4366,14658,2722,13785,390515,13785,177144,62935,364,136287,16562,327145,9730,569088,565178,3910,1361342
1991:Q2,1383310,4640,12230,2804,16515,394449,16515,178753,64651,487,134043,16322,328790,10273,597287,592524,4763,1397168
1991:Q3,1418169,3038,9902,3006,20870,391528,20870,163948,64551,549,141610,16675,357453,12235,603462,598430,5032,1432994
1991:Q4,1452868,3807,8828,2950,18868,387730,18868,165494,58038,619,144711,16886,394962,13102,605735,601114,4621,1468821
1992:Q1,1519320,3960,8406,2970,19299,397418,19299,171904,55408,554,150253,16173,388418,14241,668435,663697,4738,1536096
1992:Q2,1585536,4435,8358,2979,20685,402636,20685,177959,49236,534,154222,17066,391220,15673,722484,717743,4741,1603372
1992:Q3,1651225,6409,7910,3090,23573,419036,23573,197677,48036,378,149372,16306,400848,15615,758438,754401,4037,1670647
1992:Q4,1717068,6515,6942,3106,24680,425302,24680,203534,39761,445,156882,16453,431666,17915,784489,779945,4544,1737922
1993:Q1,1746970,5836,7591,3446,25219,424066,25219,204950,32740,460,160697,15645,463983,19457,781727,777090,4637,1768973
1993:Q2,1776346,6129,8601,3766,26344,435798,26344,211378,32078,617,165381,14506,465277,21158,794767,790042,4725,1800024
1993:Q3,1807043,5460,8554,3789,19887,452871,19887,221833,34149,1222,175780,15055,487775,23455,790197,785895,4302,1831075
1993:Q4,1837576,6619,6230,4124,20449,454083,20449,217450,35796,1371,179017,14529,506221,25631,799690,795581,4109,1862126
1994:Q1,1872233,5476,5869,4512,20399,459417,20399,224335,40588,716,173379,14637,492220,26468,843235,839413,3822,1896844
1994:Q2,1906496,5794,5520,4763,22909,458923,22909,220641,45014,845,169514,14941,494757,27578,871311,867237,4074,1931562
1994:Q3,1940800,7137,2636,4807,25093,459577,25093,217370,38390,1104,177620,15024,520213,30529,875784,871153,4631,1966281
1994:Q4,1975004,6737,2483,4958,27825,463505,27825,215554,39872,1112,179142,15199,521682,44781,887834,883247,4587,2000999
1995:Q1,2015775,5139,2536,5071,29519,483917,29519,224973,44665,1053,183707,15397,558839,50241,865116,860889,4227,2042523
1995:Q2,2057045,4687,2594,5443,31257,485294,31257,217221,48067,1131,187618,15558,612334,55761,844117,839536,4581,2084047
1995:Q3,2098448,5145,4209,5614,29383,487519,29383,211282,56192,1374,189288,15746,667210,60148,823474,818640,4834,2125571
1995:Q4,2139666,4207,4464,5894,31477,493864,31477,208194,63118,1830,189245,15938,703520,62902,817400,812599,4801,2167095
1996:Q1,2174357,4772,4969,6330,26428,509040,26428,213528,69231,2271,197582,16126,736723,64753,805216,800060,5156,2202699
1996:Q2,2209135,5883,3871,6593,28179,523235,28179,221067,70214,1297,202478,16324,762670,66448,795932,790494,5438,2238302
1996:Q3,2244891,7186,2274,6988,27573,511657,27573,213439,65037,496,205112,16526,802307,67960,802420,797152,5268,2273906
1996:Q4,2280006,7466,2293,7592,28222,521621,28222,212791,68622,561,211425,16734,846588,73182,776308,770789,5519,2309510
1997:Q1,2314489,5353,5021,8326,27395,541152,27395,211138,78763,2051,221805,16946,848717,73083,788496,783560,4936,2345066
1997:Q2,2349690,8820,2302,8689,32233,557669,32233,214907,78798,2059,229672,17160,952228,84676,685913,680740,5173,2380622
1997:Q3,2385018,6505,2823,9831,32148,573056,32149,223531,81608,2467,233301,17382,1032573,92503,618197,612866,5331,2416179
1997:Q4,2420934,5314,2420,9644,28616,580667,28616,218997,87006,1503,244545,17607,1051316,93362,631988,626410,5578,2451735
1998:Q1,2465987,6666,1653,9710,36927,595950,36927,212146,90116,2080,254681,18673,1153078,106899,536431,530666,5765,2498373
1998:Q2,2512713,7610,1621,9759,35839,613538,35839,213210,98041,2227,264221,20681,1162493,106732,554440,548524,5916,2545012
1998:Q3,2558925,7749,1717,9802,38309,627731,38309,207823,104820,2151,274628,21499,1015882,95796,740440,734637,5803,2591650
1998:Q4,2605175,9973,1983,9949,37532,639064,37532,212576,106104,3252,279600,22410,1188056,115863,580345,574533,5812,2638288
1999:Q1,2654900,7600,2169,10546,41037,657123,41037,211463,113106,4536,286981,22793,1216866,122112,574654,568396,6258,2688890
1999:Q2,2704949,9450,1651,10968,40909,660889,40909,213790,114932,3241,288017,23968,1312387,128360,516367,509843,6524,2739492
1999:Q3,2752223,9370,2120,11736,39259,670704,39259,204790,112839,3122,310694,23855,1231949,120845,642385,635815,6570,2790093
1999:Q4,2799636,9225,1692,11784,40375,681303,40375,198824,129022,3044,310038,25687,1407716,140858,480996,473882,7114,2840695
2000:Q1,2850436,11100,2400,11800,45400,695000,45400,196900,124500,2900,325300,24300,1449700,150600,460136,453159,6977,2894992
2000:Q2,2902018,12778,2869,12107,45179,698673,47652,194886,143291,2836,310008,24741,1408895,155780,540996,533764,7232,2949288
2000:Q3,2954472,12556,4738,12914,41857,704547,46805,185471,159082,2272,310917,21781,1429789,170961,555329,547860,7469,3003584
2000:Q4,3010438,9935,1606,13220,39836,721119,47257,179057,178873,1707,314225,22122,1298683,178341,725576,717360,8216,3057881
2001:Q1,3073035,8313,1475,13827,36015,697891,45909,177342,176064,1943,296633,21862,1185877,170422,937353,928003,9350,3117984
2001:Q2,3134389,13291,1944,14434,38694,708765,51061,183128,194655,1779,278142,20503,1265772,181102,889884,880490,9394,3178088
2001:Q3,3194517,13369,1813,14941,36372,679138,51214,166813,178346,715,282050,20944,1125466,162483,1139991,1129780,10211,3238191
2001:Q4,3254360,11448,1781,15447,33951,668411,51266,155099,180737,1651,279658,20984,1260360,184263,1057715,1047715,10000,3298294
2002:Q1,3306501,12126,2550,15954,32430,675783,52218,163285,181928,686,277666,20925,1294055,193344,1059334,1050441,8893,3351637
2002:Q2,3361844,10195,2677,64950,3821,646827,30565,153232,181204,822,281004,20785,1139181,159383,1314025,1247691,66334,3404980
2002:Q3,3416248,10996,2202,62472,3675,619906,29399,151652,185490,829,252536,21458,1076542,158960,1460037,1395790,64247,3458323
2002:Q4,3468419,13425,2156,70369,4139,591833,33115,144525,183215,837,230141,21863,1076523,173082,1515029,1444797,70232,3511666
2003:Q1,3515823,15324,1970,74885,4405,587654,35240,148527,194101,844,208942,20230,1119439,185643,1506273,1435460,70813,3560820
2003:Q2,3563131,13531,815,55882,3287,606873,26297,161290,215348,851,203087,22796,1142658,202375,1514914,1437894,77020,3609973
2003:Q3,3613456,13335,1003,45105,2653,607667,21226,145602,227955,2701,210183,24904,1185568,215528,1517693,1439031,78662,3659126
2003:Q4,3662094,17579,1458,52663,3098,649747,24782,141252,255699,4552,223462,17662,1254192,236937,1428758,1344463,84295,3708280
2004:Q1,3766489,22554,1958,63239,3720,698312,29759,143710,292533,6403,225907,14643,1232634,242702,1486727,1402800,83927,3810725
