1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q3,20,37,3260,908,0,592,316,0,-196,308,224,0,0,32,52,1204,804,400,0,-20,1056,3248,3232,2368,1160,1208,-2580,456,388,400,8,2192,16,16,0,-29,ND
1971:Q4,20,39,-4052,-3020,0,-112,-2908,0,-252,192,268,-56,0,-8,-12,-1120,-672,-448,0,-16,164,-2360,-2356,4800,984,3816,-9516,208,1228,-432,28,1328,-4,-4,0,1673,ND
1972:Q1,20,35,3924,-3416,0,692,-4108,0,596,1280,280,812,280,-36,-56,3232,2920,312,0,64,2168,4044,4024,9252,-896,10148,-17096,388,1392,312,4,9772,20,20,0,105,ND
1972:Q2,20,36,5236,5208,0,848,4360,0,368,-324,-12,-388,280,-80,-124,-284,260,-544,0,28,240,5868,5852,7800,1808,5992,-5164,304,-804,-552,4,4264,16,16,0,616,ND
1972:Q3,21,37,6740,3236,0,1116,2120,0,-196,1024,460,436,280,-60,-92,2540,2868,-328,0,0,136,6340,6324,7508,1716,5792,-620,-1096,1712,-332,4,-852,16,16,0,-416,ND
1972:Q4,21,39,-3772,-3628,0,-656,-2972,0,396,-564,-272,-384,-28,48,72,-3228,-2996,-232,0,0,3252,-5620,-5608,-15124,-800,-14324,9608,-1084,-1060,-232,32,2252,-12,-12,0,-1866,ND
1973:Q1,22,49,4468,1040,0,1784,-744,0,148,324,828,-512,336,-4,-324,2932,2632,220,80,60,-36,1632,1616,2608,-5876,8484,-4568,1548,2188,224,4,-388,16,16,0,-2863,ND
1973:Q2,23,51,16564,11928,0,2560,9368,0,1164,1284,820,176,192,-4,100,2148,1688,484,-24,-80,120,18692,18636,11648,4936,6712,4032,180,1424,488,16,848,56,56,0,2100,ND
1973:Q3,23,53,-3164,-7660,0,184,-7844,0,-348,-680,-1112,132,296,104,-100,4628,3680,884,64,72,824,-2460,-2516,-1068,-64,-1004,-4488,1424,728,884,16,-12,56,56,0,674,ND
1973:Q4,25,54,12336,8944,0,4484,4460,0,264,596,416,80,-60,8,152,2936,2844,4,88,144,-548,13080,12984,3316,-20,3336,6080,692,1388,16,28,1464,96,96,0,715,ND
