1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q2,917,1131,58876,32284,-404,34876,-2188,0,28716,-9724,-664,-8988,2872,0,-2944,21280,12090,-1086,10276,0,-13680,-35374,-17582,-43496,-17748,-25748,-952,-16448,54490,-2112,752,-9816,-17792,-1400,-16392,-94463,ND
1991:Q3,927,1122,86855,-1380,1632,-6184,3172,0,13376,13812,-2120,7556,1360,0,7016,43547,40904,-749,3392,32,17468,147490,138574,60392,45836,14556,2056,75500,-1601,-6353,-580,9160,8916,1572,7344,60440,ND
1991:Q4,936,1112,193868,100152,444,67952,31756,0,4188,47912,1856,25724,8604,0,11728,44828,42504,-4688,7012,60,-3272,160306,145338,104796,76044,28752,1540,50296,-11861,-6929,4384,3112,14968,3916,11052,-33739,ND
1992:Q1,1132,1542,-166190,-128868,-608,-105176,-23084,0,-8176,-8408,4616,-8724,2276,0,-6576,-22978,-11726,-10888,-364,-64,2304,-118976,-123236,-88696,-46984,-41712,-3636,-28424,7175,-5639,8,-4024,4260,2440,1820,46804,ND
1992:Q2,1140,1601,74192,12312,-1204,-12668,26184,0,14412,28028,896,19744,7248,0,140,17896,18438,-1274,732,0,1544,81472,64704,-4264,-9924,5660,288,15496,54303,-5391,660,3612,16768,1328,15440,6819,ND
1992:Q3,1151,1633,74606,13828,2948,45288,-34408,0,36820,7172,-5188,6976,908,0,4476,-6466,3139,-6110,-3496,4,23248,40845,39197,59680,93568,-33888,1160,17220,-50695,-7305,-308,19444,1648,1016,632,-34243,ND
1992:Q4,1166,1682,11268,904,-2300,-35168,38372,0,-720,15788,484,16996,1300,0,-2992,9652,13309,3991,-7648,-36,-14320,12743,5839,7160,-36384,43544,-316,57808,-42947,3330,-3780,-15416,6904,9312,-2408,959,ND
1993:Q1,1460,1356,-136484,-107044,2088,-78092,-31040,0,-7144,20156,-4852,8888,11808,0,4312,-49172,-38571,-5121,-5480,0,6720,-156976,-120436,-54960,-10416,-44544,80,-56840,-6266,-6642,532,3660,-36540,-120,-36420,-20388,ND
1993:Q2,1483,1395,-15014,-41900,-1280,-53884,13264,0,28864,628,-116,-560,3808,0,-2504,-9994,-1138,-3912,-4944,616,6772,-32826,-20242,-67112,-81788,14676,776,46540,2034,-5560,1736,1344,-12584,3176,-15760,-17724,ND
1993:Q3,1504,1408,10438,25276,2512,1944,20820,0,2236,8100,-2032,1016,4132,0,4984,-28190,-18601,-4797,-4792,-556,3572,31634,8174,40444,55708,-15264,2632,-26764,-5656,-6938,664,3792,23460,-584,24044,21292,ND
1993:Q4,1528,1471,27168,-7872,-2004,6800,-12668,0,30740,31784,3472,16744,9840,0,1728,-7340,5834,-2210,-10964,-60,-20084,17407,14571,14788,-14460,29248,-3380,58264,-42408,-1373,2276,-13596,2836,952,1884,-9703,ND
1994:Q1,1667,1557,-14221,-8916,-1468,-20800,13352,0,-43588,20680,-2532,12428,14432,0,-3648,-5501,6868,-6273,-6096,-4,23108,25371,27319,36956,39264,-2308,1832,-34936,11880,-7321,12,18896,-1948,1696,-3644,39702,ND
1994:Q2,1692,1581,48100,-17780,584,308,-18672,0,44052,7440,572,1368,-1180,0,6680,-15460,-9926,-1446,-4088,0,29848,5740,-6660,-48684,-40512,-8172,-800,12612,7210,-1374,104,24272,12400,680,11720,-42249,ND
1994:Q3,1722,1611,51269,48004,-460,26020,22444,0,-5864,-5932,-340,-8884,-3296,0,6588,10857,13449,1768,-4360,0,4204,85368,103152,26732,10960,15772,384,58524,5300,1784,652,9776,-17784,2872,-20656,34210,ND
1994:Q4,1753,1681,67285,13960,1228,-2140,14872,0,43348,-19044,1360,-18740,-3760,0,2096,33569,40781,-2560,-4652,0,-4548,66081,48605,28040,17564,10476,268,17208,26,-3440,980,5524,17476,6772,10704,-1132,ND
1995:Q1,1805,1662,65945,5924,-2132,33644,-25588,0,-80176,115648,-3920,82344,32840,0,4384,33593,41025,-1692,-5740,8,-9052,9515,-21193,-34908,-9020,-25888,-2532,16780,-4148,-1774,268,5120,30708,6092,24616,-56287,ND
1995:Q2,1832,1678,231859,128508,1364,103660,23484,0,15196,51544,2508,26868,19480,0,2688,50327,55496,-497,-4672,16,-13732,215356,206540,110988,87468,23520,-808,43080,14997,-1301,212,39372,8816,716,8100,-16349,ND
1995:Q3,1856,1688,-19366,-58956,-1148,-25108,-32700,0,24772,524,-1192,-4088,220,0,5584,6354,15251,-5581,-3316,-24,7964,16202,10226,-8236,9164,-17400,820,14428,21303,-4694,1776,-15172,5976,9664,-3688,35735,ND
1995:Q4,1874,1716,-25194,-43028,1500,7728,-52256,0,12700,16124,904,13356,4492,0,-2628,11290,22068,-3954,-6824,20,-22300,-32041,-36425,8812,81120,-72308,2084,-40980,3847,-4564,992,-6616,4384,6764,-2380,-6688,ND
1996:Q1,1841,2114,-103187,-101744,-1576,-59908,-40260,0,-25196,23992,920,22008,7292,0,-6228,20433,30187,-2078,-7676,0,-20672,-93590,-100702,-61488,-53768,-7720,-380,-3168,-5199,-2107,980,-29340,7112,-724,7836,9324,ND
1996:Q2,1856,2162,48292,220,528,-3488,3180,0,5232,21128,-1964,17040,5576,0,476,35720,43060,-3765,-3576,0,-14008,4684,11040,-29584,-19156,-10428,652,20000,37463,-4442,-908,-12140,-6356,-6988,632,-43914,ND
1996:Q3,1872,2232,12829,6044,252,7836,-2044,0,-38844,16896,-340,-724,11528,0,6432,29873,30879,-678,-328,-8,-1132,74702,45878,-44496,-34840,-9656,-2956,85824,9374,-124,64,-1808,28824,2504,26320,61513,ND
1996:Q4,1890,2289,229022,66660,1880,73952,-9172,0,61736,70932,3440,35428,25340,0,6724,30730,26682,4069,-20,-8,-1028,283580,257052,112944,111436,1508,40,81156,25978,3821,-1848,34960,26528,6380,20148,54158,ND
1997:Q1,1942,2619,213124,106444,-1864,122008,-13700,0,-4140,72716,-224,53092,20200,0,-352,31860,38360,-669,-5832,0,6244,223838,160734,57896,42924,14972,12,52992,6905,229,1984,40716,63104,3544,59560,10038,ND
1997:Q2,1966,2667,168225,105988,1464,93092,11432,0,50316,-24548,-228,-32892,10780,0,-2208,44177,51815,2314,-9952,0,-7708,121011,130607,28820,35560,-6740,3424,69140,31532,1900,2604,-6812,-9596,10684,-20280,-47915,ND
1997:Q3,1995,2797,-71723,-28148,-1716,-12132,-14300,0,-26440,31956,-232,18976,11412,0,1800,-43615,-37063,-3888,-2664,-12,-5464,28506,-12206,-47292,-4476,-42816,-2408,57688,-10103,-4087,576,-6580,40712,6284,34428,99427,ND
1997:Q4,2022,2800,228070,109864,9280,95996,4588,0,52968,31084,-184,18260,7504,0,5504,22510,36452,-7886,-6056,0,11644,217068,232868,144620,147112,-2492,2248,6780,59554,-7754,4528,22892,-15800,568,-16368,-11780,ND
1998:Q1,2055,3087,-128137,-111160,-8136,-64644,-38380,0,-28964,43288,-372,18424,20196,0,5040,-23361,-8039,-6762,-8560,0,-7940,-109969,-144401,-227912,-195456,-32456,-2056,42748,57272,-6858,384,-7980,34432,-484,34916,17135,ND
1998:Q2,2095,3178,115796,9428,3268,19244,-13084,0,51748,17868,344,16504,12868,0,-11848,18924,27873,-5224,-3724,0,17828,52478,85390,72452,89332,-16880,2156,-35072,29057,-5959,764,21992,-32912,36,-32948,-64401,ND
1998:Q3,2143,3209,199150,194728,-3684,195008,3404,0,66168,-82952,-512,-69812,-18316,0,5688,3386,5670,-1540,-744,0,17820,279657,223337,173528,200500,-26972,-2076,-25364,93326,-1337,2768,-17508,56320,15628,40692,79441,ND
1998:Q4,2201,3300,-134497,-36552,904,-20676,-16780,0,-60600,17596,144,-6228,6212,0,17468,-52189,-37271,-5142,-9776,0,-2752,-146605,-149557,94640,117588,-22948,1044,-106256,-129395,-5082,4148,-8656,2952,-1412,4364,-13207,ND
1999:Q1,2241,3210,-165492,-73292,-1820,-65880,-5592,0,-1756,-7912,-152,4756,10332,0,-22848,-74816,-65596,-1084,-8136,0,-7716,-135968,-128772,-116516,-140244,23728,1192,-25032,36847,-1128,2952,-27088,-7196,-4120,-3076,28554,ND
1999:Q2,2310,3289,-7813,99088,2660,98868,-2440,0,-11652,-35440,24,-11292,-21400,0,-2772,-49757,-43496,-1400,-4860,0,-10052,42311,-5301,32672,40580,-7908,-4068,-228,-34531,-10,5244,-4380,47612,52880,-5268,49145,ND
1999:Q3,2384,3368,85180,39352,-2860,16088,26124,0,-17000,49044,664,37336,20196,0,-9152,7208,8667,-355,-1104,0,6576,153401,98301,35456,11212,24244,1132,24068,-22532,-671,2696,58152,55100,-924,56024,67237,ND
1999:Q4,2463,3375,163732,136676,3772,67724,65180,0,-30376,32408,876,8032,10528,0,12972,4432,7773,383,-3724,0,20592,215476,241584,87944,34264,53680,3960,203200,-63013,197,7476,1820,-26108,11684,-37792,50832,ND
2000:Q1,2560,3253,99860,77008,-3916,133556,-52632,0,79540,-18716,524,-19056,-2640,0,2456,-21428,-24348,72,2848,0,-16544,-14347,-103699,-243156,-200396,-42760,-3552,82388,47967,-82,752,11984,89352,3208,86144,-114901,ND
2000:Q2,2625,3372,-3250,-29796,640,-46660,16224,0,33156,-29088,72,-21536,-5000,0,-2624,32410,29738,464,2208,0,-9932,73086,72598,21520,3364,18156,4284,3360,53727,467,424,-11184,488,588,-100,75589,ND
2000:Q3,2667,3418,134073,29916,-740,47184,-16528,0,51184,31040,-360,27392,1396,0,2612,12865,13781,-116,-800,0,9068,138468,119376,-12332,5272,-17604,-5128,23276,76000,-180,7980,29760,19092,-2424,21516,3644,ND
2000:Q4,2688,3435,196681,77548,180,73092,4276,0,24000,46452,-504,11304,7656,0,27996,45921,45940,-515,496,0,2760,311954,213886,98712,47152,51560,2804,9364,102374,-369,-10500,11500,98068,23076,74992,114526,ND
2001:Q1,2698,3549,189147,125804,316,142180,-16692,0,60708,13244,76,15544,10452,0,-12828,-8581,-8059,-454,-68,0,-2028,195928,186204,652,54584,-53932,-2020,116060,30558,-454,3720,37688,9724,-4864,14588,5930,ND
2001:Q2,2750,3478,-118342,26532,-384,44812,-17896,0,-123204,20028,0,17108,-73644,0,76564,-36006,-33749,-768,-1488,0,-5692,-160978,-142518,20072,3444,16628,-652,13612,-144724,-1686,2600,-31740,-18460,13552,-32012,-43365,ND
2001:Q3,2761,3435,-136491,-167568,672,-154928,-13312,0,-36900,33668,0,25608,-2536,0,10596,1893,-1557,-1149,4600,0,32416,-213979,-145815,-58764,-60212,1448,1724,-88944,-18410,-1281,1540,18320,-68164,-244,-67920,-78162,ND
2001:Q4,2785,3302,293921,298440,-4,288464,9980,0,50028,13240,0,-19056,-22356,0,54652,-37315,-37214,-13,-88,0,-30472,384169,377641,272372,237824,34548,2368,98360,74800,-71,708,-70896,6528,8700,-2172,89731,ND
2002:Q1,2753,3325,63632,136532,-256,116636,20152,0,-58284,-58132,0,-39100,3996,0,-23028,44332,42586,206,1540,0,-816,87091,109875,175756,124924,50832,-4004,149568,-139276,-198,988,-72960,-22784,3256,-26040,22887,145564
2002:Q2,2773,3279,154711,75356,1668,108816,-35128,0,44316,61820,0,46636,14308,0,876,-35645,-36483,-526,1364,0,8864,212622,121342,-44508,9308,-53816,-2552,-21392,76998,-204,-3856,116856,91280,6496,84784,57405,-23944
2002:Q3,2815,3259,-127572,-191852,-152,-201416,9716,0,32332,73592,0,37048,24916,0,11628,-42508,-44581,380,1692,0,864,-92654,-69306,-34460,-26284,-8176,348,-186168,110972,370,-2800,42432,-23348,3652,-27000,34474,-185820
2002:Q4,2860,3192,189398,155956,1160,163404,-8608,0,51684,13772,0,6892,288,0,6592,-40022,-38311,-1604,-108,0,8008,143969,107909,101924,129560,-27636,3604,-133244,136682,-1704,7176,-6528,36060,-6488,42548,-45760,-129640
2003:Q1,2817,3311,16384,-57300,-424,-38512,-18364,0,79972,34228,0,15232,3116,0,15880,-37224,-37252,-16,44,0,-3292,32496,16096,-135220,-138196,2976,-1972,31588,135765,-148,-388,-13528,16400,15672,728,15618,29616
2003:Q2,2851,3392,225176,186028,76,158760,27192,0,1592,27268,0,-40,12352,0,14956,-28628,-30325,-475,2172,0,38916,268600,273676,165888,139680,26208,6592,-32272,4813,-413,-876,129944,-5076,372,-5448,42883,-25680
2003:Q3,2880,3475,-174946,-50420,5116,-47656,-7880,0,52868,-74348,0,-18500,-33696,0,-22152,-55710,-74283,-11,18584,0,-47336,-239872,-230136,-69112,-63212,-5900,-2052,8808,-73924,-100,-3580,-90176,-9736,2996,-12732,-65522,6756
2003:Q4,2914,3532,-152511,-86000,-6280,-93992,14272,0,-31100,-41132,0,-25840,-6956,0,-8336,20793,47079,462,-26748,0,-15072,-117972,-164576,-111176,-116096,4920,1820,32824,-67574,410,2948,-23828,46604,-472,47076,33921,34644
2004:Q1,2949,3676,488393,345568,1040,328416,16112,0,120412,44084,0,12512,-11200,0,42772,-15451,-16559,-12,1120,0,-6220,525747,428615,91280,67096,24184,-2056,199892,135663,144,1164,2528,97132,120,97012,36627,197836
2004:Q2,2997,3788,29305,60748,-992,56720,5020,0,-13268,-34928,0,-12208,12224,0,-34944,-2003,8889,-16,-10876,0,18756,-77400,5692,-14804,-48172,33368,-1832,55092,19556,4,-2052,-50272,-83092,6796,-89888,-107496,53260
2004:Q3,3039,3929,56948,46468,744,20520,25204,0,18276,11544,0,3588,-13396,0,21352,-17284,-19576,120,2172,0,-2056,220569,119101,72048,62008,10040,744,30960,-30427,144,4964,40668,101468,43140,58328,162732,31704
2004:Q4,3093,4036,146499,224980,-1356,213624,12712,0,-172612,47604,0,-26640,6676,0,67568,52083,46751,292,5040,0,-5556,207280,139680,216124,197288,18836,-132,22944,-114600,288,16620,-1564,67600,852,66748,59838,22812
2005:Q1,3061,3521,81056,-204384,-88,-179908,-24388,0,56244,155036,0,17792,-3664,0,140908,76380,72644,-44,3780,0,-2220,4756,-20592,-128256,-157752,29496,10292,73992,-35284,-76,1916,56824,25348,19816,5532,-76760,84284
2005:Q2,3102,3611,401201,167696,1800,166812,-916,0,73712,71948,0,-19284,27972,0,63260,74997,72013,364,2620,0,12848,330737,253665,146876,219032,-72156,-11908,87484,43401,348,-6080,-6456,77072,14568,62504,-70973,75576
2005:Q3,3128,3701,541750,367112,-1004,356628,11488,0,20392,91524,0,708,-27136,0,117952,53690,41154,-96,12632,0,9032,595790,576778,282052,229000,53052,2060,126100,70730,-88,4500,91424,19012,-1084,20096,53467,128160
2005:Q4,3170,3773,181932,96256,20,117032,-20796,0,4812,-4472,0,1256,-752,0,-4976,91300,94424,-20,-3104,0,-5964,131345,128321,118284,140964,-22680,1724,21572,89409,-44,-3236,-99388,3024,7020,-3996,-51190,23296
2006:Q1,2934,3862,363119,208848,124,231520,-22796,0,29464,-5748,0,-15200,-26616,0,36068,114439,111563,192,2684,0,16116,402720,280416,124528,152200,-27672,-1300,227340,-130496,232,-228,60340,122304,25812,96492,38673,226040
2006:Q2,2970,3967,196461,-51640,-80,-48016,-3544,0,64280,84216,0,11796,29552,0,42868,90641,84369,-312,6584,0,8964,72824,60732,-104032,-93136,-10896,1408,54448,7352,-316,1348,100524,12092,3788,8304,-124634,55856
2006:Q3,3012,4058,409286,248448,-952,241772,7628,0,62496,14212,0,11540,908,0,1764,79134,78882,-312,564,0,4996,544202,542154,139656,79636,60020,-4128,249476,211518,-228,3260,-57400,2048,14752,-12704,133870,245348
2006:Q4,3050,4132,501942,364488,-256,351192,13552,0,80716,32768,0,-12328,12776,0,32320,40666,35018,-828,6476,0,-16696,414983,469543,263760,258152,5608,4004,87400,140951,-804,3140,-28908,-54560,3308,-57868,-88042,91404
2007:Q1,3205,3825,612335,377596,540,395560,-18504,0,4660,106556,0,17820,-2824,0,91560,108759,98059,-276,10976,0,14764,586049,429617,53796,28660,25136,4768,370660,-66743,-380,-7604,75120,156432,21440,134992,-26907,375428
2007:Q2,3241,3933,319764,46124,1028,39064,6032,0,56664,111648,0,-31956,8532,0,135072,91408,81992,132,9284,0,13920,247441,189673,-15924,31536,-47460,9400,171204,2825,148,-4080,26100,57768,19160,38608,-73016,180604
2007:Q3,3273,4025,418059,95444,-836,80316,15964,0,37176,49456,0,27480,6156,0,15820,202819,182507,-604,20916,0,33164,396880,413004,110024,129196,-19172,-12060,364892,-67036,-636,1852,15968,-16124,45680,-61804,-21931,352832
2007:Q4,3307,4099,487441,397080,764,411108,-14792,0,-29816,64348,0,1088,-3720,0,66980,84281,68249,936,15096,0,-28452,322771,318323,105712,96940,8772,8168,197508,45119,948,-21252,-17880,4448,-58416,62864,-165462,205676
2008:Q1,2263,2847,276816,252220,548,234864,16808,0,-164236,79868,0,28616,-8884,0,60136,45932,43072,-580,3440,4,63028,240060,203928,-81764,-57128,-24636,12236,207568,332,-568,-740,66864,36132,38416,-2284,-37340,219804
2008:Q2,2292,2871,-399245,-64040,-1700,-74248,11908,0,-153416,-108268,0,-10132,-1172,0,-96964,2323,-2305,-148,4776,0,-75844,-424822,-434678,-201656,-183052,-18604,-3116,70908,-193438,-148,-3204,-104024,9856,22460,-12604,-26156,67792
2008:Q3,2319,2865,-164559,-208244,133600,-358908,17064,0,-3248,-70072,0,-16820,-36896,0,-16356,73129,70433,0,2696,-4,43880,-452664,-284736,1440,39292,-37852,-7072,-183956,-129480,0,-10876,45208,-167928,10756,-178684,-288651,-191028
2008:Q4,2332,2748,114353,200020,819456,-577144,-42292,0,-389220,221680,0,18756,20796,0,182128,100781,91013,0,9768,0,-18908,110066,-271718,435216,425696,9520,4788,-574320,-304130,0,-3492,170220,381784,45688,336096,-4702,-569532
2009:Q1,2363,2608,-359204,-139112,-101324,-564,-37224,0,99456,-197948,0,23092,-21852,0,-199188,-125680,-125968,0,288,0,4080,-421981,-401141,-268956,-229732,-39224,992,-160632,131087,0,6324,-109956,-20840,8356,-29196,-63022,-159640
2009:Q2,2350,2488,-244769,157912,-272628,438632,-8092,0,-17288,-252524,0,-32220,-25824,0,-194480,-131001,-126485,0,-4516,0,-1868,-245201,-61133,-288768,-308864,20096,4760,209852,162755,0,4320,-154052,-184068,-4560,-179508,-569,214612
2009:Q3,2335,2445,208905,435916,335748,109924,-9756,0,-55600,13940,0,88128,-16680,0,-57508,-154415,-144031,0,-10384,0,-30936,492322,581474,312108,341136,-29028,-588,242284,-9970,0,8428,29212,-89152,9000,-98152,283307,241696
2009:Q4,2333,2447,-148184,162904,218744,-35744,-20096,0,-26192,-183996,0,8840,-12844,0,-179992,-111836,-101028,0,-10808,0,10936,314827,276719,80660,69712,10948,5188,318048,-29781,0,9040,-106436,38108,25440,12668,462897,323236
2010:Q1,2346,2049,35407,44060,189376,-136080,-9236,0,21896,-31040,0,2304,-2156,0,-31188,1715,1443,0,272,0,-1224,329115,368367,141580,108260,33320,980,-237560,108447,297120,3368,54432,-39252,16360,-55612,294005,-236580
2010:Q2,2340,2103,-248713,-253172,-129528,-123660,16,0,33220,53044,0,-13560,-3008,0,69612,-79281,-72613,0,-6668,0,-2524,-364282,-220862,-109692,-121952,12260,232,-292272,112818,15600,1012,51440,-143420,11704,-155124,-115332,-292040
2010:Q3,2337,2160,1043455,479444,63936,407624,7884,0,83592,494508,0,51520,-2004,0,444992,-11365,-7773,0,-3592,0,-2724,739976,620640,256776,242728,14048,8432,294572,9804,5556,472,45028,119336,12680,106656,-303302,303004
2010:Q4,2346,2204,-526362,122416,142956,-18520,-2020,0,-57648,-559384,0,-26364,-11940,0,-521080,22858,22686,0,172,200,-54804,-70329,-54825,-13664,34468,-48132,13284,72396,-11813,34412,-2576,-146864,-15504,6448,-21952,456174,85680
2011:Q1,2970,2518,1119480,1031280,1160292,-136732,7720,0,7124,-14780,0,20808,19608,0,-55196,41860,47936,0,-6076,-24,54020,1232541,1135061,951928,920628,31300,-4444,131316,11337,31128,11552,2244,97480,28008,69472,113513,126872
2011:Q2,3002,2603,-125065,-204836,146652,-350496,-992,0,580,19608,0,-10032,-3412,0,33052,38859,42091,0,-3232,-176,20900,-101527,-48483,-171548,-104432,-67116,9812,114764,-19687,-39484,6900,50760,-53044,9056,-62100,23937,124576
2011:Q3,3033,2739,35934,-267928,339836,-600316,-7448,0,134672,88680,0,-21956,6464,0,104172,92434,89874,0,2560,12,-11936,-374870,-267134,70324,71356,-1032,60048,-613624,183930,-99112,13720,117580,-107736,25408,-133144,-410510,-553576
2011:Q4,3061,2823,-128673,-33928,-205992,190896,-18832,0,-15696,-84888,0,9332,-6472,0,-87748,8719,12343,0,-3624,0,-2880,29733,40281,192028,231520,-39492,29512,-231992,41981,-7212,10936,5028,-10548,-1384,-9164,158643,-202480
2012:Q1,3266,3058,-187611,-297092,-127308,-173172,3388,104,129284,-31596,0,49908,-5604,0,-75900,-11075,-6739,0,-4336,0,22764,-81563,-120443,-149840,-137208,-12632,4372,-62468,96993,27916,156,-37572,38880,-26820,65700,106256,-58096
2012:Q2,3292,3141,-81776,-138680,34552,-173052,-180,56,83124,-7148,0,-48524,11440,0,29936,-1840,-644,0,-1196,0,-17288,-161151,-60531,11048,5428,5620,20992,-78100,22057,-21996,6056,-20588,-100620,2388,-103008,-79224,-57108
2012:Q3,3331,3137,256474,114012,-68904,169344,13572,-72,38292,83652,0,68728,-8296,0,23220,-14210,-13222,0,-988,0,34800,132528,176012,163692,-52088,215780,22216,-8264,-82652,20212,6800,54008,-43484,-1180,-42304,-123752,13952
2012:Q4,3366,3186,-175035,-88632,-127208,42640,-4064,40,-18052,-25856,0,-1844,7080,0,-31092,-1059,205,0,-1264,0,-41476,-14061,-50565,-184104,-173288,-10816,17236,149992,46091,10636,-632,-89784,36504,4184,32320,161153,167228
2013:Q1,2726,2459,283961,289248,410144,-102124,-18772,-32,1876,-62516,0,14656,-16608,0,-60564,19709,24497,0,-4788,0,35676,338695,262571,130224,54004,76220,39912,64452,8519,22640,956,-4132,76124,8468,67656,55001,104364
2013:Q2,2761,2446,764503,751556,873232,-140784,19108,8,9332,-35016,0,-33292,-1028,0,-696,-19273,-20157,0,884,0,57896,674419,669335,754924,781840,-26916,2640,28588,-42709,-44896,-892,-28320,5084,8456,-3372,-89769,31228
2013:Q3,2790,2491,127839,-16036,15680,-92508,60792,4,72776,27832,0,10348,-212,0,17696,58171,54979,0,3192,0,-14908,-123160,-38252,-377600,-404388,26788,58068,283640,60884,-17440,288,-46092,-84908,8704,-93612,-250701,341704
2013:Q4,2816,2556,104412,171004,-61888,320372,-87480,0,-88748,-27280,0,-4368,-2288,0,-20624,43692,44028,0,-336,0,5744,104035,75839,135156,145084,-9928,22260,7396,-75849,32516,124,-45764,28196,8948,19248,-118,29660
2014:Q1,2994,2642,638771,448196,491932,-66528,22792,-8,92744,-27800,0,-5956,-12824,0,-9020,102523,92531,0,9992,0,23116,574279,572175,117132,88956,28176,69376,196448,195707,-2948,1372,-4912,2104,620,1484,-64139,265828
2014:Q2,3021,2717,199357,64784,-9708,53160,21332,120,111680,-28572,0,-5492,-7120,0,-15960,48165,42373,0,5792,0,3180,213686,220670,99620,113556,-13936,28900,49692,49670,5204,-2752,-9664,-6984,5220,-12204,14632,78592
2014:Q3,3057,2783,145089,165036,76696,114720,-26380,-96,-37768,-31528,0,-20284,-1672,0,-9572,40793,36201,0,4592,0,8652,42887,22407,-135372,-123524,-11848,23212,83820,15315,-6988,2896,39524,20480,-7632,28112,-101928,107024
2014:Q4,3089,2800,-809249,-880916,-796012,-78668,-6236,72,-2456,-33580,0,-19592,-568,0,-13420,119951,112187,0,7764,0,-12320,-869504,-790708,-583448,-576432,-7016,58680,-195308,-26496,-30536,-4640,-8960,-78796,19736,-98532,-59966,-136620
2015:Q1,2647,3178,-133600,-160500,-65816,-76868,-17816,-160,-73352,-29320,0,-5892,-5220,0,-18208,109232,109868,0,-636,0,20500,-78485,-41565,-154836,-161276,6440,46564,-20940,21467,10980,-2100,57300,-36920,-9016,-27904,54584,25620
2015:Q2,2674,3193,-132425,-210852,57560,-271884,3472,-4,42964,-376,0,11664,16752,0,-28792,58875,47943,0,10932,0,-23032,-92099,-148831,-9152,-4240,-4912,46924,-145036,26505,28472,828,-97372,56732,5176,51556,39807,-98112
2015:Q3,2713,3216,-177562,-203688,-62240,-134360,-7088,0,-48232,27076,0,-13364,-10104,0,50544,82642,59902,0,22740,0,-35360,-170442,-168994,-31548,-11076,-20472,-32468,-78508,-10634,-42884,-2244,29292,-1448,1624,-3072,6616,-110976
2015:Q4,2747,3215,-524469,-667840,-723200,52444,2916,0,80148,26680,0,63820,9540,0,-46680,72131,53015,0,19116,0,-35588,-478669,-473937,-352288,-349140,-3148,-18464,-226504,104023,35356,352,-16412,-4732,7172,-11904,45332,-244964
2016:Q1,2618,3241,245499,119548,235556,-113356,-2652,0,-50768,53896,0,31028,-1136,0,24004,75803,55631,0,20172,0,47020,251427,161011,-117864,-139620,21756,94768,27052,38391,34588,6988,77088,90416,3524,86892,5305,121812
2016:Q2,2656,3269,303323,128580,68312,60784,-516,0,-9716,71868,0,33640,-1944,0,40172,86207,66895,0,19312,0,26384,177704,220148,225244,214876,10368,83728,-234472,89224,-1792,3500,54716,-42444,6388,-48832,-126232,-150740
2016:Q3,2692,3318,-709214,-654956,-656072,-11248,12364,-4,5436,-51768,0,38380,6828,0,-96976,18690,-2066,0,20756,-12,-26600,-813970,-783458,-285652,-287484,1832,-80156,-318412,37362,-30416,6216,-112400,-30512,5484,-35996,-105381,-398568
2016:Q4,2732,3368,-149352,21348,-138004,153032,6320,0,-46712,-53556,0,-1672,-12560,0,-39324,-66272,-75796,0,9524,0,-4160,-14370,3014,73728,82232,-8504,-80352,-44076,101902,10848,4404,-63440,-17384,7120,-24504,134346,-124432
2017:Q1,4238,5429,653896,712620,644388,38180,30052,0,16160,-42604,0,-22672,2860,0,-22792,-1084,-6044,0,4960,0,-31196,658344,602284,224320,201360,22960,75652,282028,44872,-16980,-1968,-5640,56060,14632,41428,3257,357684
2017:Q2,4304,5533,36407,-74168,-97056,28416,-5528,-4,51488,6248,0,9504,3660,0,-6916,10423,-7137,0,17560,0,42420,124302,189554,-50820,-48888,-1932,26572,64936,133810,2340,-1744,14460,-65252,18748,-84000,86666,91508
2017:Q3,4354,5606,421832,274520,311336,-26588,-10228,0,121056,-30364,0,-27592,-6460,0,3688,29548,28652,0,896,0,27072,303863,333727,174680,194268,-19588,-16628,14752,118295,35408,-4556,11776,-29864,692,-30556,-119221,-1876
2017:Q4,4414,5746,9097,-359208,-289604,-63752,-5852,0,111516,175960,0,54124,97976,0,23860,-15491,-28043,0,12552,0,96320,-117712,-117800,93556,106904,-13348,43728,-258312,19660,-47316,-3896,34780,88,7236,-7148,-128142,-214584
2018:Q1,4415,5978,42543,91144,267796,-181760,5108,0,-14872,-11320,0,5700,-6212,0,-10808,-22133,-26617,0,4484,0,-276,272576,88268,41272,46124,-4852,-22804,103252,-57880,18816,-6240,11852,184308,5888,178420,228470,80448
2018:Q2,4490,6070,-232035,-470640,-180660,-284384,-5596,0,104252,43904,0,44644,-1032,0,292,79153,58049,0,21104,0,11296,-320902,-390234,-343064,-331516,-11548,2228,121368,-95302,-27984,-5820,-41660,69332,21212,48120,-90447,123592
