date,FU116902505.A,FU116300001.A,FU116902605.A,FU116025001.A,FU116020001.A,FU116401005.A,FU116240101.A,FU116402105.A,FU116140001.A,FU116402105.A,FU116130101.A,FU116150005.A,FU116130001.A,FU116122001.A,FU113192281.A,FU116112001.A,FU116140001.A,FU116403001.A,FU116012005.A,FU116012005.A,FU116006305.A,FU116012005.A,FU115440005.A,FU115050985.A,FU115019085.A,FU115013085.A,FU115012005.A,FU116300001.A,FU115020005.A,FU115000905.A,FU115000905.A,FU114090005.A,FU114000005.A,FU113020005.A,FU113030003.A,FU114022005.A,FU113061003.A,FU113062003.A,FU114023005.A,FU113066003.A,FU113065005.A,FU113081005.A,FU113034003.A,FU113092405.A,FU113076005.A,FU113096005.A,FU113070003.A,FU113072003.A,FU113093005.A,FU114194005.A,FU114135005.A,FU114141005.A,FU113168005.A,FU113169005.A,FU114142005.A,FU113165005.A,FU115114305.A,FU113181005.A,FU112090205.A,FU115114103.A,FU113196005.A,FU113170005.A,FU113178003.A,FU113193003.A,FU115000005.A,FV118090105.A,FV112010005.A,FV118090085.A,FR112010005.A,FR115035005.A,FR115035023.A,FR115035035.A,FR115015205.A,FR115012265.A,FR115013265.A,FR115013765.A,FR115020005.A,FR114022005.A,FR114194005.A,FR115114305.A,FR112090205.A,FR115114103.A,FR112090095.A,FC112090095.A,FL112000005.A,LM112010005.A,LM115035005.A,LM115035023.A,LM115035035.A,LM115015205.A,LM115012265.A,LM115013265.A,LM115013765.A,LM115020005.A,FL114090005.A,FL114000005.A,FL113020005.A,FL113030003.A,LM114022005.A,LM113061003.A,LM113062003.A,FL114023005.A,FL113066003.A,FL113065005.A,FL113081005.A,FL113034003.A,FL113092405.A,FL113076005.A,FL113096005.A,FL113070003.A,FL113072003.A,FL113093005.A,FL112100005.A,FL114194005.A,FL114135005.A,FL114141005.A,FL113168005.A,FL113169005.A,FL114142005.A,FL113165005.A,FL115114305.A,LM113181005.A,LM112090205.A,LM115114103.A,FL113196005.A,FL113170005.A,FL113178003.A,FL113193003.A,FL112090095.A
2009,2406130,258431,2147699,797045,667953,129091,147038,1203616,21232,1203616,14936,1197320,241986,955282,52,0,21232,21232,0,0,5994,0,-5994,-15271,263751,197880,65871,258431,-20591,21265,21265,-85491,10119,-25109,35228,-5496,-5660,164,-1207,0,-1207,-1682,-1661,-21,-9788,-77437,-26328,0,-51109,-114001,-97329,-107917,-101971,-5946,10588,10362,226,-59950,-59861,-89,43277,16890,-6261,32648,28510,-0,0,-0,-1237145,-1254963,-528360,-726603,15774,-2734,18508,1987,58,-3,-1231154,-8,-1231818,670,-5994,0,11613310,8553088,7476969,4362428,3114541,671933,44509,627424,186573,217612,3060222,887707,224392,663315,51229,46145,5084,37902,0,37902,80055,73714,6341,101868,1901461,496338,0,1405123,11613310,11613310,4017142,1147105,944299,202806,2870037,2869137,900,5855324,5850625,4699,1740845,397605,99893,1243347,0
2010,2586878,256610,2330268,804870,673910,130960,155204,1370195,22186,1370195,14526,1362535,233427,1128985,123,0,22186,22186,0,0,7769,0,-7769,-6753,250377,192176,58200,256610,-520,14522,14522,146817,260,-42672,42932,2460,1916,544,4168,0,4168,3489,3110,379,29972,106468,37033,0,69435,126444,-19315,-12130,-16760,4630,-7185,-7203,18,169653,169351,302,-23894,31168,-732,-54330,20373,-0,2097,-2097,480513,433718,182989,250729,15429,-2361,17790,4093,27273,0,488283,21,487859,402,-7769,0,12230134,9023093,7904625,4527887,3376738,682617,43273,639344,191485,244366,3207040,887968,181721,706247,53689,48062,5627,42070,0,42070,83545,76824,6721,131839,2007929,533371,0,1474558,12230134,12230134,3987656,1133780,927538,206242,2853876,2852937,939,6528527,6522972,5555,1713951,425773,99161,1189017,0
2011,2780304,260592,2519712,828944,698327,130618,160813,1529955,27021,1529955,14243,1517177,222252,1294768,157,0,27021,27021,0,0,1591,0,-1591,3331,259129,199137,59992,260592,4794,-1740,-1740,139710,30645,-15345,45990,-2177,-1992,-185,-5806,0,-5806,1136,846,290,-4600,120512,66256,0,54256,136647,-58063,-25039,-17206,-7833,-33024,-33191,167,159883,160050,-167,34827,55292,584,-21049,3063,-0,0,-0,174110,118394,22830,95564,26044,1053,24990,5082,24591,3279,178980,-31,179233,-223,-1591,0,12545762,9195732,8018158,4535154,3483004,707028,45904,661124,196795,273751,3350030,918613,166376,752237,54791,48906,5885,36264,0,36264,84681,77670,7011,127240,2128441,599627,0,1528814,12545762,12545762,3922305,1108741,910331,198410,2813564,2812489,1075,6874678,6868661,6017,1748779,481066,99745,1167968,0
2012,2914587,267283,2647305,874369,737293,137077,168094,1604842,31299,1604842,13302,1586845,221787,1364866,192,0,31299,31299,0,0,4916,0,-4916,19926,289524,220981,68543,267283,-2315,-15011,-15011,244374,69464,19386,50078,4820,4832,-12,-2413,0,-2413,3165,3014,151,15670,153668,6465,0,147203,251123,175903,73870,61996,11874,102033,102044,-11,2049,1248,801,73171,13800,7608,51763,-6749,0,-8605,8605,532706,503984,242164,261820,23655,-348,24003,5597,-529,-606,537017,-62,536617,462,-4916,0,13325297,9731498,8526547,4761885,3764662,731801,47412,684389,202243,270906,3593800,988078,185763,802315,59005,52922,6083,33851,0,33851,87846,80684,7162,142910,2282109,606092,0,1676017,13325297,13325297,4093542,1185058,974774,210284,2908484,2907482,1002,7412252,7405404,6848,1819503,492419,107353,1219731,0
2013,3031119,278221,2752899,904668,760674,143994,181404,1666827,27501,1666827,12781,1652107,211405,1440525,178,0,27501,27501,0,0,14,0,-14,79432,336101,255507,80595,278221,21552,-79418,-79418,266732,23427,-8097,31524,4361,5711,-1350,997,0,997,2613,2023,590,-26198,261532,47272,0,214260,346147,109376,27980,21729,6251,81396,81320,76,157476,157143,333,79295,34316,3174,41805,-79415,-0,-0,0,805081,802458,400043,402415,13666,-2235,15901,3563,-14606,-3846,801249,-1,799408,1843,-14,0,14472693,10616008,9351593,5161922,4189671,768848,47766,721082,217714,277853,3856686,1011506,177667,833839,59520,55159,4361,34848,0,34848,90459,82707,7752,116712,2543641,653364,0,1890277,14472693,14472693,4198093,1213037,996503,216534,2985056,2983979,1077,8375802,8366322,9480,1898799,526736,110527,1261536,0
2014,3175688,293600,2882088,953203,804150,149053,195820,1733066,29008,1733066,13556,1717613,215834,1501572,208,0,29008,29008,0,0,-2,0,2,72574,356075,264813,91261,293600,10099,-72575,-72575,372493,85071,69385,15686,-422,249,-671,-378,0,-378,3677,2929,748,12687,271858,21378,0,250480,445068,285071,96441,85233,11208,188630,188227,403,66248,64803,1445,93749,8994,6847,77908,-72575,0,0,-0,648270,626205,357117,269088,16327,-2974,19301,1853,3886,2128,650398,-20,648873,1545,1,0,15568160,11336851,10020001,5524870,4495131,795061,48053,747008,229951,291838,4231308,1096578,247053,849525,61226,57197,4029,34470,0,34470,94136,85636,8500,129399,2815499,674742,0,2140757,15568160,15568160,4480278,1309479,1081736,227743,3170799,3169339,1460,9095334,9082596,12738,1992548,535730,117374,1339444,0
2015,3228916,305595,2923320,1007407,852307,155100,206107,1709806,25828,1709806,14638,1698616,222599,1475778,239,0,25828,25828,0,0,0,0,0,98401,383516,277832,105684,305595,20481,-98401,-98401,310574,18641,7385,11256,5982,5673,309,7058,0,7058,2982,2466,516,-10170,286081,-3562,0,289643,408978,251804,70317,63067,7250,181487,181094,393,147374,145902,1472,9800,-16045,5162,20683,-98404,-0,0,-0,524911,557299,401680,155619,18115,-1984,20099,83,-50586,-1002,523909,7,523758,144,0,0,16501047,11960166,10644021,5942664,4701357,811007,49958,761049,243405,261733,4540881,1115219,254438,860781,66206,61860,4346,41528,0,41528,97119,88102,9017,119229,3101580,671180,0,2430400,16501047,16501047,4727238,1377754,1144804,232950,3349484,3347624,1860,9771460,9756154,15306,2002348,519685,122536,1360127,0
2016,3241322,313781,2927541,1041191,883166,158024,208661,1677689,22208,1677689,15595,1671076,232595,1438220,261,0,22208,22208,0,0,0,0,0,53521,364836,246334,118502,313781,2466,-53521,-53521,383862,73007,24804,48203,2838,1976,862,-1990,0,-1990,3333,2590,743,-3010,309684,76748,0,232936,437387,389270,119052,118226,826,270218,269260,958,-229023,-230732,1709,277139,65763,10011,201365,-53525,0,0,-0,594262,575743,383714,192028,28101,-2616,30717,2797,-12378,-963,593299,-142,590271,3170,-0,0,17531733,12607952,11284488,6350947,4933541,819333,51751,767582,252310,251821,4923781,1188226,279242,908984,68081,62970,5111,39538,0,39538,100452,90692,9760,116220,3411264,747928,0,2663336,17531733,17531733,5114516,1496808,1263030,233778,3617708,3615032,2676,10137731,10114790,22941,2279487,585448,132547,1561492,0
2017,3411926,326611,3085315,1093681,927729,165952,223673,1767961,28957,1767961,17838,1756842,253460,1503047,334,0,28957,28957,0,0,9377,0,-9377,85630,410910,284302,126608,326611,1331,-76253,-76253,613582,117865,26727,91138,6858,6072,786,8421,0,8421,11646,9093,2553,4032,464760,55014,0,409746,689836,463494,132446,127331,5115,331048,331429,-381,109590,106904,2686,116753,7760,4604,104389,-76254,0,-25218,25218,694631,644884,440187,204697,37443,-1452,38895,5908,6396,114,704121,72,701924,2125,-9377,0,18900473,13362996,11987644,6795690,5191954,839201,55038,784163,276603,259548,5537477,1306091,305969,1000122,75053,69019,6034,47959,0,47959,112097,99785,12312,120253,3876024,802942,0,3073082,18900473,18900473,5576444,1629254,1390361,238893,3947190,3944823,2367,10927789,10903393,24396,2396240,593208,137151,1665881,0
2018,3614216,342558,3271658,1150909,975463,175446,244586,1876163,33218,1876163,20102,1863047,258744,1603227,1076,0,33218,33218,0,0,3027,0,-3027,72539,411677,279009,132668,342558,3419,-69512,-69512,309108,59269,11481,47788,1934,2197,-263,1045,0,1045,4942,4768,174,-1312,243230,49638,0,193592,378621,297660,86279,77507,8772,211381,206721,4660,-36848,-41821,4973,117809,5741,18450,93618,-69513,0,-13368,13368,460537,409263,372645,36619,50252,4009,46243,2867,-1844,-1178,462386,71,444347,17968,-3027,0,19728112,13882705,12459495,7182511,5276984,868464,63441,805023,293623,261123,5845407,1365360,317450,1047910,75809,70188,5621,49004,0,49004,117039,104553,12486,118941,4119254,852580,0,3266674,19728112,19728112,5872939,1715533,1467868,247665,4157406,4150308,7098,11341123,11261498,79625,2514049,598949,155601,1759499,0
2019,3767489,357740,3409749,1209955,1027819,182136,253555,1946239,26273,1946239,20826,1940792,274280,1665024,1488,0,26273,26273,0,0,0,0,0,99932,456934,319162,137773,357740,738,-99932,-99932,123740,49374,13840,35534,-3181,-1110,-2071,1714,0,1714,3807,3546,261,9949,62077,-89358,0,151435,223670,113649,25969,16651,9318,87680,87641,39,56242,52324,3918,53779,-56991,6785,103985,-99930,-0,-0,0,699895,664464,444680,219783,35880,-2520,38400,3182,-3630,3231,703126,-152,680366,22912,0,0,20654908,14682530,13210342,7655848,5554494,894903,64686,830217,319054,258231,5972378,1414734,331290,1083444,75859,72067,3792,50718,0,50718,120846,108099,12747,128890,4181331,763222,0,3418109,20654908,20654908,5985459,1741502,1484519,256983,4243957,4236972,6985,12101621,11993542,108079,2567828,541958,162386,1863484,0
2020,3552419,371827,3180592,1184920,1007070,177850,28284,1967389,26568,1967389,19223,1960044,292249,1666811,984,0,26568,26568,0,0,0,0,0,65919,449202,297059,152143,371827,-11457,-65919,-65919,1034185,262765,60025,202740,-1612,-2270,658,2632,0,2632,20471,20245,226,6931,742998,176606,145837,420555,1100103,525035,198147,101624,96523,326888,328018,-1130,21851,19927,1924,553218,131399,7579,414240,-65918,-0,-0,0,973602,909159,733223,175936,57445,7331,50113,13331,-6333,3545,977147,-98,965342,11903,0,0,22732157,15722049,14212946,8427114,5785832,921135,75964,845171,347527,240441,7010108,1677499,391315,1286184,77792,73222,4570,53350,0,53350,141317,128344,12973,135821,4924329,939828,145837,3838664,22732157,22732157,6509826,1939648,1586143,353505,4570178,4564421,5757,13101285,12982599,118686,3121046,673357,169965,2277724,0
2021,4015520,397888,3617632,1314091,1124734,189357,84914,2218628,37681,2218628,17535,2198482,288776,1907406,2300,0,37681,37681,0,0,7541,0,-7541,92491,489369,307985,181383,397888,1011,-84950,-84950,703034,173581,78213,95368,2329,2180,149,-1756,0,-1756,3625,2358,1267,17109,508146,80066,-102333,530413,787986,367051,27786,-30293,58079,339265,340349,-1084,-131412,-131244,-168,552347,68342,32305,451700,-84952,0,-11936,11936,2517691,2354443,1578110,776333,112299,6922,105377,7355,43595,-4172,2521060,-118,2508492,12686,-7541,0,26029267,18320297,16662148,10050737,6611411,999737,87934,911803,373365,285047,7708970,1851080,469528,1381552,75949,71280,4669,51594,0,51594,144942,130702,14240,152930,5432475,1019894,43504,4369077,26029267,26029267,6895050,1986028,1555850,430178,4909022,4904467,4555,15460824,15336024,124800,3673393,741699,202270,2729424,0
2022,4508702,447590,4061112,1432521,1230644,201876,289124,2339468,41754,2339468,22097,2319811,313547,2004271,1994,0,41754,41754,0,0,10109,0,-10109,129904,561484,369657,191827,447590,16011,-119796,-119796,1056135,60448,14367,46081,21535,22413,-878,2252,0,2252,5494,4598,896,9746,956660,143233,-41608,855035,1175932,539216,201763,158062,43701,337453,337426,27,-120165,-120786,621,756881,89996,27441,639444,-119797,0,-13270,13270,733054,610352,462424,147928,104373,-781,105154,10910,7419,-11750,731413,-274,761969,-30282,-10109,0,27923342,19169987,17362059,10548136,6813923,1085882,91613,994269,413569,308477,8753355,1911528,483895,1427633,85734,82506,3228,53846,0,53846,150436,135300,15136,162676,6389135,1163127,1896,5224112,27923342,27923342,7433753,2187791,1713912,473879,5245962,5241654,4308,16059315,15963648,95667,4430274,831695,229711,3368868,0
2023,4771519,474643,4296876,1514629,1295289,219340,320039,2462208,35840,2462208,24990,2451358,357470,2092075,1813,0,35840,35840,0,0,0,0,0,127427,597237,405273,191964,474643,4834,-127427,-127427,211206,47072,12070,35002,30,63,-33,1319,0,1319,6476,3317,3159,9750,146559,28518,-1896,119937,338634,164342,-14401,-10465,-3936,178743,178152,591,-8436,-22179,13743,182728,23038,9627,150063,-127428,0,-0,0,-451681,-524699,-345550,-179149,64548,-6621,71169,9401,-931,2072,-449609,-42,-481032,31465,-0,0,27812367,18845734,16955279,10245590,6709689,1126291,89479,1036812,451784,312380,8966633,1958600,495965,1462635,87836,84529,3307,55165,0,55165,156912,138617,18295,172426,6535694,1191645,0,5344049,27812367,27812367,7597765,2173390,1703447,469943,5424375,5419518,4857,15601600,15461165,140435,4613002,854733,239338,3518931,0
2024,4837328,496836,4340493,1568286,ND,ND,340177,2432030,42788,2432030,ND,ND,ND,ND,ND,ND,42788,42788,0,0,8898,0,-8898,139843,625222,418697,206525,496836,11457,-130946,-130946,236255,61035,24522,36513,3160,3039,121,1378,0,1378,4310,3461,849,9320,157052,29749,0,127303,379946,181736,33120,8642,24478,148616,148761,-145,11559,11915,-356,186651,16176,10042,160433,-143691,0,0,-0,29749,34155,60588,-26433,6680,-2546,9226,-16692,5606,-948,37700,144,15514,22043,-8898,0,28230013,19028072,17104535,10346746,6757789,1114223,91432,1022791,479871,329443,9201941,2019636,520488,1499148,90048,86658,3390,56543,0,56543,161222,142078,19144,181746,6692746,1221394,0,5471352,28230013,28230013,7779372,2206510,1712088,494422,5572862,5568006,4856,15650989,15489679,161310,4799653,870909,249380,3679364,0
