1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,9465,6542,1341,1002,580,9465,6845,2620,595,2025,0,9465,934,3,0,628,503,-11,19,117,69,4586,4555,0,28,3,14,3212,18,30,58,0,0,58,0,0,11,0,0,0,0,11,0,-98,0
1952:Q1,8516,6252,712,900,652,8516,6452,2064,624,1440,0,8516,900,4,0,1052,772,200,16,64,112,3524,3704,0,12,-192,8,2300,24,32,72,0,0,72,0,0,8,0,0,0,0,8,0,480,0
1952:Q2,8940,6388,868,856,828,8940,6692,2248,-504,2752,0,8940,692,4,0,148,60,36,20,32,100,5864,5672,0,4,188,4,1840,28,36,72,0,0,72,0,0,8,0,0,0,0,8,0,144,0
1952:Q3,9016,6676,952,936,452,9016,6980,2036,-40,2076,0,9016,396,4,0,268,120,44,12,92,104,5988,6160,0,4,-176,4,1852,32,36,88,0,0,88,0,0,12,0,0,0,0,12,0,232,0
1952:Q4,9356,7180,824,944,408,9356,7440,1916,852,1064,0,9356,676,4,0,772,616,40,16,100,96,5760,5640,0,0,120,4,1756,32,40,92,0,0,92,0,0,12,0,0,0,0,12,0,112,0
1953:Q1,9636,7520,424,1052,640,9636,7828,1808,1168,640,0,9636,2092,4,0,752,608,20,32,92,84,5020,4996,0,4,20,8,1960,40,44,92,0,0,92,0,0,8,0,0,0,0,8,0,-468,0
1953:Q2,10948,8352,716,1116,764,10948,8648,2300,-240,2540,0,10948,744,4,0,592,416,20,32,124,84,7020,6880,0,8,132,16,2048,44,44,88,0,0,88,0,0,4,0,0,0,0,4,0,260,0
1953:Q3,9276,7192,672,1092,320,9276,7444,1832,260,1572,0,9276,48,0,0,356,172,24,36,124,80,6184,6348,0,4,-168,20,1932,44,48,88,0,0,88,0,0,8,0,0,0,0,8,0,468,0
1953:Q4,9460,7024,748,1408,280,9460,7352,2108,1520,588,0,9460,1100,0,0,-120,-312,24,28,140,84,5996,6008,0,0,-12,20,2344,44,52,88,0,0,88,0,0,8,0,0,0,0,8,0,-156,0
1954:Q1,9028,6836,212,1264,716,9028,7204,1824,1108,716,0,9028,1592,0,0,-272,-388,8,28,80,88,5280,5368,0,0,-88,16,1980,44,56,124,0,0,124,0,0,4,0,0,0,0,4,0,116,0
1954:Q2,11688,8560,552,1776,800,11688,8952,2736,-532,3268,0,11688,1020,0,0,-44,-256,8,28,176,96,7792,7412,0,0,380,8,2460,40,60,124,0,0,124,0,0,4,0,0,0,0,4,0,128,0
1954:Q3,12784,10108,560,1832,284,12784,10408,2376,-276,2652,0,12784,632,0,0,548,416,48,24,60,92,8316,8476,0,0,-160,0,2604,44,64,80,0,0,80,0,0,32,0,0,0,0,32,0,372,0
1954:Q4,15380,12168,852,2124,236,15380,12228,3152,1680,1472,0,15380,1308,4,0,436,280,44,28,84,84,9488,9516,0,8,-36,-8,3572,56,64,76,0,0,76,0,0,32,0,0,0,0,32,0,268,0
1955:Q1,15952,12772,468,1808,904,15952,12888,3064,1196,1868,0,15952,2276,12,0,128,308,-360,48,132,68,9476,9056,0,28,392,4,3168,68,68,252,0,0,252,0,0,32,0,0,0,0,32,0,400,0
1955:Q2,17116,13356,828,1992,940,17116,12772,4344,772,3572,0,17116,912,16,0,376,184,-20,48,164,56,11600,11404,0,44,152,8,3000,76,68,292,36,0,256,0,0,36,0,0,0,0,36,0,676,0
1955:Q3,16104,12484,760,2224,636,16104,12352,3752,908,2844,0,16104,332,16,0,84,-96,-12,48,144,52,11128,11152,0,44,-68,12,3036,88,72,264,84,0,180,0,0,40,0,0,0,0,40,0,980,0
