1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2022:Q3,163442942,56434676,48010036,43521594,4488442,614545,243442,7566653,107008266,4858946,10344868,53017,2930305,3563804,1121325,693909,1529348,219222,1464103,1367613,77035,19455,25854503,16500618,9461651,1961249,28156719,365655,1492828,19722978,204199,18989134,12510187,4789396,474730,770965,443856,490242,39403,143719964,12100000,388243,365533,22710,26615131,26210606,404525,2778028,19074878,753.4515502536897,31011407,71.25521873118895
2022:Q4,164834026,55509406,47004519,42594912,4409607,624023,245402,7635462,109324620,4576709,10285952,51653,3097128,4407401,1664872,919173,1600658,222698,1406221,1312575,74771,18875,27305928,16073409,9866801,1987089,28366207,373670,1526452,19933178,204464,19193673,12654096,4894244,498208,696377,450748,498080,36961,144900848,12900000,411297,387985,23312,26983952,26575068,408884,2843387,19442254,745.2883173936519,29940816,70.29200107280418
2023:Q1,168099956,55552787,46933755,42541591,4392164,638356,248924,7731752,112547169,4618382,9884703,51039,3445339,5079886,2178245,1015879,1659763,225999,1381977,1287978,75064,18935,28983650,15785812,10323649,2028341,29034198,382520,1547672,19965581,204624,19217490,12710614,4886734,475591,688099,456452,505485,37982,148134375,13600000,432538,408456,24082,26796567,26390502,406065,2888010,20146974,735.2686041089843,29830977,70.12191198961035
2023:Q2,173792399,57977382,49257865,44760453,4497412,643001,251906,7824610,115815017,4564210,9779861,47804,3640895,5181233,2373787,905542,1674710,227194,1382549,1288976,74351,19222,30732641,16067683,10758691,2055150,29647985,391370,1564945,20133449,206844,19375717,12805576,4941684,469737,699002,459718,512890,37998,153658950,14220000,450764,426912,23852,26735314,26330160,405154,2884148,20460371,751.0076427744149,31954877,71.39087041858133
2023:Q3,172633057,58433814,49694821,45269831,4424990,651100,255112,7832781,114199243,4340490,9843909,49846,3840498,5258696,2452722,972280,1606774,226920,1315438,1221466,74470,19502,29746251,16066558,10312137,2042490,29403059,400220,1579651,20312263,206913,19546368,12925460,4963048,469999,724635,463226,520295,38687,152320794,13715000,431469,408612,22857,27084242,26673815,410427,2859605,20666370,737.0466801862156,32344371,71.4479605634048
2023:Q4,177081234,57843498,49068052,44905034,4163018,656963,258044,7860439,119237736,4420891,9842499,50820,4030622,5630545,2633159,1012886,1751841,232659,1339328,1246355,74028,18945,32654037,15584994,11150275,2060475,30448597,409070,1615584,20478260,206669,19704519,13016830,5024351,475304,721897,466137,527700,39372,156602974,15000000,471169,446579,24590,27414470,26999068,415402,2887460,20913482,748.8134881125966,31888204,71.01253725807223
2024:Q1,183731530,59910809,51028602,46970021,4058581,667363,261678,7953166,123820721,4752632,9745320,53196,4105670,5554982,2567389,986298,1767456,233839,1341368,1249792,73108,18468,35511393,15367316,11954960,2104884,31269964,417788,1641248,20547609,209083,19762389,13056624,4991971,483706,761434,468654,535173,40964,163183921,15830000,496720,472123,24597,27462152,27046609,415543,2880778,21378574,763.3059197493715,33913397,72.20221809140772
2024:Q2,187002748,61792637,52848245,48769082,4079163,674838,266804,8002750,125210111,4532883,9727560,54302,4194902,5734259,2657264,1038268,1803740,234987,1329764,1240067,72013,17684,36389293,15497768,11984807,2121666,31552483,426506,1663918,20711048,212660,19914722,13163915,5017410,482298,781603,469496,542646,41020,166291700,16185000,508291,483676,24615,27795487,27375480,420007,2891223,21568622,770.9889843681251,35605167,73.00766292873834
2024:Q3,191147168,61605470,52589231,48546690,4042541,684328,272400,8059511,129541698,4465156,9809476,57455,4405928,5995585,2849006,1041565,1865518,239496,1398202,1310467,70495,17240,38725129,15550336,12593019,2150761,32263489,435224,1691938,20883469,214438,20079481,13273629,5064863,482759,786142,472088,550119,39431,170263699,17030000,527564,502010,25554,28114369,27690120,424249,2912319,21662565,785.9812499120026,35273061,72.65801437749927
2024:Q4,191739795,61357154,52214301,48136671,4077630,690510,278164,8174179,130382641,4632372,9868992,57834,4718554,5896721,2726798,1104159,1826920,238844,1171099,1084217,69013,17869,39398943,15630279,12349526,2161914,32330308,443942,1722159,20837939,214815,20026002,13385810,4987881,350992,827257,474062,557592,39530,170901856,17000000,525183,500612,24571,28333703,27906731,426972,2915474,21924638,779.4968207684889,34750861,72.19207368951626
2025:Q1,190082758,61266668,51987323,47934860,4052463,697839,282235,8299271,128816090,4875284,9885057,59619,4837302,5948501,2859028,1017671,1830345,241458,1214919,1129718,67714,17487,37887106,15600888,12060642,2165080,32087392,452587,1741713,20775489,216630,19951308,13431119,4935072,281389,828886,474842,565103,42448,169307269,ND,525097,500429,24668,28716884,28284727,432157,2933498,22276029,760.0424175109451,34503741,71.98047725600951
